#rank	DIAMOnD_node
1	4758
2	3073
3	3074
4	3938
5	2799
6	8972
7	2595
8	4759
9	55907
10	129807
11	64772
12	3425
13	3423
14	4123
15	6476
16	5973
17	55577
18	2581
19	427
20	410
21	56998
22	7545
23	7436
24	7804
25	10577
26	5360
27	114879
28	3920
29	4093
30	5660
31	7546
32	10869
33	2517
34	2519
35	6317
36	3916
37	2118
38	5275
39	6722
40	51008
41	949
42	6678
43	2261
44	3240
45	213
46	4036
47	7083
48	84464
49	60496
50	80011
51	4741
52	1508
53	2
54	310
55	1558
56	22983
57	3437
58	84171
59	5886
60	51295
61	140545
62	2639
63	3337
64	54726
65	6009
66	11140
67	351
68	4035
69	3827
70	5663
71	6767
72	5859
73	2475
74	5338
75	2932
76	4137
77	5566
78	4133
79	4804
80	10636
81	857
82	5621
83	1499
84	1460
85	1457
86	5300
87	1025
88	5347
89	27125
90	56893
91	7755
92	29978
93	3482
94	7391
95	5564
96	5597
97	2316
98	4088
99	178
100	5601
