"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0044445","cytosolic part","82/203","250/19659",7.71869683271381e-105,1.24656953848328e-102,8.53119123615737e-103,82,"cc","ChemoRes","1147/3551/3312/8517/6885/8737/6233/7311/841/220717/6156/6207/6128/1654/6232/6188/9349/6205/6217/6202/6141/6208/6224/6191/6135/6129/6130/5708/6132/6137/83939/4736/6125/6155/6133/6165/6160/6228/6210/6201/9045/6194/6152/6136/6187/6159/6154/6144/6181/6189/6146/6204/6229/6169/6222/6206/6218/25873/6122/6223/6161/6171/140032/6192/6167/6227/6231/6164/6170/3921/6209/6173/6230/6234/6193/6235/6176/6124/6203/6203/6175/6138/6134","CHUK/IKBKB/HSPA8/IKBKG/MAP3K7/RIPK1/RPS27A/UBA52/CASP8/NA/RPL30/RPS13/RPL6/DDX3X/RPS27/RPS3/RPL23/RPS11/RPS16/RPS8/RPL18/RPS14/RPS20/RPS4X/RPL11/RPL7/RPL7A/PSMD2/RPL8/RPL13/EIF2A/RPL10A/RPL5/RPL27/RPL9/RPL35A/RPL31/RPS23/RPS15A/RPS7/RPL14/RPS6/RPL24/RPL12/RPS2/RPL29/RPL26/RPL21/RPLP2/RPS3A/RPL22/RPS10/RPS24/RPL38/RPS18/RPS12/RPS17/RPL36/RPL3/RPS19/RPL32/RPL41/RPS4Y2/RPS4Y1/RPL37/RPS21/RPS26/RPL34/RPL39/RPSA/RPS15/RPL36A/RPS25/RPS28/RPS5/RPS29/RPLP1/RPL4/RPS9//RPLP0/RPL15/RPL10"
"2","GO:0006605","protein targeting","80/204","424/18493",3.36056357607442e-78,7.98004596872442e-76,5.77962513002597e-76,80,"bp","ChemoRes","11140/3320/208/3312/3305/92609/7314/7316/6233/7311/7534/6156/6207/6128/6232/6188/9349/6205/6217/7532/6202/6141/6208/6224/6191/6135/6129/6130/6132/6137/4736/6125/6155/6133/6165/6160/6228/6210/6201/9045/6194/6152/6136/6187/6159/6154/6144/6181/6189/6146/6204/6229/6169/6222/6206/6218/25873/6122/6223/6161/6171/6192/6167/6227/6231/6164/6170/3921/6209/6173/6230/6234/6193/6235/6176/6124/6203/6203/6175/6138/6134","CDC37/HSP90AA1/AKT2/HSPA8/HSPA1L/TIMM50/UBB/UBC/RPS27A/UBA52/YWHAZ/RPL30/RPS13/RPL6/RPS27/RPS3/RPL23/RPS11/RPS16/YWHAG/RPS8/RPL18/RPS14/RPS20/RPS4X/RPL11/RPL7/RPL7A/RPL8/RPL13/RPL10A/RPL5/RPL27/RPL9/RPL35A/RPL31/RPS23/RPS15A/RPS7/RPL14/RPS6/RPL24/RPL12/RPS2/RPL29/RPL26/RPL21/RPLP2/RPS3A/RPL22/RPS10/RPS24/RPL38/RPS18/RPS12/RPS17/RPL36/RPL3/RPS19/RPL32/RPL41/RPS4Y1/RPL37/RPS21/RPS26/RPL34/RPL39/RPSA/RPS15/RPL36A/RPS25/RPS28/RPS5/RPS29/RPLP1/RPL4/RPS9//RPLP0/RPL15/RPL10"
"3","GO:0006401","RNA catabolic process","79/204","340/18493",6.53327361975493e-85,1.68068463868196e-82,1.21725203231223e-82,79,"bp","ChemoRes","207/3303/3312/7133/7314/7316/6233/7311/7534/6156/6207/6128/6232/6188/9349/6205/6217/6202/6141/6208/6224/4869/6191/6135/6129/6130/6132/6137/4736/6125/6155/6133/6165/6160/6228/6210/6201/9045/6194/6152/6136/6187/6159/6154/6144/6181/6189/6146/6204/6229/4904/6169/6222/6206/6218/25873/6122/6223/6161/6171/6192/6167/6227/6231/6164/6170/3921/6209/6173/6230/6234/6193/6235/6176/6124/6203/6203/6175/6138/6134","AKT1/HSPA1A/HSPA8/TNFRSF1B/UBB/UBC/RPS27A/UBA52/YWHAZ/RPL30/RPS13/RPL6/RPS27/RPS3/RPL23/RPS11/RPS16/RPS8/RPL18/RPS14/RPS20/NPM1/RPS4X/RPL11/RPL7/RPL7A/RPL8/RPL13/RPL10A/RPL5/RPL27/RPL9/RPL35A/RPL31/RPS23/RPS15A/RPS7/RPL14/RPS6/RPL24/RPL12/RPS2/RPL29/RPL26/RPL21/RPLP2/RPS3A/RPL22/RPS10/RPS24/YBX1/RPL38/RPS18/RPS12/RPS17/RPL36/RPL3/RPS19/RPL32/RPL41/RPS4Y1/RPL37/RPS21/RPS26/RPL34/RPL39/RPSA/RPS15/RPL36A/RPS25/RPS28/RPS5/RPS29/RPLP1/RPL4/RPS9//RPLP0/RPL15/RPL10"
"4","GO:0090150","establishment of protein localization to membrane","79/204","317/18493",1.37669110853338e-87,4.24984545204253e-85,3.07799148897357e-85,79,"bp","ChemoRes","3320/208/673/801/808/6233/7311/841/7534/6156/6207/6128/6232/6188/9349/6205/6217/7532/6202/6141/6208/6224/6191/6135/6129/6130/6132/7533/6137/4736/6125/6155/6133/6165/6160/6228/6210/6201/9045/6194/6152/6136/6187/6159/6154/6144/6181/6189/6146/6204/6229/6169/6222/6206/6218/25873/6122/6223/6161/6171/6192/6167/6227/6231/6164/6170/3921/6209/6173/6230/6234/6193/6235/6176/6124/6203/6203/6175/6138/6134","HSP90AA1/AKT2/BRAF/CALM1/CALM3/RPS27A/UBA52/CASP8/YWHAZ/RPL30/RPS13/RPL6/RPS27/RPS3/RPL23/RPS11/RPS16/YWHAG/RPS8/RPL18/RPS14/RPS20/RPS4X/RPL11/RPL7/RPL7A/RPL8/YWHAH/RPL13/RPL10A/RPL5/RPL27/RPL9/RPL35A/RPL31/RPS23/RPS15A/RPS7/RPL14/RPS6/RPL24/RPL12/RPS2/RPL29/RPL26/RPL21/RPLP2/RPS3A/RPL22/RPS10/RPS24/RPL38/RPS18/RPS12/RPS17/RPL36/RPL3/RPS19/RPL32/RPL41/RPS4Y1/RPL37/RPS21/RPS26/RPL34/RPL39/RPSA/RPS15/RPL36A/RPS25/RPS28/RPS5/RPS29/RPLP1/RPL4/RPS9//RPLP0/RPL15/RPL10"
"5","GO:0006402","mRNA catabolic process","78/204","307/18493",3.95382039318999e-87,1.10958577761614e-84,8.03628183266559e-85,78,"bp","ChemoRes","207/3303/3312/7314/7316/6233/7311/7534/6156/6207/6128/6232/6188/9349/6205/6217/6202/6141/6208/6224/4869/6191/6135/6129/6130/6132/6137/4736/6125/6155/6133/6165/6160/6228/6210/6201/9045/6194/6152/6136/6187/6159/6154/6144/6181/6189/6146/6204/6229/4904/6169/6222/6206/6218/25873/6122/6223/6161/6171/6192/6167/6227/6231/6164/6170/3921/6209/6173/6230/6234/6193/6235/6176/6124/6203/6203/6175/6138/6134","AKT1/HSPA1A/HSPA8/UBB/UBC/RPS27A/UBA52/YWHAZ/RPL30/RPS13/RPL6/RPS27/RPS3/RPL23/RPS11/RPS16/RPS8/RPL18/RPS14/RPS20/NPM1/RPS4X/RPL11/RPL7/RPL7A/RPL8/RPL13/RPL10A/RPL5/RPL27/RPL9/RPL35A/RPL31/RPS23/RPS15A/RPS7/RPL14/RPS6/RPL24/RPL12/RPS2/RPL29/RPL26/RPL21/RPLP2/RPS3A/RPL22/RPS10/RPS24/YBX1/RPL38/RPS18/RPS12/RPS17/RPL36/RPL3/RPS19/RPL32/RPL41/RPS4Y1/RPL37/RPS21/RPS26/RPL34/RPL39/RPSA/RPS15/RPL36A/RPS25/RPS28/RPS5/RPS29/RPLP1/RPL4/RPS9//RPLP0/RPL15/RPL10"
"6","GO:0005840","ribosome","76/203","276/19659",6.29235233641934e-90,5.08107451165862e-88,3.47735260696858e-88,76,"cc","ChemoRes","6233/7311/220717/6156/6207/6128/1654/6232/6188/9349/6205/10985/6217/6202/6141/6208/6224/6191/6135/6129/6130/6132/6137/83939/4736/6125/6155/6133/1938/6165/6160/6228/6210/6201/9045/6194/6152/6136/6187/6159/6154/6144/6181/6189/6146/6204/6229/6169/6222/6206/6218/25873/6122/6223/6161/6171/140032/6192/6167/6227/6231/6164/6170/3921/6209/6173/6230/6234/6193/6235/6176/6124/6203/6203/6175/6138/6134","RPS27A/UBA52/NA/RPL30/RPS13/RPL6/DDX3X/RPS27/RPS3/RPL23/RPS11/GCN1/RPS16/RPS8/RPL18/RPS14/RPS20/RPS4X/RPL11/RPL7/RPL7A/RPL8/RPL13/EIF2A/RPL10A/RPL5/RPL27/RPL9/EEF2/RPL35A/RPL31/RPS23/RPS15A/RPS7/RPL14/RPS6/RPL24/RPL12/RPS2/RPL29/RPL26/RPL21/RPLP2/RPS3A/RPL22/RPS10/RPS24/RPL38/RPS18/RPS12/RPS17/RPL36/RPL3/RPS19/RPL32/RPL41/RPS4Y2/RPS4Y1/RPL37/RPS21/RPS26/RPL34/RPL39/RPSA/RPS15/RPL36A/RPS25/RPS28/RPS5/RPS29/RPLP1/RPL4/RPS9//RPLP0/RPL15/RPL10"
"7","GO:0022626","cytosolic ribosome","74/203","115/19659",5.73230460388961e-123,1.85153438705634e-120,1.26714101770191e-120,74,"cc","ChemoRes","6233/7311/220717/6156/6207/6128/1654/6232/6188/9349/6205/6217/6202/6141/6208/6224/6191/6135/6129/6130/6132/6137/83939/4736/6125/6155/6133/6165/6160/6228/6210/6201/9045/6194/6152/6136/6187/6159/6154/6144/6181/6189/6146/6204/6229/6169/6222/6206/6218/25873/6122/6223/6161/6171/140032/6192/6167/6227/6231/6164/6170/3921/6209/6173/6230/6234/6193/6235/6176/6124/6203/6203/6175/6138/6134","RPS27A/UBA52/NA/RPL30/RPS13/RPL6/DDX3X/RPS27/RPS3/RPL23/RPS11/RPS16/RPS8/RPL18/RPS14/RPS20/RPS4X/RPL11/RPL7/RPL7A/RPL8/RPL13/EIF2A/RPL10A/RPL5/RPL27/RPL9/RPL35A/RPL31/RPS23/RPS15A/RPS7/RPL14/RPS6/RPL24/RPL12/RPS2/RPL29/RPL26/RPL21/RPLP2/RPS3A/RPL22/RPS10/RPS24/RPL38/RPS18/RPS12/RPS17/RPL36/RPL3/RPS19/RPL32/RPL41/RPS4Y2/RPS4Y1/RPL37/RPS21/RPS26/RPL34/RPL39/RPSA/RPS15/RPL36A/RPS25/RPS28/RPS5/RPS29/RPLP1/RPL4/RPS9//RPLP0/RPL15/RPL10"
"8","GO:0044391","ribosomal subunit","74/203","191/19659",1.85659370927081e-100,1.99893256031491e-98,1.36801641735744e-98,74,"cc","ChemoRes","6233/7311/220717/6156/6207/6128/1654/6232/6188/9349/6205/6217/6202/6141/6208/6224/6191/6135/6129/6130/6132/6137/83939/4736/6125/6155/6133/6165/6160/6228/6210/6201/9045/6194/6152/6136/6187/6159/6154/6144/6181/6189/6146/6204/6229/6169/6222/6206/6218/25873/6122/6223/6161/6171/140032/6192/6167/6227/6231/6164/6170/3921/6209/6173/6230/6234/6193/6235/6176/6124/6203/6203/6175/6138/6134","RPS27A/UBA52/NA/RPL30/RPS13/RPL6/DDX3X/RPS27/RPS3/RPL23/RPS11/RPS16/RPS8/RPL18/RPS14/RPS20/RPS4X/RPL11/RPL7/RPL7A/RPL8/RPL13/EIF2A/RPL10A/RPL5/RPL27/RPL9/RPL35A/RPL31/RPS23/RPS15A/RPS7/RPL14/RPS6/RPL24/RPL12/RPS2/RPL29/RPL26/RPL21/RPLP2/RPS3A/RPL22/RPS10/RPS24/RPL38/RPS18/RPS12/RPS17/RPL36/RPL3/RPS19/RPL32/RPL41/RPS4Y2/RPS4Y1/RPL37/RPS21/RPS26/RPL34/RPL39/RPSA/RPS15/RPL36A/RPS25/RPS28/RPS5/RPS29/RPLP1/RPL4/RPS9//RPLP0/RPL15/RPL10"
"9","GO:0006413","translational initiation","73/204","194/18493",9.09495367187785e-96,4.01087456929813e-93,2.90491452617572e-93,73,"bp","ChemoRes","6233/7311/6156/6207/6128/1654/6232/6188/9349/6205/6217/6202/6141/6208/6224/4869/6191/6135/6129/6130/6132/6137/83939/4736/6125/6155/6133/6165/6160/6228/6210/6201/9045/6194/6152/6136/6187/6159/6154/6144/6181/6189/6146/6204/6229/6169/6222/6206/6218/25873/6122/6223/6161/6171/6192/6167/6227/6231/6164/6170/3921/6209/6173/6230/6234/6193/6235/6176/6124/6203/6203/6175/6138/6134","RPS27A/UBA52/RPL30/RPS13/RPL6/DDX3X/RPS27/RPS3/RPL23/RPS11/RPS16/RPS8/RPL18/RPS14/RPS20/NPM1/RPS4X/RPL11/RPL7/RPL7A/RPL8/RPL13/EIF2A/RPL10A/RPL5/RPL27/RPL9/RPL35A/RPL31/RPS23/RPS15A/RPS7/RPL14/RPS6/RPL24/RPL12/RPS2/RPL29/RPL26/RPL21/RPLP2/RPS3A/RPL22/RPS10/RPS24/RPL38/RPS18/RPS12/RPS17/RPL36/RPL3/RPS19/RPL32/RPL41/RPS4Y1/RPL37/RPS21/RPS26/RPL34/RPL39/RPSA/RPS15/RPL36A/RPS25/RPS28/RPS5/RPS29/RPLP1/RPL4/RPS9//RPLP0/RPL15/RPL10"
"10","hsa03010","Ribosome","72/188","153/7843",7.36422666395469e-80,1.45075265279907e-77,7.75181754100494e-78,72,"kg","ChemoRes","6233/7311/6156/6207/6128/6232/6188/9349/6205/6217/6202/6141/6208/6224/6191/6135/6129/6130/6132/6137/4736/6125/6155/6133/6165/6160/6228/6210/6201/9045/6194/6152/6136/6187/6159/6154/6144/6181/6189/6146/6204/6229/6169/6222/6206/6218/25873/6122/6223/2197/6161/6171/140032/6192/6167/6227/6231/6164/6170/3921/6209/6173/6230/6234/6193/6235/6176/6124/6203/6203/6175/6138/6134","RPS27A/UBA52/RPL30/RPS13/RPL6/RPS27/RPS3/RPL23/RPS11/RPS16/RPS8/RPL18/RPS14/RPS20/RPS4X/RPL11/RPL7/RPL7A/RPL8/RPL13/RPL10A/RPL5/RPL27/RPL9/RPL35A/RPL31/RPS23/RPS15A/RPS7/RPL14/RPS6/RPL24/RPL12/RPS2/RPL29/RPL26/RPL21/RPLP2/RPS3A/RPL22/RPS10/RPS24/RPL38/RPS18/RPS12/RPS17/RPL36/RPL3/RPS19/FAU/RPL32/RPL41/RPS4Y2/RPS4Y1/RPL37/RPS21/RPS26/RPL34/RPL39/RPSA/RPS15/RPL36A/RPS25/RPS28/RPS5/RPS29/RPLP1/RPL4/RPS9//RPLP0/RPL15/RPL10"
