"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0000790","nuclear chromatin","120/310","369/19659",8.90667308764102e-130,3.06389554214851e-127,2.27823322136502e-127,120,"cc","ChemoRes","1051/2099/4208/6929/6256/8357/8356/8355/8354/8353/8351/8358/8968/8352/8350/4678/8208/25842/8520/55723/10036/79711/121504/8361/8368/554313/8364/8360/8294/8365/8366/8367/8362/8363/8359/8370/3008/1058/5928/23468/11335/10951/8467/5931/3065/3020/8290/1387/7290/7157/5925/6597/6598/6595/6599/6872/3066/6601/9611/6602/8289/25942/6908/9219/53615/23028/1107/86/6603/8932/1108/6605/57459/5977/6604/367/8202/6667/8648/54815/9612/5970/10155/3725/6774/6886/4088/57492/4609/4087/57504/9112/1869/5914/1457/1025/4654/6722/10891/55193/23309/25855/64426/7528/9739/9070/60/51412/11177/6688/1385/10661/860/4772/3622/8805/79595/4089/8204/23411","CEBPB/ESR1/MEF2C/TCF3/RXRA/HIST1H3H/HIST1H3J/HIST1H3G/HIST1H3I/HIST1H3E/HIST1H3D/HIST1H3B/HIST1H3F/HIST1H3C/HIST1H3A/NASP/CHAF1B/ASF1A/HAT1/ASF1B/CHAF1A/IPO4/HIST4H4/HIST1H4F/HIST1H4L/HIST2H4B/HIST1H4C/HIST1H4D/HIST1H4I/HIST1H4H/HIST1H4B/HIST1H4E/HIST1H4K/HIST1H4J/HIST1H4A/HIST2H4A/HIST1H1E/CENPA/RBBP4/CBX5/CBX3/CBX1/SMARCA5/RBBP7/HDAC1/H3F3A/HIST3H3/CREBBP/HIRA/TP53/RB1/SMARCA4/SMARCB1/SMARCA2/SMARCC1/TAF1/HDAC2/SMARCC2/NCOR1/SMARCD1/ARID1A/SIN3A/TBP/MTA2/MBD3/KDM1A/CHD3/ACTL6A/SMARCD2/MBD2/CHD4/SMARCE1/GATAD2B/DPF2/SMARCD3/AR/NCOA3/SP1/NCOA1/GATAD2A/NCOR2/RELA/TRIM28/JUN/STAT3/TAL1/SMAD3/ARID1B/MYC/SMAD2/MTA3/MTA1/E2F1/RARA/CSNK2A1/CDK9/MYOD1/SRF/PPARGC1A/PBRM1/SIN3B/BRMS1/SUDS3/YY1/SETD1A/ASH2L/ACTB/ACTL6B/BAZ1A/SPI1/CREB1/KLF1/RUNX2/NFATC1/ING2/TRIM24/SAP130/SMAD4/NRIP1/SIRT1"
"2","GO:0016569","covalent chromatin modification","85/311","470/18493",7.28687278987504e-64,1.51239044753857e-60,8.28785899943156e-61,85,"bp","ChemoRes","5599/1111/472/1386/9252/5595/4602/891/8520/51230/55352/9682/29117/3008/10419/387893/9759/5928/10014/6839/672/10013/5931/3065/80854/1387/2033/6598/11091/6872/3066/8841/8819/51742/25942/4297/10284/9219/6880/5929/53615/6883/23028/1107/86/8932/1108/5977/9031/23186/8202/2959/1487/8850/8648/10155/10498/57504/9112/85509/1025/6830/4654/10891/1017/23309/51317/9734/25855/10362/3054/64426/9739/9070/8473/604/11177/6688/4204/3622/5926/4089/983/6720/23411","MAPK8/CHEK1/ATM/ATF2/RPS6KA5/MAPK3/MYB/CCNB1/HAT1/PHF20/COPRS/KDM4A/BRD7/HIST1H1E/PRMT5/KMT5A/HDAC4/RBBP4/HDAC5/SUV39H1/BRCA1/HDAC6/RBBP7/HDAC1/SETD7/CREBBP/EP300/SMARCB1/WDR5/TAF1/HDAC2/HDAC3/SAP30/ARID4B/SIN3A/KMT2A/SAP18/MTA2/TAF9/RBBP5/MBD3/TAF12/KDM1A/CHD3/ACTL6A/MBD2/CHD4/DPF2/BAZ1B/RCOR1/NCOA3/GTF2B/CTBP1/KAT2B/NCOA1/TRIM28/CARM1/MTA3/MTA1/MBD3L1/CDK9/SUPT6H/MYOD1/PPARGC1A/CDK2/SIN3B/PHF21A/HDAC9/BRMS1/HMG20B/HCFC1/SUDS3/SETD1A/ASH2L/OGT/BCL6/BAZ1A/SPI1/MECP2/ING2/ARID4A/SMAD4/CDK1/SREBF1/SIRT1"
"3","GO:0016570","histone modification","82/311","456/18493",2.77776511723703e-61,2.88262575041272e-58,1.57967116272348e-58,82,"bp","ChemoRes","5599/1111/472/1386/9252/5595/4602/891/8520/51230/55352/9682/29117/3008/10419/387893/9759/5928/10014/6839/672/10013/5931/3065/80854/1387/2033/6598/11091/6872/3066/8841/8819/51742/25942/4297/10284/9219/6880/5929/53615/6883/23028/1107/86/1108/5977/9031/23186/8202/2959/1487/8850/8648/10498/57504/9112/1025/6830/4654/10891/1017/23309/51317/9734/25855/10362/3054/64426/9739/9070/8473/604/11177/6688/4204/3622/5926/4089/983/6720/23411","MAPK8/CHEK1/ATM/ATF2/RPS6KA5/MAPK3/MYB/CCNB1/HAT1/PHF20/COPRS/KDM4A/BRD7/HIST1H1E/PRMT5/KMT5A/HDAC4/RBBP4/HDAC5/SUV39H1/BRCA1/HDAC6/RBBP7/HDAC1/SETD7/CREBBP/EP300/SMARCB1/WDR5/TAF1/HDAC2/HDAC3/SAP30/ARID4B/SIN3A/KMT2A/SAP18/MTA2/TAF9/RBBP5/MBD3/TAF12/KDM1A/CHD3/ACTL6A/CHD4/DPF2/BAZ1B/RCOR1/NCOA3/GTF2B/CTBP1/KAT2B/NCOA1/CARM1/MTA3/MTA1/CDK9/SUPT6H/MYOD1/PPARGC1A/CDK2/SIN3B/PHF21A/HDAC9/BRMS1/HMG20B/HCFC1/SUDS3/SETD1A/ASH2L/OGT/BCL6/BAZ1A/SPI1/MECP2/ING2/ARID4A/SMAD4/CDK1/SREBF1/SIRT1"
"4","GO:0071824","protein-DNA complex subunit organization","76/311","290/18493",7.29412645704077e-70,3.02779189231762e-66,1.65922181828054e-66,76,"bp","ChemoRes","2099/8357/8356/8355/8354/8353/8351/8358/8968/8352/8350/4678/8208/25842/8520/55723/10036/79711/121504/8361/8368/554313/8364/8360/8294/8365/8366/8367/8362/8363/8359/8370/3008/55355/1058/5928/8467/5931/3020/8290/1616/7290/7157/5925/6597/6598/6599/6872/6601/6602/8289/6908/6880/6878/6883/6603/6605/6604/2959/11198/2965/10589/2960/2967/4609/2071/1022/6830/196528/55193/5757/142/126961/7067/1385/7316","ESR1/HIST1H3H/HIST1H3J/HIST1H3G/HIST1H3I/HIST1H3E/HIST1H3D/HIST1H3B/HIST1H3F/HIST1H3C/HIST1H3A/NASP/CHAF1B/ASF1A/HAT1/ASF1B/CHAF1A/IPO4/HIST4H4/HIST1H4F/HIST1H4L/HIST2H4B/HIST1H4C/HIST1H4D/HIST1H4I/HIST1H4H/HIST1H4B/HIST1H4E/HIST1H4K/HIST1H4J/HIST1H4A/HIST2H4A/HIST1H1E/HJURP/CENPA/RBBP4/SMARCA5/RBBP7/H3F3A/HIST3H3/DAXX/HIRA/TP53/RB1/SMARCA4/SMARCB1/SMARCC1/TAF1/SMARCC2/SMARCD1/ARID1A/TBP/TAF9/TAF6/TAF12/SMARCD2/SMARCE1/SMARCD3/GTF2B/SUPT16H/GTF2H1/DRAP1/GTF2E1/GTF2H3/MYC/ERCC3/CDK7/SUPT6H/ARID2/PBRM1/PTMA/PARP1/HIST2H3C/THRA/CREB1/UBC"
"5","GO:0030099","myeloid cell differentiation","72/311","405/18493",3.87174129793745e-53,1.46105437524894e-50,8.00653870319888e-51,72,"bp","ChemoRes","1432/1051/2353/7538/1053/4208/8357/8356/8355/8354/8353/8351/8358/8968/8352/8350/121504/8361/8368/26013/554313/8364/8360/8294/8365/8366/8367/8362/8363/8359/8370/3065/3020/1387/2033/2113/5925/11091/25942/4297/5929/2623/8850/5371/23054/5468/3725/6774/6886/861/5469/4609/3091/5914/3516/6722/7704/9739/9070/142/126961/604/7067/1050/6688/1385/5971/10661/5926/10401/6714/23411","MAPK14/CEBPB/FOS//CEBPE/MEF2C/HIST1H3H/HIST1H3J/HIST1H3G/HIST1H3I/HIST1H3E/HIST1H3D/HIST1H3B/HIST1H3F/HIST1H3C/HIST1H3A/HIST4H4/HIST1H4F/HIST1H4L/L3MBTL1/HIST2H4B/HIST1H4C/HIST1H4D/HIST1H4I/HIST1H4H/HIST1H4B/HIST1H4E/HIST1H4K/HIST1H4J/HIST1H4A/HIST2H4A/HDAC1/H3F3A/CREBBP/EP300/ETS1/RB1/WDR5/SIN3A/KMT2A/RBBP5/GATA1/KAT2B/PML/NCOA6/PPARG/JUN/STAT3/TAL1/RUNX1/MED1/MYC/HIF1A/RARA/RBPJ/SRF/ZBTB16/SETD1A/ASH2L/PARP1/HIST2H3C/BCL6/THRA/CEBPA/SPI1/CREB1/RELB/KLF1/ARID4A/PIAS3/SRC/SIRT1"
"6","GO:0006352","DNA-templated transcription, initiation","65/311","248/18493",1.79011584934208e-59,1.48615417812379e-56,8.14408494826996e-57,65,"bp","ChemoRes","5595/2099/5465/6256/121504/8361/8368/554313/8364/8360/8294/8365/8366/8367/8362/8363/8359/8370/8467/1387/7157/2908/6597/6598/6872/6908/6880/6878/6883/367/7421/2959/8850/3164/23054/10155/5468/3725/1024/2962/5430/5430/2965/10589/2960/892/5469/2967/2071/1022/5914/1025/3516/6722/10891/2969/7067/595/1026/1385/4851/860/5241/3172/2100/8431","MAPK3/ESR1/PPARA/RXRA/HIST4H4/HIST1H4F/HIST1H4L/HIST2H4B/HIST1H4C/HIST1H4D/HIST1H4I/HIST1H4H/HIST1H4B/HIST1H4E/HIST1H4K/HIST1H4J/HIST1H4A/HIST2H4A/SMARCA5/CREBBP/TP53/NR3C1/SMARCA4/SMARCB1/TAF1/TBP/TAF9/TAF6/TAF12/AR/VDR/GTF2B/KAT2B/NR4A1/NCOA6/TRIM28/PPARG/JUN/CDK8/GTF2F1/POLR2A//GTF2H1/DRAP1/GTF2E1/CCNC/MED1/GTF2H3/ERCC3/CDK7/RARA/CDK9/RBPJ/SRF/PPARGC1A/GTF2I/THRA/CCND1/CDKN1A/CREB1/NOTCH1/RUNX2/PGR/HNF4A/ESR2/NR0B2"
"7","GO:0005667","transcription factor complex","64/310","356/19659",4.41485517409647e-49,7.59355089944594e-47,5.64636740687075e-47,64,"cc","ChemoRes","1051/2353/4776/5465/6929/6256/3065/7157/2033/2113/5925/6872/25942/6908/9219/6880/6878/6883/23028/23186/7421/2623/2959/1487/3164/5970/23054/10155/10498/5468/3725/6774/6886/861/4088/2962/2965/2960/2967/4087/2071/3091/1022/1869/5914/3516/4654/1017/9734/5451/7528/142/3326/7067/1050/1385/5591/2547/4841/860/5933/4772/3622/4089","CEBPB/FOS/NFATC4/PPARA/TCF3/RXRA/HDAC1/TP53/EP300/ETS1/RB1/TAF1/SIN3A/TBP/MTA2/TAF9/TAF6/TAF12/KDM1A/RCOR1/VDR/GATA1/GTF2B/CTBP1/NR4A1/RELA/NCOA6/TRIM28/CARM1/PPARG/JUN/STAT3/TAL1/RUNX1/SMAD3/GTF2F1/GTF2H1/GTF2E1/GTF2H3/SMAD2/ERCC3/HIF1A/CDK7/E2F1/RARA/RBPJ/MYOD1/CDK2/HDAC9/POU2F1/YY1/PARP1/HSP90AB1/THRA/CEBPA/CREB1/PRKDC/XRCC6/NONO/RUNX2/RBL1/NFATC1/ING2/SMAD4"
"8","GO:1903706","regulation of hemopoiesis","64/311","418/18493",7.04716848018797e-43,1.46263981806301e-40,8.01522688720326e-41,64,"bp","ChemoRes","3592/388585/572/1432/1051/2353/7538/4602/4208/6929/8357/8356/8355/8354/8353/8351/8358/8968/8352/8350/121504/8361/8368/26013/554313/8364/8360/8294/8365/8366/8367/8362/8363/8359/8370/3065/3020/1387/2033/2113/5925/11091/25942/4297/5929/2623/8850/3725/6774/6886/861/5469/4609/3091/5914/7704/9739/9070/126961/604/6688/1385/4851/10401","IL12A/HES5/BAD/MAPK14/CEBPB/FOS//MYB/MEF2C/TCF3/HIST1H3H/HIST1H3J/HIST1H3G/HIST1H3I/HIST1H3E/HIST1H3D/HIST1H3B/HIST1H3F/HIST1H3C/HIST1H3A/HIST4H4/HIST1H4F/HIST1H4L/L3MBTL1/HIST2H4B/HIST1H4C/HIST1H4D/HIST1H4I/HIST1H4H/HIST1H4B/HIST1H4E/HIST1H4K/HIST1H4J/HIST1H4A/HIST2H4A/HDAC1/H3F3A/CREBBP/EP300/ETS1/RB1/WDR5/SIN3A/KMT2A/RBBP5/GATA1/KAT2B/JUN/STAT3/TAL1/RUNX1/MED1/MYC/HIF1A/RARA/ZBTB16/SETD1A/ASH2L/HIST2H3C/BCL6/SPI1/CREB1/NOTCH1/PIAS3"
"9","GO:0065004","protein-DNA complex assembly","62/311","254/18493",1.43178562630113e-54,5.94334213477599e-52,3.25693551414394e-52,62,"bp","ChemoRes","2099/8357/8356/8355/8354/8353/8351/8358/8968/8352/8350/4678/8208/25842/8520/55723/10036/79711/121504/8361/8368/554313/8364/8360/8294/8365/8366/8367/8362/8363/8359/8370/3008/55355/1058/5928/8467/5931/3020/8290/1616/7290/7157/5925/6597/6598/6872/6908/6880/6878/6883/2959/2965/10589/2967/2071/1022/142/126961/7067/1385/7316","ESR1/HIST1H3H/HIST1H3J/HIST1H3G/HIST1H3I/HIST1H3E/HIST1H3D/HIST1H3B/HIST1H3F/HIST1H3C/HIST1H3A/NASP/CHAF1B/ASF1A/HAT1/ASF1B/CHAF1A/IPO4/HIST4H4/HIST1H4F/HIST1H4L/HIST2H4B/HIST1H4C/HIST1H4D/HIST1H4I/HIST1H4H/HIST1H4B/HIST1H4E/HIST1H4K/HIST1H4J/HIST1H4A/HIST2H4A/HIST1H1E/HJURP/CENPA/RBBP4/SMARCA5/RBBP7/H3F3A/HIST3H3/DAXX/HIRA/TP53/RB1/SMARCA4/SMARCB1/TAF1/TBP/TAF9/TAF6/TAF12/GTF2B/GTF2H1/DRAP1/GTF2H3/ERCC3/CDK7/PARP1/HIST2H3C/THRA/CREB1/UBC"
"10","GO:0006333","chromatin assembly or disassembly","59/311","192/18493",1.80350983775121e-58,1.24772822275088e-55,6.83751712171996e-56,59,"bp","ChemoRes","8357/8356/8355/8354/8353/8351/8358/8968/8352/8350/4678/8208/25842/8520/55723/10036/79711/121504/8361/8368/554313/8364/8360/8294/8365/8366/8367/8362/8363/8359/8370/3008/55355/1058/5928/8467/5931/3020/8290/1616/7290/7157/6597/6598/6599/6601/6602/8289/9219/1107/6603/6605/6604/9031/6886/11198/196528/55193/126961","HIST1H3H/HIST1H3J/HIST1H3G/HIST1H3I/HIST1H3E/HIST1H3D/HIST1H3B/HIST1H3F/HIST1H3C/HIST1H3A/NASP/CHAF1B/ASF1A/HAT1/ASF1B/CHAF1A/IPO4/HIST4H4/HIST1H4F/HIST1H4L/HIST2H4B/HIST1H4C/HIST1H4D/HIST1H4I/HIST1H4H/HIST1H4B/HIST1H4E/HIST1H4K/HIST1H4J/HIST1H4A/HIST2H4A/HIST1H1E/HJURP/CENPA/RBBP4/SMARCA5/RBBP7/H3F3A/HIST3H3/DAXX/HIRA/TP53/SMARCA4/SMARCB1/SMARCC1/SMARCC2/SMARCD1/ARID1A/MTA2/CHD3/SMARCD2/SMARCE1/SMARCD3/BAZ1B/TAL1/SUPT16H/ARID2/PBRM1/HIST2H3C"
