"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0000790","nuclear chromatin","112/317","369/19659",3.06704319045462e-115,1.00905720965957e-112,7.1994803312777e-113,112,"cc","ChemoRes","4087/81611/6688/1051/2099/1387/4208/6929/6256/7157/8352/8357/8356/8355/8354/8353/8351/8358/8968/8350/25842/4678/8208/8520/55723/121504/10036/79711/5928/8361/8368/8370/8366/8367/8364/8365/8363/8360/8362/554313/8294/8359/3008/1058/23468/3065/10951/5931/8290/8467/11335/3020/6597/7290/5925/6598/9611/6599/3066/6595/6601/6872/6908/6602/25942/8289/9219/53615/23028/1107/86/6603/8932/1108/6605/57459/5977/6604/367/6667/8202/9612/8648/54815/4609/4088/57492/3725/5970/1025/1457/1869/9112/57504/10891/4654/6774/6722/23309/25855/7528/8204/5914/64426/9739/9070/55193/60/51412/11177/1385/6886","SMAD2/ANP32E/SPI1/CEBPB/ESR1/CREBBP/MEF2C/TCF3/RXRA/TP53/HIST1H3C/HIST1H3H/HIST1H3J/HIST1H3G/HIST1H3I/HIST1H3E/HIST1H3D/HIST1H3B/HIST1H3F/HIST1H3A/ASF1A/NASP/CHAF1B/HAT1/ASF1B/HIST4H4/CHAF1A/IPO4/RBBP4/HIST1H4F/HIST1H4L/HIST2H4A/HIST1H4B/HIST1H4E/HIST1H4C/HIST1H4H/HIST1H4J/HIST1H4D/HIST1H4K/HIST2H4B/HIST1H4I/HIST1H4A/HIST1H1E/CENPA/CBX5/HDAC1/CBX1/RBBP7/HIST3H3/SMARCA5/CBX3/H3F3A/SMARCA4/HIRA/RB1/SMARCB1/NCOR1/SMARCC1/HDAC2/SMARCA2/SMARCC2/TAF1/TBP/SMARCD1/SIN3A/ARID1A/MTA2/MBD3/KDM1A/CHD3/ACTL6A/SMARCD2/MBD2/CHD4/SMARCE1/GATAD2B/DPF2/SMARCD3/AR/SP1/NCOA3/NCOR2/NCOA1/GATAD2A/MYC/SMAD3/ARID1B/JUN/RELA/CDK9/CSNK2A1/E2F1/MTA1/MTA3/PPARGC1A/MYOD1/STAT3/SRF/SIN3B/BRMS1/YY1/NRIP1/RARA/SUDS3/SETD1A/ASH2L/PBRM1/ACTB/ACTL6B/BAZ1A/CREB1/TAL1"
"2","GO:0071824","protein-DNA complex subunit organization","82/315","290/18493",3.88280792026768e-78,7.67048704648881e-75,4.40596519794586e-75,82,"bp","ChemoRes","2068/6830/81611/2099/7157/8352/8357/8356/8355/8354/8353/8351/8358/8968/8350/25842/4678/8208/8520/55723/121504/10036/79711/5928/8361/8368/8370/8366/8367/8364/8365/8363/8360/8362/554313/8294/8359/3008/55355/1058/1616/5931/8290/8467/3020/6597/7290/5925/6598/6599/6601/6872/6908/6602/8289/6880/6878/6883/6603/6605/6604/2959/11198/10589/2960/2965/2967/2071/4609/1022/5757/126961/7067/902/4331/2966/142/196528/55193/2968/1385/7316","ERCC2/SUPT6H/ANP32E/ESR1/TP53/HIST1H3C/HIST1H3H/HIST1H3J/HIST1H3G/HIST1H3I/HIST1H3E/HIST1H3D/HIST1H3B/HIST1H3F/HIST1H3A/ASF1A/NASP/CHAF1B/HAT1/ASF1B/HIST4H4/CHAF1A/IPO4/RBBP4/HIST1H4F/HIST1H4L/HIST2H4A/HIST1H4B/HIST1H4E/HIST1H4C/HIST1H4H/HIST1H4J/HIST1H4D/HIST1H4K/HIST2H4B/HIST1H4I/HIST1H4A/HIST1H1E/HJURP/CENPA/DAXX/RBBP7/HIST3H3/SMARCA5/H3F3A/SMARCA4/HIRA/RB1/SMARCB1/SMARCC1/SMARCC2/TAF1/TBP/SMARCD1/ARID1A/TAF9/TAF6/TAF12/SMARCD2/SMARCE1/SMARCD3/GTF2B/SUPT16H/DRAP1/GTF2E1/GTF2H1/GTF2H3/ERCC3/MYC/CDK7/PTMA/HIST2H3C/THRA/CCNH/MNAT1/GTF2H2/PARP1/ARID2/PBRM1/GTF2H4/CREB1/UBC"
"3","GO:0006352","DNA-templated transcription, initiation","81/315","248/18493",5.77310216647018e-83,2.28095266597237e-79,1.31019034430628e-79,81,"bp","ChemoRes","2068/5595/2099/1387/5465/6256/2908/7157/121504/8361/8368/8370/8366/8367/8364/8365/8363/8360/8362/554313/8294/8359/8467/6597/6598/6872/6908/6880/6878/6883/367/7421/2959/8850/3164/1024/5430/5430/2962/10589/2960/2965/892/2967/2071/23054/3725/5468/5469/1022/3516/1025/10891/3172/6722/2969/595/7067/902/5914/4331/2961/2966/1026/5431/2968/5435/2963/5440/5438/5439/5433/5436/5432/5434/5437/5441/1385/84246/9862/2100/5241","ERCC2/MAPK3/ESR1/CREBBP/PPARA/RXRA/NR3C1/TP53/HIST4H4/HIST1H4F/HIST1H4L/HIST2H4A/HIST1H4B/HIST1H4E/HIST1H4C/HIST1H4H/HIST1H4J/HIST1H4D/HIST1H4K/HIST2H4B/HIST1H4I/HIST1H4A/SMARCA5/SMARCA4/SMARCB1/TAF1/TBP/TAF9/TAF6/TAF12/AR/VDR/GTF2B/KAT2B/NR4A1/CDK8/POLR2A//GTF2F1/DRAP1/GTF2E1/GTF2H1/CCNC/GTF2H3/ERCC3/NCOA6/JUN/PPARG/MED1/CDK7/RBPJ/CDK9/PPARGC1A/HNF4A/SRF/GTF2I/CCND1/THRA/CCNH/RARA/MNAT1/GTF2E2/GTF2H2/CDKN1A/POLR2B/GTF2H4/POLR2F/GTF2F2/POLR2K/POLR2I/POLR2J/POLR2D/POLR2G/POLR2C/POLR2E/POLR2H/POLR2L/CREB1/MED10/MED24/ESR2/PGR"
"4","GO:0016569","covalent chromatin modification","81/315","470/18493",1.76205814393798e-58,8.70236465837369e-56,4.99868073464511e-56,81,"bp","ChemoRes","7403/3553/6830/6688/5599/5595/9252/1387/1386/4602/891/80854/8520/5928/51230/55352/9682/29117/3008/387893/9759/10419/10014/6839/3065/672/10013/2033/5931/6790/11091/8841/6598/3066/6872/8819/25942/51742/4297/10284/5929/9219/6880/53615/6883/23028/1107/86/8932/1108/5977/9031/23186/8202/2959/8850/1487/8648/10498/1025/9112/57504/85509/10891/4654/23309/51317/1017/4204/25855/10362/604/9734/3054/64426/9739/9070/8473/11177/408/983","KDM6A/IL1B/SUPT6H/SPI1/MAPK8/MAPK3/RPS6KA5/CREBBP/ATF2/MYB/CCNB1/SETD7/HAT1/RBBP4/PHF20/COPRS/KDM4A/BRD7/HIST1H1E/KMT5A/HDAC4/PRMT5/HDAC5/SUV39H1/HDAC1/BRCA1/HDAC6/EP300/RBBP7/AURKA/WDR5/HDAC3/SMARCB1/HDAC2/TAF1/SAP30/SIN3A/ARID4B/KMT2A/SAP18/RBBP5/MTA2/TAF9/MBD3/TAF12/KDM1A/CHD3/ACTL6A/MBD2/CHD4/DPF2/BAZ1B/RCOR1/NCOA3/GTF2B/KAT2B/CTBP1/NCOA1/CARM1/CDK9/MTA1/MTA3/MBD3L1/PPARGC1A/MYOD1/SIN3B/PHF21A/CDK2/MECP2/BRMS1/HMG20B/BCL6/HDAC9/HCFC1/SUDS3/SETD1A/ASH2L/OGT/BAZ1A/ARRB1/CDK1"
"5","GO:0016570","histone modification","79/315","456/18493",3.75441674651829e-57,1.05955004039241e-54,6.08610714698755e-55,79,"bp","ChemoRes","7403/3553/6830/6688/5599/5595/9252/1387/1386/4602/891/80854/8520/5928/51230/55352/9682/29117/3008/387893/9759/10419/10014/6839/3065/672/10013/2033/5931/6790/11091/8841/6598/3066/6872/8819/25942/51742/4297/10284/5929/9219/6880/53615/6883/23028/1107/86/1108/5977/9031/23186/8202/2959/8850/1487/8648/10498/1025/9112/57504/10891/4654/23309/51317/1017/4204/25855/10362/604/9734/3054/64426/9739/9070/8473/11177/408/983","KDM6A/IL1B/SUPT6H/SPI1/MAPK8/MAPK3/RPS6KA5/CREBBP/ATF2/MYB/CCNB1/SETD7/HAT1/RBBP4/PHF20/COPRS/KDM4A/BRD7/HIST1H1E/KMT5A/HDAC4/PRMT5/HDAC5/SUV39H1/HDAC1/BRCA1/HDAC6/EP300/RBBP7/AURKA/WDR5/HDAC3/SMARCB1/HDAC2/TAF1/SAP30/SIN3A/ARID4B/KMT2A/SAP18/RBBP5/MTA2/TAF9/MBD3/TAF12/KDM1A/CHD3/ACTL6A/CHD4/DPF2/BAZ1B/RCOR1/NCOA3/GTF2B/KAT2B/CTBP1/NCOA1/CARM1/CDK9/MTA1/MTA3/PPARGC1A/MYOD1/SIN3B/PHF21A/CDK2/MECP2/BRMS1/HMG20B/BCL6/HDAC9/HCFC1/SUDS3/SETD1A/ASH2L/OGT/BAZ1A/ARRB1/CDK1"
"6","GO:0030099","myeloid cell differentiation","74/315","405/18493",3.85248961651253e-55,9.51324154677564e-53,5.46445237710594e-53,74,"bp","ChemoRes","1053/2056/4792/2353/2068/1969/6688/8600/171392/1432/1051/1387/7538/2113/4208/8352/8357/8356/8355/8354/8353/8351/8358/8968/8350/121504/8361/8368/26013/8370/8366/8367/8364/8365/8363/8360/8362/554313/8294/8359/3065/2033/3020/5925/5371/11091/25942/2623/4297/5929/8850/4609/23054/3725/861/5468/5469/3516/3091/6774/6722/7704/604/126961/7067/5914/9739/9070/142/5971/1050/1385/6886/6714","CEBPE/EPO/NFKBIA/FOS/ERCC2/EPHA2/SPI1/TNFSF11/ZNF675/MAPK14/CEBPB/CREBBP//ETS1/MEF2C/HIST1H3C/HIST1H3H/HIST1H3J/HIST1H3G/HIST1H3I/HIST1H3E/HIST1H3D/HIST1H3B/HIST1H3F/HIST1H3A/HIST4H4/HIST1H4F/HIST1H4L/L3MBTL1/HIST2H4A/HIST1H4B/HIST1H4E/HIST1H4C/HIST1H4H/HIST1H4J/HIST1H4D/HIST1H4K/HIST2H4B/HIST1H4I/HIST1H4A/HDAC1/EP300/H3F3A/RB1/PML/WDR5/SIN3A/GATA1/KMT2A/RBBP5/KAT2B/MYC/NCOA6/JUN/RUNX1/PPARG/MED1/RBPJ/HIF1A/STAT3/SRF/ZBTB16/BCL6/HIST2H3C/THRA/RARA/SETD1A/ASH2L/PARP1/RELB/CEBPA/CREB1/TAL1/SRC"
"7","GO:0065004","protein-DNA complex assembly","67/315","254/18493",3.7261836892643e-61,2.94443035125665e-58,1.69129516506396e-58,67,"bp","ChemoRes","2068/2099/7157/8352/8357/8356/8355/8354/8353/8351/8358/8968/8350/25842/4678/8208/8520/55723/121504/10036/79711/5928/8361/8368/8370/8366/8367/8364/8365/8363/8360/8362/554313/8294/8359/3008/55355/1058/1616/5931/8290/8467/3020/6597/7290/5925/6598/6872/6908/6880/6878/6883/2959/10589/2965/2967/2071/1022/126961/7067/902/4331/2966/142/2968/1385/7316","ERCC2/ESR1/TP53/HIST1H3C/HIST1H3H/HIST1H3J/HIST1H3G/HIST1H3I/HIST1H3E/HIST1H3D/HIST1H3B/HIST1H3F/HIST1H3A/ASF1A/NASP/CHAF1B/HAT1/ASF1B/HIST4H4/CHAF1A/IPO4/RBBP4/HIST1H4F/HIST1H4L/HIST2H4A/HIST1H4B/HIST1H4E/HIST1H4C/HIST1H4H/HIST1H4J/HIST1H4D/HIST1H4K/HIST2H4B/HIST1H4I/HIST1H4A/HIST1H1E/HJURP/CENPA/DAXX/RBBP7/HIST3H3/SMARCA5/H3F3A/SMARCA4/HIRA/RB1/SMARCB1/TAF1/TBP/TAF9/TAF6/TAF12/GTF2B/DRAP1/GTF2H1/GTF2H3/ERCC3/CDK7/HIST2H3C/THRA/CCNH/MNAT1/GTF2H2/PARP1/GTF2H4/CREB1/UBC"
"8","GO:0005667","transcription factor complex","63/317","356/19659",3.21680232516993e-47,5.29163982490453e-45,3.77551009743628e-45,63,"cc","ChemoRes","2353/2068/4087/1051/4776/2113/6929/5465/6256/7157/3065/2033/5925/6872/6908/25942/2623/9219/6880/6878/6883/23028/23186/7421/2959/1487/3164/2962/2960/2965/2967/2071/23054/4088/3725/5970/861/10498/5468/1022/3516/1869/3091/4654/6774/1017/7528/9734/7067/902/5914/5451/4331/2961/2966/142/3326/1050/2968/2963/1385/4841/6886","FOS/ERCC2/SMAD2/CEBPB/NFATC4/ETS1/TCF3/PPARA/RXRA/TP53/HDAC1/EP300/RB1/TAF1/TBP/SIN3A/GATA1/MTA2/TAF9/TAF6/TAF12/KDM1A/RCOR1/VDR/GTF2B/CTBP1/NR4A1/GTF2F1/GTF2E1/GTF2H1/GTF2H3/ERCC3/NCOA6/SMAD3/JUN/RELA/RUNX1/CARM1/PPARG/CDK7/RBPJ/E2F1/HIF1A/MYOD1/STAT3/CDK2/YY1/HDAC9/THRA/CCNH/RARA/POU2F1/MNAT1/GTF2E2/GTF2H2/PARP1/HSP90AB1/CEBPA/GTF2H4/GTF2F2/CREB1/NONO/TAL1"
"9","GO:1903706","regulation of hemopoiesis","63/315","418/18493",2.07720391559319e-41,3.4195969460453e-39,1.96423317632409e-39,63,"bp","ChemoRes","2064/4792/2353/6688/8600/171392/1432/1051/1387/4602/7538/2113/4208/6929/8352/8357/8356/8355/8354/8353/8351/8358/8968/8350/121504/8361/8368/26013/8370/8366/8367/8364/8365/8363/8360/8362/554313/8294/8359/3065/2033/3020/5925/11091/25942/2623/4297/5929/8850/4609/3725/861/5469/3091/6774/7704/604/126961/5914/9739/9070/1385/6886","ERBB2/NFKBIA/FOS/SPI1/TNFSF11/ZNF675/MAPK14/CEBPB/CREBBP/MYB//ETS1/MEF2C/TCF3/HIST1H3C/HIST1H3H/HIST1H3J/HIST1H3G/HIST1H3I/HIST1H3E/HIST1H3D/HIST1H3B/HIST1H3F/HIST1H3A/HIST4H4/HIST1H4F/HIST1H4L/L3MBTL1/HIST2H4A/HIST1H4B/HIST1H4E/HIST1H4C/HIST1H4H/HIST1H4J/HIST1H4D/HIST1H4K/HIST2H4B/HIST1H4I/HIST1H4A/HDAC1/EP300/H3F3A/RB1/WDR5/SIN3A/GATA1/KMT2A/RBBP5/KAT2B/MYC/JUN/RUNX1/MED1/HIF1A/STAT3/ZBTB16/BCL6/HIST2H3C/RARA/SETD1A/ASH2L/CREB1/TAL1"
"10","GO:0006367","transcription initiation from RNA polymerase II promoter","61/315","186/18493",4.08699312135427e-62,4.03692745561768e-59,2.31883083411574e-59,61,"bp","ChemoRes","2068/2099/1387/5465/6256/2908/7157/6872/6908/6880/6878/6883/367/7421/2959/8850/3164/1024/5430/5430/2962/10589/2960/2965/892/2967/2071/5468/5469/1022/3516/1025/10891/3172/6722/2969/595/7067/902/5914/4331/2961/2966/1026/5431/2968/5435/2963/5440/5438/5439/5433/5436/5432/5434/5437/5441/1385/84246/9862/2100/5241","ERCC2/ESR1/CREBBP/PPARA/RXRA/NR3C1/TP53/TAF1/TBP/TAF9/TAF6/TAF12/AR/VDR/GTF2B/KAT2B/NR4A1/CDK8/POLR2A//GTF2F1/DRAP1/GTF2E1/GTF2H1/CCNC/GTF2H3/ERCC3/PPARG/MED1/CDK7/RBPJ/CDK9/PPARGC1A/HNF4A/SRF/GTF2I/CCND1/THRA/CCNH/RARA/MNAT1/GTF2E2/GTF2H2/CDKN1A/POLR2B/GTF2H4/POLR2F/GTF2F2/POLR2K/POLR2I/POLR2J/POLR2D/POLR2G/POLR2C/POLR2E/POLR2H/POLR2L/CREB1/MED10/MED24/ESR2/PGR"
