"Gene"	"Variance"	"IQR"	"median"	"cor_TRIM39"	"cor_TMUB2"	"cor_EIF2B4"	"cor_DNAJC14"	"cor_C10orf76"	"cor_HDAC3"	"cor_ACAD9"	"cor_TLK2"	"cor_ERCC3"	"cor_CNOT10"	"cor_FCF1"	"cor_RBM45"	"cor_ZNF384"	"cor_SF3A3"	"cor_AGK"	"cor_SAP130"	"cor_PIAS1"	"cor_SLC4A1AP"	"cor_ZC3H14"	"cor_USP39"	"cor_ZKSCAN5"	"cor_MTMR14"	"cor_DDX50"	"cor_FTSJ2"	"cor_AMMECR1L"	"cor_ZNF346"	"cor_PRPF38A"	"cor_DHX16"	"cor_NOL7"	"cor_PIK3R4"	"cor_VPS33B"	"cor_MRPS5"	"cor_NUBP1"	"cor_CNOT4"	"cor_COG7"	"cor_CC2D1B"	"cor_GPATCH3"	"cor_ZNF143"	"cor_EDC3"	"cor_TTC31"
"TRIM39"	0.71	0.86	8.4	1	0.69	0.8	0.72	0.82	0.82	0.79	0.76	0.82	0.84	0.88	0.8	0.86	0.83	0.85	0.89	0.85	0.85	0.78	0.84	0.76	0.85	0.89	0.72	0.88	0.74	0.88	0.93	0.9	0.82	0.74	0.87	0.82	0.85	0.79	0.78	0.83	0.86	0.84	0.84
"TMUB2"	0.61	1.26	8.62	0.69	1	0.84	0.63	0.59	0.85	0.61	0.78	0.67	0.66	0.65	0.65	0.66	0.58	0.64	0.66	0.69	0.62	0.53	0.61	0.66	0.62	0.72	0.87	0.67	0.58	0.69	0.66	0.65	0.61	0.83	0.61	0.63	0.66	0.67	0.56	0.63	0.66	0.57	0.58
"EIF2B4"	0.67	1.03	9.76	0.8	0.84	1	0.73	0.71	0.92	0.74	0.83	0.74	0.76	0.73	0.74	0.82	0.72	0.75	0.83	0.77	0.78	0.62	0.77	0.7	0.72	0.84	0.87	0.81	0.65	0.84	0.79	0.79	0.72	0.84	0.79	0.74	0.78	0.76	0.6	0.74	0.8	0.69	0.71
"DNAJC14"	0.53	0.84	7.97	0.72	0.63	0.73	1	0.8	0.75	0.78	0.61	0.8	0.73	0.75	0.84	0.79	0.73	0.72	0.81	0.76	0.76	0.77	0.74	0.8	0.75	0.72	0.55	0.82	0.69	0.75	0.79	0.73	0.84	0.67	0.72	0.8	0.84	0.8	0.65	0.79	0.84	0.72	0.78
"C10orf76"	0.59	0.93	9.02	0.82	0.59	0.71	0.8	1	0.78	0.8	0.58	0.85	0.81	0.85	0.89	0.81	0.8	0.8	0.88	0.85	0.84	0.78	0.78	0.77	0.88	0.85	0.58	0.85	0.72	0.83	0.84	0.81	0.85	0.62	0.82	0.85	0.88	0.78	0.76	0.82	0.89	0.79	0.83
"HDAC3"	0.63	1	9.27	0.82	0.85	0.92	0.75	0.78	1	0.73	0.8	0.75	0.76	0.74	0.78	0.82	0.7	0.77	0.82	0.83	0.76	0.64	0.77	0.73	0.77	0.83	0.84	0.81	0.66	0.84	0.78	0.81	0.75	0.84	0.79	0.77	0.8	0.73	0.63	0.75	0.82	0.69	0.7
"ACAD9"	0.64	1.06	9.51	0.79	0.61	0.74	0.78	0.8	0.73	1	0.63	0.8	0.87	0.83	0.85	0.87	0.81	0.86	0.85	0.77	0.83	0.75	0.83	0.75	0.82	0.83	0.6	0.83	0.67	0.88	0.83	0.86	0.92	0.61	0.82	0.83	0.86	0.79	0.69	0.81	0.85	0.81	0.75
"TLK2"	0.66	1.3	9.68	0.76	0.78	0.83	0.61	0.58	0.8	0.63	1	0.7	0.68	0.66	0.62	0.7	0.63	0.64	0.73	0.68	0.66	0.56	0.66	0.62	0.64	0.71	0.79	0.75	0.64	0.71	0.72	0.72	0.62	0.82	0.7	0.62	0.66	0.65	0.53	0.65	0.66	0.66	0.63
"ERCC3"	0.52	0.81	8.94	0.82	0.67	0.74	0.8	0.85	0.75	0.8	0.7	1	0.77	0.87	0.85	0.8	0.84	0.75	0.86	0.81	0.84	0.77	0.74	0.79	0.8	0.81	0.65	0.89	0.79	0.82	0.86	0.76	0.83	0.75	0.81	0.78	0.86	0.78	0.77	0.81	0.83	0.85	0.85
"CNOT10"	0.77	1.17	9.37	0.84	0.66	0.76	0.73	0.81	0.76	0.87	0.68	0.77	1	0.85	0.86	0.9	0.76	0.88	0.89	0.8	0.82	0.77	0.89	0.73	0.9	0.9	0.67	0.86	0.7	0.89	0.84	0.92	0.85	0.66	0.85	0.89	0.84	0.79	0.7	0.8	0.88	0.82	0.78
