SampleIdentifier	SampleName	TechnicalFlags	ControlFlags	CountFlags	SampleType
01V-1_0_0_BL.RCC	1VPre	FALSE	FALSE	FALSE	NA
02V-3_0_0_HE.RCC	2VPre	FALSE	FALSE	FALSE	NA
03MF-26_0_0_HE.RCC	03mfPRE	FALSE	FALSE	TRUE	NA
03V-145_0_0_BL.RCC	3VPRE	FALSE	FALSE	FALSE	NA
04PNVV-121_0_0_LB.RCC	4PNVVPRE	FALSE	FALSE	FALSE	NA
04V-73_0_1_BL.RCC	4VPRE	FALSE	FALSE	FALSE	NA
05PNVV-147_0_0_LB.RCC	18MFPre	FALSE	FALSE	FALSE	NA
05V-5_0_0_BL.RCC	5VPre	FALSE	FALSE	FALSE	NA
07MF-39_0_0_LB.RCC	07MPRE	FALSE	FALSE	FALSE	NA
07PNVV-28_0_0_LB.RCC	7pnvvPRE	FALSE	FALSE	FALSE	NA
07V-7_0_0_BL.RCC	7VPre	FALSE	FALSE	FALSE	NA
08MF-98_0_0_HE.RCC	8MFPRE	FALSE	FALSE	FALSE	NA
08PNM-202_0_0_BL.RCC	32MFMX	FALSE	FALSE	FALSE	NA
09MF-140_0_0_LB.RCC	15MFPRE	FALSE	FALSE	TRUE	NA
09PNVV-30_0_0_LB.RCC	9pnvvPRE	FALSE	FALSE	FALSE	NA
09V-9_0_0_BL.RCC	9VPre	FALSE	FALSE	FALSE	NA
102PNJ-172_0_1_LB.RCC	102PNJ	FALSE	FALSE	TRUE	NA
103PNJ-173_0_1_LB.RCC	102PNJ	FALSE	FALSE	FALSE	NA
10MF-141_0_0.RCC	15MFPRE	FALSE	FALSE	TRUE	NA
10PNJ-185_0_1_LB.RCC	33Vpre	FALSE	FALSE	FALSE	NA
10PNVV-32_0_0_LB.RCC	10pnvvPRE	FALSE	FALSE	FALSE	NA
110PNJ-174_0_1_BL.RCC	102PNJ	FALSE	FALSE	FALSE	NA
11MF-46_0_0_HE.RCC	11MFPRE	FALSE	FALSE	TRUE	NA
11PNVV-86_0_0_BL.RCC	11PNVVPRE	FALSE	TRUE	TRUE	NA
11V-74_0_1_BL.RCC	11VPRE	FALSE	FALSE	FALSE	NA
127PNJ-175_0_1_LB.RCC	102PNJ	FALSE	FALSE	FALSE	NA
12MF-48_0_0_LA.RCC	12MFPRE	FALSE	FALSE	FALSE	NA
12PNVV-75_0_1_LB.RCC	12PNVVPRE	FALSE	FALSE	FALSE	NA
12V-62_0_0_BL.RCC	12VPRE	FALSE	FALSE	FALSE	NA
137PNJ-186_0_1_LB.RCC	33Vpre	FALSE	FALSE	FALSE	NA
13PNVV-64_0_0_LB.RCC	13PNVVPRE	FALSE	FALSE	FALSE	NA
14MF-152_0_0_BL.RCC	14MFPRE	FALSE	FALSE	FALSE	NA
14PNVV-50_0_0_LB.RCC	14PNVVPRE	FALSE	FALSE	TRUE	NA
15MF-153_0_0_BL.RCC	15MFPRE	FALSE	FALSE	FALSE	NA
