"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0019787","ubiquitin-like protein transferase activity","140/193","421/17632",3.06181115696609e-191,5.6337325288176e-189,4.51214275763424e-189,140,"mf","ChemoRes","8554/23624/23327/11059/4734/7332/868/57154/8916/143279/25897/10425/26091/255488/9870/57531/127544/7326/10616/7337/10273/79654/57520/84937/64320/9867/57630/51444/154214/55585/54926/64718/55284/221687/84231/140691/89910/55819/91694/9666/92912/158506/8925/25831/81559/9604/55905/57674/80196/4591/55521/114088/63893/63891/10293/23304/6049/148581/29116/55658/23608/65264/151636/27246/23376/55182/131405/51132/7325/90678/90025/118424/84708/9690/64219/10193/23295/84676/22954/10477/223082/22888/51619/51465/197131/997/7328/6478/10075/142678/6477/3093/5930/9354/55008/7327/7318/25898/9320/27338/6047/5071/140739/54778/57542/26046/146330/51676/283807/9903/201456/92369/23014/55336/54850/150726/51725/144699/142689/84961/222235/80176/285231/51666/26235/27252/51191/80028/26267/26263/79791/26118/126433/84085/26259/115290/51665/4008/7335/26268","PIAS1/CBLC/NEDD4L/WWP1/NEDD4/UBE2L3/CBLB/SMURF1/HERC3/HECTD2/RNF19A/ARIH2/HERC4/RNF144B/AREL1/HACE1/RNF19B/UBE2G1/RBCK1/UBE3A/STUB1/HECTD3/HECW2/ZNRF1/RNF25/PJA2/SH3RF1/RNF138/RNF217/UBE2Q1/UBE2R2/UNKL/UBE2W/RNF182/TRAF7/TRIM69/UBE3B/RNF130/LONRF1/DZIP3/UBE2Q2/CBLL2/HERC1/HECTD1/TRIM11/RNF14/RNF114//RNF34/TRIM37/TRIM36/TRIM9/UBE2O/RNF123/TRAIP/UBR2/RNF6/UBE2U/MYLIP//MKRN1/UBE2Z/DTX3L/RNF115/UFL1/RNF220/TRIM71/RLIM/UBE2E2/LRSAM1/UBE3D/UBE2J2/LNX1/UBE3C/PJA1/RNF41/MGRN1/TRIM63/TRIM32/UBE2E3/ZNRF2/UBOX5/UBE2D4/UBE2J1/UBR1/CDC34/UBE2H/SIAH2/HUWE1/MIB2/SIAH1/UBE2K/RBBP6/UBE4A/HERC6/UBE2G2/UBA7/RCHY1/TRIP12/UBE2S/RNF4/PRKN/UBE2F/RNF111/KLHL42/LTN1/FBXL16/ASB2/FBXL22/KLHL21/FBXO15/SPSB4/FBXO21/FBXL8/FBXL12/FBXO41/FBXO40/FBXL14/ASB12/FBXL20/FBXL13/SPSB1/FBXW12/ASB4/FBXL4/KLHL20/HERC5/FBXL18/FBXO10/FBXO22/FBXO31/WSB1/FBXO27/FBXO30/FBXW8/FBXO17/ASB1/LMO7/UBE2V1/FBXO9"
"2","GO:0004842","ubiquitin-protein transferase activity","137/193","396/17632",4.42972759239997e-189,4.07534938500797e-187,3.26400980492629e-187,137,"mf","ChemoRes","23624/23327/11059/4734/7332/868/57154/8916/143279/25897/10425/26091/255488/9870/57531/127544/7326/10616/7337/10273/79654/57520/84937/64320/9867/57630/51444/154214/55585/54926/64718/55284/221687/84231/140691/89910/55819/91694/9666/92912/158506/8925/25831/81559/9604/55905/57674/80196/4591/55521/114088/63893/63891/10293/23304/6049/148581/29116/55658/23608/65264/151636/27246/55182/131405/51132/7325/90678/90025/118424/84708/9690/64219/10193/23295/84676/22954/10477/223082/22888/51619/51465/197131/997/7328/6478/10075/142678/6477/3093/5930/9354/55008/7327/7318/25898/9320/27338/6047/5071/54778/57542/26046/146330/51676/283807/9903/201456/92369/23014/55336/54850/150726/51725/144699/142689/84961/222235/80176/285231/51666/26235/27252/51191/80028/26267/26263/79791/26118/126433/84085/26259/115290/51665/4008/7335/26268","CBLC/NEDD4L/WWP1/NEDD4/UBE2L3/CBLB/SMURF1/HERC3/HECTD2/RNF19A/ARIH2/HERC4/RNF144B/AREL1/HACE1/RNF19B/UBE2G1/RBCK1/UBE3A/STUB1/HECTD3/HECW2/ZNRF1/RNF25/PJA2/SH3RF1/RNF138/RNF217/UBE2Q1/UBE2R2/UNKL/UBE2W/RNF182/TRAF7/TRIM69/UBE3B/RNF130/LONRF1/DZIP3/UBE2Q2/CBLL2/HERC1/HECTD1/TRIM11/RNF14/RNF114//RNF34/TRIM37/TRIM36/TRIM9/UBE2O/RNF123/TRAIP/UBR2/RNF6/UBE2U/MYLIP//MKRN1/UBE2Z/DTX3L/RNF115/RNF220/TRIM71/RLIM/UBE2E2/LRSAM1/UBE3D/UBE2J2/LNX1/UBE3C/PJA1/RNF41/MGRN1/TRIM63/TRIM32/UBE2E3/ZNRF2/UBOX5/UBE2D4/UBE2J1/UBR1/CDC34/UBE2H/SIAH2/HUWE1/MIB2/SIAH1/UBE2K/RBBP6/UBE4A/HERC6/UBE2G2/UBA7/RCHY1/TRIP12/UBE2S/RNF4/PRKN/RNF111/KLHL42/LTN1/FBXL16/ASB2/FBXL22/KLHL21/FBXO15/SPSB4/FBXO21/FBXL8/FBXL12/FBXO41/FBXO40/FBXL14/ASB12/FBXL20/FBXL13/SPSB1/FBXW12/ASB4/FBXL4/KLHL20/HERC5/FBXL18/FBXO10/FBXO22/FBXO31/WSB1/FBXO27/FBXO30/FBXW8/FBXO17/ASB1/LMO7/UBE2V1/FBXO9"
"3","GO:0000209","protein polyubiquitination","107/204","257/18493",7.21210147833873e-151,1.22822088176109e-147,1.07194603025414e-147,107,"bp","ChemoRes","6233/7311/7314/7316/23327/11059/4734/26249/7332/57154/143279/25897/10425/255488/9870/57531/127544/7326/10616/7337/10273/57520/84937/154214/54926/64718/55284/140691/89910/91694/9666/92912/25831/9604/55905/57674/80196/55521/63893/23304/6049/148581/29116/55658/23608/151636/27246/131405/51132/7325/90678/90025/118424/9690/10193/23295/22954/10477/223082/22888/51619/997/7328/6478/10075/142678/6477/3093/5930/9354/55008/7327/25847/9320/27338/6047/5071/54778/57542/146330/283807/201456/23014/55336/54850/150726/51725/144699/84961/222235/80176/285231/26235/27252/51191/80028/26267/26263/79791/26118/126433/84085/26259/115290/4008/7335/26268","RPS27A/UBA52/UBB/UBC/NEDD4L/WWP1/NEDD4/KLHL3/UBE2L3/SMURF1/HECTD2/RNF19A/ARIH2/RNF144B/AREL1/HACE1/RNF19B/UBE2G1/RBCK1/UBE3A/STUB1/HECW2/ZNRF1/RNF217/UBE2R2/UNKL/UBE2W/TRIM69/UBE3B/LONRF1/DZIP3/UBE2Q2/HECTD1/RNF14/RNF114//RNF34/TRIM36/UBE2O/UBR2/RNF6/UBE2U/MYLIP//MKRN1/DTX3L/RNF115/TRIM71/RLIM/UBE2E2/LRSAM1/UBE3D/UBE2J2/UBE3C/RNF41/MGRN1/TRIM32/UBE2E3/ZNRF2/UBOX5/UBE2D4/CDC34/UBE2H/SIAH2/HUWE1/MIB2/SIAH1/UBE2K/RBBP6/UBE4A/HERC6/UBE2G2/ANAPC13/TRIP12/UBE2S/RNF4/PRKN/RNF111/KLHL42/FBXL16/FBXL22/FBXO15/FBXO21/FBXL8/FBXL12/FBXO41/FBXO40/FBXL14/FBXL20/FBXL13/SPSB1/FBXW12/FBXL4/KLHL20/HERC5/FBXL18/FBXO10/FBXO22/FBXO31/WSB1/FBXO27/FBXO30/FBXW8/FBXO17/LMO7/UBE2V1/FBXO9"
"4","GO:0061659","ubiquitin-like protein ligase activity","70/193","213/17632",2.99916824518446e-87,1.83948985704647e-85,1.47327562921342e-85,70,"mf","ChemoRes","8554/23624/23327/11059/4734/868/57154/25897/10425/255488/9870/57531/127544/7337/10273/57520/84937/64320/9867/57630/51444/154214/55819/9666/158506/81559/9604/80196/4591/63893/10293/23304/6049/29116/55658/23608/27246/55182/131405/51132/90678/90025/64219/10193/23295/22954/223082/22888/197131/6478/10075/142678/6477/3093/5930/9354/6047/5071/54778/26046/51676/283807/55336/54850/51725/142689/51666/80028/84085/51665","PIAS1/CBLC/NEDD4L/WWP1/NEDD4/CBLB/SMURF1/RNF19A/ARIH2/RNF144B/AREL1/HACE1/RNF19B/UBE3A/STUB1/HECW2/ZNRF1/RNF25/PJA2/SH3RF1/RNF138/RNF217/RNF130/DZIP3/CBLL2/TRIM11/RNF14/RNF34/TRIM37/UBE2O/TRAIP/UBR2/RNF6/MYLIP//MKRN1/RNF115/RNF220/TRIM71/RLIM/LRSAM1/UBE3D/PJA1/RNF41/MGRN1/TRIM32/ZNRF2/UBOX5/UBR1/SIAH2/HUWE1/MIB2/SIAH1/UBE2K/RBBP6/UBE4A/RNF4/PRKN/RNF111/LTN1/ASB2/FBXL22/FBXL8/FBXL12/FBXO40/ASB12/ASB4/FBXL18/FBXO30/ASB1"
"5","GO:0061630","ubiquitin protein ligase activity","69/193","208/17632",2.90871869835522e-86,1.3380106012434e-84,1.07163320465719e-84,69,"mf","ChemoRes","23624/23327/11059/4734/868/57154/25897/10425/255488/9870/57531/127544/7337/10273/57520/84937/64320/9867/57630/51444/154214/55819/9666/158506/81559/9604/80196/4591/63893/10293/23304/6049/29116/55658/23608/27246/55182/131405/51132/90678/90025/64219/10193/23295/22954/223082/22888/197131/6478/10075/142678/6477/3093/5930/9354/6047/5071/54778/26046/51676/283807/55336/54850/51725/142689/51666/80028/84085/51665","CBLC/NEDD4L/WWP1/NEDD4/CBLB/SMURF1/RNF19A/ARIH2/RNF144B/AREL1/HACE1/RNF19B/UBE3A/STUB1/HECW2/ZNRF1/RNF25/PJA2/SH3RF1/RNF138/RNF217/RNF130/DZIP3/CBLL2/TRIM11/RNF14/RNF34/TRIM37/UBE2O/TRAIP/UBR2/RNF6/MYLIP//MKRN1/RNF115/RNF220/TRIM71/RLIM/LRSAM1/UBE3D/PJA1/RNF41/MGRN1/TRIM32/ZNRF2/UBOX5/UBR1/SIAH2/HUWE1/MIB2/SIAH1/UBE2K/RBBP6/UBE4A/RNF4/PRKN/RNF111/LTN1/ASB2/FBXL22/FBXL8/FBXL12/FBXO40/ASB12/ASB4/FBXL18/FBXO30/ASB1"
"6","GO:0010498","proteasomal protein catabolic process","68/204","452/18493",1.18761485953604e-58,5.05627026447467e-56,4.41292679385495e-56,68,"bp","ChemoRes","8554/6233/7311/7314/7316/23327/11059/4734/57154/25897/10425/255488/9870/127544/7326/10616/7337/10273/79654/57520/84937/154214/54926/55284/9604/80196/114088/23304/148581/55658/23376/131405/118424/10193/51465/197131/997/7328/6478/6477/3093/9354/7327/11146/25898/27338/6047/5071/55070/57542/26046/146330/283807/92369/55336/54850/144699/84961/222235/80176/26235/27252/80028/26263/79791/26259/84861/26268","PIAS1/RPS27A/UBA52/UBB/UBC/NEDD4L/WWP1/NEDD4/SMURF1/RNF19A/ARIH2/RNF144B/AREL1/RNF19B/UBE2G1/RBCK1/UBE3A/STUB1/HECTD3/HECW2/ZNRF1/RNF217/UBE2R2/UBE2W/RNF14/RNF34/TRIM9/UBR2/UBE2U//UFL1/TRIM71/UBE2J2/RNF41/UBE2J1/UBR1/CDC34/UBE2H/SIAH2/SIAH1/UBE2K/UBE4A/UBE2G2/GLMN/RCHY1/UBE2S/RNF4/PRKN/DET1/KLHL42/LTN1/FBXL16/FBXL22/SPSB4/FBXL8/FBXL12/FBXL14/FBXL20/FBXL13/SPSB1/FBXL4/KLHL20/FBXL18/FBXO22/FBXO31/FBXW8/KLHL22/FBXO9"
"7","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","67/204","389/18493",7.76613948332317e-62,6.61286777004968e-59,5.77146786865911e-59,67,"bp","ChemoRes","8554/6233/7311/7314/7316/23327/11059/4734/57154/25897/10425/255488/9870/127544/7326/10616/7337/10273/79654/57520/84937/154214/54926/55284/9604/80196/114088/23304/148581/55658/23376/131405/118424/51465/197131/997/7328/6478/6477/3093/9354/7327/11146/25898/27338/6047/5071/55070/57542/26046/146330/283807/92369/55336/54850/144699/84961/222235/80176/26235/27252/80028/26263/79791/26259/84861/26268","PIAS1/RPS27A/UBA52/UBB/UBC/NEDD4L/WWP1/NEDD4/SMURF1/RNF19A/ARIH2/RNF144B/AREL1/RNF19B/UBE2G1/RBCK1/UBE3A/STUB1/HECTD3/HECW2/ZNRF1/RNF217/UBE2R2/UBE2W/RNF14/RNF34/TRIM9/UBR2/UBE2U//UFL1/TRIM71/UBE2J2/UBE2J1/UBR1/CDC34/UBE2H/SIAH2/SIAH1/UBE2K/UBE4A/UBE2G2/GLMN/RCHY1/UBE2S/RNF4/PRKN/DET1/KLHL42/LTN1/FBXL16/FBXL22/SPSB4/FBXL8/FBXL12/FBXL14/FBXL20/FBXL13/SPSB1/FBXL4/KLHL20/FBXL18/FBXO22/FBXO31/FBXW8/KLHL22/FBXO9"
"8","GO:0043687","post-translational protein modification","64/204","361/18493",9.37532963465736e-60,5.32206212260716e-57,4.64490015583726e-57,64,"bp","ChemoRes","26249/11275/9820/140739/55175/89890/57542/146330/51676/51088/92591/64410/10489/283807/9903/201456/92369/23014/79754/401036/140458/55336/122769/54850/150726/51725/144699/142689/142686/84961/222235/140456/80176/285231/51666/26235/27252/53339/10324/140461/136371/90135/80028/26267/127247/84541/26263/84078/79791/200845/142685/26118/126433/8139/84085/26259/140462/115290/140459/84861/51665/4008/140460/26268","KLHL3/KLHL2/CUL7/UBE2F/KLHL11/KBTBD6/KLHL42/FBXL16/ASB2/KLHL5/ASB16/KLHL25/LRRC41/FBXL22/KLHL21/FBXO15/SPSB4/FBXO21/ASB13/ASB18/ASB5/FBXL8/LRR1/FBXL12/FBXO41/FBXO40/FBXL14/ASB12/ASB14/FBXL20/FBXL13/ASB11/SPSB1/FBXW12/ASB4/FBXL4/KLHL20/BTBD1/KLHL41/ASB8/ASB10/BTBD6/FBXL18/FBXO10/ASB17/KBTBD8/FBXO22/KBTBD7/FBXO31/KCTD6/ASB15/WSB1/FBXO27/GAN/FBXO30/FBXW8/ASB9/FBXO17/ASB6/KLHL22/ASB1/LMO7/ASB7/FBXO9"
"9","GO:0000151","ubiquitin ligase complex","61/201","275/19659",3.23719457442843e-65,5.66509050524976e-63,4.87282972782385e-63,61,"cc","ChemoRes","11059/4734/26249/11275/7332/25897/10425/255488/127544/10616/10273/154214/84231/9604/23304/148581/90025/118424/51619/197131/142678/9354/25847/11146/25898/27338/9820/9730/5071/55070/57542/146330/51676/64410/9903/92369/23014/55336/54850/144699/142689/84961/222235/80176/51666/26235/27252/10324/80028/26267/84541/79791/126433/8139/26259/115290/84861/51665/4008/7335/26268","WWP1/NEDD4/KLHL3/KLHL2/UBE2L3/RNF19A/ARIH2/RNF144B/RNF19B/RBCK1/STUB1/RNF217/TRAF7/RNF14/UBR2/UBE2U/UBE3D/UBE2J2/UBE2D4/UBR1/MIB2/UBE4A/ANAPC13/GLMN/RCHY1/UBE2S/CUL7/DCAF1/PRKN/DET1/KLHL42/FBXL16/ASB2/KLHL25/KLHL21/SPSB4/FBXO21/FBXL8/FBXL12/FBXL14/ASB12/FBXL20/FBXL13/SPSB1/ASB4/FBXL4/KLHL20/KLHL41/FBXL18/FBXO10/KBTBD8/FBXO31/FBXO27/GAN/FBXW8/FBXO17/KLHL22/ASB1/LMO7/UBE2V1/FBXO9"
"10","hsa04120","Ubiquitin mediated proteolysis","51/71","137/7843",1.06217409489868e-77,1.06217409489868e-75,1.05099331495238e-75,51,"kg","ChemoRes","8554/23624/23327/11059/4734/7332/868/57154/8916/26091/7326/55236/7317/7337/10273/55585/54926/55284/89910/92912/8925/4591/63893/148581/65264/7325/118424/9690/23295/22954/10477/22888/51619/51465/997/7328/10075/6477/3093/9354/7327/7318/25847/25898/9320/27338/9820/5071/140739/55070/26259","PIAS1/CBLC/NEDD4L/WWP1/NEDD4/UBE2L3/CBLB/SMURF1/HERC3/HERC4/UBE2G1/UBA6/UBA1/UBE3A/STUB1/UBE2Q1/UBE2R2/UBE2W/UBE3B/UBE2Q2/HERC1/TRIM37/UBE2O/UBE2U/UBE2Z/UBE2E2/UBE2J2/UBE3C/MGRN1/TRIM32/UBE2E3/UBOX5/UBE2D4/UBE2J1/CDC34/UBE2H/HUWE1/SIAH1/UBE2K/UBE4A/UBE2G2/UBA7/ANAPC13/RCHY1/TRIP12/UBE2S/CUL7/PRKN/UBE2F/DET1/FBXW8"
