"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","hsa04151","PI3K-Akt signaling pathway","111/235","354/7843",1.43482855075682e-90,2.98444338557418e-88,7.85379838308995e-89,111,"kg","ChemoRes","84699/3265/4233/148327/2264/5728/56034/7143/4803/1978/4193/5595/7157/207/5594/1385/7422/2309/3479/6198/3480/2475/3630/4609/595/1950/3667/2064/3845/2247/1956/2065/3717/2066/2885/3569/627/6654/3082/3716/5290/2261/2263/5159/5156/5295/5155/5154/2252/3791/3815/4893/2246/9965/2254/2249/2255/2248/8823/8817/2260/5291/27006/2321/2251/26281/2322/5296/7010/8074/2324/284/4915/4908/4254/5747/5293/4914/3481/3481/7424/3718/8503/3643/3558/3561/3562/3559/3560/3563/2056/6850/2057/1969/4909/3570/2335/5604/1436/1942/5879/5605/3690/3688/7534/5894/4804/3565/930/5294/118788/5578","CREB3L3/HRAS/MET/CREB3L4/FGFR4/PTEN/PDGFC/TNR/NGF/EIF4EBP1/MDM2/MAPK3/TP53/AKT1/MAPK1/CREB1/VEGFA/FOXO3/IGF1/RPS6KB1/IGF1R/MTOR/INS/MYC/CCND1/EGF/IRS1/ERBB2/KRAS/FGF2/EGFR/ERBB3/JAK2/ERBB4/GRB2/IL6/BDNF/SOS1/HGF/JAK1/PIK3CA/FGFR3/FGFR2/PDGFRB/PDGFRA/PIK3R1/PDGFB/PDGFA/FGF7/KDR/KIT/NRAS/FGF1/FGF19/FGF9/FGF4/FGF10/FGF3/FGF16/FGF18/FGFR1/PIK3CB/FGF22/FLT1/FGF6/FGF20/FLT3/PIK3R2/TEK/FGF23/FLT4/ANGPT1/NTRK2/NTF3/KITLG/PTK2/PIK3CD/NTRK1//IGF2/VEGFC/JAK3/PIK3R3/INSR/IL2/IL2RG/IL3/IL2RA/IL2RB/IL3RA/EPO/SYK/EPOR/EPHA2/NTF4/IL6R/FN1/MAP2K1/CSF1R/EFNA1/RAC1/MAP2K2/ITGB3/ITGB1/YWHAZ/RAF1/NGFR/IL4/CD19/PIK3CG/PIK3AP1/PRKCA"
"2","GO:0018108","peptidyl-tyrosine phosphorylation","109/254","387/18493",7.36367931222936e-118,3.23339158599991e-114,1.33011302103006e-114,109,"bp","ChemoRes","3593/5608/4233/3066/2264/3592/56034/55294/116379/5595/7157/6774/7422/3479/3480/2475/1950/2064/2247/1956/2065/3717/2066/3569/627/6464/3082/3716/2261/6714/2263/5159/5156/5155/5154/2252/3791/3815/2246/2254/2249/2255/2248/8823/8817/2260/27006/2321/2251/26281/2322/7010/867/8074/2324/284/4915/4908/5979/4254/5747/4914/3481/3481/2534/3718/3643/4067/1437/3558/3562/6776/6777/1438/3568/1439/3563/3567/3932/5590/2056/613/6850/5777/7525/3055/1969/3570/25/4916/5604/5770/1436/3084/1445/1942/695/2268/2185/5605/5580/3690/640/640/5771/8440/7535/3702/7006/3565/8805","IL12B/MAP2K6/MET/HDAC2/FGFR4/IL12A/PDGFC/FBXW7/IL22RA2/MAPK3/TP53/STAT3/VEGFA/IGF1/IGF1R/MTOR/EGF/ERBB2/FGF2/EGFR/ERBB3/JAK2/ERBB4/IL6/BDNF/SHC1/HGF/JAK1/FGFR3/SRC/FGFR2/PDGFRB/PDGFRA/PDGFB/PDGFA/FGF7/KDR/KIT/FGF1/FGF9/FGF4/FGF10/FGF3/FGF16/FGF18/FGFR1/FGF22/FLT1/FGF6/FGF20/FLT3/TEK/CBL/FGF23/FLT4/ANGPT1/NTRK2/NTF3/RET/KITLG/PTK2/NTRK1//IGF2/FYN/JAK3/INSR/LYN/CSF2/IL2/IL3/STAT5A/STAT5B/CSF2RA/IL5RA/CSF2RB/IL3RA/IL5/LCK/PRKCZ/EPO/BCR/SYK/PTPN6/YES1/HCK/EPHA2/IL6R/ABL1/NTRK3/MAP2K1/PTPN1/CSF1R/NRG1/CSK/EFNA1/BTK/FGR/PTK2B/MAP2K2/PRKCD/ITGB3/BLK//PTPN2/NCK2/ZAP70/ITK/TEC/IL4/TRIM24"
"3","GO:0018212","peptidyl-tyrosine modification","109/254","390/18493",1.92794537871224e-117,4.23280407896272e-114,1.74123908940537e-114,109,"bp","ChemoRes","3593/5608/4233/3066/2264/3592/56034/55294/116379/5595/7157/6774/7422/3479/3480/2475/1950/2064/2247/1956/2065/3717/2066/3569/627/6464/3082/3716/2261/6714/2263/5159/5156/5155/5154/2252/3791/3815/2246/2254/2249/2255/2248/8823/8817/2260/27006/2321/2251/26281/2322/7010/867/8074/2324/284/4915/4908/5979/4254/5747/4914/3481/3481/2534/3718/3643/4067/1437/3558/3562/6776/6777/1438/3568/1439/3563/3567/3932/5590/2056/613/6850/5777/7525/3055/1969/3570/25/4916/5604/5770/1436/3084/1445/1942/695/2268/2185/5605/5580/3690/640/640/5771/8440/7535/3702/7006/3565/8805","IL12B/MAP2K6/MET/HDAC2/FGFR4/IL12A/PDGFC/FBXW7/IL22RA2/MAPK3/TP53/STAT3/VEGFA/IGF1/IGF1R/MTOR/EGF/ERBB2/FGF2/EGFR/ERBB3/JAK2/ERBB4/IL6/BDNF/SHC1/HGF/JAK1/FGFR3/SRC/FGFR2/PDGFRB/PDGFRA/PDGFB/PDGFA/FGF7/KDR/KIT/FGF1/FGF9/FGF4/FGF10/FGF3/FGF16/FGF18/FGFR1/FGF22/FLT1/FGF6/FGF20/FLT3/TEK/CBL/FGF23/FLT4/ANGPT1/NTRK2/NTF3/RET/KITLG/PTK2/NTRK1//IGF2/FYN/JAK3/INSR/LYN/CSF2/IL2/IL3/STAT5A/STAT5B/CSF2RA/IL5RA/CSF2RB/IL3RA/IL5/LCK/PRKCZ/EPO/BCR/SYK/PTPN6/YES1/HCK/EPHA2/IL6R/ABL1/NTRK3/MAP2K1/PTPN1/CSF1R/NRG1/CSK/EFNA1/BTK/FGR/PTK2B/MAP2K2/PRKCD/ITGB3/BLK//PTPN2/NCK2/ZAP70/ITK/TEC/IL4/TRIM24"
"4","hsa04014","Ras signaling pathway","95/235","232/7843",4.91653237680384e-89,5.113193671876e-87,1.34557728207263e-87,95,"kg","ChemoRes","5567/3265/10125/4233/5566/2264/5781/56034/51365/4803/5595/207/5594/5599/7422/3479/3480/3630/1950/3845/2247/1956/2885/627/6464/6654/3082/5290/2261/2263/2549/5159/5156/5295/5155/5154/2252/3791/5335/3815/25759/4893/2246/9965/2254/2249/2255/2248/8823/8817/2260/5291/27006/2321/2251/26281/2322/5296/7010/8074/2324/284/4915/4908/53358/4254/5293/4914/9846/3481/3481/7424/8503/3643/399694/1969/5921/387/4909/25/5336/5906/5604/1436/5908/1942/5879/5601/5605/5894/998/4804/5058/7535/27040/5578","PRKACB/HRAS/RASGRP1/MET/PRKACA/FGFR4/PTPN11/PDGFC/PLA1A/NGF/MAPK3/AKT1/MAPK1/MAPK8/VEGFA/IGF1/IGF1R/INS/EGF/KRAS/FGF2/EGFR/GRB2/BDNF/SHC1/SOS1/HGF/PIK3CA/FGFR3/FGFR2/GAB1/PDGFRB/PDGFRA/PIK3R1/PDGFB/PDGFA/FGF7/KDR/PLCG1/KIT/SHC2/NRAS/FGF1/FGF19/FGF9/FGF4/FGF10/FGF3/FGF16/FGF18/FGFR1/PIK3CB/FGF22/FLT1/FGF6/FGF20/FLT3/PIK3R2/TEK/FGF23/FLT4/ANGPT1/NTRK2/NTF3/SHC3/KITLG/PIK3CD/NTRK1/GAB2//IGF2/VEGFC/PIK3R3/INSR/SHC4/EPHA2/RASA1/RHOA/NTF4/ABL1/PLCG2/RAP1A/MAP2K1/CSF1R/RAP1B/EFNA1/RAC1/MAPK9/MAP2K2/RAF1/CDC42/NGFR/PAK1/ZAP70/LAT/PRKCA"
"5","hsa04010","MAPK signaling pathway","91/235","295/7843",1.02025525017655e-71,5.30532730091804e-70,1.39613876339948e-70,91,"kg","ChemoRes","5567/4214/5608/3265/10125/4233/2353/5566/2264/5535/9479/56034/5801/4803/5595/7157/207/5594/3725/5599/7422/3479/3480/3630/4609/1950/2064/3845/2247/1956/2065/2066/2885/627/6654/3082/2261/2263/5159/5156/5155/5154/2252/3791/3815/4893/2246/9965/2254/2249/2255/2248/8823/8817/2260/27006/2321/2251/26281/2322/7010/8074/2324/284/1398/1399/4915/4908/4254/4914/3481/3481/7424/3643/1969/5921/4909/5906/5604/1436/5908/1942/5879/5601/1432/5605/5894/5600/998/4804/5058/5578","PRKACB/MAP3K1/MAP2K6/HRAS/RASGRP1/MET/FOS/PRKACA/FGFR4/PPP3R2/MAPK8IP1/PDGFC/PTPRR/NGF/MAPK3/TP53/AKT1/MAPK1/JUN/MAPK8/VEGFA/IGF1/IGF1R/INS/MYC/EGF/ERBB2/KRAS/FGF2/EGFR/ERBB3/ERBB4/GRB2/BDNF/SOS1/HGF/FGFR3/FGFR2/PDGFRB/PDGFRA/PDGFB/PDGFA/FGF7/KDR/KIT/NRAS/FGF1/FGF19/FGF9/FGF4/FGF10/FGF3/FGF16/FGF18/FGFR1/FGF22/FLT1/FGF6/FGF20/FLT3/TEK/FGF23/FLT4/ANGPT1/CRK/CRKL/NTRK2/NTF3/KITLG/NTRK1//IGF2/VEGFC/INSR/EPHA2/RASA1/NTF4/RAP1A/MAP2K1/CSF1R/RAP1B/EFNA1/RAC1/MAPK9/MAPK14/MAP2K2/RAF1/MAPK11/CDC42/NGFR/PAK1/PRKCA"
"6","hsa04015","Rap1 signaling pathway","84/235","206/7843",1.10735426638338e-77,7.67765624692477e-76,2.02043585445389e-76,84,"kg","ChemoRes","5608/3265/4233/2264/56034/4803/5595/207/5594/1499/7422/3479/3480/3630/1950/3845/999/2247/1956/3082/5290/2261/6714/2263/5159/5156/5295/5155/5154/2252/3791/5335/3815/4893/2246/9965/2254/2249/2255/2248/8823/8817/2260/5291/27006/2321/2251/26281/5296/7010/8074/2324/284/1398/1399/4254/5293/7424/8503/3643/5590/1969/9564/387/5906/5604/1436/2889/5908/1942/5879/7410/1432/5605/3690/3688/5894/5600/998/4804/1500/3937/27040/5578","MAP2K6/HRAS/MET/FGFR4/PDGFC/NGF/MAPK3/AKT1/MAPK1/CTNNB1/VEGFA/IGF1/IGF1R/INS/EGF/KRAS/CDH1/FGF2/EGFR/HGF/PIK3CA/FGFR3/SRC/FGFR2/PDGFRB/PDGFRA/PIK3R1/PDGFB/PDGFA/FGF7/KDR/PLCG1/KIT/NRAS/FGF1/FGF19/FGF9/FGF4/FGF10/FGF3/FGF16/FGF18/FGFR1/PIK3CB/FGF22/FLT1/FGF6/FGF20/PIK3R2/TEK/FGF23/FLT4/ANGPT1/CRK/CRKL/KITLG/PIK3CD/VEGFC/PIK3R3/INSR/PRKCZ/EPHA2/BCAR1/RHOA/RAP1A/MAP2K1/CSF1R/RAPGEF1/RAP1B/EFNA1/RAC1/VAV2/MAPK14/MAP2K2/ITGB3/ITGB1/RAF1/MAPK11/CDC42/NGFR/CTNND1/LCP2/LAT/PRKCA"
"7","GO:0005085","guanyl-nucleotide exchange factor activity","78/254","327/17632",2.16335796707092e-74,1.46747782099644e-72,8.8811537595543e-73,78,"mf","ChemoRes","10125/4233/2264/1950/3667/2064/2247/1956/2065/3717/2066/2885/6464/6654/3082/3716/2261/2263/5159/5156/5155/5154/2252/3815/25759/2246/9965/2254/2249/2255/2248/8823/8817/2260/27006/2251/26281/10818/2322/7010/152831/8074/10817/284/53358/5979/4254/2668/5747/2674/8660/2534/3718/1437/3558/3561/3562/3559/1438/3560/3568/1439/3563/3567/613/5906/2889/3084/7410/7409/10451/27040/2676/2675/4902/64096/5623/9048","RASGRP1/MET/FGFR4/EGF/IRS1/ERBB2/FGF2/EGFR/ERBB3/JAK2/ERBB4/GRB2/SHC1/SOS1/HGF/JAK1/FGFR3/FGFR2/PDGFRB/PDGFRA/PDGFB/PDGFA/FGF7/KIT/SHC2/FGF1/FGF19/FGF9/FGF4/FGF10/FGF3/FGF16/FGF18/FGFR1/FGF22/FGF6/FGF20/FRS2/FLT3/TEK/KLB/FGF23/FRS3/ANGPT1/SHC3/RET/KITLG/GDNF/PTK2/GFRA1/IRS2/FYN/JAK3/CSF2/IL2/IL2RG/IL3/IL2RA/CSF2RA/IL2RB/IL5RA/CSF2RB/IL3RA/IL5/BCR/RAP1A/RAPGEF1/NRG1/VAV2/VAV1/VAV3/LAT/GFRA3/GFRA2/NRTN/GFRA4/PSPN/ARTN"
"8","GO:0005088","Ras guanyl-nucleotide exchange factor activity","78/254","254/17632",4.88382859343887e-84,6.62572745843206e-82,4.00988031882349e-82,78,"mf","ChemoRes","10125/4233/2264/1950/3667/2064/2247/1956/2065/3717/2066/2885/6464/6654/3082/3716/2261/2263/5159/5156/5155/5154/2252/3815/25759/2246/9965/2254/2249/2255/2248/8823/8817/2260/27006/2251/26281/10818/2322/7010/152831/8074/10817/284/53358/5979/4254/2668/5747/2674/8660/2534/3718/1437/3558/3561/3562/3559/1438/3560/3568/1439/3563/3567/613/5906/2889/3084/7410/7409/10451/27040/2676/2675/4902/64096/5623/9048","RASGRP1/MET/FGFR4/EGF/IRS1/ERBB2/FGF2/EGFR/ERBB3/JAK2/ERBB4/GRB2/SHC1/SOS1/HGF/JAK1/FGFR3/FGFR2/PDGFRB/PDGFRA/PDGFB/PDGFA/FGF7/KIT/SHC2/FGF1/FGF19/FGF9/FGF4/FGF10/FGF3/FGF16/FGF18/FGFR1/FGF22/FGF6/FGF20/FRS2/FLT3/TEK/KLB/FGF23/FRS3/ANGPT1/SHC3/RET/KITLG/GDNF/PTK2/GFRA1/IRS2/FYN/JAK3/CSF2/IL2/IL2RG/IL3/IL2RA/CSF2RA/IL2RB/IL5RA/CSF2RB/IL3RA/IL5/BCR/RAP1A/RAPGEF1/NRG1/VAV2/VAV1/VAV3/LAT/GFRA3/GFRA2/NRTN/GFRA4/PSPN/ARTN"
"9","GO:0004713","protein tyrosine kinase activity","76/254","177/17632",3.36854029690069e-95,1.37099590083858e-92,8.29724662605012e-93,76,"mf","ChemoRes","5608/4233/2264/3480/1950/2064/2247/1956/2065/3717/2066/3082/3716/2261/6714/2263/5159/5156/2252/3791/3815/2246/2254/2249/2255/2248/8823/8817/2260/27006/2321/2251/26281/2322/7010/8074/2324/4915/5979/5747/4914/2534/3718/3643/4067/1437/3562/6776/6777/1438/3568/1439/3563/3567/3932/613/6850/7525/3055/1969/25/4916/5604/1436/3084/1445/695/2268/2185/5605/5580/640/640/7535/3702/7006/8805","MAP2K6/MET/FGFR4/IGF1R/EGF/ERBB2/FGF2/EGFR/ERBB3/JAK2/ERBB4/HGF/JAK1/FGFR3/SRC/FGFR2/PDGFRB/PDGFRA/FGF7/KDR/KIT/FGF1/FGF9/FGF4/FGF10/FGF3/FGF16/FGF18/FGFR1/FGF22/FLT1/FGF6/FGF20/FLT3/TEK/FGF23/FLT4/NTRK2/RET/PTK2/NTRK1/FYN/JAK3/INSR/LYN/CSF2/IL3/STAT5A/STAT5B/CSF2RA/IL5RA/CSF2RB/IL3RA/IL5/LCK/BCR/SYK/YES1/HCK/EPHA2/ABL1/NTRK3/MAP2K1/CSF1R/NRG1/CSK/BTK/FGR/PTK2B/MAP2K2/PRKCD/BLK//ZAP70/ITK/TEC/TRIM24"
"10","GO:0006644","phospholipid metabolic process","73/254","473/18493",3.06333466385491e-56,1.03470019299899e-53,4.25642290135629e-54,73,"bp","ChemoRes","9314/4233/2264/5781/5728/51365/472/2099/1950/3667/2064/2247/1956/2065/2066/2885/3082/5290/2261/6714/2263/2549/5159/5156/5295/5155/5154/2252/5335/3815/2246/9965/2254/2249/2255/2248/8823/8817/2260/5291/27006/2321/2251/26281/10818/2322/5296/7010/152831/8074/4254/5747/5293/8660/9846/2534/8503/4067/3635/3932/3636/5336/1436/3084/7410/7409/2268/2185/5580/10451/930/5294/118788","KLF4/MET/FGFR4/PTPN11/PTEN/PLA1A/ATM/ESR1/EGF/IRS1/ERBB2/FGF2/EGFR/ERBB3/ERBB4/GRB2/HGF/PIK3CA/FGFR3/SRC/FGFR2/GAB1/PDGFRB/PDGFRA/PIK3R1/PDGFB/PDGFA/FGF7/PLCG1/KIT/FGF1/FGF19/FGF9/FGF4/FGF10/FGF3/FGF16/FGF18/FGFR1/PIK3CB/FGF22/FLT1/FGF6/FGF20/FRS2/FLT3/PIK3R2/TEK/KLB/FGF23/KITLG/PTK2/PIK3CD/IRS2/GAB2/FYN/PIK3R3/LYN/INPP5D/LCK/INPPL1/PLCG2/CSF1R/NRG1/VAV2/VAV1/FGR/PTK2B/PRKCD/VAV3/CD19/PIK3CG/PIK3AP1"
