"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0000280","nuclear division","80/223","416/18493",3.41013164627333e-75,2.69400400055593e-72,2.11069200843023e-72,80,"bp","ChemoRes","1028/896/894/595/898/5925/890/8900/9134/4605/990/891/1164/81620/9133/472/8621/1111/56647/995/994/7153/5347/699/6790/7272/64151/9055/22974/701/259266/10403/51203/9319/9212/4085/3832/9787/9232/55143/4288/9928/9493/11130/991/54443/10615/1063/11065/24137/11004/23397/29127/83540/10051/4751/10592/1062/9700/113130/151648/9735/9918/5888/26271/10460/3619/3833/81930/54908/9126/5885/8243/23047/23244/9184/151246/81565/23063/8379","CDKN1C/CCND3/CCND2/CCND1/CCNE1/RB1/CCNA2/CCNA1/CCNE2/MYBL2/CDC6/CCNB1/CKS2/CDT1/CCNB2/ATM/CDK13/CHEK1/BCCIP/CDC25C/CDC25B/TOP2A/PLK1/BUB1/AURKA/TTK/NCAPG/PRC1/TPX2/BUB1B/ASPM/NDC80/NUSAP1/TRIP13/AURKB/MAD2L1/KIF11/DLGAP5/PTTG1/CDCA8/MKI67/KIF14/KIF23/ZWINT/CDC20/ANLN/SPAG5/CENPF/UBE2C/KIF4A/KIF2C/NCAPH/RACGAP1/NUF2/SMC4/NEK2/SMC2/CENPE/ESPL1/CDCA5/SGO1/KNTC1/NCAPD2/RAD51/FBXO5/TACC3/INCENP/KIFC1/KIF18A/SPDL1/SMC3/RAD21/SMC1A/PDS5B/PDS5A/BUB3/SGO2/NDEL1/WAPL/MAD1L1"
"2","GO:0048285","organelle fission","80/223","458/18493",1.19291981756603e-71,7.06804991907872e-69,5.53765936364862e-69,80,"bp","ChemoRes","1028/896/894/595/898/5925/890/8900/9134/4605/990/891/1164/81620/9133/472/8621/1111/56647/995/994/7153/5347/699/6790/7272/64151/9055/22974/701/259266/10403/51203/9319/9212/4085/3832/9787/9232/55143/4288/9928/9493/11130/991/54443/10615/1063/11065/24137/11004/23397/29127/83540/10051/4751/10592/1062/9700/113130/151648/9735/9918/5888/26271/10460/3619/3833/81930/54908/9126/5885/8243/23047/23244/9184/151246/81565/23063/8379","CDKN1C/CCND3/CCND2/CCND1/CCNE1/RB1/CCNA2/CCNA1/CCNE2/MYBL2/CDC6/CCNB1/CKS2/CDT1/CCNB2/ATM/CDK13/CHEK1/BCCIP/CDC25C/CDC25B/TOP2A/PLK1/BUB1/AURKA/TTK/NCAPG/PRC1/TPX2/BUB1B/ASPM/NDC80/NUSAP1/TRIP13/AURKB/MAD2L1/KIF11/DLGAP5/PTTG1/CDCA8/MKI67/KIF14/KIF23/ZWINT/CDC20/ANLN/SPAG5/CENPF/UBE2C/KIF4A/KIF2C/NCAPH/RACGAP1/NUF2/SMC4/NEK2/SMC2/CENPE/ESPL1/CDCA5/SGO1/KNTC1/NCAPD2/RAD51/FBXO5/TACC3/INCENP/KIFC1/KIF18A/SPDL1/SMC3/RAD21/SMC1A/PDS5B/PDS5A/BUB3/SGO2/NDEL1/WAPL/MAD1L1"
"3","GO:0098687","chromosomal region","76/224","346/19659",1.07899642303311e-77,2.61117134374013e-75,1.72639427685298e-75,76,"cc","ChemoRes","1017/5111/983/891/81620/472/1111/545/4171/5347/699/4176/6790/4172/4173/7272/64151/4174/4175/4998/701/10403/9212/4085/2237/11339/332/55143/11130/55355/10615/1063/1058/11004/83540/4751/1062/113130/55839/79019/79682/157570/151648/9735/9918/221150/57405/5888/55320/220134/3619/81930/54908/9126/57082/54821/55055/147841/5885/2491/8243/64105/23047/23244/64946/9184/151246/81565/348235/23063/55166/401541/91687/8379/55920/79172","CDK2/PCNA/CDK1/CCNB1/CDT1/ATM/CHEK1/ATR/MCM2/PLK1/BUB1/MCM7/AURKA/MCM3/MCM4/TTK/NCAPG/MCM5/MCM6/ORC1/BUB1B/NDC80/AURKB/MAD2L1/FEN1/OIP5/BIRC5/CDCA8/ZWINT/HJURP/SPAG5/CENPF/CENPA/KIF2C/NUF2/NEK2/CENPE/CDCA5/CENPN/CENPM/CENPU/ESCO2/SGO1/KNTC1/NCAPD2/SKA3/SPC25/RAD51/MIS18BP1/SKA1/INCENP/KIF18A/SPDL1/SMC3/KNL1/ERCC6L/ZWILCH/SPC24/RAD21/CENPI/SMC1A/CENPK/PDS5B/PDS5A/CENPH/BUB3/SGO2/NDEL1/SKA2/WAPL/CENPQ/CENPP/CENPL/MAD1L1/RCC2/CENPO"
"4","GO:0007059","chromosome segregation","74/223","312/18493",1.74073042219591e-76,2.06276555030215e-73,1.61613077092294e-73,74,"bp","ChemoRes","2068/898/5925/9134/990/891/81620/472/7153/672/5347/699/7272/64151/9055/701/10403/51203/9319/9212/4085/2237/9787/9232/11339/332/55143/4288/9928/9493/11130/991/55355/10615/1063/24137/11004/23397/29127/83540/10051/1894/4751/10592/1062/9700/113130/55839/157570/151648/9918/221150/57405/26271/10460/220134/3619/3833/81930/54908/9126/57082/5885/8243/23047/23244/9184/151246/81565/348235/23063/55166/8379/55920","ERCC2/CCNE1/RB1/CCNE2/CDC6/CCNB1/CDT1/ATM/TOP2A/BRCA1/PLK1/BUB1/TTK/NCAPG/PRC1/BUB1B/NDC80/NUSAP1/TRIP13/AURKB/MAD2L1/FEN1/DLGAP5/PTTG1/OIP5/BIRC5/CDCA8/MKI67/KIF14/KIF23/ZWINT/CDC20/HJURP/SPAG5/CENPF/KIF4A/KIF2C/NCAPH/RACGAP1/NUF2/SMC4/ECT2/NEK2/SMC2/CENPE/ESPL1/CDCA5/CENPN/ESCO2/SGO1/NCAPD2/SKA3/SPC25/FBXO5/TACC3/SKA1/INCENP/KIFC1/KIF18A/SPDL1/SMC3/KNL1/RAD21/SMC1A/PDS5B/PDS5A/BUB3/SGO2/NDEL1/SKA2/WAPL/CENPQ/MAD1L1/RCC2"
"5","GO:0140014","mitotic nuclear division","73/223","277/18493",4.05117799167048e-79,9.60129184025904e-76,7.52239787084919e-76,73,"bp","ChemoRes","1028/896/894/595/898/5925/890/8900/9134/4605/990/891/81620/9133/472/8621/1111/56647/995/5347/699/6790/7272/64151/9055/22974/701/10403/51203/9319/9212/4085/3832/9787/9232/55143/4288/9928/9493/11130/991/54443/10615/1063/11065/24137/11004/23397/29127/83540/10051/4751/10592/1062/9700/113130/151648/9735/9918/26271/10460/3619/3833/81930/54908/9126/5885/8243/23047/23244/9184/81565/8379","CDKN1C/CCND3/CCND2/CCND1/CCNE1/RB1/CCNA2/CCNA1/CCNE2/MYBL2/CDC6/CCNB1/CDT1/CCNB2/ATM/CDK13/CHEK1/BCCIP/CDC25C/PLK1/BUB1/AURKA/TTK/NCAPG/PRC1/TPX2/BUB1B/NDC80/NUSAP1/TRIP13/AURKB/MAD2L1/KIF11/DLGAP5/PTTG1/CDCA8/MKI67/KIF14/KIF23/ZWINT/CDC20/ANLN/SPAG5/CENPF/UBE2C/KIF4A/KIF2C/NCAPH/RACGAP1/NUF2/SMC4/NEK2/SMC2/CENPE/ESPL1/CDCA5/SGO1/KNTC1/NCAPD2/FBXO5/TACC3/INCENP/KIFC1/KIF18A/SPDL1/SMC3/RAD21/SMC1A/PDS5B/PDS5A/BUB3/NDEL1/MAD1L1"
"6","GO:1901987","regulation of cell cycle phase transition","68/223","412/18493",1.71313287330564e-58,4.51124989970486e-56,3.53446361229375e-56,68,"bp","ChemoRes","2068/1869/1030/8317/1026/2071/1028/896/894/1032/1019/595/1027/1017/7027/5933/5934/1874/5925/5111/993/990/983/891/81620/144455/472/7157/1111/7465/995/994/672/8318/5347/699/6790/7272/22974/51514/4998/701/10403/9319/9212/4085/9787/9928/991/3161/54443/1063/11065/4751/1062/9700/10733/113130/79733/9735/26271/51512/54908/5885/9184/57551/8379/55920","ERCC2/E2F1/CDKN2B/CDC7/CDKN1A/ERCC3/CDKN1C/CCND3/CCND2/CDKN2D/CDK4/CCND1/CDKN1B/CDK2/TFDP1/RBL1/RBL2/E2F4/RB1/PCNA/CDC25A/CDC6/CDK1/CCNB1/CDT1/E2F7/ATM/TP53/CHEK1/WEE1/CDC25C/CDC25B/BRCA1/CDC45/PLK1/BUB1/AURKA/TTK/TPX2/DTL/ORC1/BUB1B/NDC80/TRIP13/AURKB/MAD2L1/DLGAP5/KIF14/CDC20/HMMR/ANLN/CENPF/UBE2C/NEK2/CENPE/ESPL1/PLK4/CDCA5/E2F8/KNTC1/FBXO5/GTSE1/SPDL1/RAD21/BUB3/TAOK1/MAD1L1/RCC2"
"7","GO:1901990","regulation of mitotic cell cycle phase transition","66/223","375/18493",1.32885748299383e-58,3.93674029336921e-56,3.0843481578962e-56,66,"bp","ChemoRes","2068/1869/1030/8317/1026/2071/1028/896/894/1019/595/1027/1017/7027/5933/5934/1874/5925/5111/993/990/983/891/81620/144455/472/7157/7465/995/994/672/8318/5347/699/6790/7272/22974/51514/4998/701/10403/9319/9212/4085/9787/9928/991/3161/54443/1063/11065/4751/1062/9700/10733/113130/79733/9735/26271/51512/54908/5885/9184/57551/8379/55920","ERCC2/E2F1/CDKN2B/CDC7/CDKN1A/ERCC3/CDKN1C/CCND3/CCND2/CDK4/CCND1/CDKN1B/CDK2/TFDP1/RBL1/RBL2/E2F4/RB1/PCNA/CDC25A/CDC6/CDK1/CCNB1/CDT1/E2F7/ATM/TP53/WEE1/CDC25C/CDC25B/BRCA1/CDC45/PLK1/BUB1/AURKA/TTK/TPX2/DTL/ORC1/BUB1B/NDC80/TRIP13/AURKB/MAD2L1/DLGAP5/KIF14/CDC20/HMMR/ANLN/CENPF/UBE2C/NEK2/CENPE/ESPL1/PLK4/CDCA5/E2F8/KNTC1/FBXO5/GTSE1/SPDL1/RAD21/BUB3/TAOK1/MAD1L1/RCC2"
"8","hsa04110","Cell cycle","66/128","124/7843",1.10422101298315e-91,1.88821793220119e-89,1.38318211099995e-89,66,"kg","ChemoRes","1869/1030/8317/1026/1029/1028/1031/896/894/1021/1032/1019/595/1870/1871/1027/1017/7027/5933/5934/1875/898/1874/5925/890/8900/9134/5111/993/990/983/891/902/1022/6502/4609/3065/9133/472/7157/1111/7465/995/545/994/8318/4171/5347/699/4176/4172/4173/7272/4174/4175/4998/701/4085/9232/991/9700/9126/5885/8243/9184/8379","E2F1/CDKN2B/CDC7/CDKN1A/CDKN2A/CDKN1C/CDKN2C/CCND3/CCND2/CDK6/CDKN2D/CDK4/CCND1/E2F2/E2F3/CDKN1B/CDK2/TFDP1/RBL1/RBL2/E2F5/CCNE1/E2F4/RB1/CCNA2/CCNA1/CCNE2/PCNA/CDC25A/CDC6/CDK1/CCNB1/CCNH/CDK7/SKP2/MYC/HDAC1/CCNB2/ATM/TP53/CHEK1/WEE1/CDC25C/ATR/CDC25B/CDC45/MCM2/PLK1/BUB1/MCM7/MCM3/MCM4/TTK/MCM5/MCM6/ORC1/BUB1B/MAD2L1/PTTG1/CDC20/ESPL1/SMC3/RAD21/SMC1A/BUB3/MAD1L1"
"9","GO:0098813","nuclear chromosome segregation","62/223","258/18493",6.60672244859992e-64,2.9180530153838e-61,2.28622941112015e-61,62,"bp","ChemoRes","898/5925/9134/990/891/81620/472/7153/5347/699/7272/64151/9055/701/10403/51203/9319/9212/4085/2237/9787/9232/55143/9928/9493/11130/991/10615/1063/24137/11004/23397/29127/83540/10051/1894/4751/10592/1062/9700/113130/157570/151648/9918/26271/10460/3619/3833/81930/54908/9126/57082/5885/8243/23047/23244/9184/151246/23063/55166/8379/55920","CCNE1/RB1/CCNE2/CDC6/CCNB1/CDT1/ATM/TOP2A/PLK1/BUB1/TTK/NCAPG/PRC1/BUB1B/NDC80/NUSAP1/TRIP13/AURKB/MAD2L1/FEN1/DLGAP5/PTTG1/CDCA8/KIF14/KIF23/ZWINT/CDC20/SPAG5/CENPF/KIF4A/KIF2C/NCAPH/RACGAP1/NUF2/SMC4/ECT2/NEK2/SMC2/CENPE/ESPL1/CDCA5/ESCO2/SGO1/NCAPD2/FBXO5/TACC3/INCENP/KIFC1/KIF18A/SPDL1/SMC3/KNL1/RAD21/SMC1A/PDS5B/PDS5A/BUB3/SGO2/WAPL/CENPQ/MAD1L1/RCC2"
"10","GO:0000775","chromosome, centromeric region","61/224","194/19659",2.23239409005818e-72,2.7011968489704e-70,1.78591527204654e-70,61,"cc","ChemoRes","891/81620/5347/699/6790/7272/64151/701/10403/9212/4085/11339/332/55143/11130/55355/10615/1063/1058/11004/83540/4751/1062/113130/55839/79019/79682/157570/151648/9735/9918/221150/57405/55320/220134/3619/81930/54908/9126/57082/54821/55055/147841/5885/2491/8243/64105/23047/23244/64946/9184/151246/81565/348235/23063/55166/401541/91687/8379/55920/79172","CCNB1/CDT1/PLK1/BUB1/AURKA/TTK/NCAPG/BUB1B/NDC80/AURKB/MAD2L1/OIP5/BIRC5/CDCA8/ZWINT/HJURP/SPAG5/CENPF/CENPA/KIF2C/NUF2/NEK2/CENPE/CDCA5/CENPN/CENPM/CENPU/ESCO2/SGO1/KNTC1/NCAPD2/SKA3/SPC25/MIS18BP1/SKA1/INCENP/KIF18A/SPDL1/SMC3/KNL1/ERCC6L/ZWILCH/SPC24/RAD21/CENPI/SMC1A/CENPK/PDS5B/PDS5A/CENPH/BUB3/SGO2/NDEL1/SKA2/WAPL/CENPQ/CENPP/CENPL/MAD1L1/RCC2/CENPO"
