from	to
142	890
142	891
142	983
142	1017
142	2547
142	3014
142	3978
142	3980
142	4361
142	5111
142	5422
142	5424
142	5426
142	5591
142	5965
142	5981
142	5982
142	6117
142	6118
142	6119
142	7014
142	7150
142	7153
142	7155
142	7157
142	7486
142	7515
142	7520
142	10111
142	23649
142	54386
142	200558
142	9557
472	545
472	641
472	672
472	675
472	1111
472	2177
472	2956
472	3014
472	3981
472	4292
472	4361
472	4436
472	4683
472	5591
472	5883
472	5884
472	5888
472	5932
472	5981
472	5982
472	5984
472	6118
472	7013
472	7157
472	7158
472	7486
472	7520
472	8243
472	9656
472	10111
472	11073
472	11200
472	11277
472	51720
472	55655
472	55775
472	64421
472	79840
472	200558
545	641
545	672
545	675
545	1111
545	2175
545	2177
545	2956
545	3014
545	3667
545	3981
545	4361
545	4436
545	4683
545	5424
545	5591
545	5884
545	6117
545	6118
545	7157
545	7486
545	7520
545	8243
545	9656
545	11073
545	11200
545	11277
545	51720
545	55655
545	64421
571	580
571	672
571	2956
571	4292
571	4361
571	4683
571	5932
571	10111
571	11073
571	84142
580	672
580	675
580	983
580	1017
580	2177
580	2547
580	2956
580	3014
580	4292
580	4361
580	4436
580	4683
580	5111
580	5888
580	5932
580	7157
580	9656
580	10111
580	11073
580	51720
580	84142
641	672
641	983
641	1111
641	2175
641	2176
641	2177
641	2178
641	2187
641	2188
641	2189
641	2237
641	2956
641	3014
641	4292
641	4361
641	4436
641	4683
641	5888
641	5981
641	5982
641	5984
641	6117
641	6118
641	6119
641	6613
641	7013
641	7014
641	7156
641	7157
641	7158
641	7486
641	8243
641	10111
641	55120
641	55655
641	57697
641	378708
641	80010
672	675
672	890
672	891
672	983
672	1017
672	1111
672	1457
672	2175
672	2177
672	2956
672	3014
672	4292
672	4361
672	4436
672	4683
672	4999
672	5591
672	5888
672	5932
672	5981
672	5982
672	5984
672	6117
672	6118
672	6119
672	6613
672	7013
672	7014
672	7153
672	7157
672	7158
672	7515
672	8243
672	8554
672	9656
672	10111
672	11073
672	11200
672	51720
672	55655
672	64421
672	84142
675	2177
675	2178
675	2189
675	5888
675	6117
675	6118
675	7157
675	11200
890	891
890	983
890	1017
890	2237
890	3978
890	4999
890	5111
890	5422
890	5424
890	5426
890	5981
890	5982
890	5983
890	5984
890	5985
890	6117
890	6118
890	6119
890	7150
890	7157
890	23649
890	51720
890	995
891	983
891	1017
891	4616
891	5111
891	5422
891	5424
891	5426
891	5727
891	5981
891	5982
891	6117
891	6118
891	6119
891	7150
891	995
983	1111
983	1457
983	2175
983	2176
983	2189
983	2237
983	3978
983	3980
983	4616
983	5111
983	5422
983	5424
983	5426
983	5727
983	5883
983	5981
983	5982
983	6117
983	6118
983	6119
983	7013
983	7150
983	7153
983	7155
983	7157
983	51720
983	995
1017	1111
1017	1457
1017	2237
1017	2547
1017	3978
1017	3980
1017	4999
1017	5111
1017	5422
1017	5424
1017	5425
1017	5426
1017	5932
1017	5981
1017	5982
1017	5983
1017	5984
1017	5985
1017	6117
1017	6118
1017	6119
1017	7014
1017	7150
1017	7157
1017	7158
1017	7515
1017	9656
1017	11073
1017	23649
1017	54386
1017	995
1111	1457
1111	2177
1111	2178
1111	2547
1111	2956
1111	4436
1111	5422
1111	5591
1111	5885
1111	7157
1111	7158
1111	7520
1111	995
1457	3667
1457	3978
1457	4361
1457	5810
1457	5883
1457	7150
1457	7153
1457	7157
1457	7515
1457	7518
1457	8554
1457	9656
1457	995
1457	3087
2175	2176
2175	2178
2175	2187
2175	2188
2175	2189
2175	4292
2175	5111
2175	6117
2175	6118
2175	6119
2175	7156
2175	55120
2175	57697
2175	201254
2175	378708
2175	80010
2175	80233
2176	2177
2176	2178
2176	2187
2176	2188
2176	2189
2176	4292
2176	6117
2176	6118
2176	6119
2176	7156
2176	7157
2176	55120
2176	57697
2176	80010
2177	2178
2177	2189
2177	4361
2177	4683
2177	5888
2177	7013
2177	9656
2177	10111
2177	55655
2178	2187
2178	2188
2178	2189
2178	4292
2178	5111
2178	6117
2178	6118
2178	6119
2178	7156
2178	55120
2178	57697
2178	80010
2187	2188
2187	2189
2187	6117
2187	7156
2187	55120
2187	57697
2187	378708
2187	80010
2187	80233
2188	2189
2188	4292
2188	6117
2188	6118
2188	6119
2188	7156
2188	55120
2188	57697
2188	378708
2188	80010
2189	4292
2189	6117
2189	6118
2189	6119
2189	7156
2189	55120
2189	57697
2189	201254
2189	378708
2189	80010
2189	80233
2237	3364
2237	5111
2237	5810
2237	5883
2237	7486
2547	3014
2547	3981
2547	4361
2547	4683
2547	5111
2547	5591
2547	6118
2547	6613
2547	7014
2547	7157
2547	7486
2547	7518
2547	7520
2547	10111
2547	26277
2547	54386
2547	65057
2547	9557
2956	4292
2956	4361
2956	4436
2956	4683
2956	5111
2956	5888
2956	5981
2956	5982
2956	5984
2956	7157
2956	8243
2956	10111
2956	11073
2956	55655
3014	4361
3014	4683
3014	5111
3014	5591
3014	5888
3014	7158
3014	7486
3014	7515
3014	7520
3014	8554
3014	9656
3014	10111
3014	51720
3014	55655
3014	55775
3014	79840
3014	9557
3364	3978
