from	to
57697	10856
57697	641
57697	2187
57697	55120
57697	4436
57697	4437
57697	7156
57697	2178
57697	2189
57697	2956
57697	1466431
57697	6117
57697	2188
57697	7316
57697	545
57697	5893
57697	201254
57697	1763
57697	6118
57697	854067
57697	80233
57697	100526739
57697	80010
57697	5230
57697	116028
57697	3837
57697	2175
57697	91442
57697	2176
57697	199990
57697	79968
672	7014
672	64421
672	8243
672	641
672	7157
672	84126
672	8924
672	4999
672	472
672	4436
672	6613
672	10111
672	9577
672	4437
672	580
672	4683
672	2956
672	84142
672	4361
672	83990
672	5981
672	6117
672	571
672	7520
672	11073
672	7316
672	2547
672	9400
672	5932
672	5982
672	545
672	5888
672	8554
672	11200
672	56852
672	9025
672	675
672	5591
672	63967
672	1111
672	2177
672	3014
672	79184
672	9656
672	7158
672	2175
672	2703458
672	51720
672	4292
7014	641
7014	4999
7014	472
7014	6613
7014	10111
7014	5424
7014	7156
7014	4683
7014	4361
7014	7520
7014	7316
7014	2547
7014	79648
7014	3014
7014	3837
7014	7486
7014	7158
64421	472
64421	10111
64421	4683
64421	4361
64421	7520
64421	545
64421	5591
64421	7158
8243	10856
8243	641
8243	472
8243	4436
8243	10111
8243	22976
8243	580
8243	2956
8243	5981
8243	5422
8243	7316
8243	545
8243	3837
8243	9656
8243	5885
8243	2703458
8243	56916
8243	4292
10856	4436
10856	6613
10856	4437
10856	7156
10856	2956
10856	5395
10856	6117
10856	7316
10856	5111
10856	545
10856	5893
10856	5985
10856	6118
10856	3014
10856	3837
10856	56916
10856	4292
10856	79968
10856	5984
641	7157
641	472
641	4436
641	6613
641	10111
641	22976
641	21975
641	7156
641	2189
641	4683
641	2956
641	4361
641	83990
641	5981
641	6117
641	7316
641	545
641	5888
641	9025
641	236930
641	6118
641	9156
641	2237
641	6119
641	854067
641	100526739
641	1111
641	2177
641	3014
641	80010
641	116028
641	7486
641	7158
641	2175
641	2703458
641	51720
641	4292
7157	472
7157	4436
7157	6613
7157	9577
7157	580
7157	2956
7157	4361
7157	5981
7157	6117
7157	5422
7157	571
7157	7316
7157	2547
7157	5111
7157	5557
7157	545
7157	5888
7157	8554
7157	201254
7157	11200
7157	675
7157	5591
7157	1111
7157	3014
7157	79184
7157	3837
7157	7486
7157	9656
7157	7158
7157	51720
5883	472
5883	4436
5883	4437
5883	2956
5883	6117
5883	11073
5883	7316
5883	5111
5883	545
5883	11200
5883	5810
5883	6118
5883	63967
5883	2237
5883	3364
5883	5884
5883	4292
2187	55120
2187	2189
2187	7316
2187	854067
2187	80233
2187	100526739
2187	2175
2187	91442
2187	199990
2187	14088
84126	8924
84126	472
84126	4436
84126	6613
84126	4683
84126	6117
84126	11073
84126	7316
84126	545
84126	4171
84126	5591
84126	1111
84126	91442
8924	5378
8924	6117
8924	7316
8924	9025
8924	63967
8924	6119
8924	9656
8924	7507
4999	6613
4999	6117
4999	7520
4999	7316
4999	2547
4999	4171
4999	56852
4999	9025
4999	6118
55120	2189
55120	1466431
55120	2188
