from	to
5526	5519
5526	151648
5526	5515
5526	11200
5526	155807
5526	155871
5526	22873
3303	3312
3303	3309
3303	5562
3303	1452
3303	1445
3303	7530
3303	6789
3303	1025
3303	5566
3303	51765
3303	7415
3303	1019
3303	6788
3303	3320
3303	203068
3303	8428
3303	5567
3303	9532
3303	155807
3303	1454
3303	1020
3303	3611
3303	155871
3303	10014
3303	5261
3303	3329
3303	112858
3303	55781
3303	10494
5525	5519
5525	1452
5525	5518
5525	151648
5525	5527
5525	5515
5525	11200
5525	155807
5525	155871
5525	4215
5525	51792
5525	22873
5525	151246
5525	68549
5525	5528
10576	5519
10576	5531
10576	6801
10576	4843
10576	5562
10576	1452
10576	7530
10576	5516
10576	6789
10576	22948
10576	1025
10576	5566
10576	10575
10576	29966
10576	7415
10576	10574
10576	3476
10576	6468
10576	5521
10576	5524
10576	1019
10576	6788
10576	3320
10576	25843
10576	5522
10576	55844
10576	8607
10576	7203
10576	5515
10576	203068
10576	653333
10576	8428
10576	5567
10576	5520
10576	11200
10576	1454
10576	1020
10576	3611
10576	10014
10576	6950
10576	6188
10576	83992
10576	10694
10576	25895
10576	5261
10576	908
10576	10693
10576	135138
10576	4215
10576	3329
10576	112858
10576	55781
10576	10494
10576	92342
5519	6801
5519	5562
5519	55917
5519	5516
5519	29966
5519	6468
5519	5521
5519	5518
5519	1019
5519	151648
5519	25843
5519	5522
5519	55844
5519	8607
5519	7203
5519	5527
5519	5515
5519	11235
5519	8428
5519	5567
5519	5520
5519	155807
5519	155871
5519	6950
5519	5529
5519	85369
5519	51400
5519	908
5519	4215
5519	3329
5519	54764
5519	151246
5519	10494
5519	68549
5519	6097
5519	5528
3312	3309
3312	5894
3312	5562
3312	1452
3312	1445
3312	7530
3312	6789
3312	1025
3312	5566
3312	51765
3312	7415
3312	5518
3312	1019
3312	6788
3312	3320
3312	6191
3312	8607
3312	7203
3312	3308
3312	8428
3312	5567
3312	9532
3312	155807
3312	1454
3312	1020
3312	3611
3312	155871
3312	6950
3312	5591
3312	25895
3312	5261
3312	207
3312	4215
3312	3329
3312	112858
3312	55781
3312	10494
3309	5894
3309	4843
3309	5562
3309	1452
3309	1445
3309	7530
3309	6230
3309	6789
3309	1025
3309	5566
3309	51765
3309	7415
3309	1019
3309	6788
3309	3320
3309	3308
3309	8428
3309	5567
3309	5728
3309	155807
3309	1454
3309	1020
3309	3611
3309	155871
3309	10014
3309	6188
3309	25895
3309	5261
3309	207
3309	4215
3309	3329
3309	112858
3309	55781
3309	10494
3309	92342
5894	5562
5894	7530
5894	5516
5894	5566
5894	51765
5894	7415
5894	5521
5894	5518
5894	6788
5894	3320
5894	5522
5894	7203
5894	5527
5894	5515
5894	3308
5894	5520
5894	3611
5894	207
5894	3329
5531	5516
5531	22948
5531	10575
5531	10574
5531	3476
5531	5521
5531	5524
5531	5518
5531	55844
5531	7203
5531	6950
5531	10694
5531	51400
5531	908
5531	5528
8471	5562
8471	1452
8471	1445
8471	6789
8471	1025
8471	5566
8471	6788
8471	3320
8471	3308
8471	8428
8471	5567
8471	5728
8471	1454
8471	1020
8471	3611
8471	10014
8471	5261
8471	112858
8471	55781
8471	10494
9479	207
6801	55917
6801	5516
6801	29888
6801	80143
6801	22948
6801	10575
6801	29966
6801	51765
6801	10574
6801	7871
6801	56455
6801	5518
6801	25843
6801	7203
6801	5515
6801	11235
6801	8428
6801	80342
6801	6950
6801	83992
6801	10694
6801	85369
6801	908
6801	10693
6801	57464
6801	54764
6801	26127
6801	10494
4843	7530
4843	22948
4843	10575
4843	7415
4843	10574
4843	3313
4843	5518
4843	3320
4843	6191
4843	7203
4843	3308
4843	9532
4843	155871
4843	790
4843	6950
4843	5591
4843	6188
4843	10694
4843	6222
4843	908
4843	3329
5562	1445
5562	7530
5562	6230
5562	6789
5562	22948
5562	10575
5562	7415
5562	10574
5562	10383
5562	117159
5562	6232
5562	4744
5562	3313
5562	3320
5562	6191
5562	7203
5562	5515
5562	203068
5562	3308
5562	9532
5562	790
5562	10014
5562	2197
5562	6950
5562	5591
5562	6188
5562	10694
5562	6222
5562	908
5562	3329
55917	5516
55917	29888
55917	29966
55917	51765
55917	56455
55917	5518
55917	25843
55917	5515
55917	11235
55917	8428
55917	83992
55917	85369
55917	57464
55917	54764
55917	10494
1978	472
1978	5524
1978	6788
1978	5515
1978	5520
1978	5591
1978	207
1978	6097
472	5524
472	5527
472	11200
472	5591
1452	7530
1452	6230
1452	22948
1452	10383
1452	117159
1452	6232
1452	4744
1452	3313
1452	3320
1452	6191
1452	8607
1452	5515
1452	203068
1452	3308
1452	9532
1452	1454
1452	790
1452	2197
1452	6950
1452	5591
1452	6188
1452	10694
1452	6222
1452	3329
1452	55781
1445	6230
1445	6789
1445	22948
1445	1025
1445	5566
1445	7415
1445	10383
1445	117159
1445	6232
1445	4744
1445	3313
1445	3320
1445	6191
1445	203068
1445	8428
1445	9532
1445	1020
1445	155871
1445	2197
1445	10694
1445	6222
1445	207
7530	6230
7530	5566
7530	10575
7530	7415
7530	10574
7530	117159
7530	3313
7530	3320
7530	8607
7530	7203
7530	203068
7530	3308
7530	155807
7530	1454
7530	3611
7530	790
7530	10014
7530	6950
7530	5591
7530	6188
7530	10694
7530	5261
7530	6222
7530	207
7530	908
7530	4215
7530	3329
7530	10494
5516	29888
5516	80143
5516	22948
5516	10575
5516	29966
5516	51765
5516	7415
5516	10574
5516	3476
5516	5521
5516	7871
5516	56455
5516	5518
5516	151648
5516	25843
5516	55844
5516	7203
5516	5527
5516	8428
5516	5520
5516	155807
5516	155871
5516	10014
5516	6950
5516	5529
5516	6188
5516	83992
5516	10694
5516	85369
5516	51400
5516	908
5516	51792
5516	10494
5516	68549
5516	5528
29888	80143
29888	29966
29888	51765
29888	56455
29888	5518
29888	25843
29888	5515
29888	11235
29888	8428
29888	80342
29888	83992
29888	85369
29888	3329
29888	54764
29888	10494
6230	6789
6230	1025
6230	5566
6230	51765
6230	1019
6230	6788
6230	6191
6230	8428
6230	5567
6230	1454
6230	1020
6230	3611
6230	2197
6230	6188
6230	5261
6230	6222
6230	112858
6230	55781
6230	10494
6789	22948
6789	1025
6789	10575
6789	10574
6789	10383
6789	117159
6789	6232
6789	4744
6789	3313
6789	7871
6789	6788
6789	3320
6789	6191
6789	8607
6789	7203
6789	203068
6789	9532
6789	790
6789	6950
6789	6188
6789	10694
6789	6222
6789	207
6789	908
6789	3329
80143	29966
80143	51765
80143	7871
80143	5518
80143	25843
80143	5515
80143	11235
80143	8428
80143	80342
80143	85369
80143	57464
80143	26127
80143	10494
22948	1025
22948	5566
22948	10575
22948	29966
22948	7415
22948	10574
22948	3476
22948	6468
22948	5521
22948	5524
22948	1019
22948	6788
22948	25843
22948	5522
22948	55844
22948	7203
22948	5515
22948	653333
22948	8428
22948	5567
22948	5520
22948	1454
22948	1020
22948	80342
22948	3611
22948	10014
22948	6950
22948	83992
22948	10694
22948	25895
22948	5261
22948	908
22948	10693
22948	135138
22948	4215
22948	112858
22948	55781
22948	10494
3593	155871
1025	10575
1025	10574
1025	10383
1025	117159
1025	6232
1025	4744
1025	3313
1025	3320
1025	6191
1025	8607
1025	7203
1025	203068
1025	9532
1025	155807
1025	155871
1025	790
1025	6950
1025	5591
1025	6188
1025	10694
1025	6222
1025	908
1025	3329
5566	10383
5566	117159
5566	6232
5566	3313
5566	3320
5566	6191
5566	7203
5566	203068
5566	5567
5566	155871
5566	790
