from	to
8647	3172
8647	3175
8647	7316
79611	3172
79611	3175
97	1869
97	351
97	7316
55811	6927
55811	3172
124	6927
124	3175
125	6927
125	3172
125	3175
127	6927
127	351
127	7316
130	6927
130	3172
84890	3172
84890	7316
183	6927
183	3172
183	3175
1646	6927
1646	3172
1646	7316
8644	6927
8644	3172
8644	7316
8644	4110
1109	6927
1109	3172
1109	3175
1109	7316
6718	1869
218	3172
218	3175
7915	3172
7915	3175
7915	10452
7915	4110
79053	3172
79053	7316
23600	3172
23600	7316
51074	3172
51074	3175
51074	7316
384	3172
384	7316
443	3175
51582	1869
51582	4947
51582	1244
51582	122622
51582	7316
51582	2176
587	3172
587	351
587	7316
9023	1869
9023	3175
1716	3172
1716	351
1716	7316
1719	1869
1719	3175
1719	9804
1719	7316
1719	27085
1869	4947
1869	10682
1869	53371
1869	10622
1869	54543
2159	2677
2159	3172
2159	4259
2159	7316
2158	2677
2158	3172
2158	3175
50486	6927
50486	3172
2538	3172
2538	3175
2646	6927
2646	3172
2646	7316
2677	3172
2677	7316
51292	3172
51292	7316
2877	6927
2877	3172
9380	6927
9380	3172
9380	7316
2941	3172
2941	3175
2941	7316
3034	6927
3034	3172
3034	7316
54363	6927
54363	3172
3081	6927
3081	3172
6927	3176
6927	9572
6927	79717
6927	3290
6927	4547
6927	5051
6927	79799
6927	10720
6927	7366
6927	7389
3172	3176
3172	4259
3172	318
3172	4947
3172	79944
3172	9836
3172	10162
3172	4143
3172	55798
3172	9572
3172	53371
3172	5009
3172	55163
3172	10622
3172	79717
3172	81034
3172	6610
3172	6821
3172	54543
3172	3290
3172	4547
3172	5051
3172	79799
3172	10720
3172	7366
3172	7389
3172	6898
3172	54963
3172	10352
3176	3175
4259	3175
4259	10447
4259	7316
318	3175
318	7316
4947	3175
3175	10622
3175	79799
3175	10720
3175	7366
3175	6898
3175	54963
3175	7367
10058	10452
1244	9804
351	10682
351	2817
351	55798
351	9572
351	55163
351	401505
351	10352
578	10452
578	54543
54675	65018
54675	7316
10682	7316
10447	54543
2817	7316
2817	80781
2817	11167
2817	7422
2817	6585
2817	6997
79944	7316
9836	7316
10162	7316
10894	7422
10894	5155
4143	7316
55798	7316
4713	54543
9572	7316
53371	7316
5009	9804
65018	9804
65018	10452
55163	7316
10622	7316
79717	7316
81034	7316
6610	7316
6821	7316
9804	10452
9804	401505
9804	54543
9804	7316
9804	100188893
9804	255488
9804	7350
10452	401505
10452	54543
10452	7316
10452	100188893
401505	54543
401505	7316
401505	100188893
54543	7316
54543	100188893
7316	7389
7316	54963
7316	10352
