from	to
207	5728
207	1111
207	1457
207	1978
207	8443
207	65018
207	9882
207	6198
207	55677
207	23239
207	23035
207	9479
207	121268
472	7157
472	8667
472	1978
472	6794
11200	7157
5728	7157
5728	9113
5728	1457
5728	1459
5728	11315
5728	65018
5728	6794
7083	7157
7083	5436
7083	23382
7083	11215
7083	1111
7083	1457
7083	1460
7083	8443
7083	64975
7083	23511
7083	11315
7083	9882
7083	60496
7083	121642
7083	10944
7083	91614
7083	1762
7083	80011
7083	85476
7083	84340
7083	54865
7083	10243
7083	51184
7083	2997
7083	3219
7083	3225
7083	51574
7083	55227
7083	56257
7083	10367
7083	65005
7083	64963
7083	51021
7083	54460
7083	10240
7083	55651
7083	9688
7083	84306
7083	5830
7083	5496
7083	5522
7083	26121
7083	23132
7083	51444
7083	163859
7083	6526
7083	79008
7083	84464
7083	6949
7083	51366
7083	63893
7083	8427
7157	8661
7157	5436
7157	10768
7157	23382
7157	26985
7157	613
7157	1111
7157	1457
7157	1459
7157	1460
7157	8450
7157	8667
7157	64975
7157	23511
7157	11315
7157	5438
7157	6794
7157	6830
7157	9882
7157	60487
7157	9639
7157	23246
7157	10944
7157	10491
7157	1762
7157	159090
7157	11321
7157	51184
7157	2997
7157	3219
7157	3225
7157	55677
7157	9682
7157	55227
7157	64963
7157	10240
7157	23077
7157	92345
7157	7936
7157	55651
7157	55505
7157	9688
7157	23239
7157	23035
7157	5479
7157	5496
7157	55607
7157	84687
7157	26121
7157	10635
7157	55164
7157	6894
7157	6949
7157	7486
7157	57599
7157	51366
7157	219333
7157	57621
7157	7398
7157	91833
7157	55100
7157	56252
7157	10009
7157	51193
8661	5436
8661	10768
8661	23382
8661	26985
8661	613
8661	1457
8661	1459
8661	1460
8661	8450
8661	8667
8661	1978
8661	64975
8661	23511
8661	5438
8661	6794
8661	6830
8661	60487
8661	9639
8661	23246
8661	10944
8661	10491
8661	1762
8661	159090
8661	54865
8661	11321
8661	51184
8661	2997
8661	55677
8661	9682
8661	10367
8661	65005
8661	64963
8661	51021
8661	10240
8661	23077
8661	92345
8661	7936
8661	55651
8661	55505
8661	9688
8661	23239
8661	23035
8661	5479
8661	55607
8661	84687
8661	26121
8661	10635
8661	55164
8661	6894
8661	6949
8661	7486
8661	57599
8661	51366
8661	219333
8661	57621
8661	63893
8661	7398
8661	91833
8661	55100
8661	56252
8661	10009
8661	51193
9113	1978
9113	6794
5436	10768
5436	23382
5436	11215
5436	26985
5436	613
5436	1111
5436	1457
5436	1459
5436	1460
5436	8450
5436	8667
5436	8443
5436	64975
5436	23511
5436	11315
5436	5438
5436	6794
5436	6830
5436	9882
5436	60487
5436	60496
5436	121642
5436	9639
5436	23246
5436	10944
5436	10491
5436	91614
5436	1762
5436	159090
5436	80011
5436	85476
5436	84340
5436	54865
5436	10243
5436	11321
5436	51184
5436	2997
5436	3219
5436	3225
5436	55677
5436	9682
5436	51574
5436	55227
5436	56257
5436	10367
5436	65005
5436	64963
5436	51021
5436	54460
5436	10240
5436	23077
5436	92345
5436	7936
5436	55651
5436	55505
5436	9688
5436	84306
5436	5830
5436	23239
5436	23035
5436	5479
5436	5496
5436	55607
5436	84687
5436	5522
5436	26121
5436	10635
5436	23132
5436	51444
5436	163859
5436	55164
5436	6526
5436	79008
5436	84464
5436	6894
5436	6949
5436	7486
5436	57599
5436	51366
5436	219333
5436	57621
5436	63893
5436	8427
5436	7398
5436	91833
5436	55100
5436	56252
5436	10009
5436	51193
10768	23382
10768	26985
10768	613
10768	1457
10768	1459
10768	1460
10768	8450
10768	8667
10768	5438
10768	6794
10768	6830
10768	60487
10768	9639
10768	23246
10768	10944
10768	10491
10768	1762
10768	159090
10768	11321
10768	51184
10768	55677
10768	9682
10768	51574
10768	56257
10768	54460
10768	10240
10768	23077
10768	92345
10768	7936
10768	55651
10768	55505
10768	23239
10768	23035
10768	5479
10768	5496
10768	55607
10768	84687
10768	10635
10768	55164
10768	84464
10768	6894
10768	6949
10768	7486
10768	57599
10768	51366
10768	219333
10768	57621
10768	63893
10768	7398
10768	91833
10768	55100
10768	56252
10768	10009
10768	51193
23382	11215
23382	26985
23382	613
23382	1111
23382	1457
23382	1459
23382	1460
23382	8450
23382	8667
23382	8443
23382	64975
23382	23511
23382	11315
23382	5438
23382	6794
23382	6830
23382	9882
23382	60487
23382	60496
23382	121642
23382	9639
23382	23246
23382	10944
23382	10491
23382	91614
23382	1762
23382	159090
23382	80011
23382	85476
23382	84340
23382	54865
23382	10243
23382	11321
23382	51184
23382	2997
23382	3219
23382	3225
23382	55677
23382	9682
23382	51574
23382	55227
23382	56257
23382	10367
23382	65005
23382	64963
23382	51021
23382	54460
23382	10240
23382	23077
23382	92345
23382	7936
23382	55651
23382	55505
23382	9688
23382	84306
23382	5830
23382	23239
23382	23035
23382	5479
23382	5496
23382	55607
23382	84687
23382	5522
23382	26121
23382	10635
23382	23132
23382	51444
23382	163859
23382	55164
23382	6526
23382	79008
23382	84464
23382	6894
23382	6949
