from	to
2067	5982
2067	5427
2067	6119
2067	2178
2067	4292
2067	4436
2067	2956
2067	51426
2067	6117
2067	3364
2067	83990
2067	11073
2067	580
2067	7515
2067	3978
2067	10714
2067	4683
2067	57697
2067	6233
2067	472
2067	2177
2067	2176
2067	84464
2067	7486
2067	7314
2067	2237
2067	57599
2067	80198
2067	378708
2067	116028
2067	2072
2067	55215
2067	5883
2067	57804
2067	80010
2067	348654
2067	5426
2067	84126
2067	4361
2067	2188
2067	80233
2067	10524
2067	7398
2067	545
2067	641
2067	100533467
2067	1763
2067	5893
2067	5980
2067	22909
2067	9937
2067	9156
2067	142
2067	29089
2067	64858
2067	6118
2067	54107
2067	7507
2067	2189
2067	10111
2067	5111
2067	5983
2067	675
2067	5981
2067	5810
2067	7158
2067	5888
2067	2175
2067	201254
2067	5984
2067	144715
2067	146956
2067	2187
2067	5932
2067	199990
2067	55120
2067	7311
2067	5424
2067	5985
2067	672
2067	56655
2067	5884
2067	353497
2067	7316
2067	7156
2067	7517
2067	197342
2067	91442
2067	83695
2067	5425
5982	5427
5982	6119
5982	10635
5982	2178
5982	4292
5982	3280
5982	4436
5982	2956
5982	51426
5982	6117
5982	3364
5982	83990
5982	11073
5982	580
5982	79728
5982	54962
5982	7515
5982	3978
5982	10714
5982	56852
5982	4683
5982	6233
5982	472
5982	2177
5982	2176
5982	7486
5982	7314
5982	2237
5982	57599
5982	116028
5982	2072
5982	55215
5982	5883
5982	57804
5982	63967
5982	80010
5982	5426
5982	84126
5982	4361
5982	2188
5982	80233
5982	5889
5982	10524
5982	7398
5982	545
5982	641
5982	100533467
5982	1763
5982	5893
5982	5980
5982	7516
5982	9156
5982	142
5982	29089
5982	5429
5982	6118
5982	54107
5982	7507
5982	2189
5982	10111
5982	5111
5982	5983
5982	675
5982	5981
5982	5810
5982	5888
5982	2175
5982	5984
5982	144715
5982	2187
5982	5932
5982	55120
5982	7311
5982	1111
5982	5424
5982	5985
5982	672
5982	5890
5982	56655
5982	5884
5982	7316
5982	7156
5982	8914
5982	7517
5982	83695
5982	5425
4616	5111
5427	6119
5427	10635
5427	4436
5427	2956
5427	51426
5427	6117
5427	83990
5427	11073
5427	580
5427	79728
5427	54962
5427	7515
5427	3978
5427	10714
5427	56852
5427	4683
5427	6233
5427	472
5427	7486
5427	7314
5427	2237
5427	57599
5427	116028
5427	2072
5427	57804
5427	80010
5427	5426
5427	4361
5427	5889
5427	10524
5427	7398
5427	641
5427	100533467
5427	1763
5427	5980
5427	7516
5427	9156
5427	142
5427	6118
5427	54107
5427	7507
5427	10111
5427	5111
5427	5983
5427	675
5427	5981
5427	5888
5427	5984
5427	5932
5427	7311
5427	1111
5427	5424
5427	5985
5427	672
5427	5890
5427	56655
5427	7316
5427	7156
5427	8914
5427	7517
5427	5425
6119	10635
6119	2178
6119	4292
6119	4436
6119	2956
6119	51426
6119	6117
6119	3364
6119	83990
6119	11073
6119	580
6119	79728
6119	54962
6119	7515
6119	3978
6119	10714
6119	56852
6119	4683
6119	57697
6119	6233
6119	472
6119	2177
6119	2176
6119	7486
6119	7314
6119	2237
6119	57599
6119	378708
6119	116028
6119	2072
6119	55215
6119	5883
6119	57804
6119	63967
6119	80010
6119	5426
6119	84126
6119	4361
6119	2188
6119	80233
6119	5889
6119	10524
6119	7398
6119	545
6119	641
6119	100533467
6119	1763
6119	5893
6119	5980
6119	7516
6119	9156
6119	142
6119	29089
6119	5429
6119	6118
6119	54107
6119	7507
6119	2189
6119	10111
6119	5111
6119	5983
6119	675
6119	5981
6119	5810
6119	5888
6119	2175
6119	201254
6119	5984
6119	144715
6119	2187
6119	5932
6119	199990
6119	55120
6119	7311
6119	1111
6119	5424
6119	5985
6119	672
6119	5890
6119	56655
6119	5884
6119	7316
6119	7156
6119	8914
6119	7517
6119	91442
6119	83695
6119	5425
10635	51426
10635	6117
10635	83990
10635	580
10635	79728
10635	10714
10635	4683
