from	to
9821	11345
9821	7249
9821	5564
9821	22863
9821	5565
9821	10542
9821	5289
9821	55062
9821	6009
9821	10325
9821	23710
9821	7157
9821	55004
9821	83734
9821	64422
9821	51422
9821	26100
9821	11337
9821	57521
9821	5571
9821	8408
9821	89849
9821	60673
9821	389541
9821	5562
9821	10533
9821	7405
9821	30849
9821	55102
9821	2475
9821	8678
9821	28956
9821	9474
9821	58528
9821	5563
9821	64121
9821	84557
9821	23130
9821	10670
9821	8878
9821	84335
9821	55054
9821	9706
9821	153129
9821	79065
9821	53632
9821	8649
9821	9140
9821	55626
9821	9776
9821	64223
11345	23411
11345	22863
11345	5289
11345	55062
11345	23710
11345	81631
11345	83734
11345	64422
11345	26100
11345	11337
11345	5566
11345	84971
11345	84938
11345	8408
11345	60673
11345	10533
11345	7405
11345	30849
11345	440738
11345	2475
11345	8678
11345	9474
11345	5567
11345	115201
11345	84557
11345	8878
11345	55054
11345	9706
11345	23192
11345	79065
11345	9140
11345	9776
23411	7249
23411	6198
23411	23710
23411	7157
23411	472
23411	253260
23411	3667
23411	6794
23411	10533
23411	2475
23411	200186
23411	9474
23411	5728
23411	4303
23411	2308
23411	11200
23411	208
23411	5599
23411	2309
23411	207
5594	7249
5594	3082
5594	6198
5594	7533
5594	5894
5594	5595
5594	10000
5594	7531
5594	7157
5594	7248
5594	3667
5594	7532
5594	57521
5594	6199
5594	5566
5594	1978
5594	2810
5594	10533
5594	2475
5594	28956
5594	5567
5594	5728
5594	7529
5594	4303
5594	2308
5594	10971
5594	11200
5594	208
5594	572
5594	5599
5594	7534
5594	2309
5594	8649
5594	1977
5594	207
5594	107080638
7249	6198
7249	5564
7249	7533
7249	5565
7249	10542
7249	5289
7249	6009
7249	10325
7249	5595
7249	10000
7249	7531
7249	79109
7249	7157
7249	55004
7249	201163
7249	64798
7249	51422
7249	253260
7249	7248
7249	3667
7249	7532
7249	57521
7249	54541
7249	6199
7249	5571
7249	6794
7249	1978
7249	2810
7249	389541
7249	5170
7249	5562
7249	2475
7249	6446
7249	28956
7249	58528
7249	5563
7249	5728
7249	7529
7249	64121
7249	1979
7249	2308
7249	10670
7249	10971
7249	84335
7249	208
7249	7534
7249	153129
7249	55615
7249	2309
7249	53632
7249	8649
7249	1977
7249	207
7249	64223
7249	107080638
3082	5595
3082	5599
3082	207
6198	83667
6198	10542
6198	5289
6198	6009
6198	10325
6198	5595
6198	10000
6198	79109
6198	7157
6198	55004
6198	201163
6198	64798
6198	253260
6198	7248
6198	3667
6198	57521
6198	6199
6198	5566
6198	6794
6198	1978
6198	389541
6198	5170
6198	2475
6198	8678
6198	28956
6198	9474
6198	58528
6198	5567
6198	5728
6198	7529
6198	64121
6198	1979
6198	2308
6198	10670
6198	8878
6198	84335
6198	208
6198	153129
6198	55615
6198	2309
6198	8649
6198	1977
6198	207
6198	64223
5564	22863
5564	83667
5564	5565
5564	10542
5564	23216
5564	5289
5564	6009
5564	10325
5564	7157
5564	55004
5564	51422
5564	7248
5564	57521
5564	5571
5564	8408
5564	6794
5564	60673
5564	389541
5564	5562
5564	30849
5564	2475
5564	8678
5564	28956
5564	200186
5564	58528
5564	5563
5564	64121
5564	10670
5564	153129
5564	53632
5564	8649
5564	55626
5564	9776
5564	64223
9479	5599
