from	to
23411	2597
23411	999
23411	2033
23411	6774
23411	7157
23411	5468
23411	4846
23411	3479
23411	3667
23411	3952
23411	1499
23411	405
23411	2475
23411	3725
23411	5728
23411	4318
23411	367
23411	8660
23411	2308
23411	5599
23411	3630
23411	5970
23411	3569
23411	1385
23411	2099
23411	627
23411	3091
23411	207
23411	7422
23411	4609
5594	3162
5594	3560
5594	4313
5594	3082
5594	6347
5594	3558
5594	595
5594	2597
5594	1432
5594	3845
5594	999
5594	5595
5594	3553
5594	2247
5594	6774
5594	3383
5594	1950
5594	3480
5594	7157
5594	1956
5594	6777
5594	1437
5594	4846
5594	598
5594	3479
5594	3667
5594	2353
5594	3576
5594	8061
5594	836
5594	995
5594	4312
5594	4088
5594	5781
5594	6776
5594	3716
5594	6772
5594	2475
5594	9846
5594	5743
5594	3570
5594	4893
5594	3725
5594	5728
5594	4318
5594	6714
5594	7099
5594	3561
5594	367
5594	8660
5594	1906
5594	2308
5594	3559
5594	3717
5594	2885
5594	5599
5594	3630
5594	596
5594	5970
5594	3569
5594	1385
5594	6654
5594	5777
5594	3718
5594	7124
5594	6464
5594	2099
5594	3265
5594	3586
5594	627
5594	4067
5594	3091
5594	207
5594	4609
3162	6347
3162	1432
3162	3565
3162	2056
3162	3553
3162	6774
3162	7157
3162	5468
3162	4846
3162	3596
3162	2353
3162	3576
3162	836
3162	5743
3162	3725
3162	4318
3162	7099
3162	1906
3162	5599
3162	3630
3162	3569
3162	1385
3162	7124
3162	3586
3162	3091
3162	207
3162	7422
3560	3002
3560	3558
3560	3458
3560	1432
3560	3565
3560	3567
3560	3845
3560	5595
3560	3574
3560	5290
3560	6774
3560	3578
3560	5291
3560	6777
3560	3600
3560	3562
3560	1437
3560	3667
3560	3596
3560	3563
3560	5781
3560	6776
3560	3716
3560	6772
3560	9846
3560	4893
3560	3561
3560	8660
3560	5293
3560	3559
3560	3717
3560	2885
3560	5599
3560	1439
3560	3569
3560	6654
3560	5777
3560	3718
3560	1438
3560	6464
3560	3635
3560	3265
3560	3568
3560	3586
3560	5295
3560	207
3002	3558
3002	3458
3002	2033
3002	3600
3002	836
3002	3569
3002	1385
3002	7124
3002	3586
4313	6347
4313	595
4313	4316
4313	999
4313	5595
4313	3553
4313	2247
4313	6774
4313	3383
4313	1950
4313	7157
4313	2064
4313	6778
4313	3479
4313	3576
4313	3952
4313	4312
4313	5743
4313	4318
4313	6714
4313	1906
4313	5599
4313	3569
4313	7124
4313	3091
4313	207
4313	7422
4313	4609
2057	1440
2057	3558
2057	4254
2057	1432
2057	3567
2057	2056
2057	3574
2057	1950
2057	3815
2057	6777
2057	3562
2057	1437
2057	6776
2057	3716
2057	6772
2057	8660
2057	3717
2057	2885
2057	5599
2057	3569
2057	6654
2057	5777
2057	3718
2057	6464
2057	4067
2057	7422
3082	6347
3082	595
3082	3845
3082	5156
3082	999
3082	5159
3082	5595
3082	3574
3082	5290
3082	2247
3082	6774
3082	1950
3082	3480
3082	2064
3082	1956
3082	3815
3082	6778
3082	3479
3082	3576
3082	4312
3082	5781
3082	3716
3082	1499
3082	9846
3082	5743
3082	4893
3082	6714
3082	3561
3082	3717
3082	2885
3082	5599
3082	3630
3082	3569
3082	6654
3082	3718
3082	6464
3082	3635
3082	3265
3082	5295
3082	207
3082	7422
3082	4609
1440	6347
1440	3558
1440	4254
1440	3458
1440	3565
1440	3567
1440	2056
1440	5159
1440	3553
1440	3574
1440	6774
1440	1950
1440	3578
1440	1956
1440	3600
1440	3562
1440	1437
1440	3596
1440	3576
1440	3952
1440	3563
1440	3716
1440	3570
1440	3559
1440	3717
1440	3566
1440	1439
1440	3569
1440	3718
1440	1438
1440	7124
1440	3586
1440	207
1440	7422
6347	3558
6347	3458
6347	2597
6347	3565
6347	3567
6347	3553
6347	3574
6347	6774
6347	3383
6347	7157
6347	3578
6347	3600
6347	1437
6347	3479
6347	3596
6347	2353
6347	3576
6347	3952
6347	4312
6347	6772
6347	5743
6347	3570
6347	3725
6347	4318
6347	7099
6347	5599
6347	3630
6347	5970
6347	3569
6347	7124
6347	3586
6347	207
6347	7422
3558	3458
3558	1432
3558	3565
3558	3567
3558	3845
3558	5159
3558	5595
3558	3553
3558	3574
3558	5290
3558	6774
3558	3383
3558	3578
3558	1956
3558	5291
3558	6777
3558	3600
3558	3562
3558	1437
3558	6778
3558	3667
3558	3596
3558	2353
3558	3576
3558	3563
3558	5781
3558	6776
3558	3716
3558	6772
3558	2475
3558	9846
3558	3570
3558	4893
3558	3725
3558	7099
3558	3561
3558	8660
3558	5293
3558	3559
3558	3717
3558	2885
3558	5599
3558	3566
3558	1439
3558	5970
3558	3569
3558	6654
3558	5777
3558	3718
3558	1438
3558	7124
3558	6464
3558	3635
3558	3265
3558	3568
3558	3586
3558	5295
3558	207
3558	7422
3558	4609
595	2597
595	1432
595	3845
595	999
595	5595
595	2033
595	2247
595	6774
595	1950
595	7157
595	2064
595	1956
595	1030
595	6777
595	6778
595	598
595	3479
595	3667
595	2353
595	8061
595	836
595	3952
595	857
595	6776
595	1499
595	2475
595	3725
595	5728
595	4318
595	6714
595	367
595	2308
595	3717
595	5599
595	5970
595	3569
595	7124
595	2099
595	3265
595	4067
595	207
595	7422
595	4609
4254	2056
4254	5156
4254	5159
4254	3574
4254	5290
4254	2247
4254	6774
4254	3480
4254	2064
4254	1956
4254	3815
4254	6777
4254	3562
4254	1437
4254	3479
4254	3596
4254	5781
4254	6776
4254	3717
4254	2885
4254	5599
4254	3569
4254	6654
4254	5777
4254	6464
4254	3265
4254	5295
4254	4067
4254	207
4254	7422
3458	3565
3458	3567
3458	3553
3458	3574
3458	5290
3458	2247
3458	6774
3458	3383
3458	1956
3458	3600
3458	3562
3458	1437
3458	6778
3458	3596
3458	3576
3458	3563
3458	5781
3458	6776
3458	3716
3458	6772
3458	3570
3458	3725
3458	4318
3458	7099
3458	3561
3458	3559
3458	3717
3458	3566
3458	5970
3458	3569
3458	5777
3458	7124
3458	3586
3458	5295
2597	999
2597	5595
2597	2033
2597	2247
2597	6774
2597	1950
2597	7157
2597	2064
2597	1956
2597	4846
2597	3576
2597	836
2597	1499
2597	2475
2597	5743
2597	3725
2597	5728
2597	4318
2597	7099
2597	367
2597	1906
2597	5599
2597	3630
2597	3569
2597	7124
2597	2099
2597	3586
2597	3091
2597	207
2597	7422
2597	4609
1432	3565
1432	2056
1432	5595
1432	2033
1432	3553
1432	6774
1432	7157
1432	1956
1432	598
1432	2353
1432	3576
1432	8061
1432	836
1432	4088
1432	3716
1432	1499
1432	6772
1432	5743
1432	3725
1432	6714
1432	3561
1432	367
1432	1906
1432	2308
1432	3559
1432	5599
1432	3566
1432	5970
1432	3569
1432	1385
1432	3718
1432	7124
1432	6464
1432	2099
1432	3586
1432	4067
1432	207
1432	4609
3565	3567
3565	3553
3565	3574
3565	5290
3565	6774
3565	3383
3565	3578
3565	1956
3565	3815
3565	6777
3565	3600
3565	3562
3565	1437
3565	6778
3565	3667
3565	3596
3565	2353
3565	3576
3565	3563
3565	6776
3565	3716
3565	6772
3565	5743
3565	3570
3565	3725
3565	7099
3565	3561
3565	8660
3565	3559
3565	3717
3565	2885
3565	3566
3565	3630
3565	5970
3565	3569
3565	5777
3565	3718
3565	1438
3565	7124
3565	6464
3565	3635
3565	3568
3565	3586
3565	5295
3565	7422
3565	4609
3567	3845
3567	5156
3567	3553
3567	3574
3567	5290
3567	3383
3567	3578
3567	1956
3567	5291
3567	6777
3567	3600
3567	3562
