"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0004674","protein serine/threonine kinase activity","39/112","455/17632",8.7464152551434e-34,3.11372383083105e-31,1.9334181090317e-31,39,"mf","ChemoRes","5567/11200/472/207/2932/5568/5566/595/2931/6790/84254/6446/6198/6011/208/1020/2475/10000/1021/1022/5127/1019/1457/1027/1025/1017/983/5594/1026/896/1459/9252/1432/5595/6197/6196/6195/5599/5601","PRKACB/CHEK2/ATM/AKT1/GSK3B/PRKACG/PRKACA/CCND1/GSK3A/AURKA/CAMKK1/SGK1/RPS6KB1/GRK1/AKT2/CDK5/MTOR/AKT3/CDK6/CDK7/CDK16/CDK4/CSNK2A1/CDKN1B/CDK9/CDK2/CDK1/MAPK1/CDKN1A/CCND3/CSNK2A2/RPS6KA5/MAPK14/MAPK3/RPS6KA3/RPS6KA2/RPS6KA1/MAPK8/MAPK9"
"2","hsa05165","Human papillomavirus infection","33/94","330/7843",1.9796437466693e-22,1.38575062266851e-20,3.9592874933386e-21,33,"kg","ChemoRes","5567/5728/472/1978/207/2932/1385/5568/5566/595/6198/208/7157/2475/10000/2308/1499/1021/2033/1019/1027/5663/1017/5925/5594/5934/1026/896/7249/894/1387/5595/572","PRKACB/PTEN/ATM/EIF4EBP1/AKT1/GSK3B/CREB1/PRKACG/PRKACA/CCND1/RPS6KB1/AKT2/TP53/MTOR/AKT3/FOXO1/CTNNB1/CDK6/EP300/CDK4/CDKN1B/PSEN1/CDK2/RB1/MAPK1/RBL2/CDKN1A/CCND3/TSC2/CCND2/CREBBP/MAPK3/BAD"
"3","hsa04151","PI3K-Akt signaling pathway","29/94","354/7843",3.19062095904837e-17,3.35015200700079e-16,9.57186287714511e-17,29,"kg","ChemoRes","5728/1978/3082/207/2932/1385/595/6446/6198/672/208/7157/2475/4846/10000/1021/1019/11140/1027/1017/5594/5934/1026/896/1386/7249/894/5595/572","PTEN/EIF4EBP1/HGF/AKT1/GSK3B/CREB1/CCND1/SGK1/RPS6KB1/BRCA1/AKT2/TP53/MTOR/NOS3/AKT3/CDK6/CDK4/CDC37/CDKN1B/CDK2/MAPK1/RBL2/CDKN1A/CCND3/ATF2/TSC2/CCND2/MAPK3/BAD"
"4","hsa04218","Cellular senescence","29/94","160/7843",3.45721630777923e-27,3.63007712316819e-25,1.03716489233377e-25,29,"kg","ChemoRes","5728/11200/472/1978/3552/207/5499/5501/5500/595/208/7157/2475/10000/2308/1021/1019/1017/983/5925/5594/5934/1026/896/4088/7249/894/1432/5595","PTEN/CHEK2/ATM/EIF4EBP1/IL1A/AKT1/PPP1CA/PPP1CC/PPP1CB/CCND1/AKT2/TP53/MTOR/AKT3/FOXO1/CDK6/CDK4/CDK2/CDK1/RB1/MAPK1/RBL2/CDKN1A/CCND3/SMAD3/TSC2/CCND2/MAPK14/MAPK3"
"5","GO:1901652","response to peptide","28/112","481/18493",5.01593750235753e-20,3.74188937675872e-17,1.87120868509001e-17,28,"bp","ChemoRes","5567/5728/1978/207/2932/1385/5577/5576/5568/5566/154/2931/6198/208/1020/7157/2475/2308/1019/5770/6714/5663/896/6667/857/7249/1432/6774","PRKACB/PTEN/EIF4EBP1/AKT1/GSK3B/CREB1/PRKAR2B/PRKAR2A/PRKACG/PRKACA/ADRB2/GSK3A/RPS6KB1/AKT2/CDK5/TP53/MTOR/FOXO1/CDK4/PTPN1/SRC/PSEN1/CCND3/SP1/CAV1/TSC2/MAPK14/STAT3"
"6","hsa05166","Human T-cell leukemia virus 1 infection","28/94","219/7843",7.15367454165887e-22,3.75567913437091e-20,1.07305118124883e-20,28,"kg","ChemoRes","5567/5728/11200/472/207/1385/5568/5566/595/208/7157/10000/2033/1019/1017/5925/5594/1026/896/3725/4088/1386/894/1387/5595/2353/5599/5601","PRKACB/PTEN/CHEK2/ATM/AKT1/CREB1/PRKACG/PRKACA/CCND1/AKT2/TP53/AKT3/EP300/CDK4/CDK2/RB1/MAPK1/CDKN1A/CCND3/JUN/SMAD3/ATF2/CCND2/CREBBP/MAPK3/FOS/MAPK8/MAPK9"
"7","GO:0018105","peptidyl-serine phosphorylation","27/112","282/18493",5.13484496583948e-25,1.91529717225813e-21,9.57783713628164e-22,27,"bp","ChemoRes","11200/472/3082/207/2932/10142/5566/6790/6446/6198/208/1020/2475/10000/1457/6714/1017/983/5594/1459/857/9252/1432/5595/6197/5599/5601","CHEK2/ATM/HGF/AKT1/GSK3B/AKAP9/PRKACA/AURKA/SGK1/RPS6KB1/AKT2/CDK5/MTOR/AKT3/CSNK2A1/SRC/CDK2/CDK1/MAPK1/CSNK2A2/CAV1/RPS6KA5/MAPK14/MAPK3/RPS6KA3/MAPK8/MAPK9"
"8","GO:0018209","peptidyl-serine modification","27/112","301/18493",2.98042663364977e-24,5.55849567175682e-21,2.77963999727757e-21,27,"bp","ChemoRes","11200/472/3082/207/2932/10142/5566/6790/6446/6198/208/1020/2475/10000/1457/6714/1017/983/5594/1459/857/9252/1432/5595/6197/5599/5601","CHEK2/ATM/HGF/AKT1/GSK3B/AKAP9/PRKACA/AURKA/SGK1/RPS6KB1/AKT2/CDK5/MTOR/AKT3/CSNK2A1/SRC/CDK2/CDK1/MAPK1/CSNK2A2/CAV1/RPS6KA5/MAPK14/MAPK3/RPS6KA3/MAPK8/MAPK9"
"9","hsa05203","Viral carcinogenesis","27/94","201/7843",1.16045260651878e-21,4.87390094737888e-20,1.39254312782254e-20,27,"kg","ChemoRes","5567/1385/5568/5566/55869/595/3017/7157/1021/2033/1019/6714/1027/1017/983/5925/5594/5934/1026/896/3725/1386/894/1387/5595/6774/572","PRKACB/CREB1/PRKACG/PRKACA/HDAC8/CCND1/HIST1H2BD/TP53/CDK6/EP300/CDK4/SRC/CDKN1B/CDK2/CDK1/RB1/MAPK1/RBL2/CDKN1A/CCND3/JUN/ATF2/CCND2/CREBBP/MAPK3/STAT3/BAD"
"10","GO:1901653","cellular response to peptide","26/112","356/18493",4.50122823598072e-21,4.19739533005202e-18,2.09899379846259e-18,26,"bp","ChemoRes","5567/5728/1978/207/2932/1385/5577/5576/5568/5566/154/2931/6198/208/1020/7157/2308/1019/5770/6714/5663/896/6667/857/7249/6774","PRKACB/PTEN/EIF4EBP1/AKT1/GSK3B/CREB1/PRKAR2B/PRKAR2A/PRKACG/PRKACA/ADRB2/GSK3A/RPS6KB1/AKT2/CDK5/TP53/FOXO1/CDK4/PTPN1/SRC/PSEN1/CCND3/SP1/CAV1/TSC2/STAT3"
