"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0006260","DNA replication","86/214","268/18493",1.20450236536931e-104,3.52678292580134e-101,2.47493538652726e-101,86,"bp","ChemoRes","10111/641/7156/80010/57697/6117/6119/6118/378708/201254/5982/5981/672/5984/4683/2956/4361/472/545/5888/580/675/5932/7486/5111/7014/5426/5424/5422/3978/890/23649/1017/1111/983/7150/5425/5557/10714/5558/57804/54107/5427/5884/5983/5985/3364/2237/3981/11200/7013/3980/4999/8243/63922/79075/5429/65057/11277/83990/63967/5423/4998/81620/990/4171/4176/4173/4172/8317/23594/5001/10926/5000/4175/8318/23595/55388/4174/898/1025/6241/3725/9134/11198/10036","RAD50/BLM/TOP3A/RMI1/FANCM/RPA1/RPA3/RPA2/CENPS/CENPX/RFC2/RFC1/BRCA1/RFC4/NBN/MSH6/MRE11/ATM/ATR/RAD51/BARD1/BRCA2/RBBP8/WRN/PCNA/TERF2/POLE/POLD1/POLA1/LIG1/CCNA2/POLA2/CDK2/CHEK1/CDK1/TOP1/POLD2/PRIM1/POLD3/PRIM2/POLD4/POLE3/POLE2/RAD17/RFC3/RFC5/HUS1/FEN1/LIG4/CHEK2/TERF1/LIG3/ORC2/SMC1A/CHTF18/DSCC1/POLH/ACD/TREX1/BRIP1/CLSPN/POLB/ORC1/CDT1/CDC6/MCM2/MCM7/MCM4/MCM3/CDC7/ORC6/ORC5/DBF4/ORC4/MCM6/CDC45/ORC3/MCM10/MCM5/CCNE1/CDK9/RRM2/JUN/CCNE2/SUPT16H/CHAF1A"
"2","GO:0044843","cell cycle G1/S phase transition","66/214","282/18493",9.81267651921089e-69,7.18287921206237e-66,5.04061699092096e-66,66,"bp","ChemoRes","6117/6119/6118/472/571/5932/5111/5591/5426/5422/890/23649/1017/891/983/5557/5558/56655/54107/5427/7157/11200/4999/995/1869/328/4998/81620/990/4171/8900/1026/5925/4176/4173/4172/8317/23594/5001/10926/5000/4175/8318/23595/55388/1019/1029/595/4174/1021/1027/4609/5934/2033/5933/898/6502/4194/6241/993/1874/894/4193/5371/9134/896","RPA1/RPA3/RPA2/ATM/BACH1/RBBP8/PCNA/PRKDC/POLE/POLA1/CCNA2/POLA2/CDK2/CCNB1/CDK1/PRIM1/PRIM2/POLE4/POLE3/POLE2/TP53/CHEK2/ORC2/CDC25C/E2F1/APEX1/ORC1/CDT1/CDC6/MCM2/CCNA1/CDKN1A/RB1/MCM7/MCM4/MCM3/CDC7/ORC6/ORC5/DBF4/ORC4/MCM6/CDC45/ORC3/MCM10/CDK4/CDKN2A/CCND1/MCM5/CDK6/CDKN1B/MYC/RBL2/EP300/RBL1/CCNE1/SKP2/MDM4/RRM2/CDC25A/E2F4/CCND2/MDM2/PML/CCNE2/CCND3"
"3","GO:0000082","G1/S transition of mitotic cell cycle","65/214","263/18493",2.40097295635887e-69,2.34334960540625e-66,1.64445586344299e-66,65,"bp","ChemoRes","6117/6119/6118/472/571/5932/5111/5591/5426/5422/23649/1017/891/983/5557/5558/56655/54107/5427/7157/11200/4999/995/1869/328/4998/81620/990/4171/8900/1026/5925/4176/4173/4172/8317/23594/5001/10926/5000/4175/8318/23595/55388/1019/1029/595/4174/1021/1027/4609/5934/2033/5933/898/6502/4194/6241/993/1874/894/4193/5371/9134/896","RPA1/RPA3/RPA2/ATM/BACH1/RBBP8/PCNA/PRKDC/POLE/POLA1/POLA2/CDK2/CCNB1/CDK1/PRIM1/PRIM2/POLE4/POLE3/POLE2/TP53/CHEK2/ORC2/CDC25C/E2F1/APEX1/ORC1/CDT1/CDC6/MCM2/CCNA1/CDKN1A/RB1/MCM7/MCM4/MCM3/CDC7/ORC6/ORC5/DBF4/ORC4/MCM6/CDC45/ORC3/MCM10/CDK4/CDKN2A/CCND1/MCM5/CDK6/CDKN1B/MYC/RBL2/EP300/RBL1/CCNE1/SKP2/MDM4/RRM2/CDC25A/E2F4/CCND2/MDM2/PML/CCNE2/CCND3"
"4","GO:0006261","DNA-dependent DNA replication","61/214","148/18493",7.16018008312421e-81,1.04825036416938e-77,7.35614290645182e-78,61,"bp","ChemoRes","641/57697/6117/6119/6118/378708/201254/5982/5981/5984/4683/2956/4361/5888/675/7486/5111/7014/5426/5424/5422/3978/23649/1017/5425/5557/10714/5558/57804/5427/5983/5985/2237/11200/7013/3980/4999/8243/63922/79075/65057/5423/4998/81620/990/4171/4176/4173/4172/8317/23594/5001/5000/4175/8318/23595/55388/4174/898/1025/9134","BLM/FANCM/RPA1/RPA3/RPA2/CENPS/CENPX/RFC2/RFC1/RFC4/NBN/MSH6/MRE11/RAD51/BRCA2/WRN/PCNA/TERF2/POLE/POLD1/POLA1/LIG1/POLA2/CDK2/POLD2/PRIM1/POLD3/PRIM2/POLD4/POLE2/RFC3/RFC5/FEN1/CHEK2/TERF1/LIG3/ORC2/SMC1A/CHTF18/DSCC1/ACD/POLB/ORC1/CDT1/CDC6/MCM2/MCM7/MCM4/MCM3/CDC7/ORC6/ORC5/ORC4/MCM6/CDC45/ORC3/MCM10/MCM5/CCNE1/CDK9/CCNE2"
"5","GO:0098687","chromosomal region","61/215","346/19659",1.19291454662465e-56,1.3837808740846e-54,9.35496144458281e-55,61,"cc","ChemoRes","84295/10111/641/6117/6118/378708/201254/4683/4361/4436/55655/55655/472/545/5888/64421/675/3014/7486/5111/5591/7520/7014/142/5424/1017/891/1111/983/5884/2547/2237/54386/3981/7515/11200/7158/26277/7013/4999/8243/79075/65057/25913/328/4998/81620/4171/4176/4173/4172/5001/5000/4175/23595/4174/5499/5371/8850/1051/5501/9031","PHF6/RAD50/BLM/RPA1/RPA2/CENPS/CENPX/NBN/MRE11/MSH2//NLRP2/ATM/ATR/RAD51/DCLRE1C/BRCA2/H2AFX/WRN/PCNA/PRKDC/XRCC5/TERF2/PARP1/POLD1/CDK2/CCNB1/CHEK1/CDK1/RAD17/XRCC6/FEN1/TERF2IP/LIG4/XRCC1/CHEK2/TP53BP1/TINF2/TERF1/ORC2/SMC1A/DSCC1/ACD/POT1/APEX1/ORC1/CDT1/MCM2/MCM7/MCM4/MCM3/ORC5/ORC4/MCM6/ORC3/MCM5/PPP1CA/PML/KAT2B/CEBPB/PPP1CC/BAZ1B"
"6","hsa04110","Cell cycle","60/180","124/7843",4.312927431082e-68,7.41823518146103e-66,5.22091215341505e-66,60,"kg","ChemoRes","472/545/5111/5591/890/1017/891/1111/983/7157/11200/4999/8243/995/1869/25/4998/990/4171/8900/1026/9133/5925/4176/4173/4172/8317/23594/5001/10926/5000/4175/8318/23595/1019/1029/595/4174/1021/1027/4609/5934/1022/51343/2033/3065/5933/898/6502/993/1874/894/4193/1387/1875/4088/1028/9134/896/3066","ATM/ATR/PCNA/PRKDC/CCNA2/CDK2/CCNB1/CHEK1/CDK1/TP53/CHEK2/ORC2/SMC1A/CDC25C/E2F1/ABL1/ORC1/CDC6/MCM2/CCNA1/CDKN1A/CCNB2/RB1/MCM7/MCM4/MCM3/CDC7/ORC6/ORC5/DBF4/ORC4/MCM6/CDC45/ORC3/CDK4/CDKN2A/CCND1/MCM5/CDK6/CDKN1B/MYC/RBL2/CDK7/FZR1/EP300/HDAC1/RBL1/CCNE1/SKP2/CDC25A/E2F4/CCND2/MDM2/CREBBP/E2F5/SMAD3/CDKN1C/CCNE2/CCND3/HDAC2"
"7","GO:0051052","regulation of DNA metabolic process","58/214","412/18493",1.51440839768473e-46,4.03107980765535e-44,2.82882793519674e-44,58,"bp","ChemoRes","2187/5893/3082/10111/641/6118/4292/5982/672/5984/4683/2956/4361/4436/472/545/5888/3014/7486/5111/7520/7014/142/890/1017/1111/983/5884/7157/5983/5985/3364/54386/7515/11200/200558/7158/26277/7013/51720/3980/8243/63922/84142/79075/5429/65057/25913/81620/990/79184/9577/8317/10926/4609/1025/3725/5371","FANCB/RAD52/HGF/RAD50/BLM/RPA2/MLH1/RFC2/BRCA1/RFC4/NBN/MSH6/MRE11/MSH2/ATM/ATR/RAD51/H2AFX/WRN/PCNA/XRCC5/TERF2/PARP1/CCNA2/CDK2/CHEK1/CDK1/RAD17/TP53/RFC3/RFC5/HUS1/TERF2IP/XRCC1/CHEK2/APLF/TP53BP1/TINF2/TERF1/UIMC1/LIG3/SMC1A/CHTF18/ABRAXAS1/DSCC1/POLH/ACD/POT1/CDT1/CDC6/BRCC3/BABAM2/CDC7/DBF4/MYC/CDK9/JUN/PML"
"8","GO:0009314","response to radiation","52/214","443/18493",1.81703420718816e-37,2.21678173276955e-35,1.55563630369793e-35,52,"bp","ChemoRes","867/641/2189/672/2956/4436/472/2177/545/11073/5888/64421/3014/7486/5111/5591/7520/142/5424/1111/54107/7157/2547/5883/3364/5810/2237/3981/11200/7158/7518/51720/79840/8243/84142/5429/5423/79184/9577/1026/595/4609/1020/2033/84152/993/5499/3725/4193/5371/1387/5501","CBL/BLM/FANCG/BRCA1/MSH6/MSH2/ATM/FANCD2/ATR/TOPBP1/RAD51/DCLRE1C/H2AFX/WRN/PCNA/PRKDC/XRCC5/PARP1/POLD1/CHEK1/POLE3/TP53/XRCC6/RAD9A/HUS1/RAD1/FEN1/LIG4/CHEK2/TP53BP1/XRCC4/UIMC1/NHEJ1/SMC1A/ABRAXAS1/POLH/POLB/BRCC3/BABAM2/CDKN1A/CCND1/MYC/CDK5/EP300/PPP1R1B/CDC25A/PPP1CA/JUN/MDM2/PML/CREBBP/PPP1CC"
"9","GO:0000781","chromosome, telomeric region","51/215","158/19659",6.47227541144383e-62,1.50156789545497e-59,1.01512530137382e-59,51,"cc","ChemoRes","10111/641/6117/6118/4683/4361/4436/55655/55655/472/545/5888/64421/675/3014/7486/5111/5591/7520/7014/142/5424/1017/1111/983/5884/2547/2237/54386/3981/7515/11200/7158/26277/7013/4999/65057/25913/328/4998/4171/4176/4173/4172/5001/5000/4175/23595/4174/5499/5371/5501","RAD50/BLM/RPA1/RPA2/NBN/MRE11/MSH2//NLRP2/ATM/ATR/RAD51/DCLRE1C/BRCA2/H2AFX/WRN/PCNA/PRKDC/XRCC5/TERF2/PARP1/POLD1/CDK2/CHEK1/CDK1/RAD17/XRCC6/FEN1/TERF2IP/LIG4/XRCC1/CHEK2/TP53BP1/TINF2/TERF1/ORC2/ACD/POT1/APEX1/ORC1/MCM2/MCM7/MCM4/MCM3/ORC5/ORC4/MCM6/ORC3/MCM5/PPP1CA/PML/PPP1CC"
"10","GO:0010948","negative regulation of cell cycle process","51/214","304/18493",9.68641642613635e-45,1.89078848638182e-42,1.3268691132504e-42,51,"bp","ChemoRes","641/6118/672/4683/2956/4361/472/11073/5888/5932/5111/5591/7014/1017/891/1111/983/5884/7157/3364/5810/11200/7013/51720/8243/84142/995/1869/63967/4998/81620/990/79184/9577/1026/5925/8317/1019/595/1027/5934/51343/2033/5933/1025/4194/6241/1874/4193/5371/8850","BLM/RPA2/BRCA1/NBN/MSH6/MRE11/ATM/TOPBP1/RAD51/RBBP8/PCNA/PRKDC/TERF2/CDK2/CCNB1/CHEK1/CDK1/RAD17/TP53/HUS1/RAD1/CHEK2/TERF1/UIMC1/SMC1A/ABRAXAS1/CDC25C/E2F1/CLSPN/ORC1/CDT1/CDC6/BRCC3/BABAM2/CDKN1A/RB1/CDC7/CDK4/CCND1/CDKN1B/RBL2/FZR1/EP300/RBL1/CDK9/MDM4/RRM2/E2F4/MDM2/PML/KAT2B"
