"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0000790","nuclear chromatin","119/323","369/19659",1.64454587657199e-125,5.64079235664192e-123,4.15464221449766e-123,119,"cc","ChemoRes","4088/440093/6667/7157/2099/1051/367/3727/1387/6929/4208/6256/8352/8357/8356/8355/8354/8353/8351/8358/8968/8350/4678/25842/8208/8520/55723/121504/10036/79711/5928/8361/8368/8370/8366/8367/8364/8365/8362/8363/8360/554313/8294/3008/8359/1058/23468/3065/5931/3020/6597/8467/9611/6599/6598/6595/6601/6908/6602/3066/5925/6872/8290/8289/25942/9219/53615/23028/1107/86/6603/8932/1108/6605/57459/5977/6604/8202/10951/9612/8648/3725/5970/4609/54815/57492/4087/6774/6886/11335/10155/57504/9112/4654/1869/23309/25855/1457/6722/55193/60/51412/64426/9739/9070/7528/5914/1025/10891/8805/8204/11177/6688/7068/860/4089/3622/79595/3146","SMAD3/H3F3C/SP1/TP53/ESR1/CEBPB/AR/JUND/CREBBP/TCF3/MEF2C/RXRA/HIST1H3C/HIST1H3H/HIST1H3J/HIST1H3G/HIST1H3I/HIST1H3E/HIST1H3D/HIST1H3B/HIST1H3F/HIST1H3A/NASP/ASF1A/CHAF1B/HAT1/ASF1B/HIST4H4/CHAF1A/IPO4/RBBP4/HIST1H4F/HIST1H4L/HIST2H4A/HIST1H4B/HIST1H4E/HIST1H4C/HIST1H4H/HIST1H4K/HIST1H4J/HIST1H4D/HIST2H4B/HIST1H4I/HIST1H1E/HIST1H4A/CENPA/CBX5/HDAC1/RBBP7/H3F3A/SMARCA4/SMARCA5/NCOR1/SMARCC1/SMARCB1/SMARCA2/SMARCC2/TBP/SMARCD1/HDAC2/RB1/TAF1/HIST3H3/ARID1A/SIN3A/MTA2/MBD3/KDM1A/CHD3/ACTL6A/SMARCD2/MBD2/CHD4/SMARCE1/GATAD2B/DPF2/SMARCD3/NCOA3/CBX1/NCOR2/NCOA1/JUN/RELA/MYC/GATAD2A/ARID1B/SMAD2/STAT3/TAL1/CBX3/TRIM28/MTA3/MTA1/MYOD1/E2F1/SIN3B/BRMS1/CSNK2A1/SRF/PBRM1/ACTB/ACTL6B/SUDS3/SETD1A/ASH2L/YY1/RARA/CDK9/PPARGC1A/TRIM24/NRIP1/BAZ1A/SPI1/THRB/RUNX2/SMAD4/ING2/SAP130/HMGB1"
"2","GO:0016569","covalent chromatin modification","83/324","470/18493",8.27394618485259e-60,8.66075316899445e-57,4.81848497554705e-57,83,"bp","ChemoRes","2033/5578/5599/1386/5595/9252/1387/4602/891/8520/5928/51230/55352/9682/29117/3008/9759/672/10419/387893/10013/10014/6839/3065/5931/80854/6598/11091/3066/8841/6872/8819/25942/51742/4297/10284/9219/6880/5929/53615/6883/23028/1107/86/8932/1108/5977/9031/2959/8202/23186/8850/1487/8648/10498/10155/57504/9112/85509/4654/23309/25855/51317/10362/1017/64426/3054/9739/9070/8473/1025/6830/10891/604/9734/11177/6688/4204/983/4089/3622/5926/408","EP300/PRKCA/MAPK8/ATF2/MAPK3/RPS6KA5/CREBBP/MYB/CCNB1/HAT1/RBBP4/PHF20/COPRS/KDM4A/BRD7/HIST1H1E/HDAC4/BRCA1/PRMT5/KMT5A/HDAC6/HDAC5/SUV39H1/HDAC1/RBBP7/SETD7/SMARCB1/WDR5/HDAC2/HDAC3/TAF1/SAP30/SIN3A/ARID4B/KMT2A/SAP18/MTA2/TAF9/RBBP5/MBD3/TAF12/KDM1A/CHD3/ACTL6A/MBD2/CHD4/DPF2/BAZ1B/GTF2B/NCOA3/RCOR1/KAT2B/CTBP1/NCOA1/CARM1/TRIM28/MTA3/MTA1/MBD3L1/MYOD1/SIN3B/BRMS1/PHF21A/HMG20B/CDK2/SUDS3/HCFC1/SETD1A/ASH2L/OGT/CDK9/SUPT6H/PPARGC1A/BCL6/HDAC9/BAZ1A/SPI1/MECP2/CDK1/SMAD4/ING2/ARID4A/ARRB1"
"3","GO:0016570","histone modification","80/324","456/18493",2.59189046889698e-57,1.20580504369685e-54,6.708600710724e-55,80,"bp","ChemoRes","2033/5578/5599/1386/5595/9252/1387/4602/891/8520/5928/51230/55352/9682/29117/3008/9759/672/10419/387893/10013/10014/6839/3065/5931/80854/6598/11091/3066/8841/6872/8819/25942/51742/4297/10284/9219/6880/5929/53615/6883/23028/1107/86/1108/5977/9031/2959/8202/23186/8850/1487/8648/10498/57504/9112/4654/23309/25855/51317/10362/1017/64426/3054/9739/9070/8473/1025/6830/10891/604/9734/11177/6688/4204/983/4089/3622/5926/408","EP300/PRKCA/MAPK8/ATF2/MAPK3/RPS6KA5/CREBBP/MYB/CCNB1/HAT1/RBBP4/PHF20/COPRS/KDM4A/BRD7/HIST1H1E/HDAC4/BRCA1/PRMT5/KMT5A/HDAC6/HDAC5/SUV39H1/HDAC1/RBBP7/SETD7/SMARCB1/WDR5/HDAC2/HDAC3/TAF1/SAP30/SIN3A/ARID4B/KMT2A/SAP18/MTA2/TAF9/RBBP5/MBD3/TAF12/KDM1A/CHD3/ACTL6A/CHD4/DPF2/BAZ1B/GTF2B/NCOA3/RCOR1/KAT2B/CTBP1/NCOA1/CARM1/MTA3/MTA1/MYOD1/SIN3B/BRMS1/PHF21A/HMG20B/CDK2/SUDS3/HCFC1/SETD1A/ASH2L/OGT/CDK9/SUPT6H/PPARGC1A/BCL6/HDAC9/BAZ1A/SPI1/MECP2/CDK1/SMAD4/ING2/ARID4A/ARRB1"
"4","GO:0030099","myeloid cell differentiation","77/324","405/18493",7.74220996041864e-58,5.40277218404548e-55,3.00587906007131e-55,77,"bp","ChemoRes","2068/1030/3815/2056/2033/5578/1432/1051/2113/2353/1387/7538/1053/4208/8352/8357/8356/8355/8354/8353/8351/8358/8968/8350/121504/8361/8368/26013/8370/8366/8367/8364/8365/8362/8363/8360/554313/8294/8359/3065/3020/11091/5925/2623/25942/5371/4297/5929/8850/3725/23054/861/4609/6774/6886/3091/6722/142/9739/9070/5914/7704/5469/5468/3516/604/126961/7067/3303/5971/6688/1050/6714/10401/5926/3146/28996","ERCC2/CDKN2B/KIT/EPO/EP300/PRKCA/MAPK14/CEBPB/ETS1/FOS/CREBBP//CEBPE/MEF2C/HIST1H3C/HIST1H3H/HIST1H3J/HIST1H3G/HIST1H3I/HIST1H3E/HIST1H3D/HIST1H3B/HIST1H3F/HIST1H3A/HIST4H4/HIST1H4F/HIST1H4L/L3MBTL1/HIST2H4A/HIST1H4B/HIST1H4E/HIST1H4C/HIST1H4H/HIST1H4K/HIST1H4J/HIST1H4D/HIST2H4B/HIST1H4I/HIST1H4A/HDAC1/H3F3A/WDR5/RB1/GATA1/SIN3A/PML/KMT2A/RBBP5/KAT2B/JUN/NCOA6/RUNX1/MYC/STAT3/TAL1/HIF1A/SRF/PARP1/SETD1A/ASH2L/RARA/ZBTB16/MED1/PPARG/RBPJ/BCL6/HIST2H3C/THRA/HSPA1A/RELB/SPI1/CEBPA/SRC/PIAS3/ARID4A/HMGB1/HIPK2"
"5","GO:0071824","protein-DNA complex subunit organization","77/324","290/18493",8.37636286144819e-70,3.50718313008836e-66,1.95125168551419e-66,77,"bp","ChemoRes","2068/2071/440093/7157/2099/8352/8357/8356/8355/8354/8353/8351/8358/8968/8350/4678/25842/8208/8520/55723/121504/10036/79711/5928/8361/8368/8370/8366/8367/8364/8365/8362/8363/8360/554313/8294/3008/8359/55355/1058/1616/5931/3020/6597/8467/6599/6598/6601/6908/6602/5925/6872/8290/8289/6880/6878/6883/6603/6605/6604/2959/2960/2965/10589/2967/4609/11198/1022/196528/55193/142/5757/6830/126961/7067/7316/3146","ERCC2/ERCC3/H3F3C/TP53/ESR1/HIST1H3C/HIST1H3H/HIST1H3J/HIST1H3G/HIST1H3I/HIST1H3E/HIST1H3D/HIST1H3B/HIST1H3F/HIST1H3A/NASP/ASF1A/CHAF1B/HAT1/ASF1B/HIST4H4/CHAF1A/IPO4/RBBP4/HIST1H4F/HIST1H4L/HIST2H4A/HIST1H4B/HIST1H4E/HIST1H4C/HIST1H4H/HIST1H4K/HIST1H4J/HIST1H4D/HIST2H4B/HIST1H4I/HIST1H1E/HIST1H4A/HJURP/CENPA/DAXX/RBBP7/H3F3A/SMARCA4/SMARCA5/SMARCC1/SMARCB1/SMARCC2/TBP/SMARCD1/RB1/TAF1/HIST3H3/ARID1A/TAF9/TAF6/TAF12/SMARCD2/SMARCE1/SMARCD3/GTF2B/GTF2E1/GTF2H1/DRAP1/GTF2H3/MYC/SUPT16H/CDK7/ARID2/PBRM1/PARP1/PTMA/SUPT6H/HIST2H3C/THRA/UBC/HMGB1"
"6","GO:0006352","DNA-templated transcription, initiation","67/324","248/18493",4.77423853256085e-61,9.99486836791614e-58,5.56073151187219e-58,67,"bp","ChemoRes","2068/8061/2071/7157/2099/367/5595/2908/1387/5465/6256/121504/8361/8368/8370/8366/8367/8364/8365/8362/8363/8360/554313/8294/8359/6597/8467/6598/6908/6872/6880/6878/6883/7421/2959/1024/8850/2962/2960/2965/5430/5430/892/10589/2967/3164/3725/23054/10155/1022/2969/6722/5914/5469/5468/1025/3516/10891/7067/3172/2100/7068/595/1026/5241/4851/860/3146","ERCC2/FOSL1/ERCC3/TP53/ESR1/AR/MAPK3/NR3C1/CREBBP/PPARA/RXRA/HIST4H4/HIST1H4F/HIST1H4L/HIST2H4A/HIST1H4B/HIST1H4E/HIST1H4C/HIST1H4H/HIST1H4K/HIST1H4J/HIST1H4D/HIST2H4B/HIST1H4I/HIST1H4A/SMARCA4/SMARCA5/SMARCB1/TBP/TAF1/TAF9/TAF6/TAF12/VDR/GTF2B/CDK8/KAT2B/GTF2F1/GTF2E1/GTF2H1/POLR2A//CCNC/DRAP1/GTF2H3/NR4A1/JUN/NCOA6/TRIM28/CDK7/GTF2I/SRF/RARA/MED1/PPARG/CDK9/RBPJ/PPARGC1A/THRA/HNF4A/ESR2/THRB/CCND1/CDKN1A/PGR/NOTCH1/RUNX2/HMGB1"
"7","GO:0005667","transcription factor complex","66/323","356/19659",2.48205251901576e-50,4.25672007011203e-48,3.13522423454622e-48,66,"cc","ChemoRes","2068/2071/4088/2033/7157/1051/2113/3727/2353/5465/6929/6256/3065/6908/5925/2623/6872/25942/9219/6880/6878/6883/23028/7421/2959/23186/2962/2960/2965/2967/1487/3164/3725/23054/861/5970/10498/4087/6774/6886/10155/3091/1022/4654/1869/142/1017/3326/5451/7528/5914/5468/3516/9734/7067/1050/4841/7068/2547/5591/860/5933/4089/3622/196/28996","ERCC2/ERCC3/SMAD3/EP300/TP53/CEBPB/ETS1/JUND/FOS/PPARA/TCF3/RXRA/HDAC1/TBP/RB1/GATA1/TAF1/SIN3A/MTA2/TAF9/TAF6/TAF12/KDM1A/VDR/GTF2B/RCOR1/GTF2F1/GTF2E1/GTF2H1/GTF2H3/CTBP1/NR4A1/JUN/NCOA6/RUNX1/RELA/CARM1/SMAD2/STAT3/TAL1/TRIM28/HIF1A/CDK7/MYOD1/E2F1/PARP1/CDK2/HSP90AB1/POU2F1/YY1/RARA/PPARG/RBPJ/HDAC9/THRA/CEBPA/NONO/THRB/XRCC6/PRKDC/RUNX2/RBL1/SMAD4/ING2/AHR/HIPK2"
"8","GO:1903706","regulation of hemopoiesis","65/324","418/18493",8.07676989677108e-43,1.77986502935687e-40,9.90243311997474e-41,65,"bp","ChemoRes","64332/2033/5578/1432/1051/2113/2353/1387/4602/7538/6929/4208/8352/8357/8356/8355/8354/8353/8351/8358/8968/8350/121504/8361/8368/26013/8370/8366/8367/8364/8365/8362/8363/8360/554313/8294/8359/3065/3020/11091/5925/2623/25942/4297/5929/8850/3725/861/4609/6774/6886/3091/9739/9070/5914/7704/5469/604/126961/3303/6688/4851/10401/3146/7161","NFKBIZ/EP300/PRKCA/MAPK14/CEBPB/ETS1/FOS/CREBBP/MYB//TCF3/MEF2C/HIST1H3C/HIST1H3H/HIST1H3J/HIST1H3G/HIST1H3I/HIST1H3E/HIST1H3D/HIST1H3B/HIST1H3F/HIST1H3A/HIST4H4/HIST1H4F/HIST1H4L/L3MBTL1/HIST2H4A/HIST1H4B/HIST1H4E/HIST1H4C/HIST1H4H/HIST1H4K/HIST1H4J/HIST1H4D/HIST2H4B/HIST1H4I/HIST1H4A/HDAC1/H3F3A/WDR5/RB1/GATA1/SIN3A/KMT2A/RBBP5/KAT2B/JUN/RUNX1/MYC/STAT3/TAL1/HIF1A/SETD1A/ASH2L/RARA/ZBTB16/MED1/BCL6/HIST2H3C/HSPA1A/SPI1/NOTCH1/PIAS3/HMGB1/TP73"
"9","GO:0065004","protein-DNA complex assembly","63/324","254/18493",9.30263285144939e-55,3.89501237490186e-52,2.16702384213237e-52,63,"bp","ChemoRes","2068/2071/440093/7157/2099/8352/8357/8356/8355/8354/8353/8351/8358/8968/8350/4678/25842/8208/8520/55723/121504/10036/79711/5928/8361/8368/8370/8366/8367/8364/8365/8362/8363/8360/554313/8294/3008/8359/55355/1058/1616/5931/3020/6597/8467/6598/6908/5925/6872/8290/6880/6878/6883/2959/2965/10589/2967/1022/142/126961/7067/7316/3146","ERCC2/ERCC3/H3F3C/TP53/ESR1/HIST1H3C/HIST1H3H/HIST1H3J/HIST1H3G/HIST1H3I/HIST1H3E/HIST1H3D/HIST1H3B/HIST1H3F/HIST1H3A/NASP/ASF1A/CHAF1B/HAT1/ASF1B/HIST4H4/CHAF1A/IPO4/RBBP4/HIST1H4F/HIST1H4L/HIST2H4A/HIST1H4B/HIST1H4E/HIST1H4C/HIST1H4H/HIST1H4K/HIST1H4J/HIST1H4D/HIST2H4B/HIST1H4I/HIST1H1E/HIST1H4A/HJURP/CENPA/DAXX/RBBP7/H3F3A/SMARCA4/SMARCA5/SMARCB1/TBP/RB1/TAF1/HIST3H3/TAF9/TAF6/TAF12/GTF2B/GTF2H1/DRAP1/GTF2H3/CDK7/PARP1/HIST2H3C/THRA/UBC/HMGB1"
"10","GO:0003713","transcription coactivator activity","61/323","321/17632",2.06429191042605e-44,4.95430058502252e-42,2.99865561725047e-42,61,"mf","ChemoRes","2033/1386/3727/1387/5465/6929/6256/29117/672/1616/6597/6599/6598/6595/6601/6602/5925/6872/8289/5371/9219/6880/6883/23028/5901/86/6603/6605/6604/7421/8202/8850/2962/9412/8648/3725/23054/10499/10498/57492/10155/57504/9112/1022/4654/51412/3054/7528/5914/5469/5468/10891/7067/8805/8204/2100/1050/7068/10987/9325/28996","EP300/ATF2/JUND/CREBBP/PPARA/TCF3/RXRA/BRD7/BRCA1/DAXX/SMARCA4/SMARCC1/SMARCB1/SMARCA2/SMARCC2/SMARCD1/RB1/TAF1/ARID1A/PML/MTA2/TAF9/TAF12/KDM1A/RAN/ACTL6A/SMARCD2/SMARCE1/SMARCD3/VDR/NCOA3/KAT2B/GTF2F1/MED21/NCOA1/JUN/NCOA6/NCOA2/CARM1/ARID1B/TRIM28/MTA3/MTA1/CDK7/MYOD1/ACTL6B/HCFC1/YY1/RARA/MED1/PPARG/PPARGC1A/THRA/TRIM24/NRIP1/ESR2/CEBPA/THRB/COPS5/TRIP4/HIPK2"
