"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","hsa04151","PI3K-Akt signaling pathway","48/115","354/7843",4.94770397706885e-35,1.6739731789083e-33,4.51369485627334e-34,48,"kg","ChemoRes","2064/2056/1969/9134/10110/627/7157/2247/7422/3479/3569/5594/207/4846/3630/1950/1385/1956/4609/5595/2335/3082/595/7099/3558/3565/3717/1440/598/7097/5970/3559/3570/3574/3718/3716/3561/3566/3562/3560/3265/3667/5295/2885/5159/3845/5290/3563","ERBB2/EPO/EPHA2/CCNE2/SGK2/BDNF/TP53/FGF2/VEGFA/IGF1/IL6/MAPK1/AKT1/NOS3/INS/EGF/CREB1/EGFR/MYC/MAPK3/FN1/HGF/CCND1/TLR4/IL2/IL4/JAK2/CSF3/BCL2L1/TLR2/RELA/IL2RA/IL6R/IL7/JAK3/JAK1/IL2RG/IL4R/IL3/IL2RB/HRAS/IRS1/PIK3R1/GRB2/PDGFRB/KRAS/PIK3CA/IL3RA"
"2","hsa04630","JAK-STAT signaling pathway","47/115","162/7843",7.4230423563927e-51,1.50687759834772e-48,4.06313897402548e-49,47,"kg","ChemoRes","2056/6774/3569/207/3952/1950/3586/1956/4609/595/6772/6778/3558/3565/1437/3596/3717/1440/3458/6776/6777/598/3600/3567/3559/3578/3570/3574/3718/3716/3594/149233/3561/3566/50615/59067/3562/3560/5781/3265/5295/2885/5159/5290/1438/3563/3568","EPO/STAT3/IL6/AKT1/LEP/EGF/IL10/EGFR/MYC/CCND1/STAT1/STAT6/IL2/IL4/CSF2/IL13/JAK2/CSF3/IFNG/STAT5A/STAT5B/BCL2L1/IL15/IL5/IL2RA/IL9/IL6R/IL7/JAK3/JAK1/IL12RB1/IL23R/IL2RG/IL4R/IL21R/IL21/IL3/IL2RB/PTPN11/HRAS/PIK3R1/GRB2/PDGFRB/PIK3CA/CSF2RA/IL3RA/IL5RA"
"3","GO:0001819","positive regulation of cytokine production","45/117","422/18493",1.55549432519927e-43,5.67910978130252e-40,2.08763712066217e-40,45,"bp","ChemoRes","3553/5743/3569/3162/7124/3952/3630/3586/1385/2597/5054/5595/3082/7040/7099/6714/1432/6772/6778/3605/3558/3606/3565/1437/3596/3717/3552/3458/6777/7097/6348/5970/958/50943/3600/3578/3570/3574/3594/149233/3566/59067/5781/3265/5295","IL1B/PTGS2/IL6/HMOX1/TNF/LEP/INS/IL10/CREB1/GAPDH/SERPINE1/MAPK3/HGF//TLR4/SRC/MAPK14/STAT1/STAT6/IL17A/IL2/IL18/IL4/CSF2/IL13/JAK2/IL1A/IFNG/STAT5B/TLR2/CCL3/RELA/CD40/FOXP3/IL15/IL9/IL6R/IL7/IL12RB1/IL23R/IL4R/IL21/PTPN11/HRAS/PIK3R1"
"4","GO:0018108","peptidyl-tyrosine phosphorylation","43/117","387/18493",2.91742905449775e-42,4.9854417960377e-39,1.83264521326474e-39,43,"bp","ChemoRes","2064/2056/1969/627/6774/7157/2247/7422/3479/3569/3383/3952/1950/1956/5595/3082/7040/960/6714/3558/3606/3565/1437/3596/3717/1440/3458/6776/6777/958/3600/3567/3570/3718/3716/149233/59067/3562/6464/5159/1438/3563/3568","ERBB2/EPO/EPHA2/BDNF/STAT3/TP53/FGF2/VEGFA/IGF1/IL6/ICAM1/LEP/EGF/EGFR/MAPK3/HGF//CD44/SRC/IL2/IL18/IL4/CSF2/IL13/JAK2/CSF3/IFNG/STAT5A/STAT5B/CD40/IL15/IL5/IL6R/JAK3/JAK1/IL23R/IL21/IL3/SHC1/PDGFRB/CSF2RA/IL3RA/IL5RA"
"5","GO:0018212","peptidyl-tyrosine modification","43/117","390/18493",4.0965010649447e-42,4.9854417960377e-39,1.83264521326474e-39,43,"bp","ChemoRes","2064/2056/1969/627/6774/7157/2247/7422/3479/3569/3383/3952/1950/1956/5595/3082/7040/960/6714/3558/3606/3565/1437/3596/3717/1440/3458/6776/6777/958/3600/3567/3570/3718/3716/149233/59067/3562/6464/5159/1438/3563/3568","ERBB2/EPO/EPHA2/BDNF/STAT3/TP53/FGF2/VEGFA/IGF1/IL6/ICAM1/LEP/EGF/EGFR/MAPK3/HGF//CD44/SRC/IL2/IL18/IL4/CSF2/IL13/JAK2/CSF3/IFNG/STAT5A/STAT5B/CD40/IL15/IL5/IL6R/JAK3/JAK1/IL23R/IL21/IL3/SHC1/PDGFRB/CSF2RA/IL3RA/IL5RA"
"6","GO:0022407","regulation of cell-cell adhesion","40/117","388/18493",7.76678011917322e-38,4.72608570251691e-35,1.73730607928875e-35,40,"bp","ChemoRes","2064/2056/3553/3479/3569/6347/3383/7124/207/3952/3586/999/7040/960/836/6714/1432/8600/7412/6387/3558/3606/3565/3717/3458/6777/50943/3600/3559/3570/3574/3718/3594/149233/3566/59067/5781/5295/2885/5290","ERBB2/EPO/IL1B/IGF1/IL6/CCL2/ICAM1/TNF/AKT1/LEP/IL10/CDH1//CD44/CASP3/SRC/MAPK14/TNFSF11/VCAM1/CXCL12/IL2/IL18/IL4/JAK2/IFNG/STAT5B/FOXP3/IL15/IL2RA/IL6R/IL7/JAK3/IL12RB1/IL23R/IL4R/IL21/PTPN11/PIK3R1/GRB2/PIK3CA"
"7","GO:0045785","positive regulation of cell adhesion","39/117","397/18493",5.08268218012076e-36,1.68698842178372e-33,6.2013586408172e-34,39,"bp","ChemoRes","2064/2056/3553/7422/3479/3569/6347/3383/7124/207/3952/3586/2335/7040/960/6714/8600/7412/6387/3558/3606/3565/3717/3458/6777/50943/3600/3559/3570/3574/3718/3594/149233/3566/59067/5781/5295/2885/5290","ERBB2/EPO/IL1B/VEGFA/IGF1/IL6/CCL2/ICAM1/TNF/AKT1/LEP/IL10/FN1//CD44/SRC/TNFSF11/VCAM1/CXCL12/IL2/IL18/IL4/JAK2/IFNG/STAT5B/FOXP3/IL15/IL2RA/IL6R/IL7/JAK3/IL12RB1/IL23R/IL4R/IL21/PTPN11/PIK3R1/GRB2/PIK3CA"
"8","GO:0050867","positive regulation of cell activation","39/117","384/18493",1.36937570491641e-36,6.03665410296701e-34,2.21907018445788e-34,39,"bp","ChemoRes","2056/3553/3479/3569/6347/207/3952/3586/7040/1490/7099/6714/8600/7412/6778/3558/3606/3565/3596/3717/3458/6777/958/50943/3600/3567/3559/3570/3574/3718/3594/149233/3566/59067/5781/5295/2885/5159/5290","EPO/IL1B/IGF1/IL6/CCL2/AKT1/LEP/IL10//CCN2/TLR4/SRC/TNFSF11/VCAM1/STAT6/IL2/IL18/IL4/IL13/JAK2/IFNG/STAT5B/CD40/FOXP3/IL15/IL5/IL2RA/IL6R/IL7/JAK3/IL12RB1/IL23R/IL4R/IL21/PTPN11/PIK3R1/GRB2/PDGFRB/PIK3CA"
"9","hsa04060","Cytokine-cytokine receptor interaction","39/115","294/7843",1.21424054732114e-27,3.52129758723132e-26,9.49481330236083e-27,39,"kg","ChemoRes","2056/3553/3569/6347/7124/3576/3952/3586/7040/8600/6387/3605/3558/3606/3565/1437/3596/3552/1440/3458/6348/958/3600/3567/3559/3578/3570/3574/3594/149233/3561/3566/50615/59067/3562/3560/1438/3563/3568","EPO/IL1B/IL6/CCL2/TNF/CXCL8/LEP/IL10//TNFSF11/CXCL12/IL17A/IL2/IL18/IL4/CSF2/IL13/IL1A/CSF3/IFNG/CCL3/CD40/IL15/IL5/IL2RA/IL9/IL6R/IL7/IL12RB1/IL23R/IL2RG/IL4R/IL21R/IL21/IL3/IL2RB/CSF2RA/IL3RA/IL5RA"
"10","GO:0005126","cytokine receptor binding","38/119","281/17632",2.27683980550182e-39,7.87786572703631e-37,4.76938022415645e-37,38,"mf","ChemoRes","2056/4087/3553/6774/7422/3569/6347/7124/3576/3586/7040/836/8600/6772/6387/3558/3606/3565/1437/3596/3717/3552/1440/3458/6348/3600/3567/3578/3570/3574/3716/3594/149233/59067/3562/6464/5295/2885","EPO/SMAD2/IL1B/STAT3/VEGFA/IL6/CCL2/TNF/CXCL8/IL10//CASP3/TNFSF11/STAT1/CXCL12/IL2/IL18/IL4/CSF2/IL13/JAK2/IL1A/CSF3/IFNG/CCL3/IL15/IL5/IL9/IL6R/IL7/JAK1/IL12RB1/IL23R/IL21/IL3/SHC1/PIK3R1/GRB2"
