"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0006260","DNA replication","107/313","268/18493",6.9718245459693e-123,1.70182237167111e-119,1.2483235318625e-119,107,"bp","ChemoRes","2237/146956/353497/197342/84464/57697/201254/378708/641/80010/7156/675/84126/6117/6119/545/5884/6118/3364/672/5985/83990/5982/116028/5983/5984/5888/580/1763/9156/1111/7486/5932/4361/10111/4683/472/54962/10524/348654/5429/63967/8914/5111/57804/5981/5427/5424/5426/10714/5425/51426/54107/5980/2956/11200/3978/51455/4171/3981/3980/4437/91603/6749/11198/1025/1017/4173/4172/5422/890/4176/4175/4174/8318/9401/11169/983/51514/5557/63922/9126/84515/23649/4999/990/5001/23595/5558/23594/8317/10926/5000/55388/29935/4998/254394/81620/6240/79915/79075/84296/51659/9768/9837/64785/157777","FEN1/EME1/POLN/EME2/SLX4/FANCM/CENPX/CENPS/BLM/RMI1/TOP3A/BRCA2/ATRIP/RPA1/RPA3/ATR/RAD17/RPA2/HUS1/BRCA1/RFC5/BRIP1/RFC2/RMI2/RFC3/RFC4/RAD51/BARD1/DNA2/EXO1/CHEK1/WRN/RBBP8/MRE11/RAD50/NBN/ATM/TIPIN/KAT5/GEN1/POLH/CLSPN/TIMELESS/PCNA/POLD4/RFC1/POLE2/POLD1/POLE/POLD3/POLD2/POLK/POLE3/REV3L/MSH6/CHEK2/LIG1/REV1/MCM2/LIG4/LIG3/MSH3/ZNF830/SSRP1/SUPT16H/CDK9/CDK2/MCM4/MCM3/POLA1/CCNA2/MCM7/MCM6/MCM5/CDC45/RECQL4/WDHD1/CDK1/DTL/PRIM1/CHTF18/SMC3/MCM8/POLA2/ORC2/CDC6/ORC5/ORC3/PRIM2/ORC6/CDC7/DBF4/ORC4/MCM10/RPA4/ORC1/MCM9/CDT1/RRM1/ATAD5/DSCC1/GINS4/GINS2/PCLAF/GINS1/GINS3/MCMDC2"
"2","GO:0006302","double-strand break repair","94/313","236/18493",5.0716298425809e-107,4.12661614857999e-104,3.02696223236144e-104,94,"bp","ChemoRes","5885/2237/9937/146956/22909/353497/64858/197342/2187/84464/80198/57599/2072/2067/641/80010/79728/5889/675/6117/6119/6118/3364/672/83990/116028/5888/580/1763/9156/1111/7486/5890/7516/5932/5893/4361/7517/10111/4683/472/10524/348654/10635/8914/11200/4436/7158/7515/4292/142/10038/2547/3981/7520/5591/3980/9656/27339/5892/7518/7341/3014/7336/7334/5422/64421/22976/165918/9025/84142/51720/51588/29086/7468/9577/55183/8290/79184/23626/11144/8924/23137/25788/25788/8318/9401/84515/8317/29935/254394/8438/84296/51659/157777","RAD21/FEN1/DCLRE1A/EME1/FAN1/POLN/DCLRE1B/EME2/FANCB/SLX4/MUS81/WDR48/ERCC4/ERCC1/BLM/RMI1/PALB2/RAD51C/BRCA2/RPA1/RPA3/RPA2/HUS1/BRCA1/BRIP1/RMI2/RAD51/BARD1/DNA2/EXO1/CHEK1/WRN/RAD51B/XRCC2/RBBP8/RAD52/MRE11/XRCC3/RAD50/NBN/ATM/KAT5/GEN1/RAD51AP1/TIMELESS/CHEK2/MSH2/TP53BP1/XRCC1/MLH1/PARP1/PARP2/XRCC6/LIG4/XRCC5/PRKDC/LIG3/MDC1/PRPF19/RAD51D/XRCC4/SUMO1/H2AFX/UBE2V2/UBE2N/POLA1/DCLRE1C/PAXIP1/RNF168/RNF8/ABRAXAS1/UIMC1/PIAS4/BABAM1/NSD2/BABAM2/RIF1/HIST3H3/BRCC3/SPO11/DMC1/HERC2/SMC5/RAD54B/FSBP/CDC45/RECQL4/MCM8/CDC7/RPA4/MCM9/RAD54L/GINS4/GINS2/MCMDC2"
"3","GO:0006310","DNA recombination","90/313","282/18493",7.49826380812647e-92,3.66065239112735e-89,2.68516773423645e-89,90,"bp","ChemoRes","5885/2237/146956/22909/353497/197342/2187/84464/57697/80198/201254/57599/2072/2067/378708/641/80010/79728/5889/675/6117/6119/6118/3364/672/83990/116028/5888/9156/1111/7486/83695/5890/7516/5932/5893/4361/7517/10111/4683/472/348654/10635/2956/4436/7158/7515/4292/142/2547/3981/7520/5591/3980/2068/4437/2071/328/5892/7518/3014/7334/6830/27030/64421/22976/165918/9025/7468/55183/23626/11144/4439/4438/84057/23137/29893/25788/25788/8318/9401/84515/8317/29935/254394/79915/8438/84296/51659/7153/157777","RAD21/FEN1/EME1/FAN1/POLN/EME2/FANCB/SLX4/FANCM/MUS81/CENPX/WDR48/ERCC4/ERCC1/CENPS/BLM/RMI1/PALB2/RAD51C/BRCA2/RPA1/RPA3/RPA2/HUS1/BRCA1/BRIP1/RMI2/RAD51/EXO1/CHEK1/WRN/RHNO1/RAD51B/XRCC2/RBBP8/RAD52/MRE11/XRCC3/RAD50/NBN/ATM/GEN1/RAD51AP1/MSH6/MSH2/TP53BP1/XRCC1/MLH1/PARP1/XRCC6/LIG4/XRCC5/PRKDC/LIG3/ERCC2/MSH3/ERCC3/APEX1/RAD51D/XRCC4/H2AFX/UBE2N/SUPT6H/MLH3/DCLRE1C/PAXIP1/RNF168/RNF8/NSD2/RIF1/SPO11/DMC1/MSH5/MSH4/MND1/SMC5/PSMC3IP/RAD54B/FSBP/CDC45/RECQL4/MCM8/CDC7/RPA4/MCM9/ATAD5/RAD54L/GINS4/GINS2/TOP2A/MCMDC2"
"4","GO:0006289","nucleotide-excision repair","78/313","109/18493",2.26650399193814e-116,2.7662681221605e-113,2.02911752120356e-113,78,"bp","ChemoRes","2176/22909/84464/2072/2067/675/6117/6119/6118/3364/5985/83990/5982/5983/5984/5932/5893/5111/57804/5981/5424/5426/10714/5425/51426/7314/7316/6233/7311/7507/3978/7515/142/3981/3980/2068/9557/2965/1161/2967/2071/2968/728340/728340/3150/91603/7874/1642/404672/6917/8451/8450/4331/902/1022/1643/5887/7508/10450/9716/56949/27339/5439/5438/9978/5436/5433/5440/5432/5437/5431/5441/5434/5435/2033/1069/5886/7157/29935","FANCC/FAN1/SLX4/ERCC4/ERCC1/BRCA2/RPA1/RPA3/RPA2/HUS1/RFC5/BRIP1/RFC2/RFC3/RFC4/RBBP8/RAD52/PCNA/POLD4/RFC1/POLD1/POLE/POLD3/POLD2/POLK/UBB/UBC/RPS27A/UBA52/XPA/LIG1/XRCC1/PARP1/LIG4/LIG3/ERCC2/CHD1L/GTF2H1/ERCC8/GTF2H3/ERCC3/GTF2H4/GTF2H2/GTF2H2C/HMGN1/ZNF830/USP7/DDB1/GTF2H5/TCEA1/CUL4A/CUL4B/MNAT1/CCNH/CDK7/DDB2/RAD23B/XPC/PPIE/AQR/XAB2/PRPF19/POLR2J/POLR2I/RBX1/POLR2G/POLR2D/POLR2K/POLR2C/POLR2H/POLR2B/POLR2L/POLR2E/POLR2F/EP300/CETN2/RAD23A/TP53/RPA4"
"5","GO:0098687","chromosomal region","78/312","346/19659",4.48690617719035e-68,5.04776944933915e-66,2.99914255001671e-66,78,"cc","ChemoRes","5885/2237/9937/64858/84464/201254/2072/2067/378708/641/675/6117/545/5884/6118/5888/1763/1111/7486/4361/7517/10111/4683/472/5111/5424/11200/4436/7158/7515/142/4171/2547/3981/7520/5591/1642/5431/328/5892/3014/6612/79577/1017/4173/4172/255626/3018/64421/9025/55183/8290/23626/11144/9682/23137/4176/4175/4174/9401/983/9126/891/4999/5001/23595/5000/29935/4998/81620/79075/64151/699/7272/11339/701/4085/5347","RAD21/FEN1/DCLRE1A/DCLRE1B/SLX4/CENPX/ERCC4/ERCC1/CENPS/BLM/BRCA2/RPA1/ATR/RAD17/RPA2/RAD51/DNA2/CHEK1/WRN/MRE11/XRCC3/RAD50/NBN/ATM/PCNA/POLD1/CHEK2/MSH2/TP53BP1/XRCC1/PARP1/MCM2/XRCC6/LIG4/XRCC5/PRKDC/DDB1/POLR2B/APEX1/RAD51D/H2AFX/SUMO3/CDC73/CDK2/MCM4/MCM3/HIST1H2BA/HIST1H2BB/DCLRE1C/RNF8/RIF1/HIST3H3/SPO11/DMC1/KDM4A/SMC5/MCM7/MCM6/MCM5/RECQL4/CDK1/SMC3/CCNB1/ORC2/ORC5/ORC3/ORC4/RPA4/ORC1/CDT1/DSCC1/NCAPG/BUB1/TTK/OIP5/BUB1B/MAD2L1/PLK1"
"6","GO:0006261","DNA-dependent DNA replication","74/313","148/18493",7.04077872675155e-93,4.29663521800013e-90,3.15167489847484e-90,74,"bp","ChemoRes","2237/146956/353497/197342/57697/201254/378708/641/675/6117/6119/6118/5985/5982/5983/5984/5888/1763/7486/4361/4683/54962/348654/8914/5111/57804/5981/5427/5424/5426/10714/5425/5980/2956/11200/3978/4171/3980/4437/91603/1025/1017/4173/4172/5422/4176/4175/4174/8318/11169/5557/63922/9126/23649/4999/990/5001/23595/5558/23594/8317/5000/55388/29935/4998/254394/81620/79915/79075/84296/51659/9837/64785/157777","FEN1/EME1/POLN/EME2/FANCM/CENPX/CENPS/BLM/BRCA2/RPA1/RPA3/RPA2/RFC5/RFC2/RFC3/RFC4/RAD51/DNA2/WRN/MRE11/NBN/TIPIN/GEN1/TIMELESS/PCNA/POLD4/RFC1/POLE2/POLD1/POLE/POLD3/POLD2/REV3L/MSH6/CHEK2/LIG1/MCM2/LIG3/MSH3/ZNF830/CDK9/CDK2/MCM4/MCM3/POLA1/MCM7/MCM6/MCM5/CDC45/WDHD1/PRIM1/CHTF18/SMC3/POLA2/ORC2/CDC6/ORC5/ORC3/PRIM2/ORC6/CDC7/ORC4/MCM10/RPA4/ORC1/MCM9/CDT1/ATAD5/DSCC1/GINS4/GINS2/GINS1/GINS3/MCMDC2"
"7","GO:0051052","regulation of DNA metabolic process","74/313","412/18493",8.61727140462111e-55,1.23733879404001e-52,9.0761477766319e-53,74,"bp","ChemoRes","5155/2187/84464/7398/2072/2067/641/545/5884/6118/3364/672/5985/5982/116028/5983/5984/5888/1763/1111/7486/5893/4361/10111/4683/472/54962/10635/5429/8914/5111/2956/11200/4436/7158/7515/4292/142/7520/3980/2068/4437/2071/91603/7874/8451/3014/7336/7157/7334/6830/1025/1017/22976/165918/9025/84142/51720/29086/7468/9577/55183/79184/890/9401/983/63922/9126/990/8317/10926/81620/79915/79075","PDGFB/FANCB/SLX4/USP1/ERCC4/ERCC1/BLM/ATR/RAD17/RPA2/HUS1/BRCA1/RFC5/RFC2/RMI2/RFC3/RFC4/RAD51/DNA2/CHEK1/WRN/RAD52/MRE11/RAD50/NBN/ATM/TIPIN/RAD51AP1/POLH/TIMELESS/PCNA/MSH6/CHEK2/MSH2/TP53BP1/XRCC1/MLH1/PARP1/XRCC5/LIG3/ERCC2/MSH3/ERCC3/ZNF830/USP7/CUL4A/H2AFX/UBE2V2/TP53/UBE2N/SUPT6H/CDK9/CDK2/PAXIP1/RNF168/RNF8/ABRAXAS1/UIMC1/BABAM1/NSD2/BABAM2/RIF1/BRCC3/CCNA2/RECQL4/CDK1/CHTF18/SMC3/CDC6/CDC7/DBF4/CDT1/ATAD5/DSCC1"
"8","GO:0009314","response to radiation","68/313","443/18493",1.63568478767364e-45,1.33090218890379e-43,9.76245552222057e-44,68,"bp","ChemoRes","8554/2237/2189/7398/2072/2177/2067/641/545/5810/3364/5883/11073/672/5888/1111/7486/144715/83695/7516/472/54962/10524/348654/10635/5429/5111/5424/51426/54107/56852/2956/11200/7507/4436/7158/142/51455/2547/3981/7520/5591/2068/1161/2071/3150/1642/404672/8450/1643/7508/2033/7518/3014/7157/64421/22976/165918/9025/84142/51720/29086/9577/79184/51514/6240/8438/9768","PIAS1/FEN1/FANCG/USP1/ERCC4/FANCD2/ERCC1/BLM/ATR/RAD1/HUS1/RAD9A/TOPBP1/BRCA1/RAD51/CHEK1/WRN/RAD9B/RHNO1/XRCC2/ATM/TIPIN/KAT5/GEN1/RAD51AP1/POLH/PCNA/POLD1/POLK/POLE3/RAD18/MSH6/CHEK2/XPA/MSH2/TP53BP1/PARP1/REV1/XRCC6/LIG4/XRCC5/PRKDC/ERCC2/ERCC8/ERCC3/HMGN1/DDB1/GTF2H5/CUL4B/DDB2/XPC/EP300/XRCC4/H2AFX/TP53/DCLRE1C/PAXIP1/RNF168/RNF8/ABRAXAS1/UIMC1/BABAM1/BABAM2/BRCC3/DTL/RRM1/RAD54L/PCLAF"
"9","GO:0140097","catalytic activity, acting on DNA","65/311","185/17632",1.22821314810527e-67,4.0285391257853e-65,2.58571189074795e-65,65,"mf","ChemoRes","2237/9937/146956/22909/353497/64858/197342/84464/80198/2072/2067/641/7156/5889/5810/5883/83990/5888/1763/9156/7486/5932/4361/7517/10111/4683/348654/5429/5111/57804/5427/5424/5426/10714/5425/56655/54107/5980/3978/7515/2547/3981/7520/3980/2068/9557/2071/328/4173/5422/64421/23626/11144/4176/25788/25788/4175/8318/9401/23649/254394/8438/84296/51659/7153/9837","FEN1/DCLRE1A/EME1/FAN1/POLN/DCLRE1B/EME2/SLX4/MUS81/ERCC4/ERCC1/BLM/TOP3A/RAD51C/RAD1/RAD9A/BRIP1/RAD51/DNA2/EXO1/WRN/RBBP8/MRE11/XRCC3/RAD50/NBN/GEN1/POLH/PCNA/POLD4/POLE2/POLD1/POLE/POLD3/POLD2/POLE4/POLE3/REV3L/LIG1/XRCC1/XRCC6/LIG4/XRCC5/LIG3/ERCC2/CHD1L/ERCC3/APEX1/MCM4/POLA1/DCLRE1C/SPO11/DMC1/MCM7/RAD54B/FSBP/MCM6/CDC45/RECQL4/POLA2/MCM9/RAD54L/GINS4/GINS2/TOP2A/GINS1"
"10","GO:0000781","chromosome, telomeric region","62/312","158/19659",7.93974141190312e-71,1.7864418176782e-68,1.06141806243336e-68,62,"cc","ChemoRes","2237/9937/64858/84464/2072/2067/641/675/6117/545/5884/6118/5888/1763/1111/7486/4361/7517/10111/4683/472/5111/5424/11200/4436/7158/7515/142/4171/2547/3981/7520/5591/1642/5431/328/5892/3014/79577/1017/4173/4172/255626/3018/64421/9025/55183/8290/23626/11144/23137/4176/4175/4174/9401/983/4999/5001/23595/5000/29935/4998","FEN1/DCLRE1A/DCLRE1B/SLX4/ERCC4/ERCC1/BLM/BRCA2/RPA1/ATR/RAD17/RPA2/RAD51/DNA2/CHEK1/WRN/MRE11/XRCC3/RAD50/NBN/ATM/PCNA/POLD1/CHEK2/MSH2/TP53BP1/XRCC1/PARP1/MCM2/XRCC6/LIG4/XRCC5/PRKDC/DDB1/POLR2B/APEX1/RAD51D/H2AFX/CDC73/CDK2/MCM4/MCM3/HIST1H2BA/HIST1H2BB/DCLRE1C/RNF8/RIF1/HIST3H3/SPO11/DMC1/SMC5/MCM7/MCM6/MCM5/RECQL4/CDK1/ORC2/ORC5/ORC3/ORC4/RPA4/ORC1"
