"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0016569","covalent chromatin modification","99/307","470/18493",1.1655922956247e-82,4.08190421927769e-79,2.45878627413884e-79,99,"bp","ChemoRes","5599/1111/472/2648/22938/8850/1387/2033/3065/2146/1017/4089/890/5928/6500/983/891/23309/25942/55904/3066/9757/55170/8085/58508/84661/9070/23067/3276/9739/4297/5929/11091/23135/8202/8841/23512/8726/5931/10664/7403/22976/1786/7703/23411/1105/6839/6045/6015/1911/57332/672/1386/1108/57504/53615/9219/1107/10014/23028/9112/5978/51564/83933/55869/23186/10919/8819/79685/10284/64426/11176/8932/79885/10013/9759/51317/9734/10524/51742/51548/6907/79718/25855/2122/6591/1789/1788/3720/22823/5252/26147/1487/9031/10933/23030/3622/5926/26038","MAPK8/CHEK1/ATM/KAT2A/SNW1/KAT2B/CREBBP/EP300/HDAC1/EZH2/CDK2/SMAD4/CCNA2/RBBP4/SKP1/CDK1/CCNB1/SIN3B/SIN3A/KMT2E/HDAC2/KMT2B/PRMT6/KMT2D/KMT2C/DPY30/ASH2L/SETD1B/PRMT1/SETD1A/KMT2A/RBBP5/WDR5/KDM6B/NCOA3/HDAC3/SUZ12/EED/RBBP7/CTCF/KDM6A/PAXIP1/DNMT1/PCGF2/SIRT1/CHD1/SUV39H1/RNF2/RING1/PHC1/CBX8/BRCA1/ATF2/CHD4/MTA3/MBD3/MTA2/CHD3/HDAC5/KDM1A/MTA1/REST/HDAC7/HDAC10/HDAC8/RCOR1/EHMT2/SAP30/SAP30L/SAP18/SUDS3/BAZ2A/MBD2/HDAC11/HDAC6/HDAC4/PHF21A/HDAC9/KAT5/ARID4B/SIRT6/TBL1X/TBL1XR1/BRMS1/MECOM/SNAI2/DNMT3B/DNMT3A/JARID2/MTF2/PHF1/PHF19/CTBP1/BAZ1B/MORF4L1/KDM4B/ING2/ARID4A/CHD5"
"2","GO:0016570","histone modification","96/307","456/18493",5.90626113746374e-80,1.0341863251699e-76,6.22955122077754e-77,96,"bp","ChemoRes","5599/1111/472/2648/22938/8850/1387/2033/3065/2146/1017/4089/890/5928/6500/983/891/23309/25942/55904/3066/9757/55170/8085/58508/84661/9070/23067/3276/9739/4297/5929/11091/23135/8202/8841/23512/8726/5931/10664/7403/22976/1786/7703/23411/6839/6045/6015/1911/57332/672/1386/1108/57504/53615/9219/1107/10014/23028/9112/5978/51564/83933/55869/23186/10919/8819/79685/10284/64426/11176/79885/10013/9759/51317/9734/10524/51742/51548/6907/79718/25855/2122/6591/1789/3720/22823/5252/26147/1487/9031/10933/23030/3622/5926/26038","MAPK8/CHEK1/ATM/KAT2A/SNW1/KAT2B/CREBBP/EP300/HDAC1/EZH2/CDK2/SMAD4/CCNA2/RBBP4/SKP1/CDK1/CCNB1/SIN3B/SIN3A/KMT2E/HDAC2/KMT2B/PRMT6/KMT2D/KMT2C/DPY30/ASH2L/SETD1B/PRMT1/SETD1A/KMT2A/RBBP5/WDR5/KDM6B/NCOA3/HDAC3/SUZ12/EED/RBBP7/CTCF/KDM6A/PAXIP1/DNMT1/PCGF2/SIRT1/SUV39H1/RNF2/RING1/PHC1/CBX8/BRCA1/ATF2/CHD4/MTA3/MBD3/MTA2/CHD3/HDAC5/KDM1A/MTA1/REST/HDAC7/HDAC10/HDAC8/RCOR1/EHMT2/SAP30/SAP30L/SAP18/SUDS3/BAZ2A/HDAC11/HDAC6/HDAC4/PHF21A/HDAC9/KAT5/ARID4B/SIRT6/TBL1X/TBL1XR1/BRMS1/MECOM/SNAI2/DNMT3B/JARID2/MTF2/PHF1/PHF19/CTBP1/BAZ1B/MORF4L1/KDM4B/ING2/ARID4A/CHD5"
"3","GO:0000790","nuclear chromatin","78/309","369/19659",4.2734580480681e-66,5.53412817224819e-64,3.73365282094371e-64,78,"cc","ChemoRes","23493/2648/1387/1869/4609/3065/6667/864/2146/7157/4089/5925/1874/4088/5928/4087/9612/2099/3014/9611/23309/25942/255626/3066/9070/9739/94239/3013/8334/8338/474382/3015/55766/8202/23512/7528/8726/3725/5931/5916/5914/6256/5080/7703/23411/6045/6015/57332/1108/54815/57504/53615/9219/57459/1107/23028/9112/10919/6908/85235/221613/317772/64426/8932/92815/10524/8467/51548/25855/6591/1788/79595/11335/10933/3622/26038/58516/57649","HEY2/KAT2A/CREBBP/E2F1/MYC/HDAC1/SP1/RUNX3/EZH2/TP53/SMAD4/RB1/E2F4/SMAD3/RBBP4/SMAD2/NCOR2/ESR1/H2AFX/NCOR1/SIN3B/SIN3A/HIST1H2BA/HDAC2/ASH2L/SETD1A/H2AFV/HIST1H2AD/HIST1H2AC/HIST2H2AC/H2AFB1/H2AFZ/H2AFJ/NCOA3/SUZ12/YY1/EED/JUN/RBBP7/RARG/RARA/RXRA/PAX6/PCGF2/SIRT1/RNF2/RING1/CBX8/CHD4/GATAD2A/MTA3/MBD3/MTA2/GATAD2B/CHD3/KDM1A/MTA1/EHMT2/TBP/HIST1H2AH/HIST1H2AA/HIST2H2AB/SUDS3/MBD2/HIST3H2A/KAT5/SMARCA5/SIRT6/BRMS1/SNAI2/DNMT3A/SAP130/CBX3/MORF4L1/ING2/CHD5/SINHCAF/PHF12"
"4","GO:0005667","transcription factor complex","59/309","356/19659",3.93138714697632e-43,2.54557317766717e-41,1.71739543788966e-41,59,"cc","ChemoRes","3516/2648/11317/1871/7027/1869/2033/3065/7088/7089/7091/1870/1019/864/7157/1017/4089/1875/5933/5925/1874/4088/5934/144455/902/1022/4087/142/865/25942/2623/161882/7528/3725/5087/5916/5914/5915/23054/5316/9935/6256/4211/84962/2494/9219/23028/23186/9015/79101/9014/6908/9734/10524/5468/10849/1487/3622/84215","RBPJ/KAT2A/RBPJL/E2F3/TFDP1/E2F1/EP300/HDAC1/TLE1/TLE2/TLE4/E2F2/CDK4/RUNX3/TP53/CDK2/SMAD4/E2F5/RBL1/RB1/E2F4/SMAD3/RBL2/E2F7/CCNH/CDK7/SMAD2/PARP1/CBFB/SIN3A/GATA1/ZFPM1/YY1/JUN/PBX1/RARG/RARA/RARB/NCOA6/PKNOX1/MAFB/RXRA/MEIS1/AJUBA/NR5A2/MTA2/KDM1A/RCOR1/TAF1A/TAF1D/TAF1B/TBP/HDAC9/KAT5/PPARG/CD3EAP/CTBP1/ING2/ZNF541"
"5","GO:0018205","peptidyl-lysine modification","59/307","361/18493",1.7727404746324e-41,7.76017142770331e-39,4.6744367252149e-39,59,"bp","ChemoRes","1111/2648/22938/8850/1387/2033/4193/2146/4089/25942/55904/3066/9757/55170/8085/58508/84661/9070/23067/9739/4297/5929/11091/8202/23512/8726/10664/7403/22976/1959/1786/7703/23411/6839/8535/672/1386/53615/51564/10919/10013/9759/9734/10524/51742/2122/6591/1789/3720/22823/5252/26147/1487/7329/1958/10933/7341/5926/26038","CHEK1/KAT2A/SNW1/KAT2B/CREBBP/EP300/MDM2/EZH2/SMAD4/SIN3A/KMT2E/HDAC2/KMT2B/PRMT6/KMT2D/KMT2C/DPY30/ASH2L/SETD1B/SETD1A/KMT2A/RBBP5/WDR5/NCOA3/SUZ12/EED/CTCF/KDM6A/PAXIP1/EGR2/DNMT1/PCGF2/SIRT1/SUV39H1/CBX4/BRCA1/ATF2/MBD3/HDAC7/EHMT2/HDAC6/HDAC4/HDAC9/KAT5/ARID4B/MECOM/SNAI2/DNMT3B/JARID2/MTF2/PHF1/PHF19/CTBP1/UBE2I/EGR1/MORF4L1/SUMO1/ARID4A/CHD5"
"6","hsa05203","Viral carcinogenesis","58/208","201/7843",7.62223081823012e-46,1.44060162464549e-43,1.01094850852315e-43,58,"kg","ChemoRes","5566/1111/3516/2648/22938/11317/8850/1387/2033/595/3065/894/1021/896/1029/1030/1019/4193/1026/7157/1017/1027/5933/5925/890/5934/898/8900/9134/983/6502/8342/3017/8345/8341/8340/8348/3018/8970/85236/255626/8349/3066/8841/3725/1959/1386/1108/10014/51564/83933/55869/440689/6908/79885/10013/9759/9734","PRKACA/CHEK1/RBPJ/KAT2A/SNW1/RBPJL/KAT2B/CREBBP/EP300/CCND1/HDAC1/CCND2/CDK6/CCND3/CDKN2A/CDKN2B/CDK4/MDM2/CDKN1A/TP53/CDK2/CDKN1B/RBL1/RB1/CCNA2/RBL2/CCNE1/CCNA1/CCNE2/CDK1/SKP2/HIST1H2BM/HIST1H2BD/HIST1H2BH/HIST1H2BN/HIST1H2BL/HIST1H2BO/HIST1H2BB/HIST1H2BJ/HIST1H2BK/HIST1H2BA/HIST2H2BE/HDAC2/HDAC3/JUN/EGR2/ATF2/CHD4/HDAC5/HDAC7/HDAC10/HDAC8/HIST2H2BF/TBP/HDAC11/HDAC6/HDAC4/HDAC9"
"7","GO:0006352","DNA-templated transcription, initiation","55/307","248/18493",3.48783436797115e-46,2.03573265943916e-43,1.2262491356867e-43,55,"bp","ChemoRes","4851/4854/55534/84441/9794/23493/3516/4853/4855/22938/8850/1387/1871/595/1870/1019/1026/7157/892/1024/902/1022/2099/865/3725/5916/5914/5915/22976/23054/6256/5440/5439/5438/5437/5436/5433/5441/5434/5435/5432/5431/2494/9015/9013/79101/9014/6908/7343/11176/8467/7101/5468/10849/30834","NOTCH1/NOTCH3/MAML3/MAML2/MAML1/HEY2/RBPJ/NOTCH2/NOTCH4/SNW1/KAT2B/CREBBP/E2F3/CCND1/E2F2/CDK4/CDKN1A/TP53/CCNC/CDK8/CCNH/CDK7/ESR1/CBFB/JUN/RARG/RARA/RARB/PAXIP1/NCOA6/RXRA/POLR2K/POLR2J/POLR2I/POLR2H/POLR2G/POLR2D/POLR2L/POLR2E/POLR2F/POLR2C/POLR2B/NR5A2/TAF1A/TAF1C/TAF1D/TAF1B/TBP/UBTF/BAZ2A/SMARCA5/NR2E1/PPARG/CD3EAP/ZNRD1"
"8","GO:0000982","transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding","50/306","447/17632",2.83274292696427e-26,1.30306174640356e-24,7.97640771539939e-25,50,"mf","ChemoRes","388585/3280/26508/23493/23462/3516/11317/1999/1387/1871/1869/4609/1870/6667/7157/4089/1875/5933/5925/1874/5934/4605/144455/4087/2099/161882/7528/3725/10664/5087/3211/1959/3213/9935/4211/5080/3199/23411/7764/2494/1386/5978/23186/6615/7101/6591/121536/5468/1958/23030","HES5/HES1/HEYL/HEY2/HEY1/RBPJ/RBPJL/ELF3/CREBBP/E2F3/E2F1/MYC/E2F2/SP1/TP53/SMAD4/E2F5/RBL1/RB1/E2F4/RBL2/MYBL2/E2F7/SMAD2/ESR1/ZFPM1/YY1/JUN/CTCF/PBX1/HOXB1/EGR2/HOXB3/MAFB/MEIS1/PAX6/HOXA2/SIRT1/ZNF217/NR5A2/ATF2/REST/RCOR1/SNAI1/NR2E1/SNAI2/AEBP2/PPARG/EGR1/KDM4B"
"9","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","49/306","449/17632",2.87892941452012e-25,1.0594460245434e-23,6.48516731270848e-24,49,"mf","ChemoRes","4851/26508/23493/23462/3516/11317/1999/1871/7027/1869/2033/4609/1870/6667/7157/2309/4089/1875/1874/4088/4605/144455/4087/2099/142/2623/3725/10664/5087/3211/5316/3198/1959/3213/9935/4211/5080/3233/3233/3212/3214/3221/3201/3232/23411/2494/1386/5978/7101/1958","NOTCH1/HEYL/HEY2/HEY1/RBPJ/RBPJL/ELF3/E2F3/TFDP1/E2F1/EP300/MYC/E2F2/SP1/TP53/FOXO3/SMAD4/E2F5/E2F4/SMAD3/MYBL2/E2F7/SMAD2/ESR1/PARP1/GATA1/JUN/CTCF/PBX1/HOXB1/PKNOX1/HOXA1/EGR2/HOXB3/MAFB/MEIS1/PAX6//HOXD4/HOXB2/HOXB4/HOXC4/HOXA4/HOXD3/SIRT1/NR5A2/ATF2/REST/NR2E1/EGR1"
"10","GO:0030099","myeloid cell differentiation","49/307","405/18493",3.71045487782561e-28,8.12125811384081e-26,4.89194182576482e-26,49,"bp","ChemoRes","3516/4853/182/28514/8850/1387/23112/4343/57690/27327/192670/192669/26523/2033/4609/3065/1021/1030/2309/1028/5925/142/865/25942/2623/55904/161882/9757/55170/8085/58508/84661/9070/3276/9739/4297/5929/2811/11091/3725/5916/5914/23054/5316/9935/4211/23411/5468/5926","RBPJ/NOTCH2/JAG1/DLL1/KAT2B/CREBBP/TNRC6B/MOV10/TNRC6C/TNRC6A/AGO4/AGO3/AGO1/EP300/MYC/HDAC1/CDK6/CDKN2B/FOXO3/CDKN1C/RB1/PARP1/CBFB/SIN3A/GATA1/KMT2E/ZFPM1/KMT2B/PRMT6/KMT2D/KMT2C/DPY30/ASH2L/PRMT1/SETD1A/KMT2A/RBBP5/GP1BA/WDR5/JUN/RARG/RARA/NCOA6/PKNOX1/MAFB/MEIS1/SIRT1/PPARG/ARID4A"
