"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0006260","DNA replication","48/107","268/18493",2.31824712986222e-60,2.10612751747983e-57,1.61423208042512e-57,48,"bp","ChemoRes","2237/57697/201254/80010/7156/641/116028/545/6117/1763/6118/2956/4437/3364/5111/5888/353497/7486/472/1111/6119/29935/4361/672/4683/84126/10111/5981/8243/580/9400/5884/675/11200/63967/9156/83990/5932/5982/5984/4171/4999/7014/5424/5422/5983/5557/5985","FEN1/FANCM/CENPX/RMI1/TOP3A/BLM/RMI2/ATR/RPA1/DNA2/RPA2/MSH6/MSH3/HUS1/PCNA/RAD51/POLN/WRN/ATM/CHEK1/RPA3/RPA4/MRE11/BRCA1/NBN/ATRIP/RAD50/RFC1/SMC1A/BARD1/RECQL5/RAD17/BRCA2/CHEK2/CLSPN/EXO1/BRIP1/RBBP8/RFC2/RFC4/MCM2/ORC2/TERF2/POLD1/POLA1/RFC3/PRIM1/RFC5"
"2","GO:0006302","double-strand break repair","48/107","236/18493",2.97970448481049e-63,5.41412304890067e-60,4.14963056147819e-60,48,"bp","ChemoRes","5885/2237/2187/80010/641/116028/4436/6117/1763/6118/5893/3364/5888/353497/7486/472/1111/6119/29935/4361/672/4683/5591/4292/10111/64421/7520/9656/580/9400/3014/9025/675/7158/11200/2547/9156/83990/5932/8924/22909/51720/84142/9577/79184/22976/56916/5422","RAD21/FEN1/FANCB/RMI1/BLM/RMI2/MSH2/RPA1/DNA2/RPA2/RAD52/HUS1/RAD51/POLN/WRN/ATM/CHEK1/RPA3/RPA4/MRE11/BRCA1/NBN/PRKDC/MLH1/RAD50/DCLRE1C/XRCC5/MDC1/BARD1/RECQL5/H2AFX/RNF8/BRCA2/TP53BP1/CHEK2/XRCC6/EXO1/BRIP1/RBBP8/HERC2/FAN1/UIMC1/ABRAXAS1/BABAM2/BRCC3/PAXIP1/SMARCAD1/POLA1"
"3","GO:0006310","DNA recombination","44/107","282/18493",3.67887670673978e-52,2.22817299204872e-49,1.70777329228657e-49,44,"bp","ChemoRes","5885/2237/57697/2187/201254/80010/641/116028/4436/6117/6118/2956/5893/4437/3364/5888/353497/7486/472/1111/6119/29935/4361/672/4683/5591/4292/10111/64421/7520/9400/3014/9025/675/7158/2547/10856/9156/83990/5932/22909/22976/56916/7014","RAD21/FEN1/FANCM/FANCB/CENPX/RMI1/BLM/RMI2/MSH2/RPA1/RPA2/MSH6/RAD52/MSH3/HUS1/RAD51/POLN/WRN/ATM/CHEK1/RPA3/RPA4/MRE11/BRCA1/NBN/PRKDC/MLH1/RAD50/DCLRE1C/XRCC5/RECQL5/H2AFX/RNF8/BRCA2/TP53BP1/XRCC6/RUVBL2/EXO1/BRIP1/RBBP8/FAN1/PAXIP1/SMARCAD1/TERF2"
"4","GO:0051052","regulation of DNA metabolic process","42/107","412/18493",1.43686084193944e-41,5.22155229960794e-39,4.00203556607554e-39,42,"bp","ChemoRes","5155/2187/641/116028/545/4436/1763/6118/2956/5893/4437/3364/5111/5888/7486/472/1111/4361/672/4683/4292/10111/7520/8243/9400/3014/5884/9025/7158/11200/7157/5982/51720/84142/9577/79184/22976/5984/56916/7014/5983/5985","PDGFB/FANCB/BLM/RMI2/ATR/MSH2/DNA2/RPA2/MSH6/RAD52/MSH3/HUS1/PCNA/RAD51/WRN/ATM/CHEK1/MRE11/BRCA1/NBN/MLH1/RAD50/XRCC5/SMC1A/RECQL5/H2AFX/RAD17/RNF8/TP53BP1/CHEK2/TP53/RFC2/UIMC1/ABRAXAS1/BABAM2/BRCC3/PAXIP1/RFC4/SMARCAD1/TERF2/RFC3/RFC5"
"5","GO:0009314","response to radiation","38/107","443/18493",1.63070482510869e-34,2.27922359017114e-32,1.74690079645246e-32,38,"bp","ChemoRes","8554/2237/2189/641/2177/545/4436/2956/3364/5883/5810/5111/5888/7486/472/1111/7507/672/5591/11073/64421/7520/8243/9400/3014/9025/7158/11200/7157/2547/10856/56852/51720/84142/9577/79184/22976/5424","PIAS1/FEN1/FANCG/BLM/FANCD2/ATR/MSH2/MSH6/HUS1/RAD9A/RAD1/PCNA/RAD51/WRN/ATM/CHEK1/XPA/BRCA1/PRKDC/TOPBP1/DCLRE1C/XRCC5/SMC1A/RECQL5/H2AFX/RNF8/TP53BP1/CHEK2/TP53/XRCC6/RUVBL2/RAD18/UIMC1/ABRAXAS1/BABAM2/BRCC3/PAXIP1/POLD1"
"6","GO:0098687","chromosomal region","33/107","346/19659",3.6104272018977e-32,2.78803216169663e-30,1.96913646734431e-30,33,"cc","ChemoRes","5885/2237/201254/641/545/4436/6117/1763/6118/5111/5888/7486/472/1111/29935/4361/4683/5591/10111/64421/7520/8243/3014/5884/9025/675/7158/11200/2547/4171/4999/7014/5424","RAD21/FEN1/CENPX/BLM/ATR/MSH2/RPA1/DNA2/RPA2/PCNA/RAD51/WRN/ATM/CHEK1/RPA4/MRE11/NBN/PRKDC/RAD50/DCLRE1C/XRCC5/SMC1A/H2AFX/RAD17/RNF8/BRCA2/TP53BP1/CHEK2/XRCC6/MCM2/ORC2/TERF2/POLD1"
"7","GO:0000075","cell cycle checkpoint","32/107","216/18493",1.19496809301008e-36,1.97387002272665e-34,1.51286391105487e-34,32,"bp","ChemoRes","641/545/4436/1763/6118/79968/2956/3364/5883/5810/5111/472/1111/29935/4361/672/4683/84126/5591/11073/9656/3014/5884/7158/11200/7157/63967/83990/51720/84142/9577/79184","BLM/ATR/MSH2/DNA2/RPA2/WDR76/MSH6/HUS1/RAD9A/RAD1/PCNA/ATM/CHEK1/RPA4/MRE11/BRCA1/NBN/ATRIP/PRKDC/TOPBP1/MDC1/H2AFX/RAD17/TP53BP1/CHEK2/TP53/CLSPN/BRIP1/UIMC1/ABRAXAS1/BABAM2/BRCC3"
"8","GO:0031570","DNA integrity checkpoint","32/107","158/18493",2.61480289861643e-41,7.91849477797676e-39,6.06909514889393e-39,32,"bp","ChemoRes","641/545/4436/1763/6118/79968/2956/3364/5883/5810/5111/472/1111/29935/4361/672/4683/84126/5591/11073/9656/3014/5884/7158/11200/7157/63967/83990/51720/84142/9577/79184","BLM/ATR/MSH2/DNA2/RPA2/WDR76/MSH6/HUS1/RAD9A/RAD1/PCNA/ATM/CHEK1/RPA4/MRE11/BRCA1/NBN/ATRIP/PRKDC/TOPBP1/MDC1/H2AFX/RAD17/TP53BP1/CHEK2/TP53/CLSPN/BRIP1/UIMC1/ABRAXAS1/BABAM2/BRCC3"
"9","GO:0060249","anatomical structure homeostasis","32/107","425/18493",4.46323529585356e-27,3.3790410552358e-25,2.58985100719924e-25,32,"bp","ChemoRes","2237/641/545/6117/1763/6118/3364/5111/5230/5888/7486/472/6119/29935/4361/4683/5591/10111/5981/64421/7520/580/2547/9156/5982/5984/7014/5424/5422/5983/5557/5985","FEN1/BLM/ATR/RPA1/DNA2/RPA2/HUS1/PCNA/PGK1/RAD51/WRN/ATM/RPA3/RPA4/MRE11/NBN/PRKDC/RAD50/RFC1/DCLRE1C/XRCC5/BARD1/XRCC6/EXO1/RFC2/RFC4/TERF2/POLD1/POLA1/RFC3/PRIM1/RFC5"
"10","hsa03460","Fanconi anemia pathway","32/92","54/7843",2.50909873976504e-50,2.58437170195799e-48,2.24498308294767e-48,32,"kg","ChemoRes","2176/2188/2178/2189/57697/55120/2175/2187/80233/100526739/91442/201254/80010/7156/641/116028/3280/2177/545/6117/6118/5888/353497/6119/29935/672/84126/4292/675/5395/83990/22909","FANCC/FANCF/FANCE/FANCG/FANCM/FANCL/FANCA/FANCB/FAAP100/CENPS-CORT/FAAP24/CENPX/RMI1/TOP3A/BLM/RMI2/HES1/FANCD2/ATR/RPA1/RPA2/RAD51/POLN/RPA3/RPA4/BRCA1/ATRIP/MLH1/BRCA2/PMS2/BRIP1/FAN1"
"11","GO:0006261","DNA-dependent DNA replication","31/107","148/18493",1.72639955682192e-40,4.48123999249348e-38,3.43462648672993e-38,31,"bp","ChemoRes","2237/57697/201254/641/6117/1763/6118/2956/4437/5111/5888/353497/7486/6119/29935/4361/4683/5981/8243/675/11200/5982/5984/4171/4999/7014/5424/5422/5983/5557/5985","FEN1/FANCM/CENPX/BLM/RPA1/DNA2/RPA2/MSH6/MSH3/PCNA/RAD51/POLN/WRN/RPA3/RPA4/MRE11/NBN/RFC1/SMC1A/BRCA2/CHEK2/RFC2/RFC4/MCM2/ORC2/TERF2/POLD1/POLA1/RFC3/PRIM1/RFC5"
"12","GO:0000077","DNA damage checkpoint","30/107","146/18493",6.89022977119606e-39,1.56494343678291e-36,1.19944394569637e-36,30,"bp","ChemoRes","641/545/4436/6118/79968/2956/3364/5883/5810/5111/472/1111/29935/4361/672/4683/84126/5591/9656/3014/5884/7158/11200/7157/63967/83990/51720/84142/9577/79184","BLM/ATR/MSH2/RPA2/WDR76/MSH6/HUS1/RAD9A/RAD1/PCNA/ATM/CHEK1/RPA4/MRE11/BRCA1/NBN/ATRIP/PRKDC/MDC1/H2AFX/RAD17/TP53BP1/CHEK2/TP53/CLSPN/BRIP1/UIMC1/ABRAXAS1/BABAM2/BRCC3"
"13","GO:0000723","telomere maintenance","30/107","157/18493",7.40786899016762e-38,1.4955664394594e-35,1.14627025426804e-35,30,"bp","ChemoRes","2237/641/545/6117/1763/6118/3364/5111/5888/7486/472/6119/29935/4361/4683/5591/10111/5981/64421/7520/2547/9156/5982/5984/7014/5424/5422/5983/5557/5985","FEN1/BLM/ATR/RPA1/DNA2/RPA2/HUS1/PCNA/RAD51/WRN/ATM/RPA3/RPA4/MRE11/NBN/PRKDC/RAD50/RFC1/DCLRE1C/XRCC5/XRCC6/EXO1/RFC2/RFC4/TERF2/POLD1/POLA1/RFC3/PRIM1/RFC5"
"14","GO:0000781","chromosome, telomeric region","30/107","158/19659",1.49832089079336e-38,2.32239738072971e-36,1.64026708044747e-36,30,"cc","ChemoRes","2237/641/545/4436/6117/1763/6118/5111/5888/7486/472/1111/29935/4361/4683/5591/10111/64421/7520/3014/5884/9025/675/7158/11200/2547/4171/4999/7014/5424","FEN1/BLM/ATR/MSH2/RPA1/DNA2/RPA2/PCNA/RAD51/WRN/ATM/CHEK1/RPA4/MRE11/NBN/PRKDC/RAD50/DCLRE1C/XRCC5/H2AFX/RAD17/RNF8/BRCA2/TP53BP1/CHEK2/XRCC6/MCM2/ORC2/TERF2/POLD1"
"15","GO:0032200","telomere organization","30/107","170/18493",9.72866896567324e-37,1.76769915106283e-34,1.35484516227218e-34,30,"bp","ChemoRes","2237/641/545/6117/1763/6118/3364/5111/5888/7486/472/6119/29935/4361/4683/5591/10111/5981/64421/7520/2547/9156/5982/5984/7014/5424/5422/5983/5557/5985","FEN1/BLM/ATR/RPA1/DNA2/RPA2/HUS1/PCNA/RAD51/WRN/ATM/RPA3/RPA4/MRE11/NBN/PRKDC/RAD50/RFC1/DCLRE1C/XRCC5/XRCC6/EXO1/RFC2/RFC4/TERF2/POLD1/POLA1/RFC3/PRIM1/RFC5"
"16","GO:0051054","positive regulation of DNA metabolic process","29/107","220/18493",1.2741317617689e-31,1.21847232164952e-29,9.33892698515378e-30,29,"bp","ChemoRes","5155/2187/641/545/4436/1763/2956/5111/5888/7486/472/4361/672/4683/4292/10111/7520/3014/9025/7158/5982/51720/84142/9577/79184/22976/5984/5983/5985","PDGFB/FANCB/BLM/ATR/MSH2/DNA2/MSH6/PCNA/RAD51/WRN/ATM/MRE11/BRCA1/NBN/MLH1/RAD50/XRCC5/H2AFX/RNF8/TP53BP1/RFC2/UIMC1/ABRAXAS1/BABAM2/BRCC3/PAXIP1/RFC4/RFC3/RFC5"
"17","GO:0010212","response to ionizing radiation","27/107","146/18493",1.26730738911533e-33,1.64478394715897e-31,1.26063735022525e-31,27,"bp","ChemoRes","641/2177/545/4436/3364/5883/5810/5888/7486/472/672/5591/11073/64421/7520/9400/3014/9025/7158/11200/7157/2547/51720/84142/9577/79184/22976","BLM/FANCD2/ATR/MSH2/HUS1/RAD9A/RAD1/RAD51/WRN/ATM/BRCA1/PRKDC/TOPBP1/DCLRE1C/XRCC5/RECQL5/H2AFX/RNF8/TP53BP1/CHEK2/TP53/XRCC6/UIMC1/ABRAXAS1/BABAM2/BRCC3/PAXIP1"
"18","GO:0090305","nucleic acid phosphodiester bond hydrolysis","27/107","295/18493",4.5492665913932e-25,3.06148792465239e-23,2.34646382082386e-23,27,"bp","ChemoRes","2237/57697/6117/1763/6118/5883/5810/5111/7486/6119/7507/4361/10111/5981/64421/3837/5395/9156/7316/5932/22909/5982/9557/5984/5424/5983/5985","FEN1/FANCM/RPA1/DNA2/RPA2/RAD9A/RAD1/PCNA/WRN/RPA3/XPA/MRE11/RAD50/RFC1/DCLRE1C/KPNB1/PMS2/EXO1/UBC/RBBP8/FAN1/RFC2/CHD1L/RFC4/POLD1/RFC3/RFC5"
"19","GO:0140097","catalytic activity, acting on DNA","27/107","185/17632",3.9827774232538e-30,3.04018676641707e-28,1.88657877943601e-28,27,"mf","ChemoRes","2237/7156/641/1763/5883/5810/5111/5888/353497/7486/4595/4361/4683/10111/64421/7520/9400/2547/10856/9156/83990/5932/22909/9557/7014/5424/5422","FEN1/TOP3A/BLM/DNA2/RAD9A/RAD1/PCNA/RAD51/POLN/WRN/MUTYH/MRE11/NBN/RAD50/DCLRE1C/XRCC5/RECQL5/XRCC6/RUVBL2/EXO1/BRIP1/RBBP8/FAN1/CHD1L/TERF2/POLD1/POLA1"
"20","GO:0010948","negative regulation of cell cycle process","26/107","304/18493",2.22749942826147e-23,1.2264746851973e-21,9.40026074510344e-22,26,"bp","ChemoRes","5885/641/6118/2956/3364/5810/5111/5888/472/1111/4361/672/4683/5591/11073/8243/5884/11200/7157/63967/5932/51720/84142/9577/79184/7014","RAD21/BLM/RPA2/MSH6/HUS1/RAD1/PCNA/RAD51/ATM/CHEK1/MRE11/BRCA1/NBN/PRKDC/TOPBP1/SMC1A/RAD17/CHEK2/TP53/CLSPN/RBBP8/UIMC1/ABRAXAS1/BABAM2/BRCC3/TERF2"
"21","GO:0016887","ATPase activity","26/107","445/17632",1.10077071256726e-18,6.30191232944757e-17,3.91063279464685e-17,26,"mf","ChemoRes","641/4436/1763/2956/4437/5888/7486/4361/4683/4292/10111/5981/7520/9400/5884/2547/5395/10856/83990/5378/5982/9557/56852/5984/5983/5985","BLM/MSH2/DNA2/MSH6/MSH3/RAD51/WRN/MRE11/NBN/MLH1/RAD50/RFC1/XRCC5/RECQL5/RAD17/XRCC6/PMS2/RUVBL2/BRIP1/PMS1/RFC2/CHD1L/RAD18/RFC4/RFC3/RFC5"
"22","GO:0036297","interstrand cross-link repair","26/107","51/18493",5.48662199674166e-46,2.4922980420199e-43,1.91021076360243e-43,26,"bp","ChemoRes","2176/2188/2178/2189/57697/199990/55120/2175/2187/80233/91442/201254/2177/545/6117/6118/2956/5888/353497/6119/7507/84126/64421/9025/7316/22909","FANCC/FANCF/FANCE/FANCG/FANCM/FAAP20/FANCL/FANCA/FANCB/FAAP100/FAAP24/CENPX/FANCD2/ATR/RPA1/RPA2/MSH6/RAD51/POLN/RPA3/XPA/ATRIP/DCLRE1C/RNF8/UBC/FAN1"
"23","GO:0051321","meiotic cell cycle","26/107","249/18493",1.22226537433065e-25,8.54175455830306e-24,6.54678983902612e-24,26,"bp","ChemoRes","5885/57697/2175/201254/80010/7156/641/2177/6117/6118/2956/4437/3364/5810/5888/472/29935/4361/4683/4292/10111/8243/3014/9156/83990/5932","RAD21/FANCM/FANCA/CENPX/RMI1/TOP3A/BLM/FANCD2/RPA1/RPA2/MSH6/MSH3/HUS1/RAD1/RAD51/ATM/RPA4/MRE11/NBN/MLH1/RAD50/SMC1A/H2AFX/EXO1/BRIP1/RBBP8"
"24","GO:0000724","double-strand break repair via homologous recombination","25/107","123/18493",3.02301901316996e-32,3.23107385113519e-30,2.47644220088165e-30,25,"bp","ChemoRes","2237/2187/80010/641/116028/6117/6118/5893/3364/5888/353497/7486/1111/6119/29935/4361/672/4683/10111/9400/3014/675/7158/5932/22909","FEN1/FANCB/RMI1/BLM/RMI2/RPA1/RPA2/RAD52/HUS1/RAD51/POLN/WRN/CHEK1/RPA3/RPA4/MRE11/BRCA1/NBN/RAD50/RECQL5/H2AFX/BRCA2/TP53BP1/RBBP8/FAN1"
"25","GO:0000725","recombinational repair","25/107","124/18493",3.770169539844e-32,3.80577669660919e-30,2.91692064398456e-30,25,"bp","ChemoRes","2237/2187/80010/641/116028/6117/6118/5893/3364/5888/353497/7486/1111/6119/29935/4361/672/4683/10111/9400/3014/675/7158/5932/22909","FEN1/FANCB/RMI1/BLM/RMI2/RPA1/RPA2/RAD52/HUS1/RAD51/POLN/WRN/CHEK1/RPA3/RPA4/MRE11/BRCA1/NBN/RAD50/RECQL5/H2AFX/BRCA2/TP53BP1/RBBP8/FAN1"
"26","GO:0000726","non-recombinational repair","25/107","92/18493",9.14113111658149e-36,1.38411960323571e-33,1.06085232168748e-33,25,"bp","ChemoRes","641/5893/472/4361/672/4683/5591/4292/10111/64421/7520/9656/580/3014/9025/7158/2547/5932/8924/51720/84142/9577/79184/22976/5422","BLM/RAD52/ATM/MRE11/BRCA1/NBN/PRKDC/MLH1/RAD50/DCLRE1C/XRCC5/MDC1/BARD1/H2AFX/RNF8/TP53BP1/XRCC6/RBBP8/HERC2/UIMC1/ABRAXAS1/BABAM2/BRCC3/PAXIP1/POLA1"
"27","GO:0003684","damaged DNA binding","25/107","69/17632",6.21885357683254e-39,1.42411746909465e-36,8.83731824076204e-37,25,"mf","ChemoRes","2237/2189/641/4436/6117/6118/2956/4437/5810/5111/7486/6119/29935/7507/4595/672/4683/64421/7520/3014/7158/2547/5932/56852/5424","FEN1/FANCG/BLM/MSH2/RPA1/RPA2/MSH6/MSH3/RAD1/PCNA/WRN/RPA3/RPA4/XPA/MUTYH/BRCA1/NBN/DCLRE1C/XRCC5/H2AFX/TP53BP1/XRCC6/RBBP8/RAD18/POLD1"
"28","GO:0071897","DNA biosynthetic process","25/107","189/18493",2.73716478767066e-27,2.16236018225982e-25,1.65733135656214e-25,25,"bp","ChemoRes","5155/199990/641/545/6117/6118/5111/353497/7486/472/6119/29935/4361/10111/5981/7520/7157/7316/5982/5984/7014/5424/5422/5983/5985","PDGFB/FAAP20/BLM/ATR/RPA1/RPA2/PCNA/POLN/WRN/ATM/RPA3/RPA4/MRE11/RAD50/RFC1/XRCC5/TP53/UBC/RFC2/RFC4/TERF2/POLD1/POLA1/RFC3/RFC5"
