"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0048545","response to steroid hormone","49/123","390/18493",5.38410066966986e-50,1.91081732766583e-46,9.08496144576924e-47,49,"bp","ChemoRes","8061/2056/596/5105/2033/6714/367/2908/861/595/3065/9612/6597/5925/672/7421/8202/9611/8648/2353/2099/5970/23054/6256/3172/10499/5468/5914/7067/5241/142/23411/8431/2100/10498/8204/4654/3164/1499/23426/8289/51341/7068/5469/9325/2309/2308/7329/8554","FOSL1/EPO/BCL2/PCK1/EP300/SRC/AR/NR3C1/RUNX1/CCND1/HDAC1/NCOR2/SMARCA4/RB1/BRCA1/VDR/NCOA3/NCOR1/NCOA1/FOS/ESR1/RELA/NCOA6/RXRA/HNF4A/NCOA2/PPARG/RARA/THRA/PGR/PARP1/SIRT1/NR0B2/ESR2/CARM1/NRIP1/MYOD1/NR4A1/CTNNB1/GRIP1/ARID1A/ZBTB7A/THRB/MED1/TRIP4/FOXO3/FOXO1/UBE2I/PIAS1"
"2","GO:0000790","nuclear chromatin","45/123","369/19659",3.25524857278827e-46,7.42196674595726e-44,5.07133461865962e-44,45,"cc","ChemoRes","4088/440093/6667/1051/6774/3725/367/1387/860/3065/9612/6597/7157/5925/4609/8202/9611/6599/8648/2099/6595/5970/3066/6256/6908/5914/8805/23411/1869/6598/4087/6605/8204/6601/25942/4654/1499/6602/8289/51341/7068/6688/4089/6772/1385","SMAD3/H3F3C/SP1/CEBPB/STAT3/JUN/AR/CREBBP/RUNX2/HDAC1/NCOR2/SMARCA4/TP53/RB1/MYC/NCOA3/NCOR1/SMARCC1/NCOA1/ESR1/SMARCA2/RELA/HDAC2/RXRA/TBP/RARA/TRIM24/SIRT1/E2F1/SMARCB1/SMAD2/SMARCE1/NRIP1/SMARCC2/SIN3A/MYOD1/CTNNB1/SMARCD1/ARID1A/ZBTB7A/THRB/SPI1/SMAD4/STAT1/CREB1"
"3","GO:0030522","intracellular receptor signaling pathway","43/123","288/18493",7.13816342997937e-47,8.4444473376656e-44,4.01490385201998e-44,43,"bp","ChemoRes","2033/6714/6774/367/2908/5371/861/3065/9612/6597/5925/672/7421/8202/9611/8648/2099/5970/23054/6256/3172/5468/5914/7067/8805/5241/142/23411/2100/10498/8204/22938/3164/1499/23426/8289/51341/7068/5469/9325/7316/7329/8554","EP300/SRC/STAT3/AR/NR3C1/PML/RUNX1/HDAC1/NCOR2/SMARCA4/RB1/BRCA1/VDR/NCOA3/NCOR1/NCOA1/ESR1/RELA/NCOA6/RXRA/HNF4A/PPARG/RARA/THRA/TRIM24/PGR/PARP1/SIRT1/ESR2/CARM1/NRIP1/SNW1/NR4A1/CTNNB1/GRIP1/ARID1A/ZBTB7A/THRB/MED1/TRIP4/UBC/UBE2I/PIAS1"
"4","GO:0071383","cellular response to steroid hormone stimulus","42/123","259/18493",2.53032834212056e-47,4.49006764309293e-44,2.13479806969434e-44,42,"bp","ChemoRes","5105/2033/6714/367/2908/861/3065/9612/6597/5925/672/7421/8202/9611/8648/2099/23054/6256/3172/5468/5914/7067/5241/142/23411/8431/2100/10498/8204/4654/3164/1499/23426/8289/51341/7068/5469/9325/2309/2308/7329/8554","PCK1/EP300/SRC/AR/NR3C1/RUNX1/HDAC1/NCOR2/SMARCA4/RB1/BRCA1/VDR/NCOA3/NCOR1/NCOA1/ESR1/NCOA6/RXRA/HNF4A/PPARG/RARA/THRA/PGR/PARP1/SIRT1/NR0B2/ESR2/CARM1/NRIP1/MYOD1/NR4A1/CTNNB1/GRIP1/ARID1A/ZBTB7A/THRB/MED1/TRIP4/FOXO3/FOXO1/UBE2I/PIAS1"
"5","GO:0005667","transcription factor complex","39/123","356/19659",6.4543915891625e-38,7.35800641164525e-36,5.0276313431371e-36,39,"cc","ChemoRes","2068/2071/4088/2033/1051/6774/3091/3725/2113/860/861/3065/7157/5925/7421/2353/1050/5970/23054/6256/6908/5468/5914/5451/7067/142/1869/4087/10498/25942/4654/3164/1499/2623/7068/4089/6497/1487/1385","ERCC2/ERCC3/SMAD3/EP300/CEBPB/STAT3/HIF1A/JUN/ETS1/RUNX2/RUNX1/HDAC1/TP53/RB1/VDR/FOS/CEBPA/RELA/NCOA6/RXRA/TBP/PPARG/RARA/POU2F1/THRA/PARP1/E2F1/SMAD2/CARM1/SIN3A/MYOD1/NR4A1/CTNNB1/GATA1/THRB/SMAD4/SKI/CTBP1/CREB1"
"6","GO:0030099","myeloid cell differentiation","39/123","405/18493",1.03455229577706e-34,5.24518013958968e-32,2.49381553403101e-32,39,"bp","ChemoRes","2068/1030/3815/2056/2033/6777/6714/1051/6774/3091/3725/2113/1387/5371/861/3065/5925/4609/2353/1050/23054/5468/5914/7067/142/8850/23411/25942/1499/7704/2623/51341/5469/2624/6688/6772/2309/6670/1385","ERCC2/CDKN2B/KIT/EPO/EP300/STAT5B/SRC/CEBPB/STAT3/HIF1A/JUN/ETS1/CREBBP/PML/RUNX1/HDAC1/RB1/MYC/FOS/CEBPA/NCOA6/PPARG/RARA/THRA/PARP1/KAT2B/SIRT1/SIN3A/CTNNB1/ZBTB16/GATA1/ZBTB7A/MED1/GATA2/SPI1/STAT1/FOXO3/SP3/CREB1"
"7","GO:0009755","hormone-mediated signaling pathway","38/123","240/18493",3.11688519906598e-42,2.21236511429703e-39,1.05186673139005e-39,38,"bp","ChemoRes","2033/6714/367/2908/861/3065/9612/6597/5925/672/7421/8202/9611/8648/2099/23054/6256/3172/5468/5914/7067/5241/142/23411/8431/2100/10498/8204/3164/1499/23426/8289/51341/7068/5469/9325/7329/8554","EP300/SRC/AR/NR3C1/RUNX1/HDAC1/NCOR2/SMARCA4/RB1/BRCA1/VDR/NCOA3/NCOR1/NCOA1/ESR1/NCOA6/RXRA/HNF4A/PPARG/RARA/THRA/PGR/PARP1/SIRT1/NR0B2/ESR2/CARM1/NRIP1/NR4A1/CTNNB1/GRIP1/ARID1A/ZBTB7A/THRB/MED1/TRIP4/UBE2I/PIAS1"
"8","GO:0035257","nuclear hormone receptor binding","38/122","152/17632",7.83854485228969e-50,2.71997506374452e-47,1.60896446968051e-47,38,"mf","ChemoRes","4088/2033/6777/6714/1051/6774/3091/9612/6597/5925/672/7421/8202/9611/8648/2099/23054/6256/10499/5468/8805/142/23411/8431/6605/8204/4654/22938/3164/1499/23426/7341/8289/51341/5469/9325/6772/8554","SMAD3/EP300/STAT5B/SRC/CEBPB/STAT3/HIF1A/NCOR2/SMARCA4/RB1/BRCA1/VDR/NCOA3/NCOR1/NCOA1/ESR1/NCOA6/RXRA/NCOA2/PPARG/TRIM24/PARP1/SIRT1/NR0B2/SMARCE1/NRIP1/MYOD1/SNW1/NR4A1/CTNNB1/GRIP1/SUMO1/ARID1A/ZBTB7A/MED1/TRIP4/STAT1/PIAS1"
"9","GO:0043401","steroid hormone mediated signaling pathway","38/123","191/18493",2.82405948684274e-46,2.50564677970122e-43,1.19130719931814e-43,38,"bp","ChemoRes","2033/6714/367/2908/861/3065/9612/6597/5925/672/7421/8202/9611/8648/2099/23054/6256/3172/5468/5914/7067/5241/142/23411/8431/2100/10498/8204/3164/1499/23426/8289/51341/7068/5469/9325/7329/8554","EP300/SRC/AR/NR3C1/RUNX1/HDAC1/NCOR2/SMARCA4/RB1/BRCA1/VDR/NCOA3/NCOR1/NCOA1/ESR1/NCOA6/RXRA/HNF4A/PPARG/RARA/THRA/PGR/PARP1/SIRT1/NR0B2/ESR2/CARM1/NRIP1/NR4A1/CTNNB1/GRIP1/ARID1A/ZBTB7A/THRB/MED1/TRIP4/UBE2I/PIAS1"
"10","GO:0051427","hormone receptor binding","38/122","185/17632",3.10804466204917e-46,5.39245748865531e-44,3.18983531105047e-44,38,"mf","ChemoRes","4088/2033/6777/6714/1051/6774/3091/9612/6597/5925/672/7421/8202/9611/8648/2099/23054/6256/10499/5468/8805/142/23411/8431/6605/8204/4654/22938/3164/1499/23426/7341/8289/51341/5469/9325/6772/8554","SMAD3/EP300/STAT5B/SRC/CEBPB/STAT3/HIF1A/NCOR2/SMARCA4/RB1/BRCA1/VDR/NCOA3/NCOR1/NCOA1/ESR1/NCOA6/RXRA/NCOA2/PPARG/TRIM24/PARP1/SIRT1/NR0B2/SMARCE1/NRIP1/MYOD1/SNW1/NR4A1/CTNNB1/GRIP1/SUMO1/ARID1A/ZBTB7A/MED1/TRIP4/STAT1/PIAS1"
"11","GO:0003713","transcription coactivator activity","37/122","321/17632",3.36343640299075e-35,3.89037477279263e-33,2.30129859151998e-33,37,"mf","ChemoRes","2033/3725/1387/5371/6597/5925/672/7421/8202/6599/8648/1050/6595/23054/6256/10499/5468/5914/7067/8805/8850/6598/2100/6605/10498/8204/6601/4654/22938/1499/23426/6602/8289/7068/5469/9325/8554","EP300/JUN/CREBBP/PML/SMARCA4/RB1/BRCA1/VDR/NCOA3/SMARCC1/NCOA1/CEBPA/SMARCA2/NCOA6/RXRA/NCOA2/PPARG/RARA/THRA/TRIM24/KAT2B/SMARCB1/ESR2/SMARCE1/CARM1/NRIP1/SMARCC2/MYOD1/SNW1/CTNNB1/GRIP1/SMARCD1/ARID1A/THRB/MED1/TRIP4/PIAS1"
"12","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","36/122","449/17632",1.50980276446232e-28,1.04780311853685e-26,6.19813766463479e-27,36,"mf","ChemoRes","8061/4088/2033/6777/6667/1051/6774/3091/3725/367/2113/860/2908/861/7157/4609/2353/2099/1050/5970/4790/3172/5241/142/23411/1869/4087/4654/3164/2623/6688/4089/2309/467/688/1385","FOSL1/SMAD3/EP300/STAT5B/SP1/CEBPB/STAT3/HIF1A/JUN/AR/ETS1/RUNX2/NR3C1/RUNX1/TP53/MYC/FOS/ESR1/CEBPA/RELA/NFKB1/HNF4A/PGR/PARP1/SIRT1/E2F1/SMAD2/MYOD1/NR4A1/GATA1/SPI1/SMAD4/FOXO3/ATF3/KLF5/CREB1"
"13","GO:0000982","transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding","35/122","447/17632",2.22030483345333e-27,1.28407629534717e-25,7.59577969339296e-26,35,"mf","ChemoRes","8061/6777/6667/1051/6774/3091/3725/367/2113/1387/860/2908/7157/5925/4609/2353/2099/1050/5970/3172/5468/5241/23411/1869/4087/3164/51341/6688/4089/6772/467/688/2308/6670/1385","FOSL1/STAT5B/SP1/CEBPB/STAT3/HIF1A/JUN/AR/ETS1/CREBBP/RUNX2/NR3C1/TP53/RB1/MYC/FOS/ESR1/CEBPA/RELA/HNF4A/PPARG/PGR/SIRT1/E2F1/SMAD2/NR4A1/ZBTB7A/SPI1/SMAD4/STAT1/ATF3/KLF5/FOXO1/SP3/CREB1"
"14","GO:0048732","gland development","34/123","434/18493",4.03798220974472e-27,1.4330798862384e-24,6.81356366549557e-25,34,"bp","ChemoRes","4088/596/5105/5594/6777/6776/6714/5595/1051/3091/3725/367/2113/5371/595/7421/6599/2099/1050/5970/6256/3172/5914/7067/5241/4087/1499/7068/5469/2624/4089/207/6670/1385","SMAD3/BCL2/PCK1/MAPK1/STAT5B/STAT5A/SRC/MAPK3/CEBPB/HIF1A/JUN/AR/ETS1/PML/CCND1/VDR/SMARCC1/ESR1/CEBPA/RELA/RXRA/HNF4A/RARA/THRA/PGR/SMAD2/CTNNB1/THRB/MED1/GATA2/SMAD4/AKT1/SP3/CREB1"
