"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0000790","nuclear chromatin","63/209","369/19659",1.51495048886394e-58,3.93887127104623e-56,2.4239207821823e-56,63,"cc","ChemoRes","2956/5888/10111/3014/5884/7157/10856/4609/8467/3065/6597/10524/5925/7528/3066/1108/9219/8350/1385/121504/2648/2099/9555/1869/1387/5928/6595/6601/6598/6599/86/1107/25942/10155/6605/23411/5970/6667/1051/367/9611/9112/3725/6304/6774/9612/4088/8202/51341/1457/23028/5931/53615/1025/6886/8290/3622/4221/8607/6908/1499/3020/860","MSH6/RAD51/RAD50/H2AFX/RAD17/TP53/RUVBL2/MYC/SMARCA5/HDAC1/SMARCA4/KAT5/RB1/YY1/HDAC2/CHD4/MTA2/HIST1H3A/CREB1/HIST4H4/KAT2A/ESR1/H2AFY/E2F1/CREBBP/RBBP4/SMARCA2/SMARCC2/SMARCB1/SMARCC1/ACTL6A/CHD3/SIN3A/TRIM28/SMARCE1/SIRT1/RELA/SP1/CEBPB/AR/NCOR1/MTA1/JUN/SATB1/STAT3/NCOR2/SMAD3/NCOA3/ZBTB7A/CSNK2A1/KDM1A/RBBP7/MBD3/CDK9/TAL1/HIST3H3/ING2/MEN1/RUVBL1/TBP/CTNNB1/H3F3A/RUNX2"
"2","GO:0009314","response to radiation","59/209","443/18493",1.31358987075886e-46,1.48698373369903e-43,8.39775699832507e-44,59,"bp","ChemoRes","3592/5599/1111/472/5591/2956/545/11073/5883/4436/3364/5810/7507/641/7486/5888/2237/5111/672/2177/64421/7520/3014/9025/7158/9400/11200/8243/7157/2547/10856/51720/84142/9577/79184/22976/4609/5371/10524/142/4193/2033/7528/1385/2074/1387/23411/5970/3091/9112/3725/8554/595/23028/4221/4255/1026/602/2353","IL12A/MAPK8/CHEK1/ATM/PRKDC/MSH6/ATR/TOPBP1/RAD9A/MSH2/HUS1/RAD1/XPA/BLM/WRN/RAD51/FEN1/PCNA/BRCA1/FANCD2/DCLRE1C/XRCC5/H2AFX/RNF8/TP53BP1/RECQL5/CHEK2/SMC1A/TP53/XRCC6/RUVBL2/UIMC1/ABRAXAS1/BABAM2/BRCC3/PAXIP1/MYC/PML/KAT5/PARP1/MDM2/EP300/YY1/CREB1/ERCC6/CREBBP/SIRT1/RELA/HIF1A/MTA1/JUN/PIAS1/CCND1/KDM1A/MEN1/MGMT/CDKN1A/BCL3/FOS"
"3","GO:0006260","DNA replication","57/209","268/18493",4.56140143515239e-57,1.54905192737775e-53,8.74828780510279e-54,57,"bp","ChemoRes","1111/472/84126/6118/6117/2956/545/3364/4437/7156/57697/641/1763/4683/7486/11277/5888/2237/5111/672/4361/10111/5981/5884/9400/11200/580/8243/675/63967/9156/7014/83990/5932/5982/5984/9126/10524/5983/5426/63922/5985/5422/5557/11198/7150/5928/25942/3725/1017/5931/1025/4176/4172/983/4171/898","CHEK1/ATM/ATRIP/RPA2/RPA1/MSH6/ATR/HUS1/MSH3/TOP3A/FANCM/BLM/DNA2/NBN/WRN/TREX1/RAD51/FEN1/PCNA/BRCA1/MRE11/RAD50/RFC1/RAD17/RECQL5/CHEK2/BARD1/SMC1A/BRCA2/CLSPN/EXO1/TERF2/BRIP1/RBBP8/RFC2/RFC4/SMC3/KAT5/RFC3/POLE/CHTF18/RFC5/POLA1/PRIM1/SUPT16H/TOP1/RBBP4/SIN3A/JUN/CDK2/RBBP7/CDK9/MCM7/MCM3/CDK1/MCM2/CCNE1"
"4","GO:0051052","regulation of DNA metabolic process","57/209","412/18493",6.50683434529416e-46,4.41944188732379e-43,2.49588466886862e-43,57,"bp","ChemoRes","1111/472/6118/2956/545/4436/3364/4437/641/5893/1763/4683/7486/5888/5111/672/4361/4292/10111/7520/3014/5884/9025/7158/9400/11200/8243/7157/7014/51720/84142/9577/79184/5982/5984/56916/22976/4609/9126/5371/5983/63922/5985/142/10155/23411/1786/3725/1017/23028/53615/1025/4221/983/4255/1499/4297","CHEK1/ATM/RPA2/MSH6/ATR/MSH2/HUS1/MSH3/BLM/RAD52/DNA2/NBN/WRN/RAD51/PCNA/BRCA1/MRE11/MLH1/RAD50/XRCC5/H2AFX/RAD17/RNF8/TP53BP1/RECQL5/CHEK2/SMC1A/TP53/TERF2/UIMC1/ABRAXAS1/BABAM2/BRCC3/RFC2/RFC4/SMARCAD1/PAXIP1/MYC/SMC3/PML/RFC3/CHTF18/RFC5/PARP1/TRIM28/SIRT1/DNMT1/JUN/CDK2/KDM1A/MBD3/CDK9/MEN1/CDK1/MGMT/CTNNB1/KMT2A"
"5","GO:0006302","double-strand break repair","53/209","236/18493",2.68903233560514e-54,4.56597690585752e-51,2.57864048182766e-51,53,"bp","ChemoRes","1111/472/5591/6118/6117/4436/3364/641/5893/1763/4683/7486/5888/2237/672/4361/4292/10111/64421/7520/3014/9025/9656/7158/9400/11200/580/2547/675/9156/83990/5932/51720/84142/9577/79184/7341/22909/8924/51588/56916/22976/5371/10524/5422/142/7528/121504/9112/51341/23028/8290/4255","CHEK1/ATM/PRKDC/RPA2/RPA1/MSH2/HUS1/BLM/RAD52/DNA2/NBN/WRN/RAD51/FEN1/BRCA1/MRE11/MLH1/RAD50/DCLRE1C/XRCC5/H2AFX/RNF8/MDC1/TP53BP1/RECQL5/CHEK2/BARD1/XRCC6/BRCA2/EXO1/BRIP1/RBBP8/UIMC1/ABRAXAS1/BABAM2/BRCC3/SUMO1/FAN1/HERC2/PIAS4/SMARCAD1/PAXIP1/PML/KAT5/POLA1/PARP1/YY1/HIST4H4/MTA1/ZBTB7A/KDM1A/HIST3H3/MGMT"
"6","GO:0016569","covalent chromatin modification","53/209","470/18493",7.0897272431423e-38,2.27040554191774e-35,1.28221402807455e-35,53,"bp","ChemoRes","5599/1111/472/672/9025/675/10856/51720/79184/56916/22976/3065/10524/2033/3066/1108/9219/9031/2648/9555/1387/5928/6598/86/1107/25942/10155/8850/23411/1786/9112/6304/8841/8202/1487/1017/23028/5931/53615/1025/10014/3622/8819/4221/8607/983/5926/1499/4000/10498/4297/9759/6839","MAPK8/CHEK1/ATM/BRCA1/RNF8/BRCA2/RUVBL2/UIMC1/BRCC3/SMARCAD1/PAXIP1/HDAC1/KAT5/EP300/HDAC2/CHD4/MTA2/BAZ1B/KAT2A/H2AFY/CREBBP/RBBP4/SMARCB1/ACTL6A/CHD3/SIN3A/TRIM28/KAT2B/SIRT1/DNMT1/MTA1/SATB1/HDAC3/NCOA3/CTBP1/CDK2/KDM1A/RBBP7/MBD3/CDK9/HDAC5/ING2/SAP30/MEN1/RUVBL1/CDK1/ARID4A/CTNNB1/LMNA/CARM1/KMT2A/HDAC4/SUV39H1"
"7","GO:0016570","histone modification","52/209","456/18493",2.18396834770524e-37,6.18063042400582e-35,3.49051783291135e-35,52,"bp","ChemoRes","5599/1111/472/672/9025/675/10856/51720/79184/56916/22976/3065/10524/2033/3066/1108/9219/9031/2648/9555/1387/5928/6598/86/1107/25942/8850/23411/1786/9112/6304/8841/8202/1487/1017/23028/5931/53615/1025/10014/3622/8819/4221/8607/983/5926/1499/4000/10498/4297/9759/6839","MAPK8/CHEK1/ATM/BRCA1/RNF8/BRCA2/RUVBL2/UIMC1/BRCC3/SMARCAD1/PAXIP1/HDAC1/KAT5/EP300/HDAC2/CHD4/MTA2/BAZ1B/KAT2A/H2AFY/CREBBP/RBBP4/SMARCB1/ACTL6A/CHD3/SIN3A/KAT2B/SIRT1/DNMT1/MTA1/SATB1/HDAC3/NCOA3/CTBP1/CDK2/KDM1A/RBBP7/MBD3/CDK9/HDAC5/ING2/SAP30/MEN1/RUVBL1/CDK1/ARID4A/CTNNB1/LMNA/CARM1/KMT2A/HDAC4/SUV39H1"
"8","GO:0098687","chromosomal region","48/209","346/19659",1.00000501937954e-39,8.66671016795605e-38,5.33336010335757e-38,48,"cc","ChemoRes","1111/472/5591/6118/6117/545/4436/641/1763/4683/7486/5888/2237/5111/4361/10111/64421/7520/3014/5884/9025/7158/11200/8243/2547/675/7014/9126/5371/142/121504/9031/9555/25942/8850/1051/1786/1017/23028/8290/4221/4176/4172/983/4171/3020/1616/6839","CHEK1/ATM/PRKDC/RPA2/RPA1/ATR/MSH2/BLM/DNA2/NBN/WRN/RAD51/FEN1/PCNA/MRE11/RAD50/DCLRE1C/XRCC5/H2AFX/RAD17/RNF8/TP53BP1/CHEK2/SMC1A/XRCC6/BRCA2/TERF2/SMC3/PML/PARP1/HIST4H4/BAZ1B/H2AFY/SIN3A/KAT2B/CEBPB/DNMT1/CDK2/KDM1A/HIST3H3/MEN1/MCM7/MCM3/CDK1/MCM2/H3F3A/DAXX/SUV39H1"
"9","GO:0006310","DNA recombination","45/209","282/18493",7.25695625177496e-39,2.73829149233642e-36,1.54645313341918e-36,45,"bp","ChemoRes","1111/472/5591/6118/6117/2956/4436/3364/4437/57697/641/5893/4683/7486/11277/5888/2237/672/4361/4292/10111/64421/7520/3014/9025/7158/9400/2547/675/10856/9156/7014/83990/5932/22909/56916/22976/7153/7155/142/7528/86/23028/64919/8607","CHEK1/ATM/PRKDC/RPA2/RPA1/MSH6/MSH2/HUS1/MSH3/FANCM/BLM/RAD52/NBN/WRN/TREX1/RAD51/FEN1/BRCA1/MRE11/MLH1/RAD50/DCLRE1C/XRCC5/H2AFX/RNF8/TP53BP1/RECQL5/XRCC6/BRCA2/RUVBL2/EXO1/TERF2/BRIP1/RBBP8/FAN1/SMARCAD1/PAXIP1/TOP2A/TOP2B/PARP1/YY1/ACTL6A/KDM1A/BCL11B/RUVBL1"
"10","GO:0010948","negative regulation of cell cycle process","44/209","304/18493",4.4131424833633e-36,1.0705022766787e-33,6.0456733869834e-34,44,"bp","ChemoRes","1111/472/5591/6118/2956/11073/3364/5810/641/4683/5888/5111/672/4361/5884/11200/8243/7157/63967/7014/5932/51720/84142/9577/79184/9126/5371/4193/2033/5925/2648/9555/1869/5928/8850/595/1017/5931/1025/4221/983/1026/5933/10498","CHEK1/ATM/PRKDC/RPA2/MSH6/TOPBP1/HUS1/RAD1/BLM/NBN/RAD51/PCNA/BRCA1/MRE11/RAD17/CHEK2/SMC1A/TP53/CLSPN/TERF2/RBBP8/UIMC1/ABRAXAS1/BABAM2/BRCC3/SMC3/PML/MDM2/EP300/RB1/KAT2A/H2AFY/E2F1/RBBP4/KAT2B/CCND1/CDK2/RBBP7/CDK9/MEN1/CDK1/CDKN1A/RBL1/CARM1"
