"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0044282","small molecule catabolic process","46/313","431/18493",9.6060522592983e-24,1.6440758441789e-20,1.34737522479105e-20,46,"bp","ChemoRes","3667/10894/55576/6718/443/7915/5009/6898/3176/54363/3034/3081/8644/84890/384/23600/127/4143/587/84693/10449/3633/5264/8659/26061/594/27034/2752/55577/669/2592/3795/2954/3029/51251/221/23498/216/5236/10327/3620/79873/100/39/955/6652","IRS1/LYVE1/STAB2/AKR1D1/ASPA/ALDH5A1/OTC/TAT/HNMT/HAO1/HAL/HGD/AKR1C3/ADO/ARG2/AMACR/ADH4/MAT1A/BCAT2/MCEE/ACAA2/INPP5B/PHYH/ALDH4A1/HACL1/BCKDHB/ACAD8/GLUL/NAGK/BPGM/GALT/KHK/GSTZ1/HAGH/NT5C3A/ALDH3B1/HAAO/ALDH1A1/PGM1/AKR1A1/IDO1/NUDT18/ADA/ACAT2/ENTPD6/SORD"
"2","GO:0006520","cellular amino acid metabolic process","42/313","324/18493",4.73174516796266e-25,1.61967637099362e-21,1.32737903922321e-21,42,"bp","ChemoRes","51582/122622/4947/443/7915/5009/3172/6898/3176/3034/3081/84890/384/51074/81034/10352/4143/587/95/8659/58478/63826/4946/4953/2356/594/51540/2729/29968/27034/9054/2752/51686/2937/2954/55256/23498/2593/3620/27232/435/2730","AZIN1/ADSSL1/OAZ2/ASPA/ALDH5A1/OTC/HNF4A/TAT/HNMT/HAL/HGD/ADO/ARG2/APIP/SLC25A32/WARS2/MAT1A/BCAT2/ACY1/ALDH4A1/ENOPH1/SRR/OAZ1/ODC1/FPGS/BCKDHB/SCLY/GCLC/PSAT1/ACAD8/NFS1/GLUL/OAZ3/GSS/GSTZ1/ADI1/HAAO/GAMT/IDO1/GNMT/ASL/GCLM"
"3","GO:0006066","alcohol metabolic process","37/313","348/18493",3.57278367332848e-19,3.05740962845085e-16,2.50564960247905e-16,37,"bp","ChemoRes","6718/9023/1719/1109/125/54363/1646/124/8644/130/127/351/10682/10449/3633/54884/9619/1798/6713/8818/6721/4800/4598/221/216/4802/2053/39/6307/6720/2224/7108/4801/6652/1119/51478/231","AKR1D1/CH25H/DHFR/AKR1C4/ADH1B/HAO1/AKR1C2/ADH1A/AKR1C3/ADH6/ADH4/APP/EBP/ACAA2/INPP5B/RETSAT/ABCG1/DPAGT1/SQLE/DPM2/SREBF2/NFYA/MVK/ALDH3B1/ALDH1A1/NFYC/EPHX2/ACAT2/MSMO1/SREBF1/FDPS/TM7SF2/NFYB/SORD/CHKA/HSD17B7/AKR1B1"
"4","GO:0016053","organic acid biosynthetic process","37/313","413/18493",1.05837147624855e-16,3.29345960290799e-14,2.69910046335156e-14,37,"bp","ChemoRes","5155/6718/9023/1719/443/5009/1109/8647/2646/8644/51074/23600/9572/4259/587/5166/58478/63826/2356/8560/64834/29968/5210/2752/669/10090/55256/2948/23498/2593/5236/10327/3620/4048/435/2203/2053","PDGFB/AKR1D1/CH25H/DHFR/ASPA/OTC/AKR1C4/ABCB11/GCKR/AKR1C3/APIP/AMACR/NR1D1/MGST3/BCAT2/PDK4/ENOPH1/SRR/FPGS/DEGS1/ELOVL1/PSAT1/PFKFB4/GLUL/BPGM/UST/ADI1/GSTM4/HAAO/GAMT/PGM1/AKR1A1/IDO1/LTA4H/ASL/FBP1/EPHX2"
"5","GO:0046394","carboxylic acid biosynthetic process","37/313","412/18493",9.78014935830717e-17,3.29345960290799e-14,2.69910046335156e-14,37,"bp","ChemoRes","5155/6718/9023/1719/443/5009/1109/8647/2646/8644/51074/23600/9572/4259/587/5166/58478/63826/2356/8560/64834/29968/5210/2752/669/10090/55256/2948/23498/2593/5236/10327/3620/4048/435/2203/2053","PDGFB/AKR1D1/CH25H/DHFR/ASPA/OTC/AKR1C4/ABCB11/GCKR/AKR1C3/APIP/AMACR/NR1D1/MGST3/BCAT2/PDK4/ENOPH1/SRR/FPGS/DEGS1/ELOVL1/PSAT1/PFKFB4/GLUL/BPGM/UST/ADI1/GSTM4/HAAO/GAMT/PGM1/AKR1A1/IDO1/LTA4H/ASL/FBP1/EPHX2"
"6","GO:0006091","generation of precursor metabolites and energy","36/313","471/18493",3.90222890796643e-14,7.03017344840478e-12,5.76146262588949e-12,36,"bp","ChemoRes","3667/7915/65018/4713/79611/1109/2538/125/124/2877/2646/130/9572/127/8659/4609/8560/6715/5210/669/7498/3795/23498/216/5236/10327/3620/27232/2203/6391/6392/8908/4129/7296/4724/231","IRS1/ALDH5A1/PINK1/NDUFB7/ACSS3/AKR1C4/G6PC/ADH1B/ADH1A/GPX2/GCKR/ADH6/NR1D1/ADH4/ALDH4A1/MYC/DEGS1/SRD5A1/PFKFB4/BPGM/XDH/KHK/HAAO/ALDH1A1/PGM1/AKR1A1/IDO1/GNMT/FBP1/SDHC/SDHD/GYG2/MAOB/TXNRD1/NDUFS4/AKR1B1"
"7","GO:0006790","sulfur compound metabolic process","33/313","362/18493",3.21759198226525e-15,7.86701239663852e-13,6.44728017499013e-13,33,"bp","ChemoRes","7915/2941/84890/51074/6821/4143/4259/84693/5166/58478/9060/262/2729/64834/27430/56548/9054/5164/5163/8050/10090/2937/4598/2954/3029/2940/55256/2948/2593/10327/27232/80704/2730","ALDH5A1/GSTA4/ADO/APIP/SUOX/MAT1A/MGST3/MCEE/PDK4/ENOPH1/PAPSS2/AMD1/GCLC/ELOVL1/MAT2B/CHST7/NFS1/PDK2/PDK1/PDHX/UST/GSS/MVK/GSTZ1/HAGH/GSTA3/ADI1/GSTM4/GAMT/AKR1A1/GNMT/SLC19A3/GCLM"
"8","GO:0008202","steroid metabolic process","33/313","318/18493",6.97080779892578e-17,2.98263438696537e-14,2.44436878738647e-14,33,"bp","ChemoRes","6718/9023/7367/7366/10720/1109/2538/8647/1646/3290/183/8644/23600/9572/351/10682/10449/9619/6715/6713/6721/4800/4598/4802/2053/39/6307/6720/2224/7108/4801/51478/231","AKR1D1/CH25H/UGT2B17/UGT2B15/UGT2B11/AKR1C4/G6PC/ABCB11/AKR1C2/HSD11B1/AGT/AKR1C3/AMACR/NR1D1/APP/EBP/ACAA2/ABCG1/SRD5A1/SQLE/SREBF2/NFYA/MVK/NFYC/EPHX2/ACAT2/MSMO1/SREBF1/FDPS/TM7SF2/NFYB/HSD17B7/AKR1B1"
"9","GO:0062012","regulation of small molecule metabolic process","33/313","355/18493",1.81982576949379e-15,5.19105300748103e-13,4.2542418207903e-13,33,"bp","ChemoRes","3667/5155/51582/4947/65018/2646/8644/9572/10447/5166/9619/4946/4953/6713/5210/6721/4800/5164/5163/51686/3795/4598/2954/27232/2203/4802/2053/6720/2224/7108/4801/8850/51451","IRS1/PDGFB/AZIN1/OAZ2/PINK1/GCKR/AKR1C3/NR1D1/FAM3C/PDK4/ABCG1/OAZ1/ODC1/SQLE/PFKFB4/SREBF2/NFYA/PDK2/PDK1/OAZ3/KHK/MVK/GSTZ1/GNMT/FBP1/NFYC/EPHX2/SREBF1/FDPS/TM7SF2/NFYB/KAT2B/LCMT1"
"10","GO:0005996","monosaccharide metabolic process","32/313","287/18493",2.5702229867665e-17,1.25683904052882e-14,1.03002169319289e-14,32,"bp","ChemoRes","3667/3175/7367/7915/79799/7366/10720/2538/2646/9572/10447/4351/5166/5373/2729/5210/669/5164/5163/2592/3795/216/5236/10327/27232/2203/7391/4124/8850/6652/51451/231","IRS1/ONECUT1/UGT2B17/ALDH5A1/UGT2A3/UGT2B15/UGT2B11/G6PC/GCKR/NR1D1/FAM3C/MPI/PDK4/PMM2/GCLC/PFKFB4/BPGM/PDK2/PDK1/GALT/KHK/ALDH1A1/PGM1/AKR1A1/GNMT/FBP1/USF1/MAN2A1/KAT2B/SORD/LCMT1/AKR1B1"
