"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0022613","ribonucleoprotein complex biogenesis","67/294","485/18493",1.15309996641305e-43,1.78326909805779e-40,1.5536504810618e-40,67,"bp","ChemoRes","5728/472/55164/23246/8667/92345/8661/55505/55651/26121/64963/9092/7375/1975/6632/1736/6208/10813/56915/10528/8666/6209/118460/6218/8602/1968/57050/54606/3646/6155/8665/51491/27335/6134/6169/64216/54512/8663/22803/1965/3921/51081/11157/25929/7458/55272/6232/6234/79922/22894/51121/10199/51504/85865/6202/8664/10658/11224/9416/6203/6203/6154/55153/6634/8662/8668/27258/6130","PTEN/ATM/SHQ1/BOP1/EIF3H/NAF1/EIF3A/NOP10/NHP2/PRPF31/MRPS11/SART1/USP4/EIF4B/SNRPD1/DKC1/RPS14/UTP14A/EXOSC5/NOP56/EIF3G/RPS15/EXOSC6/RPS17/NOP14/EIF2S3/UTP3/DDX56/EIF3E/RPL27/EIF3F/NOP16/EIF3K/RPL10/RPL38/TFB2M/EXOSC4/EIF3C/XRN2/EIF2S1/RPSA/MRPS7/LSM6/GEMIN5/EIF4H/IMP3/RPS27/RPS28/MRM1/DIS3/RPL26L1/MPHOSPH10/TRMT112/GTPBP10/RPS8/EIF3D/CELF1/RPL35/DDX23/RPS9//RPL26/SDAD1/SNRPD3/EIF3B/EIF3I/LSM3/RPL7A"
"2","GO:0006401","RNA catabolic process","50/294","340/18493",9.19353198979303e-34,9.47853148147662e-31,8.25804978732287e-31,50,"bp","ChemoRes","472/207/5436/92345/10605/6418/26058/1736/6208/6181/56915/6209/6161/6206/118460/6218/6157/6235/3646/6155/6134/6169/54512/10940/22803/3921/7311/6141/8087/11157/6232/6234/6144/22894/6173/1981/6205/6202/6210/11224/2332/6203/6203/11187/6231/6154/6230/8570/6207/27258/6130","ATM/AKT1/POLR2G/NAF1/PAIP1/SET/GIGYF2/DKC1/RPS14/RPLP2/EXOSC5/RPS15/RPL32/RPS12/EXOSC6/RPS17/RPL27A/RPS29/EIF3E/RPL27/RPL10/RPL38/EXOSC4/POP1/XRN2/RPSA/UBA52/RPL18/FXR1/LSM6/RPS27/RPS28/RPL21/DIS3/RPL36A/EIF4G1/RPS11/RPS8/RPS15A/RPL35/FMR1/RPS9//PKP3/RPS26/RPL26/RPS25/KHSRP/RPS13/LSM3/RPL7A"
"3","GO:0006413","translational initiation","49/294","194/18493",4.54592693658113e-45,1.40605520148454e-41,1.22500767975239e-41,49,"bp","ChemoRes","1978/6198/5436/8667/8661/10605/1975/6208/6181/8666/6209/6161/6206/123263/6218/6157/1968/6235/3646/6155/8665/27335/6134/6169/8663/1965/3921/7311/6141/7458/6232/6234/6144/6173/1981/6205/6202/6210/8664/11224/2332/6203/6203/6231/6154/6230/8662/6207/8668/6130","EIF4EBP1/RPS6KB1/POLR2G/EIF3H/EIF3A/PAIP1/EIF4B/RPS14/RPLP2/EIF3G/RPS15/RPL32/RPS12/MTFMT/RPS17/RPL27A/EIF2S3/RPS29/EIF3E/RPL27/EIF3F/EIF3K/RPL10/RPL38/EIF3C/EIF2S1/RPSA/UBA52/RPL18/EIF4H/RPS27/RPS28/RPL21/RPL36A/EIF4G1/RPS11/RPS8/RPS15A/EIF3D/RPL35/FMR1/RPS9//RPS26/RPL26/RPS25/EIF3B/RPS13/EIF3I/RPL7A"
"4","GO:0005840","ribosome","47/304","276/19659",3.20304846633539e-35,6.37406644800742e-33,4.61913305145208e-33,47,"cc","ChemoRes","8667/10240/54460/65005/64975/64963/51021/29088/6208/6181/6209/6161/6206/6218/6157/6235/113251/6155/6134/6169/3921/7311/6141/51081/25929/64976/6232/6234/6144/28973/6173/51121/1981/6205/6202/6210/6183/11224/2332/6203/6203/6231/51642/6154/6230/51023/6207/6130","EIF3H/MRPS31/MRPS21/MRPL9/MRPL41/MRPS11/MRPS16/MRPL15/RPS14/RPLP2/RPS15/RPL32/RPS12/RPS17/RPL27A/RPS29/LARP4/RPL27/RPL10/RPL38/RPSA/UBA52/RPL18/MRPS7/GEMIN5/MRPL40/RPS27/RPS28/RPL21/MRPS18B/RPL36A/RPL26L1/EIF4G1/RPS11/RPS8/RPS15A/MRPS12/RPL35/FMR1/RPS9//RPS26/MRPL48/RPL26/RPS25/MRPS18C/RPS13/RPL7A"
"5","GO:0006402","mRNA catabolic process","46/294","307/18493",1.93323633599157e-31,1.49487499680548e-28,1.30239079477327e-28,46,"bp","ChemoRes","472/207/5436/10605/6418/26058/6208/6181/56915/6209/6161/6206/118460/6218/6157/6235/3646/6155/6134/6169/54512/3921/7311/6141/8087/11157/6232/6234/6144/22894/6173/1981/6205/6202/6210/11224/2332/6203/6203/11187/6231/6154/6230/8570/6207/27258/6130","ATM/AKT1/POLR2G/PAIP1/SET/GIGYF2/RPS14/RPLP2/EXOSC5/RPS15/RPL32/RPS12/EXOSC6/RPS17/RPL27A/RPS29/EIF3E/RPL27/RPL10/RPL38/EXOSC4/RPSA/UBA52/RPL18/FXR1/LSM6/RPS27/RPS28/RPL21/DIS3/RPL36A/EIF4G1/RPS11/RPS8/RPS15A/RPL35/FMR1/RPS9//PKP3/RPS26/RPL26/RPS25/KHSRP/RPS13/LSM3/RPL7A"
"6","GO:0044391","ribosomal subunit","45/304","191/19659",2.20851155107598e-40,8.7898759732824e-38,6.36981226310335e-38,45,"cc","ChemoRes","10240/54460/65005/64975/64963/51021/29088/6208/6181/6209/6161/6206/6218/6157/6235/113251/6155/6134/6169/3921/7311/6141/51081/25929/64976/6232/6234/6144/28973/6173/51121/1981/6205/6202/6210/6183/11224/6203/6203/6231/51642/6154/6230/51023/6207/6130","MRPS31/MRPS21/MRPL9/MRPL41/MRPS11/MRPS16/MRPL15/RPS14/RPLP2/RPS15/RPL32/RPS12/RPS17/RPL27A/RPS29/LARP4/RPL27/RPL10/RPL38/RPSA/UBA52/RPL18/MRPS7/GEMIN5/MRPL40/RPS27/RPS28/RPL21/MRPS18B/RPL36A/RPL26L1/EIF4G1/RPS11/RPS8/RPS15A/MRPS12/RPL35/RPS9//RPS26/MRPL48/RPL26/RPS25/MRPS18C/RPS13/RPL7A"
"7","GO:0042254","ribosome biogenesis","44/294","282/18493",7.43257479192123e-31,4.59779076628247e-28,4.0057666246986e-28,44,"bp","ChemoRes","5728/55164/23246/92345/55505/55651/64963/9092/1736/6208/10813/56915/10528/6209/118460/6218/8602/57050/54606/6155/51491/6134/6169/64216/54512/22803/3921/51081/11157/55272/6232/6234/79922/22894/51121/10199/51504/85865/6202/11224/6203/6203/6154/55153/6130","PTEN/SHQ1/BOP1/NAF1/NOP10/NHP2/MRPS11/SART1/DKC1/RPS14/UTP14A/EXOSC5/NOP56/RPS15/EXOSC6/RPS17/NOP14/UTP3/DDX56/RPL27/NOP16/RPL10/RPL38/TFB2M/EXOSC4/XRN2/RPSA/MRPS7/LSM6/IMP3/RPS27/RPS28/MRM1/DIS3/RPL26L1/MPHOSPH10/TRMT112/GTPBP10/RPS8/RPL35/RPS9//RPL26/SDAD1/RPL7A"
"8","GO:0034470","ncRNA processing","42/294","376/18493",1.4263963473672e-23,2.75740243900422e-21,2.40235174293424e-21,42,"bp","ChemoRes","60487/55164/6894/23246/92345/55505/55651/64963/9092/1736/6208/10813/56915/10528/6209/123263/118460/6218/8602/57050/54606/6155/64216/54512/10940/22803/3921/51605/11157/115708/55272/6232/6234/79922/22894/10199/51504/6202/11224/6203/6203/6154/6130","TRMT11/SHQ1/TARBP1/BOP1/NAF1/NOP10/NHP2/MRPS11/SART1/DKC1/RPS14/UTP14A/EXOSC5/NOP56/RPS15/MTFMT/EXOSC6/RPS17/NOP14/UTP3/DDX56/RPL27/TFB2M/EXOSC4/POP1/XRN2/RPSA/TRMT6/LSM6/TRMT61A/IMP3/RPS27/RPS28/MRM1/DIS3/MPHOSPH10/TRMT112/RPS8/RPL35/RPS9//RPL26/RPL7A"
"9","GO:0003735","structural constituent of ribosome","39/304","200/17632",6.41096266834283e-30,3.11572785681461e-27,2.65886241192324e-27,39,"mf","ChemoRes","10240/54460/65005/64975/64963/51021/29088/6208/6181/6209/6161/6206/6218/6157/6235/6155/6134/6169/3921/7311/6141/51081/6232/6234/6144/28973/6173/51121/6205/6202/6210/6183/11224/6203/6203/6231/6154/51023/6207/6130","MRPS31/MRPS21/MRPL9/MRPL41/MRPS11/MRPS16/MRPL15/RPS14/RPLP2/RPS15/RPL32/RPS12/RPS17/RPL27A/RPS29/RPL27/RPL10/RPL38/RPSA/UBA52/RPL18/MRPS7/RPS27/RPS28/RPL21/MRPS18B/RPL36A/RPL26L1/RPS11/RPS8/RPS15A/MRPS12/RPL35/RPS9//RPS26/RPL26/MRPS18C/RPS13/RPL7A"
"10","GO:0000956","nuclear-transcribed mRNA catabolic process","38/294","207/18493",1.97065921078009e-29,8.70749848420404e-27,7.586297112176e-27,38,"bp","ChemoRes","472/5436/6208/6181/56915/6209/6161/6206/118460/6218/6157/6235/3646/6155/6134/6169/54512/3921/7311/6141/11157/6232/6234/6144/22894/6173/1981/6205/6202/6210/11224/6203/6203/6231/6154/6230/6207/27258/6130","ATM/POLR2G/RPS14/RPLP2/EXOSC5/RPS15/RPL32/RPS12/EXOSC6/RPS17/RPL27A/RPS29/EIF3E/RPL27/RPL10/RPL38/EXOSC4/RPSA/UBA52/RPL18/LSM6/RPS27/RPS28/RPL21/DIS3/RPL36A/EIF4G1/RPS11/RPS8/RPS15A/RPL35/RPS9//RPS26/RPL26/RPS25/RPS13/LSM3/RPL7A"
