"","gene_id1","gene_id2","gene_symbol1","gene_symbol2"
"1",156,4157,"GRK2","MC1R"
"2",156,5566,"GRK2","PRKACA"
"3",156,5594,"GRK2","MAPK1"
"4",156,5595,"GRK2","MAPK3"
"5",156,5596,"GRK2","MAPK4"
"6",156,5597,"GRK2","MAPK6"
"7",156,5598,"GRK2","MAPK7"
"8",156,5599,"GRK2","MAPK8"
"9",156,5600,"GRK2","MAPK11"
"10",156,5601,"GRK2","MAPK9"
"11",156,5602,"GRK2","MAPK10"
"12",156,5603,"GRK2","MAPK13"
"13",156,6300,"GRK2","MAPK12"
"14",472,472,"ATM","ATM"
"15",472,7158,"ATM","TP53BP1"
"16",572,6195,"BAD","RPS6KA1"
"17",572,6196,"BAD","RPS6KA2"
"18",572,6197,"BAD","RPS6KA3"
"19",572,9252,"BAD","RPS6KA5"
"20",1051,1051,"CEBPB","CEBPB"
"21",1051,1386,"CEBPB","ATF2"
"22",1051,1432,"CEBPB","MAPK14"
"23",1051,2002,"CEBPB","ELK1"
"24",1051,2099,"CEBPB","ESR1"
"25",1051,3297,"CEBPB","HSF1"
"26",1051,4602,"CEBPB","MYB"
"27",1051,5566,"CEBPB","PRKACA"
"28",1051,5594,"CEBPB","MAPK1"
"29",1051,5595,"CEBPB","MAPK3"
"30",1051,5596,"CEBPB","MAPK4"
"31",1051,5597,"CEBPB","MAPK6"
"32",1051,5598,"CEBPB","MAPK7"
"33",1051,5599,"CEBPB","MAPK8"
"34",1051,5600,"CEBPB","MAPK11"
"35",1051,5601,"CEBPB","MAPK9"
"36",1051,5602,"CEBPB","MAPK10"
"37",1051,5603,"CEBPB","MAPK13"
"38",1051,6195,"CEBPB","RPS6KA1"
"39",1051,6196,"CEBPB","RPS6KA2"
"40",1051,6197,"CEBPB","RPS6KA3"
"41",1051,6300,"CEBPB","MAPK12"
"42",1051,9252,"CEBPB","RPS6KA5"
"43",1053,1432,"CEBPE","MAPK14"
"44",1053,4602,"CEBPE","MYB"
"45",1053,5594,"CEBPE","MAPK1"
"46",1053,5595,"CEBPE","MAPK3"
"47",1053,5596,"CEBPE","MAPK4"
"48",1053,5597,"CEBPE","MAPK6"
"49",1053,5598,"CEBPE","MAPK7"
"50",1053,5599,"CEBPE","MAPK8"
"51",1053,5600,"CEBPE","MAPK11"
"52",1053,5601,"CEBPE","MAPK9"
"53",1053,5602,"CEBPE","MAPK10"
"54",1053,5603,"CEBPE","MAPK13"
"55",1053,6300,"CEBPE","MAPK12"
"56",1058,5928,"CENPA","RBBP4"
"57",1058,8294,"CENPA","HIST1H4I"
"58",1058,8350,"CENPA","HIST1H3A"
"59",1058,8352,"CENPA","HIST1H3C"
"60",1058,8359,"CENPA","HIST1H4A"
"61",1058,8360,"CENPA","HIST1H4D"
"62",1058,8361,"CENPA","HIST1H4F"
"63",1058,8362,"CENPA","HIST1H4K"
"64",1058,8363,"CENPA","HIST1H4J"
"65",1058,8364,"CENPA","HIST1H4C"
"66",1058,8365,"CENPA","HIST1H4H"
"67",1058,8366,"CENPA","HIST1H4B"
"68",1058,8367,"CENPA","HIST1H4E"
"69",1058,8368,"CENPA","HIST1H4L"
"70",1058,8370,"CENPA","HIST2H4A"
"71",1058,55355,"CENPA","HJURP"
"72",1058,121504,"CENPA","HIST4H4"
"73",1058,554313,"CENPA","HIST2H4B"
"74",1111,472,"CHEK1","ATM"
"75",1111,7158,"CHEK1","TP53BP1"
"76",1386,472,"ATF2","ATM"
"77",1386,1386,"ATF2","ATF2"
"78",1386,1432,"ATF2","MAPK14"
"79",1386,2353,"ATF2","FOS"
"80",1386,5566,"ATF2","PRKACA"
"81",1386,5594,"ATF2","MAPK1"
"82",1386,5595,"ATF2","MAPK3"
"83",1386,5599,"ATF2","MAPK8"
"84",1386,5600,"ATF2","MAPK11"
"85",1386,5601,"ATF2","MAPK9"
"86",1386,5603,"ATF2","MAPK13"
"87",1386,8550,"ATF2","MAPKAPK5"
"88",1386,9252,"ATF2","RPS6KA5"
"89",1386,9759,"ATF2","HDAC4"
"90",1432,156,"MAPK14","GRK2"
"91",1432,572,"MAPK14","BAD"
"92",1432,891,"MAPK14","CCNB1"
"93",1432,1432,"MAPK14","MAPK14"
"94",1432,1827,"MAPK14","RCAN1"
"95",1432,2002,"MAPK14","ELK1"
"96",1432,2099,"MAPK14","ESR1"
"97",1432,2115,"MAPK14","ETV1"
"98",1432,2353,"MAPK14","FOS"
"99",1432,2764,"MAPK14","GMFB"
"100",1432,3297,"MAPK14","HSF1"
"101",1432,3925,"MAPK14","STMN1"
"102",1432,3977,"MAPK14","LIFR"
"103",1432,4157,"MAPK14","MC1R"
"104",1432,4208,"MAPK14","MEF2C"
"105",1432,4602,"MAPK14","MYB"
"106",1432,4638,"MAPK14","MYLK"
"107",1432,4776,"MAPK14","NFATC4"
"108",1432,5321,"MAPK14","PLA2G4A"
"109",1432,5465,"MAPK14","PPARA"
"110",1432,5594,"MAPK14","MAPK1"
"111",1432,5595,"MAPK14","MAPK3"
"112",1432,5597,"MAPK14","MAPK6"
"113",1432,5599,"MAPK14","MAPK8"
"114",1432,5600,"MAPK14","MAPK11"
"115",1432,5601,"MAPK14","MAPK9"
"116",1432,6195,"MAPK14","RPS6KA1"
"117",1432,6197,"MAPK14","RPS6KA3"
"118",1432,6256,"MAPK14","RXRA"
"119",1432,6300,"MAPK14","MAPK12"
