"","gene_id1","gene_id2","gene_symbol1","gene_symbol2","hub_score1","hub_score2","combined_score"
"1",156,1956,"GRK2","EGFR",NA,NA,NA
"2",156,4157,"GRK2","MC1R",NA,NA,NA
"3",156,5578,"GRK2","PRKCA",NA,NA,NA
"4",156,5594,"GRK2","MAPK1",NA,NA,NA
"5",156,5595,"GRK2","MAPK3",NA,NA,NA
"6",156,5596,"GRK2","MAPK4",NA,NA,NA
"7",156,5597,"GRK2","MAPK6",NA,NA,NA
"8",156,5598,"GRK2","MAPK7",NA,NA,NA
"9",156,5599,"GRK2","MAPK8",NA,NA,NA
"10",156,5600,"GRK2","MAPK11",NA,NA,NA
"11",156,5601,"GRK2","MAPK9",NA,NA,NA
"12",156,5602,"GRK2","MAPK10",NA,NA,NA
"13",156,5603,"GRK2","MAPK13",NA,NA,NA
"14",156,6300,"GRK2","MAPK12",NA,NA,NA
"15",367,367,"AR","AR",NA,NA,NA
"16",367,672,"AR","BRCA1",NA,0.786120424940685,NA
"17",367,4088,"AR","SMAD3",NA,NA,NA
"18",367,5578,"AR","PRKCA",NA,NA,NA
"19",367,5594,"AR","MAPK1",NA,NA,NA
"20",367,5595,"AR","MAPK3",NA,NA,NA
"21",367,5599,"AR","MAPK8",NA,NA,NA
"22",367,6667,"AR","SP1",NA,NA,NA
"23",367,7157,"AR","TP53",NA,0.660945725678381,NA
"24",367,9759,"AR","HDAC4",NA,NA,NA
"25",596,596,"BCL2","BCL2",NA,NA,NA
"26",596,6300,"BCL2","MAPK12",NA,NA,NA
"27",596,7157,"BCL2","TP53",NA,0.660945725678381,NA
"28",672,672,"BRCA1","BRCA1",0.786120424940685,0.786120424940685,0.786120424940685
"29",672,891,"BRCA1","CCNB1",0.786120424940685,0.418384358545314,0.602252391742999
"30",672,7157,"BRCA1","TP53",0.786120424940685,0.660945725678381,0.723533075309533
"31",672,7158,"BRCA1","TP53BP1",0.786120424940685,0.263402791501386,0.524761608221036
"32",672,8294,"BRCA1","HIST1H4I",0.786120424940685,NA,NA
"33",672,8359,"BRCA1","HIST1H4A",0.786120424940685,NA,NA
"34",672,8360,"BRCA1","HIST1H4D",0.786120424940685,NA,NA
"35",672,8361,"BRCA1","HIST1H4F",0.786120424940685,NA,NA
"36",672,8362,"BRCA1","HIST1H4K",0.786120424940685,NA,NA
"37",672,8363,"BRCA1","HIST1H4J",0.786120424940685,NA,NA
"38",672,8364,"BRCA1","HIST1H4C",0.786120424940685,NA,NA
"39",672,8365,"BRCA1","HIST1H4H",0.786120424940685,NA,NA
"40",672,8366,"BRCA1","HIST1H4B",0.786120424940685,NA,NA
"41",672,8367,"BRCA1","HIST1H4E",0.786120424940685,NA,NA
"42",672,8368,"BRCA1","HIST1H4L",0.786120424940685,NA,NA
"43",672,8370,"BRCA1","HIST2H4A",0.786120424940685,NA,NA
"44",775,9759,"CACNA1C","HDAC4",NA,NA,NA
"45",891,995,"CCNB1","CDC25C",0.418384358545314,0.177246535253873,0.297815446899593
"46",1051,367,"CEBPB","AR",NA,NA,NA
"47",1051,1051,"CEBPB","CEBPB",NA,NA,NA
"48",1051,1386,"CEBPB","ATF2",NA,NA,NA
"49",1051,1387,"CEBPB","CREBBP",NA,NA,NA
"50",1051,1432,"CEBPB","MAPK14",NA,NA,NA
"51",1051,1956,"CEBPB","EGFR",NA,NA,NA
"52",1051,2002,"CEBPB","ELK1",NA,NA,NA
"53",1051,2033,"CEBPB","EP300",NA,NA,NA
"54",1051,2099,"CEBPB","ESR1",NA,NA,NA
"55",1051,2908,"CEBPB","NR3C1",NA,NA,NA
"56",1051,3297,"CEBPB","HSF1",NA,NA,NA
"57",1051,4088,"CEBPB","SMAD3",NA,NA,NA
"58",1051,4602,"CEBPB","MYB",NA,NA,NA
"59",1051,5594,"CEBPB","MAPK1",NA,NA,NA
"60",1051,5595,"CEBPB","MAPK3",NA,NA,NA
"61",1051,5596,"CEBPB","MAPK4",NA,NA,NA
