"","gene_id1","gene_id2","gene_symbol1","gene_symbol2"
"1",23411,405,"SIRT1","ARNT"
"2",23411,3630,"SIRT1","INS"
"3",23411,2099,"SIRT1","ESR1"
"4",23411,4846,"SIRT1","NOS3"
"5",23411,2308,"SIRT1","FOXO1"
"6",23411,1499,"SIRT1","CTNNB1"
"7",23411,4609,"SIRT1","MYC"
"8",23411,4318,"SIRT1","MMP9"
"9",23411,5468,"SIRT1","PPARG"
"10",23411,3952,"SIRT1","LEP"
"11",23411,3725,"SIRT1","JUN"
"12",23411,5599,"SIRT1","MAPK8"
"13",23411,8660,"SIRT1","IRS2"
"14",23411,7157,"SIRT1","TP53"
"15",23411,1385,"SIRT1","CREB1"
"16",23411,3479,"SIRT1","IGF1"
"17",23411,5728,"SIRT1","PTEN"
"18",23411,999,"SIRT1","CDH1"
"19",23411,3667,"SIRT1","IRS1"
"20",23411,2475,"SIRT1","MTOR"
"21",23411,2033,"SIRT1","EP300"
"22",23411,207,"SIRT1","AKT1"
"23",23411,2597,"SIRT1","GAPDH"
"24",23411,6774,"SIRT1","STAT3"
"25",23411,627,"SIRT1","BDNF"
"26",23411,5970,"SIRT1","RELA"
"27",23411,367,"SIRT1","AR"
"28",23411,7422,"SIRT1","VEGFA"
"29",23411,3569,"SIRT1","IL6"
"30",23411,3091,"SIRT1","HIF1A"
"31",5594,6714,"MAPK1","SRC"
"32",5594,7124,"MAPK1","TNF"
"33",5594,1956,"MAPK1","EGFR"
"34",5594,3553,"MAPK1","IL1B"
"35",5594,3082,"MAPK1","HGF"
"36",5594,2247,"MAPK1","FGF2"
"37",5594,3630,"MAPK1","INS"
"38",5594,6654,"MAPK1","SOS1"
"39",5594,4088,"MAPK1","SMAD3"
"40",5594,598,"MAPK1","BCL2L1"
"41",5594,2099,"MAPK1","ESR1"
"42",5594,3570,"MAPK1","IL6R"
"43",5594,3586,"MAPK1","IL10"
"44",5594,5781,"MAPK1","PTPN11"
"45",5594,4846,"MAPK1","NOS3"
"46",5594,3480,"MAPK1","IGF1R"
"47",5594,5777,"MAPK1","PTPN6"
"48",5594,4313,"MAPK1","MMP2"
"49",5594,1432,"MAPK1","MAPK14"
"50",5594,6772,"MAPK1","STAT1"
"51",5594,6777,"MAPK1","STAT5B"
"52",5594,4067,"MAPK1","LYN"
"53",5594,2308,"MAPK1","FOXO1"
"54",5594,3717,"MAPK1","JAK2"
"55",5594,2885,"MAPK1","GRB2"
"56",5594,6347,"MAPK1","CCL2"
"57",5594,3560,"MAPK1","IL2RB"
"58",5594,5743,"MAPK1","PTGS2"
"59",5594,4609,"MAPK1","MYC"
"60",5594,4893,"MAPK1","NRAS"
"61",5594,3561,"MAPK1","IL2RG"
"62",5594,4318,"MAPK1","MMP9"
"63",5594,3725,"MAPK1","JUN"
"64",5594,8061,"MAPK1","FOSL1"
"65",5594,596,"MAPK1","BCL2"
"66",5594,5599,"MAPK1","MAPK8"
"67",5594,3718,"MAPK1","JAK3"
"68",5594,3558,"MAPK1","IL2"
"69",5594,2353,"MAPK1","FOS"
"70",5594,8660,"MAPK1","IRS2"
"71",5594,7157,"MAPK1","TP53"
"72",5594,1385,"MAPK1","CREB1"
"73",5594,3479,"MAPK1","IGF1"
"74",5594,5728,"MAPK1","PTEN"
"75",5594,6464,"MAPK1","SHC1"
"76",5594,3559,"MAPK1","IL2RA"
"77",5594,999,"MAPK1","CDH1"
"78",5594,1950,"MAPK1","EGF"
"79",5594,3576,"MAPK1","CXCL8"
"80",5594,836,"MAPK1","CASP3"
"81",5594,3383,"MAPK1","ICAM1"
"82",5594,6776,"MAPK1","STAT5A"
"83",5594,595,"MAPK1","CCND1"
"84",5594,7099,"MAPK1","TLR4"
"85",5594,3716,"MAPK1","JAK1"
"86",5594,3667,"MAPK1","IRS1"
"87",5594,4312,"MAPK1","MMP1"
"88",5594,2475,"MAPK1","MTOR"
"89",5594,3265,"MAPK1","HRAS"
"90",5594,1906,"MAPK1","EDN1"
"91",5594,3162,"MAPK1","HMOX1"
"92",5594,207,"MAPK1","AKT1"
"93",5594,2597,"MAPK1","GAPDH"
"94",5594,6774,"MAPK1","STAT3"
"95",5594,627,"MAPK1","BDNF"
"96",5594,5970,"MAPK1","RELA"
"97",5594,9846,"MAPK1","GAB2"
"98",5594,5595,"MAPK1","MAPK3"
"99",5594,367,"MAPK1","AR"
"100",5594,1437,"MAPK1","CSF2"
"101",5594,3845,"MAPK1","KRAS"
"102",5594,995,"MAPK1","CDC25C"
"103",5594,3569,"MAPK1","IL6"
"104",5594,3091,"MAPK1","HIF1A"
"105",3162,3725,"HMOX1","JUN"
"106",3162,5599,"HMOX1","MAPK8"
"107",3162,2353,"HMOX1","FOS"
"108",3162,7124,"HMOX1","TNF"
"109",3162,7157,"HMOX1","TP53"
"110",3162,1385,"HMOX1","CREB1"
"111",3162,3553,"HMOX1","IL1B"
"112",3162,3630,"HMOX1","INS"
"113",3162,3565,"HMOX1","IL4"
"114",3162,3576,"HMOX1","CXCL8"
"115",3162,836,"HMOX1","CASP3"
"116",3162,3586,"HMOX1","IL10"
"117",3162,4846,"HMOX1","NOS3"
"118",3162,7099,"HMOX1","TLR4"
"119",3162,1432,"HMOX1","MAPK14"
"120",3162,1906,"HMOX1","EDN1"
"121",3162,207,"HMOX1","AKT1"
"122",3162,6774,"HMOX1","STAT3"
"123",3162,6347,"HMOX1","CCL2"
"124",3162,2056,"HMOX1","EPO"
"125",3162,5743,"HMOX1","PTGS2"
"126",3162,7422,"HMOX1","VEGFA"
"127",3162,3569,"HMOX1","IL6"
"128",3162,3091,"HMOX1","HIF1A"
"129",3162,3596,"HMOX1","IL13"
"130",3162,5594,"HMOX1","MAPK1"
"131",3162,4318,"HMOX1","MMP9"
"132",3162,5468,"HMOX1","PPARG"
"133",3560,1432,"IL2RB","MAPK14"
"134",3560,3716,"IL2RB","JAK1"
"135",3560,3667,"IL2RB","IRS1"
"136",3560,6772,"IL2RB","STAT1"
"137",3560,5599,"IL2RB","MAPK8"
"138",3560,6777,"IL2RB","STAT5B"
"139",3560,3567,"IL2RB","IL5"
"140",3560,3265,"IL2RB","HRAS"
"141",3560,3718,"IL2RB","JAK3"
"142",3560,3558,"IL2RB","IL2"
"143",3560,8660,"IL2RB","IRS2"
"144",3560,3635,"IL2RB","INPP5D"
"145",3560,207,"IL2RB","AKT1"
"146",3560,3717,"IL2RB","JAK2"
"147",3560,6774,"IL2RB","STAT3"
"148",3560,2885,"IL2RB","GRB2"
"149",3560,3002,"IL2RB","GZMB"
"150",3560,3568,"IL2RB","IL5RA"
"151",3560,6464,"IL2RB","SHC1"
"152",3560,3578,"IL2RB","IL9"
"153",3560,5293,"IL2RB","PIK3CD"
"154",3560,9846,"IL2RB","GAB2"
"155",3560,5595,"IL2RB","MAPK3"
"156",3560,1439,"IL2RB","CSF2RB"
"157",3560,6654,"IL2RB","SOS1"
"158",3560,1437,"IL2RB","CSF2"
"159",3560,3559,"IL2RB","IL2RA"
"160",3560,3845,"IL2RB","KRAS"
"161",3560,3600,"IL2RB","IL15"
"162",3560,3458,"IL2RB","IFNG"
"163",3560,3569,"IL2RB","IL6"
"164",3560,5291,"IL2RB","PIK3CB"
"165",3560,4893,"IL2RB","NRAS"
"166",3560,3561,"IL2RB","IL2RG"
"167",3560,1438,"IL2RB","CSF2RA"
"168",3560,3565,"IL2RB","IL4"
"169",3560,5290,"IL2RB","PIK3CA"
"170",3560,3574,"IL2RB","IL7"
"171",3560,3586,"IL2RB","IL10"
"172",3560,5781,"IL2RB","PTPN11"
"173",3560,3596,"IL2RB","IL13"
"174",3560,3562,"IL2RB","IL3"
"175",3560,5594,"IL2RB","MAPK1"
"176",3560,5777,"IL2RB","PTPN6"
"177",3560,6776,"IL2RB","STAT5A"
"178",3560,5295,"IL2RB","PIK3R1"
"179",3560,3563,"IL2RB","IL3RA"
"180",3002,3558,"GZMB","IL2"
"181",3002,7124,"GZMB","TNF"
"182",3002,1385,"GZMB","CREB1"
"183",3002,3600,"GZMB","IL15"
"184",3002,3458,"GZMB","IFNG"
"185",3002,836,"GZMB","CASP3"
"186",3002,3586,"GZMB","IL10"
"187",3002,2033,"GZMB","EP300"
"188",3002,3560,"GZMB","IL2RB"
"189",3002,3569,"GZMB","IL6"
"190",4313,5599,"MMP2","MAPK8"
"191",4313,6714,"MMP2","SRC"
"192",4313,7124,"MMP2","TNF"
"193",4313,7157,"MMP2","TP53"
"194",4313,3479,"MMP2","IGF1"
"195",4313,3553,"MMP2","IL1B"
"196",4313,2247,"MMP2","FGF2"
"197",4313,999,"MMP2","CDH1"
"198",4313,1950,"MMP2","EGF"
"199",4313,3576,"MMP2","CXCL8"
"200",4313,6778,"MMP2","STAT6"
"201",4313,3383,"MMP2","ICAM1"
"202",4313,595,"MMP2","CCND1"
"203",4313,4312,"MMP2","MMP1"
"204",4313,1906,"MMP2","EDN1"
"205",4313,207,"MMP2","AKT1"
"206",4313,2064,"MMP2","ERBB2"
"207",4313,6774,"MMP2","STAT3"
"208",4313,6347,"MMP2","CCL2"
"209",4313,5595,"MMP2","MAPK3"
"210",4313,5743,"MMP2","PTGS2"
"211",4313,7422,"MMP2","VEGFA"
"212",4313,4609,"MMP2","MYC"
"213",4313,3569,"MMP2","IL6"
"214",4313,3091,"MMP2","HIF1A"
"215",4313,5594,"MMP2","MAPK1"
"216",4313,4318,"MMP2","MMP9"
"217",4313,3952,"MMP2","LEP"
"218",4313,4316,"MMP2","MMP7"
"219",2057,3815,"EPOR","KIT"
"220",2057,1432,"EPOR","MAPK14"
"221",2057,3716,"EPOR","JAK1"
"222",2057,6772,"EPOR","STAT1"
"223",2057,5599,"EPOR","MAPK8"
"224",2057,6777,"EPOR","STAT5B"
"225",2057,3567,"EPOR","IL5"
"226",2057,3718,"EPOR","JAK3"
"227",2057,3558,"EPOR","IL2"
"228",2057,4067,"EPOR","LYN"
"229",2057,8660,"EPOR","IRS2"
"230",2057,1440,"EPOR","CSF3"
"231",2057,3717,"EPOR","JAK2"
"232",2057,4254,"EPOR","KITLG"
"233",2057,2885,"EPOR","GRB2"
"234",2057,6464,"EPOR","SHC1"
"235",2057,2056,"EPOR","EPO"
"236",2057,6654,"EPOR","SOS1"
"237",2057,7422,"EPOR","VEGFA"
"238",2057,1437,"EPOR","CSF2"
"239",2057,3569,"EPOR","IL6"
"240",2057,1950,"EPOR","EGF"
"241",2057,3574,"EPOR","IL7"
"242",2057,3562,"EPOR","IL3"
"243",2057,5777,"EPOR","PTPN6"
"244",2057,6776,"EPOR","STAT5A"
"245",3082,5599,"HGF","MAPK8"
"246",3082,3718,"HGF","JAK3"
"247",3082,6714,"HGF","SRC"
"248",3082,3479,"HGF","IGF1"
"249",3082,1956,"HGF","EGFR"
"250",3082,6464,"HGF","SHC1"
"251",3082,2247,"HGF","FGF2"
"252",3082,3630,"HGF","INS"
"253",3082,6654,"HGF","SOS1"
"254",3082,999,"HGF","CDH1"
"255",3082,1950,"HGF","EGF"
"256",3082,5290,"HGF","PIK3CA"
"257",3082,3576,"HGF","CXCL8"
"258",3082,3574,"HGF","IL7"
"259",3082,5781,"HGF","PTPN11"
"260",3082,3480,"HGF","IGF1R"
"261",3082,6778,"HGF","STAT6"
"262",3082,595,"HGF","CCND1"
"263",3082,3815,"HGF","KIT"
"264",3082,3716,"HGF","JAK1"
"265",3082,4312,"HGF","MMP1"
"266",3082,5156,"HGF","PDGFRA"
"267",3082,3265,"HGF","HRAS"
"268",3082,3635,"HGF","INPP5D"
"269",3082,207,"HGF","AKT1"
"270",3082,2064,"HGF","ERBB2"
"271",3082,3717,"HGF","JAK2"
"272",3082,6774,"HGF","STAT3"
"273",3082,2885,"HGF","GRB2"
"274",3082,5159,"HGF","PDGFRB"
"275",3082,6347,"HGF","CCL2"
"276",3082,9846,"HGF","GAB2"
"277",3082,5595,"HGF","MAPK3"
"278",3082,5743,"HGF","PTGS2"
"279",3082,7422,"HGF","VEGFA"
"280",3082,3845,"HGF","KRAS"
"281",3082,1499,"HGF","CTNNB1"
"282",3082,4609,"HGF","MYC"
"283",3082,3569,"HGF","IL6"
"284",3082,4893,"HGF","NRAS"
"285",3082,3561,"HGF","IL2RG"
"286",3082,5594,"HGF","MAPK1"
"287",3082,5295,"HGF","PIK3R1"
"288",1440,3567,"CSF3","IL5"
"289",1440,3718,"CSF3","JAK3"
"290",1440,3558,"CSF3","IL2"
"291",1440,7124,"CSF3","TNF"
"292",1440,4254,"CSF3","KITLG"
"293",1440,1956,"CSF3","EGFR"
"294",1440,3553,"CSF3","IL1B"
"295",1440,3578,"CSF3","IL9"
"296",1440,1439,"CSF3","CSF2RB"
"297",1440,3559,"CSF3","IL2RA"
"298",1440,3600,"CSF3","IL15"
"299",1440,3458,"CSF3","IFNG"
"300",1440,3570,"CSF3","IL6R"
"301",1440,1438,"CSF3","CSF2RA"
"302",1440,1950,"CSF3","EGF"
"303",1440,3565,"CSF3","IL4"
"304",1440,3576,"CSF3","CXCL8"
"305",1440,3574,"CSF3","IL7"
"306",1440,3586,"CSF3","IL10"
"307",1440,3563,"CSF3","IL3RA"
"308",1440,3716,"CSF3","JAK1"
"309",1440,2057,"CSF3","EPOR"
"310",1440,207,"CSF3","AKT1"
"311",1440,3717,"CSF3","JAK2"
"312",1440,6774,"CSF3","STAT3"
"313",1440,5159,"CSF3","PDGFRB"
"314",1440,6347,"CSF3","CCL2"
"315",1440,2056,"CSF3","EPO"
"316",1440,7422,"CSF3","VEGFA"
"317",1440,1437,"CSF3","CSF2"
"318",1440,3569,"CSF3","IL6"
"319",1440,3596,"CSF3","IL13"
"320",1440,3562,"CSF3","IL3"
"321",1440,3952,"CSF3","LEP"
"322",1440,3566,"CSF3","IL4R"
"323",6347,3725,"CCL2","JUN"
"324",6347,5599,"CCL2","MAPK8"
"325",6347,3567,"CCL2","IL5"
"326",6347,3558,"CCL2","IL2"
"327",6347,2353,"CCL2","FOS"
"328",6347,7124,"CCL2","TNF"
"329",6347,7157,"CCL2","TP53"
"330",6347,3479,"CCL2","IGF1"
"331",6347,3553,"CCL2","IL1B"
"332",6347,3578,"CCL2","IL9"
"333",6347,3082,"CCL2","HGF"
"334",6347,3630,"CCL2","INS"
"335",6347,3600,"CCL2","IL15"
"336",6347,3458,"CCL2","IFNG"
"337",6347,3570,"CCL2","IL6R"
"338",6347,3565,"CCL2","IL4"
"339",6347,3576,"CCL2","CXCL8"
"340",6347,3574,"CCL2","IL7"
"341",6347,3586,"CCL2","IL10"
"342",6347,3383,"CCL2","ICAM1"
"343",6347,4313,"CCL2","MMP2"
"344",6347,7099,"CCL2","TLR4"
"345",6347,6772,"CCL2","STAT1"
"346",6347,4312,"CCL2","MMP1"
"347",6347,3162,"CCL2","HMOX1"
"348",6347,207,"CCL2","AKT1"
"349",6347,1440,"CCL2","CSF3"
"350",6347,2597,"CCL2","GAPDH"
"351",6347,6774,"CCL2","STAT3"
"352",6347,5970,"CCL2","RELA"
"353",6347,5743,"CCL2","PTGS2"
"354",6347,7422,"CCL2","VEGFA"
"355",6347,1437,"CCL2","CSF2"
"356",6347,3569,"CCL2","IL6"
"357",6347,3596,"CCL2","IL13"
"358",6347,5594,"CCL2","MAPK1"
"359",6347,4318,"CCL2","MMP9"
"360",6347,3952,"CCL2","LEP"
"361",3558,3725,"IL2","JUN"
"362",3558,5599,"IL2","MAPK8"
"363",3558,3567,"IL2","IL5"
"364",3558,3718,"IL2","JAK3"
"365",3558,2353,"IL2","FOS"
"366",3558,8660,"IL2","IRS2"
"367",3558,7124,"IL2","TNF"
"368",3558,1956,"IL2","EGFR"
"369",3558,6464,"IL2","SHC1"
"370",3558,3553,"IL2","IL1B"
"371",3558,3578,"IL2","IL9"
"372",3558,1439,"IL2","CSF2RB"
"373",3558,6654,"IL2","SOS1"
"374",3558,3559,"IL2","IL2RA"
"375",3558,3600,"IL2","IL15"
"376",3558,3458,"IL2","IFNG"
"377",3558,5291,"IL2","PIK3CB"
"378",3558,3570,"IL2","IL6R"
"379",3558,1438,"IL2","CSF2RA"
"380",3558,3565,"IL2","IL4"
"381",3558,5290,"IL2","PIK3CA"
"382",3558,3576,"IL2","CXCL8"
"383",3558,3574,"IL2","IL7"
"384",3558,3586,"IL2","IL10"
"385",3558,5781,"IL2","PTPN11"
"386",3558,5777,"IL2","PTPN6"
"387",3558,6778,"IL2","STAT6"
"388",3558,3383,"IL2","ICAM1"
"389",3558,6776,"IL2","STAT5A"
"390",3558,3563,"IL2","IL3RA"
"391",3558,7099,"IL2","TLR4"
"392",3558,1432,"IL2","MAPK14"
"393",3558,3716,"IL2","JAK1"
"394",3558,3667,"IL2","IRS1"
"395",3558,6772,"IL2","STAT1"
"396",3558,6777,"IL2","STAT5B"
"397",3558,2475,"IL2","MTOR"
"398",3558,3265,"IL2","HRAS"
"399",3558,2057,"IL2","EPOR"
"400",3558,3635,"IL2","INPP5D"
"401",3558,207,"IL2","AKT1"
"402",3558,1440,"IL2","CSF3"
"403",3558,3717,"IL2","JAK2"
"404",3558,6774,"IL2","STAT3"
"405",3558,2885,"IL2","GRB2"
"406",3558,3002,"IL2","GZMB"
"407",3558,5159,"IL2","PDGFRB"
"408",3558,6347,"IL2","CCL2"
"409",3558,3568,"IL2","IL5RA"
"410",3558,5293,"IL2","PIK3CD"
"411",3558,5970,"IL2","RELA"
"412",3558,9846,"IL2","GAB2"
"413",3558,5595,"IL2","MAPK3"
"414",3558,3560,"IL2","IL2RB"
"415",3558,7422,"IL2","VEGFA"
"416",3558,1437,"IL2","CSF2"
"417",3558,3845,"IL2","KRAS"
