"","gene_id1","gene_id2","score","gene_symbol1","gene_symbol2"
"1",9821,58528,916,"RB1CC1","RRAGD"
"2",9821,153129,904,"RB1CC1","SLC38A9"
"3",9821,64223,943,"RB1CC1","MLST8"
"4",9821,51422,900,"RB1CC1","PRKAG2"
"5",9821,64422,881,"RB1CC1","ATG3"
"6",9821,8649,924,"RB1CC1","LAMTOR3"
"7",9821,57521,962,"RB1CC1","RPTOR"
"8",9821,55004,910,"RB1CC1","LAMTOR1"
"9",9821,55054,995,"RB1CC1","ATG16L1"
"10",9821,23130,727,"RB1CC1","ATG2A"
"11",9821,7157,792,"RB1CC1","TP53"
"12",9821,11345,826,"RB1CC1","GABARAPL2"
"13",9821,5565,902,"RB1CC1","PRKAB2"
"14",9821,60673,998,"RB1CC1","ATG101"
"15",9821,10542,902,"RB1CC1","LAMTOR5"
"16",9821,28956,908,"RB1CC1","LAMTOR2"
"17",9821,84557,711,"RB1CC1","MAP1LC3A"
"18",9821,23710,869,"RB1CC1","GABARAPL1"
"19",9821,5571,900,"RB1CC1","PRKAG1"
"20",9821,89849,895,"RB1CC1","ATG16L2"
"21",9821,10325,923,"RB1CC1","RRAGB"
"22",9821,55102,717,"RB1CC1","ATG2B"
"23",9821,30849,984,"RB1CC1","PIK3R4"
"24",9821,9706,991,"RB1CC1","ULK2"
"25",9821,84335,769,"RB1CC1","AKT1S1"
"26",9821,8878,791,"RB1CC1","SQSTM1"
"27",9821,9776,999,"RB1CC1","ATG13"
"28",9821,6009,968,"RB1CC1","RHEB"
"29",9821,2475,970,"RB1CC1","MTOR"
"30",9821,10533,907,"RB1CC1","ATG7"
"31",9821,8678,990,"RB1CC1","BECN1"
"32",9821,9474,982,"RB1CC1","ATG5"
"33",9821,64121,929,"RB1CC1","RRAGC"
"34",9821,11337,833,"RB1CC1","GABARAP"
"35",9821,53632,900,"RB1CC1","PRKAG3"
"36",9821,5562,909,"RB1CC1","PRKAA1"
"37",9821,7249,809,"RB1CC1","TSC2"
"38",9821,55062,833,"RB1CC1","WIPI1"
"39",9821,83734,857,"RB1CC1","ATG10"
"40",9821,389541,905,"RB1CC1","LAMTOR4"
"41",9821,79065,831,"RB1CC1","ATG9A"
"42",9821,9140,911,"RB1CC1","ATG12"
"43",9821,55626,971,"RB1CC1","AMBRA1"
"44",9821,7405,825,"RB1CC1","UVRAG"
"45",9821,22863,989,"RB1CC1","ATG14"
"46",9821,8408,999,"RB1CC1","ULK1"
"47",9821,10670,918,"RB1CC1","RRAGA"
"48",9821,5564,900,"RB1CC1","PRKAB1"
"49",9821,5289,989,"RB1CC1","PIK3C3"
"50",9821,5563,913,"RB1CC1","PRKAA2"
"51",9821,26100,803,"RB1CC1","WIPI2"
"52",11345,9821,826,"GABARAPL2","RB1CC1"
"53",11345,60673,773,"GABARAPL2","ATG101"
"54",11345,84557,911,"GABARAPL2","MAP1LC3A"
"55",11345,30849,981,"GABARAPL2","PIK3R4"
"56",11345,8678,992,"GABARAPL2","BECN1"
"57",11345,440738,908,"GABARAPL2","MAP1LC3C"
"58",11345,55062,889,"GABARAPL2","WIPI1"
"59",11345,83734,838,"GABARAPL2","ATG10"
"60",11345,79065,749,"GABARAPL2","ATG9A"
"61",11345,9140,994,"GABARAPL2","ATG12"
"62",11345,7405,973,"GABARAPL2","UVRAG"
"63",11345,22863,961,"GABARAPL2","ATG14"
"64",11345,23411,726,"GABARAPL2","SIRT1"
"65",11345,5566,823,"GABARAPL2","PRKACA"
"66",11345,5289,985,"GABARAPL2","PIK3C3"
"67",11345,5568,823,"GABARAPL2","PRKACG"
"68",11345,64422,998,"GABARAPL2","ATG3"
"69",11345,84971,983,"GABARAPL2","ATG4D"
"70",11345,55054,984,"GABARAPL2","ATG16L1"
"71",11345,23710,905,"GABARAPL2","GABARAPL1"
"72",11345,9706,826,"GABARAPL2","ULK2"
"73",11345,23192,995,"GABARAPL2","ATG4B"
"74",11345,8878,995,"GABARAPL2","SQSTM1"
"75",11345,9776,862,"GABARAPL2","ATG13"
"76",11345,2475,723,"GABARAPL2","MTOR"
"77",11345,5567,823,"GABARAPL2","PRKACB"
"78",11345,84938,976,"GABARAPL2","ATG4C"
"79",11345,10533,999,"GABARAPL2","ATG7"
"80",11345,9474,994,"GABARAPL2","ATG5"
"81",11345,11337,910,"GABARAPL2","GABARAP"
"82",11345,8408,947,"GABARAPL2","ULK1"
"83",11345,115201,991,"GABARAPL2","ATG4A"
"84",11345,81631,940,"GABARAPL2","MAP1LC3B"
"85",11345,664,924,"GABARAPL2","BNIP3"
"86",11345,26100,984,"GABARAPL2","WIPI2"
"87",7414,9444,904,"VCL","QKI"
"88",7414,1185,900,"VCL","CLCN6"
"89",7414,10142,902,"VCL","AKAP9"
"90",7414,56829,900,"VCL","ZC3HAV1"
"91",7414,11044,902,"VCL","TENT4A"
"92",7414,6714,991,"VCL","SRC"
"93",7414,9564,986,"VCL","BCAR1"
"94",7414,27044,900,"VCL","SND1"
"95",7414,5604,934,"VCL","MAP2K1"
"96",7414,54518,955,"VCL","APBB1IP"
"97",7414,54845,904,"VCL","ESRP1"
"98",7414,4140,906,"VCL","MARK3"
"99",7414,9061,900,"VCL","PAPSS1"
"100",7414,8087,928,"VCL","FXR1"
"101",7414,3674,924,"VCL","ITGA2B"
"102",7414,5747,989,"VCL","PTK2"
"103",7414,3690,961,"VCL","ITGB3"
"104",7414,5290,915,"VCL","PIK3CA"
"105",7414,57670,900,"VCL","KIAA1549"
"106",7414,10018,917,"VCL","BCL2L11"
"107",7414,2244,908,"VCL","FGB"
"108",7414,5894,917,"VCL","RAF1"
"109",7414,8844,902,"VCL","KSR1"
"110",7414,10827,900,"VCL","FAM114A2"
"111",7414,3932,922,"VCL","LCK"
"112",7414,5037,904,"VCL","PEBP1"
"113",7414,4893,922,"VCL","NRAS"
"114",7414,5594,950,"VCL","MAPK1"
"115",7414,5908,929,"VCL","RAP1B"
"116",7414,2335,984,"VCL","FN1"
"117",7414,55109,902,"VCL","AGGF1"
"118",7414,8826,948,"VCL","IQGAP1"
"119",7414,55750,900,"VCL","AGK"
"120",7414,10256,902,"VCL","CNKSR1"
"121",7414,5605,910,"VCL","MAP2K2"
"122",7414,673,905,"VCL","BRAF"
"123",7414,283455,902,"VCL","KSR2"
"124",7414,7094,999,"VCL","TLN1"
"125",7414,4000,952,"VCL","LMNA"
"126",7414,54756,902,"VCL","IL17RD"
"127",7414,5829,999,"VCL","PXN"
"128",7414,7529,906,"VCL","YWHAB"
"129",7414,2266,905,"VCL","FGG"
"130",7414,2243,904,"VCL","FGA"
"131",7414,22866,900,"VCL","CNKSR2"
"132",7414,369,901,"VCL","ARAF"
"133",7414,7450,933,"VCL","VWF"
"134",7414,3265,943,"VCL","HRAS"
"135",7414,1399,932,"VCL","CRKL"
"136",7414,10533,910,"VCL","ATG7"
"137",7414,23164,908,"VCL","MPRIP"
"138",7414,9715,900,"VCL","FAM131B"
"139",7414,22906,900,"VCL","TRAK1"
"140",7414,8546,901,"VCL","AP3B1"
"141",7414,5595,959,"VCL","MAPK3"
"142",7414,3845,937,"VCL","KRAS"
"143",7414,8805,909,"VCL","TRIM24"
"144",7414,57085,900,"VCL","AGTRAP"
"145",7414,2534,954,"VCL","FYN"
"146",7414,409,901,"VCL","ARRB2"
"147",7414,1445,943,"VCL","CSK"
"148",7414,80853,901,"VCL","KDM7A"
"149",7414,408,905,"VCL","ARRB1"
"150",7414,5906,941,"VCL","RAP1A"
"151",7414,5295,910,"VCL","PIK3R1"
"152",23411,11345,726,"SIRT1","GABARAPL2"
"153",23411,6198,798,"SIRT1","RPS6KB1"
"154",23411,472,723,"SIRT1","ATM"
"155",23411,2308,995,"SIRT1","FOXO1"
"156",23411,200186,718,"SIRT1","CRTC2"
"157",23411,5599,931,"SIRT1","MAPK8"
"158",23411,8660,839,"SIRT1","IRS2"
"159",23411,7157,996,"SIRT1","TP53"
"160",23411,3479,802,"SIRT1","IGF1"
"161",23411,5728,833,"SIRT1","PTEN"
"162",23411,23710,811,"SIRT1","GABARAPL1"
"163",23411,2309,999,"SIRT1","FOXO3"
"164",23411,3667,862,"SIRT1","IRS1"
"165",23411,6794,913,"SIRT1","STK11"
"166",23411,2475,866,"SIRT1","MTOR"
"167",23411,10533,859,"SIRT1","ATG7"
"168",23411,9474,865,"SIRT1","ATG5"
"169",23411,253260,768,"SIRT1","RICTOR"
"170",23411,11200,804,"SIRT1","CHEK2"
"171",23411,207,944,"SIRT1","AKT1"
"172",23411,7249,837,"SIRT1","TSC2"
"173",23411,208,776,"SIRT1","AKT2"
"174",23411,7422,719,"SIRT1","VEGFA"
"175",23411,4303,985,"SIRT1","FOXO4"
"176",5594,9444,921,"MAPK1","QKI"
"177",5594,1185,900,"MAPK1","CLCN6"
"178",5594,10142,905,"MAPK1","AKAP9"
"179",5594,56829,900,"MAPK1","ZC3HAV1"
"180",5594,8649,960,"MAPK1","LAMTOR3"
"181",5594,57521,801,"MAPK1","RPTOR"
"182",5594,11044,904,"MAPK1","TENT4A"
"183",5594,6714,963,"MAPK1","SRC"
"184",5594,5580,961,"MAPK1","PRKCD"
"185",5594,7248,931,"MAPK1","TSC1"
"186",5594,27044,901,"MAPK1","SND1"
"187",5594,5604,991,"MAPK1","MAP2K1"
"188",5594,54518,905,"MAPK1","APBB1IP"
"189",5594,54845,903,"MAPK1","ESRP1"
"190",5594,3082,952,"MAPK1","HGF"
"191",5594,4140,906,"MAPK1","MARK3"
"192",5594,28956,934,"MAPK1","LAMTOR2"
"193",5594,9061,900,"MAPK1","PAPSS1"
"194",5594,8087,925,"MAPK1","FXR1"
"195",5594,6198,961,"MAPK1","RPS6KB1"
"196",5594,6654,979,"MAPK1","SOS1"
"197",5594,598,977,"MAPK1","BCL2L1"
"198",5594,3674,916,"MAPK1","ITGA2B"
"199",5594,7532,936,"MAPK1","YWHAG"
"200",5594,5747,940,"MAPK1","PTK2"
"201",5594,3690,926,"MAPK1","ITGB3"
"202",5594,2549,958,"MAPK1","GAB1"
"203",5594,5781,987,"MAPK1","PTPN11"
"204",5594,4233,929,"MAPK1","MET"
"205",5594,3480,934,"MAPK1","IGF1R"
"206",5594,57670,906,"MAPK1","KIAA1549"
"207",5594,10018,982,"MAPK1","BCL2L11"
"208",5594,2244,918,"MAPK1","FGB"
"209",5594,5578,941,"MAPK1","PRKCA"
"210",5594,4067,959,"MAPK1","LYN"
"211",5594,5894,964,"MAPK1","RAF1"
"212",5594,5770,760,"MAPK1","PTPN1"
"213",5594,2308,932,"MAPK1","FOXO1"
"214",5594,3717,934,"MAPK1","JAK2"
"215",5594,2885,988,"MAPK1","GRB2"
"216",5594,8844,981,"MAPK1","KSR1"
"217",5594,1978,946,"MAPK1","EIF4EBP1"
"218",5594,10827,900,"MAPK1","FAM114A2"
"219",5594,5566,870,"MAPK1","PRKACA"
"220",5594,3932,958,"MAPK1","LCK"
"221",5594,5037,956,"MAPK1","PEBP1"
"222",5594,4893,977,"MAPK1","NRAS"
"223",5594,3561,919,"MAPK1","IL2RG"
"224",5594,10000,882,"MAPK1","AKT3"
"225",5594,5908,937,"MAPK1","RAP1B"
"226",5594,2335,965,"MAPK1","FN1"
"227",5594,55109,903,"MAPK1","AGGF1"
"228",5594,8826,979,"MAPK1","IQGAP1"
"229",5594,5599,947,"MAPK1","MAPK8"
"230",5594,10971,936,"MAPK1","YWHAQ"
"231",5594,5568,932,"MAPK1","PRKACG"
"232",5594,55750,901,"MAPK1","AGK"
"233",5594,10256,911,"MAPK1","CNKSR1"
"234",5594,5605,991,"MAPK1","MAP2K2"
"235",5594,5300,917,"MAPK1","PIN1"
"236",5594,8660,933,"MAPK1","IRS2"
"237",5594,7531,937,"MAPK1","YWHAE"
"238",5594,673,964,"MAPK1","BRAF"
"239",5594,7157,985,"MAPK1","TP53"
"240",5594,283455,965,"MAPK1","KSR2"
"241",5594,3479,962,"MAPK1","IGF1"
"242",5594,7534,940,"MAPK1","YWHAZ"
"243",5594,5728,839,"MAPK1","PTEN"
"244",5594,6464,980,"MAPK1","SHC1"
"245",5594,5590,899,"MAPK1","PRKCZ"
"246",5594,7094,916,"MAPK1","TLN1"
"247",5594,107080638,800,"MAPK1","TBC1D7-LOC100130357"
"248",5594,1950,854,"MAPK1","EGF"
"249",5594,6199,879,"MAPK1","RPS6KB2"
"250",5594,4000,961,"MAPK1","LMNA"
"251",5594,54756,906,"MAPK1","IL17RD"
"252",5594,5829,987,"MAPK1","PXN"
"253",5594,7529,929,"MAPK1","YWHAB"
"254",5594,2266,918,"MAPK1","FGG"
"255",5594,2309,973,"MAPK1","FOXO3"
"256",5594,2243,918,"MAPK1","FGA"
"257",5594,22866,915,"MAPK1","CNKSR2"
"258",5594,369,949,"MAPK1","ARAF"
"259",5594,5515,963,"MAPK1","PPP2CA"
"260",5594,3716,939,"MAPK1","JAK1"
"261",5594,3667,974,"MAPK1","IRS1"
"262",5594,7450,932,"MAPK1","VWF"
"263",5594,2475,800,"MAPK1","MTOR"
"264",5594,5567,936,"MAPK1","PRKACB"
"265",5594,3265,984,"MAPK1","HRAS"
"266",5594,7533,932,"MAPK1","YWHAH"
"267",5594,1399,836,"MAPK1","CRKL"
"268",5594,10533,936,"MAPK1","ATG7"
"269",5594,572,922,"MAPK1","BAD"
"270",5594,11200,915,"MAPK1","CHEK2"
"271",5594,207,905,"MAPK1","AKT1"
"272",5594,23164,901,"MAPK1","MPRIP"
"273",5594,2810,925,"MAPK1","SFN"
"274",5594,5581,959,"MAPK1","PRKCE"
"275",5594,7249,974,"MAPK1","TSC2"
"276",5594,9715,904,"MAPK1","FAM131B"
"277",5594,208,890,"MAPK1","AKT2"
"278",5594,22906,900,"MAPK1","TRAK1"
"279",5594,9846,973,"MAPK1","GAB2"
"280",5594,8546,905,"MAPK1","AP3B1"
"281",5594,5595,987,"MAPK1","MAPK3"
"282",5594,3845,985,"MAPK1","KRAS"
"283",5594,1977,718,"MAPK1","EIF4E"
"284",5594,995,827,"MAPK1","CDC25C"
"285",5594,8805,910,"MAPK1","TRIM24"
"286",5594,57085,907,"MAPK1","AGTRAP"
"287",5594,2534,941,"MAPK1","FYN"
"288",5594,409,972,"MAPK1","ARRB2"
"289",5594,1445,936,"MAPK1","CSK"
"290",5594,80853,902,"MAPK1","KDM7A"
"291",5594,4303,853,"MAPK1","FOXO4"
"292",5594,7414,950,"MAPK1","VCL"
"293",5594,408,982,"MAPK1","ARRB1"
"294",5594,5906,942,"MAPK1","RAP1A"
"295",7249,201163,706,"TSC2","FLCN"
"296",7249,58528,975,"TSC2","RRAGD"
"297",7249,9821,809,"TSC2","RB1CC1"
"298",7249,64223,987,"TSC2","MLST8"
"299",7249,8649,926,"TSC2","LAMTOR3"
"300",7249,57521,993,"TSC2","RPTOR"
"301",7249,55615,956,"TSC2","PRR5"
"302",7249,5170,970,"TSC2","PDPK1"
"303",7249,7248,999,"TSC2","TSC1"
"304",7249,5565,936,"TSC2","PRKAB2"
"305",7249,10542,922,"TSC2","LAMTOR5"
"306",7249,28956,930,"TSC2","LAMTOR2"
"307",7249,6198,947,"TSC2","RPS6KB1"
"308",7249,64798,967,"TSC2","DEPTOR"
"309",7249,7532,940,"TSC2","YWHAG"
"310",7249,5290,711,"TSC2","PIK3CA"
"311",7249,1979,750,"TSC2","EIF4EBP2"
"312",7249,84335,803,"TSC2","AKT1S1"
"313",7249,6009,999,"TSC2","RHEB"
"314",7249,79109,974,"TSC2","MAPKAP1"
"315",7249,64121,978,"TSC2","RRAGC"
"316",7249,2308,787,"TSC2","FOXO1"
"317",7249,53632,916,"TSC2","PRKAG3"
"318",7249,5562,973,"TSC2","PRKAA1"
"319",7249,1978,863,"TSC2","EIF4EBP1"
"320",7249,23411,837,"TSC2","SIRT1"
"321",7249,10670,984,"TSC2","RRAGA"
"322",7249,10000,984,"TSC2","AKT3"
"323",7249,5594,974,"TSC2","MAPK1"
"324",7249,5289,742,"TSC2","PIK3C3"
"325",7249,54541,982,"TSC2","DDIT4"
"326",7249,6446,894,"TSC2","SGK1"
"327",7249,153129,939,"TSC2","SLC38A9"
"328",7249,10971,941,"TSC2","YWHAQ"
"329",7249,51422,932,"TSC2","PRKAG2"
"330",7249,55004,937,"TSC2","LAMTOR1"
"331",7249,7531,943,"TSC2","YWHAE"
"332",7249,7157,842,"TSC2","TP53"
"333",7249,3479,734,"TSC2","IGF1"
"334",7249,7534,959,"TSC2","YWHAZ"
"335",7249,5728,892,"TSC2","PTEN"
"336",7249,5571,922,"TSC2","PRKAG1"
"337",7249,107080638,997,"TSC2","TBC1D7-LOC100130357"
"338",7249,10325,984,"TSC2","RRAGB"
"339",7249,6199,819,"TSC2","RPS6KB2"
"340",7249,7529,978,"TSC2","YWHAB"
"341",7249,2309,725,"TSC2","FOXO3"
"342",7249,3667,739,"TSC2","IRS1"
"343",7249,6794,848,"TSC2","STK11"
"344",7249,2475,998,"TSC2","MTOR"
"345",7249,7533,950,"TSC2","YWHAH"
"346",7249,253260,989,"TSC2","RICTOR"
"347",7249,207,998,"TSC2","AKT1"
"348",7249,2810,942,"TSC2","SFN"
"349",7249,208,984,"TSC2","AKT2"
"350",7249,389541,932,"TSC2","LAMTOR4"
"351",7249,5595,978,"TSC2","MAPK3"
"352",7249,1977,776,"TSC2","EIF4E"
"353",7249,5564,951,"TSC2","PRKAB1"
"354",7249,5563,954,"TSC2","PRKAA2"
"355",1445,9444,903,"CSK","QKI"
"356",1445,1185,900,"CSK","CLCN6"
"357",1445,10142,903,"CSK","AKAP9"
"358",1445,56829,900,"CSK","ZC3HAV1"
"359",1445,11044,902,"CSK","TENT4A"
"360",1445,6714,956,"CSK","SRC"
"361",1445,9564,957,"CSK","BCAR1"
"362",1445,27044,900,"CSK","SND1"
"363",1445,5604,939,"CSK","MAP2K1"
"364",1445,54518,920,"CSK","APBB1IP"
"365",1445,3791,913,"CSK","KDR"
"366",1445,54845,900,"CSK","ESRP1"
"367",1445,4140,906,"CSK","MARK3"
"368",1445,9061,904,"CSK","PAPSS1"
"369",1445,8087,903,"CSK","FXR1"
"370",1445,3674,909,"CSK","ITGA2B"
"371",1445,5747,950,"CSK","PTK2"
"372",1445,3690,936,"CSK","ITGB3"
"373",1445,5290,920,"CSK","PIK3CA"
"374",1445,2549,935,"CSK","GAB1"
"375",1445,5781,945,"CSK","PTPN11"
"376",1445,57670,900,"CSK","KIAA1549"
"377",1445,10018,907,"CSK","BCL2L11"
"378",1445,2244,901,"CSK","FGB"
"379",1445,4067,946,"CSK","LYN"
"380",1445,5894,911,"CSK","RAF1"
"381",1445,8844,906,"CSK","KSR1"
"382",1445,10827,900,"CSK","FAM114A2"
"383",1445,3932,946,"CSK","LCK"
"384",1445,5037,902,"CSK","PEBP1"
"385",1445,4893,929,"CSK","NRAS"
"386",1445,5594,936,"CSK","MAPK1"
"387",1445,2065,779,"CSK","ERBB3"
"388",1445,5908,917,"CSK","RAP1B"
"389",1445,2335,957,"CSK","FN1"
"390",1445,55109,900,"CSK","AGGF1"
"391",1445,8826,912,"CSK","IQGAP1"
"392",1445,5568,918,"CSK","PRKACG"
"393",1445,55750,904,"CSK","AGK"
"394",1445,10256,910,"CSK","CNKSR1"
"395",1445,5605,937,"CSK","MAP2K2"
"396",1445,673,907,"CSK","BRAF"
"397",1445,283455,904,"CSK","KSR2"
"398",1445,6464,962,"CSK","SHC1"
"399",1445,7094,913,"CSK","TLN1"
"400",1445,1950,951,"CSK","EGF"
"401",1445,4000,902,"CSK","LMNA"
"402",1445,54756,900,"CSK","IL17RD"
"403",1445,5829,978,"CSK","PXN"
"404",1445,7529,917,"CSK","YWHAB"
"405",1445,2266,901,"CSK","FGG"
"406",1445,2243,901,"CSK","FGA"
"407",1445,22866,910,"CSK","CNKSR2"
"408",1445,369,911,"CSK","ARAF"
"409",1445,7450,902,"CSK","VWF"
"410",1445,5567,917,"CSK","PRKACB"
"411",1445,3265,941,"CSK","HRAS"
"412",1445,1399,935,"CSK","CRKL"
"413",1445,10533,904,"CSK","ATG7"
"414",1445,23164,900,"CSK","MPRIP"
"415",1445,9715,900,"CSK","FAM131B"
"416",1445,22906,907,"CSK","TRAK1"
"417",1445,8546,904,"CSK","AP3B1"
"418",1445,5595,939,"CSK","MAPK3"
"419",1445,7422,937,"CSK","VEGFA"
"420",1445,3845,936,"CSK","KRAS"
"421",1445,8805,903,"CSK","TRIM24"
"422",1445,57085,900,"CSK","AGTRAP"
"423",1445,2534,954,"CSK","FYN"
"424",1445,409,936,"CSK","ARRB2"
"425",1445,80853,905,"CSK","KDM7A"
"426",1445,7414,943,"CSK","VCL"
"427",1445,408,950,"CSK","ARRB1"
"428",1445,5906,919,"CSK","RAP1A"
"429",1445,5295,913,"CSK","PIK3R1"
"430",3082,5599,949,"HGF","MAPK8"
"431",3082,1398,935,"HGF","CRK"
"432",3082,6714,977,"HGF","SRC"
"433",3082,9564,929,"HGF","BCAR1"
"434",3082,3479,978,"HGF","IGF1"
"435",3082,6464,962,"HGF","SHC1"
"436",3082,3791,867,"HGF","KDR"
"437",3082,5155,946,"HGF","PDGFB"
"438",3082,6654,915,"HGF","SOS1"
"439",3082,5747,967,"HGF","PTK2"
"440",3082,1950,984,"HGF","EGF"
"441",3082,5290,937,"HGF","PIK3CA"
"442",3082,2549,951,"HGF","GAB1"
"443",3082,5781,939,"HGF","PTPN11"
"444",3082,4233,999,"HGF","MET"
"445",3082,3480,822,"HGF","IGF1R"
"446",3082,2266,913,"HGF","FGG"
"447",3082,2243,914,"HGF","FGA"
"448",3082,3716,922,"HGF","JAK1"
"449",3082,7450,948,"HGF","VWF"
"450",3082,3265,968,"HGF","HRAS"
"451",3082,1399,923,"HGF","CRKL"
"452",3082,2244,913,"HGF","FGB"
"453",3082,5770,921,"HGF","PTPN1"
"454",3082,207,848,"HGF","AKT1"
"455",3082,3717,934,"HGF","JAK2"
"456",3082,2885,971,"HGF","GRB2"
"457",3082,5159,845,"HGF","PDGFRB"
"458",3082,9846,920,"HGF","GAB2"
"459",3082,5595,964,"HGF","MAPK3"
"460",3082,7422,992,"HGF","VEGFA"
"461",3082,3845,969,"HGF","KRAS"
"462",3082,4893,934,"HGF","NRAS"
"463",3082,3561,921,"HGF","IL2RG"
"464",3082,5906,906,"HGF","RAP1A"
"465",3082,5594,952,"HGF","MAPK1"
"466",3082,2065,909,"HGF","ERBB3"
"467",3082,5908,900,"HGF","RAP1B"
"468",3082,2335,984,"HGF","FN1"
"469",3082,5295,910,"HGF","PIK3R1"
"470",6198,201163,876,"RPS6KB1","FLCN"
"471",6198,58528,949,"RPS6KB1","RRAGD"
"472",6198,64223,983,"RPS6KB1","MLST8"
"473",6198,8649,923,"RPS6KB1","LAMTOR3"
"474",6198,57521,998,"RPS6KB1","RPTOR"
"475",6198,55615,765,"RPS6KB1","PRR5"
"476",6198,5170,995,"RPS6KB1","PDPK1"
"477",6198,9564,913,"RPS6KB1","BCAR1"
