"","gene_id1","gene_id2","score","gene_symbol1","gene_symbol2"
"1",2249,9965,929,"FGF4","FGF19"
"2",2249,2263,995,"FGF4","FGFR2"
"3",2249,26281,908,"FGF4","FGF20"
"4",2249,2251,906,"FGF4","FGF6"
"5",2249,867,902,"FGF4","CBL"
"6",2249,8823,910,"FGF4","FGF16"
"7",2249,1956,776,"FGF4","EGFR"
"8",2249,3791,834,"FGF4","KDR"
"9",2249,3082,742,"FGF4","HGF"
"10",2249,10818,936,"FGF4","FRS2"
"11",2249,8817,919,"FGF4","FGF18"
"12",2249,2247,916,"FGF4","FGF2"
"13",2249,2248,923,"FGF4","FGF3"
"14",2249,3630,707,"FGF4","INS"
"15",2249,6654,908,"FGF4","SOS1"
"16",2249,2321,808,"FGF4","FLT1"
"17",2249,152831,919,"FGF4","KLB"
"18",2249,5291,902,"FGF4","PIK3CB"
"19",2249,1950,790,"FGF4","EGF"
"20",2249,7010,784,"FGF4","TEK"
"21",2249,5290,922,"FGF4","PIK3CA"
"22",2249,2549,903,"FGF4","GAB1"
"23",2249,5781,932,"FGF4","PTPN11"
"24",2249,1436,728,"FGF4","CSF1R"
"25",2249,3815,782,"FGF4","KIT"
"26",2249,5156,797,"FGF4","PDGFRA"
"27",2249,3265,941,"FGF4","HRAS"
"28",2249,2255,919,"FGF4","FGF10"
"29",2249,2322,746,"FGF4","FLT3"
"30",2249,2064,719,"FGF4","ERBB2"
"31",2249,2264,974,"FGF4","FGFR4"
"32",2249,8074,919,"FGF4","FGF23"
"33",2249,2260,989,"FGF4","FGFR1"
"34",2249,5159,807,"FGF4","PDGFRB"
"35",2249,2246,917,"FGF4","FGF1"
"36",2249,2261,977,"FGF4","FGFR3"
"37",2249,2324,777,"FGF4","FLT4"
"38",2249,5595,955,"FGF4","MAPK3"
"39",2249,27006,909,"FGF4","FGF22"
"40",2249,3845,925,"FGF4","KRAS"
"41",2249,2252,915,"FGF4","FGF7"
"42",2249,5335,903,"FGF4","PLCG1"
"43",2249,4893,919,"FGF4","NRAS"
"44",2249,5296,904,"FGF4","PIK3R2"
"45",2249,2254,913,"FGF4","FGF9"
"46",2249,5594,946,"FGF4","MAPK1"
"47",2249,5295,902,"FGF4","PIK3R1"
"48",2249,10817,902,"FGF4","FRS3"
"49",2249,613,901,"FGF4","BCR"
"50",4804,5599,954,"NGFR","MAPK8"
"51",4804,4914,994,"NGFR","NTRK1"
"52",4804,7157,980,"NGFR","TP53"
"53",4804,4254,718,"NGFR","KITLG"
"54",4804,3479,748,"NGFR","IGF1"
"55",4804,6464,959,"NGFR","SHC1"
"56",4804,5590,920,"NGFR","PRKCZ"
"57",4804,3082,712,"NGFR","HGF"
"58",4804,387,965,"NGFR","RHOA"
"59",4804,2247,806,"NGFR","FGF2"
"60",4804,3630,761,"NGFR","INS"
"61",4804,6654,915,"NGFR","SOS1"
"62",4804,5291,800,"NGFR","PIK3CB"
"63",4804,1950,783,"NGFR","EGF"
"64",4804,5290,902,"NGFR","PIK3CA"
"65",4804,836,947,"NGFR","CASP3"
"66",4804,5601,925,"NGFR","MAPK9"
"67",4804,3265,928,"NGFR","HRAS"
"68",4804,4915,992,"NGFR","NTRK2"
"69",4804,4916,868,"NGFR","NTRK3"
"70",4804,4909,993,"NGFR","NTF4"
"71",4804,4908,996,"NGFR","NTF3"
"72",4804,5879,904,"NGFR","RAC1"
"73",4804,2885,948,"NGFR","GRB2"
"74",4804,627,996,"NGFR","BDNF"
"75",4804,5293,800,"NGFR","PIK3CD"
"76",4804,5970,908,"NGFR","RELA"
