"","gene_id1","gene_id2","gene_symbol1","gene_symbol2"
"1",51564,57459,"HDAC7","GATAD2B"
"2",51564,23186,"HDAC7","RCOR1"
"3",51564,1386,"HDAC7","ATF2"
"4",51564,8349,"HDAC7","HIST2H2BE"
"5",51564,1822,"HDAC7","ATN1"
"6",51564,8841,"HDAC7","HDAC3"
"7",51564,8726,"HDAC7","EED"
"8",51564,3015,"HDAC7","H2AFZ"
"9",51564,57332,"HDAC7","CBX8"
"10",51564,25942,"HDAC7","SIN3A"
"11",51564,7341,"HDAC7","SUMO1"
"12",51564,6615,"HDAC7","SNAI1"
"13",51564,79885,"HDAC7","HDAC11"
"14",51564,3066,"HDAC7","HDAC2"
"15",51564,1912,"HDAC7","PHC2"
"16",51564,9611,"HDAC7","NCOR1"
"17",51564,23512,"HDAC7","SUZ12"
"18",51564,83933,"HDAC7","HDAC10"
"19",51564,55534,"HDAC7","MAML3"
"20",51564,80012,"HDAC7","PHC3"
"21",51564,10046,"HDAC7","MAMLD1"
"22",51564,5928,"HDAC7","RBBP4"
"23",51564,9219,"HDAC7","MTA2"
"24",51564,5978,"HDAC7","REST"
"25",51564,1108,"HDAC7","CHD4"
"26",51564,53615,"HDAC7","MBD3"
"27",51564,23411,"HDAC7","SIRT1"
"28",51564,23028,"HDAC7","KDM1A"
"29",51564,1958,"HDAC7","EGR1"
"30",51564,3065,"HDAC7","HDAC1"
"31",51564,57167,"HDAC7","SALL4"
"32",51564,9612,"HDAC7","NCOR2"
"33",51564,9112,"HDAC7","MTA1"
"34",51564,5468,"HDAC7","PPARG"
"35",51564,3725,"HDAC7","JUN"
"36",51564,7101,"HDAC7","NR2E1"
"37",51564,23466,"HDAC7","CBX6"
"38",51564,57504,"HDAC7","MTA3"
"39",51564,10014,"HDAC7","HDAC5"
"40",51564,7157,"HDAC7","TP53"
"41",51564,2122,"HDAC7","MECOM"
"42",51564,8338,"HDAC7","HIST2H2AC"
"43",51564,9794,"HDAC7","MAML1"
"44",51564,4851,"HDAC7","NOTCH1"
"45",51564,1387,"HDAC7","CREBBP"
"46",51564,84441,"HDAC7","MAML2"
"47",51564,10013,"HDAC7","HDAC6"
"48",51564,6907,"HDAC7","TBL1X"
"49",51564,54815,"HDAC7","GATAD2A"
"50",51564,10524,"HDAC7","KAT5"
"51",51564,84733,"HDAC7","CBX2"
"52",51564,2033,"HDAC7","EP300"
"53",51564,6045,"HDAC7","RNF2"
"54",51564,7329,"HDAC7","UBE2I"
"55",51564,255626,"HDAC7","HIST1H2BA"
"56",51564,9734,"HDAC7","HDAC9"
"57",51564,2648,"HDAC7","KAT2A"
"58",51564,84232,"HDAC7","MAF1"
"59",51564,9759,"HDAC7","HDAC4"
"60",51564,94239,"HDAC7","H2AFV"
"61",51564,6591,"HDAC7","SNAI2"
"62",51564,8850,"HDAC7","KAT2B"
"63",51564,2146,"HDAC7","EZH2"
"64",51564,55869,"HDAC7","HDAC8"
"65",51564,8535,"HDAC7","CBX4"
"66",51564,79718,"HDAC7","TBL1XR1"
"67",51564,1107,"HDAC7","CHD3"
"68",51564,6015,"HDAC7","RING1"
"69",51564,22938,"HDAC7","SNW1"
"70",51564,1911,"HDAC7","PHC1"
