"","gene_id1","gene_id2","gene_symbol1","gene_symbol2","hub_score1","hub_score2","combined_score"
"1",57697,7156,"FANCM","TOP3A",0.188697403721735,0.223759641318025,0.20622852251988
"2",672,83990,"BRCA1","BRIP1",0.786120424940685,NA,NA
"3",7014,3014,"TERF2","H2AFX",0.276715838116554,0.405496497735887,0.34110616792622
"4",7014,10111,"TERF2","RAD50",0.276715838116554,0.484740881392656,0.380728359754605
"5",7014,672,"TERF2","BRCA1",0.276715838116554,0.786120424940685,0.531418131528619
"6",7014,472,"TERF2","ATM",0.276715838116554,0.603319926175706,0.44001788214613
"7",7014,4361,"TERF2","MRE11",0.276715838116554,0.513379104831506,0.39504747147403
"8",64421,4361,"DCLRE1C","MRE11",0.156413086555194,0.513379104831506,0.33489609569335
"9",672,11200,"BRCA1","CHEK2",0.786120424940685,0.247594715911801,0.516857570426243
"10",64421,5591,"DCLRE1C","PRKDC",0.156413086555194,0.542816397570127,0.349614742062661
"11",7014,2547,"TERF2","XRCC6",0.276715838116554,0.342808691859884,0.309762264988219
"12",7014,10111,"TERF2","RAD50",0.276715838116554,0.484740881392656,0.380728359754605
"13",8243,5981,"SMC1A","RFC1",0.21796821327872,0.935316511555542,0.576642362417131
"14",10856,7156,"RUVBL2","TOP3A",NA,0.223759641318025,NA
"15",10856,5985,"RUVBL2","RFC5",NA,0.272699835641358,NA
"16",641,4292,"BLM","MLH1",0.604101469633422,0.480445756656057,0.542273613144739
"17",7157,641,"TP53","BLM",0.660945725678381,0.604101469633422,0.632523597655902
"18",641,7316,"BLM","UBC",0.604101469633422,NA,NA
"19",641,4361,"BLM","MRE11",0.604101469633422,0.513379104831506,0.558740287232464
"20",641,6613,"BLM","SUMO2",0.604101469633422,0.278219650179634,0.441160559906528
"21",641,3014,"BLM","H2AFX",0.604101469633422,0.405496497735887,0.504798983684654
"22",8243,472,"SMC1A","ATM",0.21796821327872,0.603319926175706,0.410644069727213
"23",641,83990,"BLM","BRIP1",0.604101469633422,NA,NA
"24",672,4361,"BRCA1","MRE11",0.786120424940685,0.513379104831506,0.649749764886095
"25",641,2189,"BLM","FANCG",0.604101469633422,0.272354685611575,0.438228077622499
"26",641,100526739,"BLM","CENPS-CORT",0.604101469633422,NA,NA
"27",641,6119,"BLM","RPA3",0.604101469633422,0.569403129692257,0.586752299662839
"28",641,21975,"BLM",NA,0.604101469633422,NA,NA
"29",10856,2956,"RUVBL2","MSH6",NA,0.398780508799928,NA
"30",641,1111,"BLM","CHEK1",0.604101469633422,0.328147437550119,0.466124453591771
"31",5883,63967,"RAD9A","CLSPN",0.294888689554809,NA,NA
"32",2187,199990,"FANCB","FAAP20",0.149555329008024,NA,NA
"33",2187,7316,"FANCB","UBC",0.149555329008024,NA,NA
"34",2187,100526739,"FANCB","CENPS-CORT",0.149555329008024,NA,NA
"35",2187,80233,"FANCB","FAAP100",0.149555329008024,0.0486839306645595,0.0991196298362917
"36",8243,22976,"SMC1A","PAXIP1",0.21796821327872,NA,NA
"37",84126,5591,"ATRIP","PRKDC",NA,0.542816397570127,NA
"38",8924,9025,"HERC2","RNF8",NA,NA,NA
"39",57697,641,"FANCM","BLM",0.188697403721735,0.604101469633422,0.396399436677578
"40",57697,2175,"FANCM","FANCA",0.188697403721735,0.339553555213834,0.264125479467784
"41",57697,199990,"FANCM","FAAP20",0.188697403721735,NA,NA
"42",8924,7507,"HERC2","XPA",NA,NA,NA
"43",4999,6118,"ORC2","RPA2",0.198609470060001,0.657558012441924,0.428083741250963
"44",8243,472,"SMC1A","ATM",0.21796821327872,0.603319926175706,0.410644069727213
"45",8243,641,"SMC1A","BLM",0.21796821327872,0.604101469633422,0.411034841456071
"46",55120,100526739,"FANCL","CENPS-CORT",0.246405779531808,NA,NA
"47",55120,55120,"FANCL","FANCL",0.246405779531808,0.246405779531808,0.246405779531808
"48",472,9656,"ATM","MDC1",0.603319926175706,0.343293161256311,0.473306543716009
"49",472,672,"ATM","BRCA1",0.603319926175706,0.786120424940685,0.694720175558196
"50",472,1111,"ATM","CHEK1",0.603319926175706,0.328147437550119,0.465733681862913
"51",472,11200,"ATM","CHEK2",0.603319926175706,0.247594715911801,0.425457321043753
"52",472,4292,"ATM","MLH1",0.603319926175706,0.480445756656057,0.541882841415882
"53",472,5888,"ATM","RAD51",0.603319926175706,0.308472332654874,0.45589612941529
"54",472,79648,"ATM","MCPH1",0.603319926175706,NA,NA
"55",7157,7157,"TP53","TP53",0.660945725678381,0.660945725678381,0.660945725678381
"56",4436,2956,"MSH2","MSH6",0.434844670735136,0.398780508799928,0.416812589767532
"57",4436,3364,"MSH2","HUS1",0.434844670735136,0.218243700523422,0.326544185629279
"58",4436,4595,"MSH2","MUTYH",0.434844670735136,NA,NA
"59",4436,5395,"MSH2","PMS2",0.434844670735136,NA,NA
"60",4436,5885,"MSH2","RAD21",0.434844670735136,0.034120998099661,0.234482834417399
"61",4436,641,"MSH2","BLM",0.434844670735136,0.604101469633422,0.519473070184279
"62",4436,10111,"MSH2","RAD50",0.434844670735136,0.484740881392656,0.459792776063896
"63",4436,9156,"MSH2","EXO1",0.434844670735136,NA,NA
"64",4436,6613,"MSH2","SUMO2",0.434844670735136,0.278219650179634,0.356532160457385
"65",4436,7157,"MSH2","TP53",0.434844670735136,0.660945725678381,0.547895198206759
"66",4436,2703458,"MSH2",NA,0.434844670735136,NA,NA
"67",672,2956,"BRCA1","MSH6",0.786120424940685,0.398780508799928,0.592450466870306
"68",4436,11200,"MSH2","CHEK2",0.434844670735136,0.247594715911801,0.341219693323468
"69",4436,3837,"MSH2","KPNB1",0.434844670735136,NA,NA
"70",672,84142,"BRCA1","ABRAXAS1",0.786120424940685,0.0785663044496275,0.432343364695156
"71",57697,80233,"FANCM","FAAP100",0.188697403721735,0.0486839306645595,0.118690667193147
"72",57697,57697,"FANCM","FANCM",0.188697403721735,0.188697403721735,0.188697403721735
"73",8243,672,"SMC1A","BRCA1",0.21796821327872,0.786120424940685,0.502044319109702
"74",57697,6117,"FANCM","RPA1",0.188697403721735,1,0.594348701860868
"75",57697,2176,"FANCM","FANCC",0.188697403721735,0.261649450965128,0.225173427343432
"76",57697,100526739,"FANCM","CENPS-CORT",0.188697403721735,NA,NA
"77",57697,201254,"FANCM","CENPX",0.188697403721735,0.0430489968761673,0.115873200298951
"78",6613,4999,"SUMO2","ORC2",0.278219650179634,0.198609470060001,0.238414560119818
"79",10111,64421,"RAD50","DCLRE1C",0.484740881392656,0.156413086555194,0.320576983973925
"80",9577,7157,"BABAM2","TP53",NA,0.660945725678381,NA
"81",8243,10111,"SMC1A","RAD50",0.21796821327872,0.484740881392656,0.351354547335688
"82",5424,7316,"POLD1","UBC",0.617267616953034,NA,NA
"83",4437,3364,"MSH3","HUS1",NA,0.218243700523422,NA
"84",5424,6613,"POLD1","SUMO2",0.617267616953034,0.278219650179634,0.447743633566334
"85",4437,29935,"MSH3","RPA4",NA,NA,NA
"86",4437,56916,"MSH3","SMARCAD1",NA,NA,NA
"87",4437,5893,"MSH3","RAD52",NA,NA,NA
"88",4437,7156,"MSH3","TOP3A",NA,0.223759641318025,NA
"89",672,10111,"BRCA1","RAD50",0.786120424940685,0.484740881392656,0.635430653166671
"90",5424,5981,"POLD1","RFC1",0.617267616953034,0.935316511555542,0.776292064254288
"91",22976,9577,"PAXIP1","BABAM2",NA,NA,NA
"92",22976,51720,"PAXIP1","UIMC1",NA,0.18477747182909,NA
"93",21975,80010,NA,"RMI1",NA,0.209783296473579,NA
"94",9557,7316,"CHD1L","UBC",0.223277600108934,NA,NA
"95",9557,9557,"CHD1L","CHD1L",0.223277600108934,0.223277600108934,0.223277600108934
"96",672,5888,"BRCA1","RAD51",0.786120424940685,0.308472332654874,0.547296378797779
"97",672,83990,"BRCA1","BRIP1",0.786120424940685,NA,NA
"98",580,83990,"BARD1","BRIP1",0.382180641712237,NA,NA
"99",672,5888,"BRCA1","RAD51",0.786120424940685,0.308472332654874,0.547296378797779
"100",672,64421,"BRCA1","DCLRE1C",0.786120424940685,0.156413086555194,0.47126675574794
"101",672,10111,"BRCA1","RAD50",0.786120424940685,0.484740881392656,0.635430653166671
"102",580,8554,"BARD1","PIAS1",0.382180641712237,0.136009357434383,0.25909499957331
"103",580,5982,"BARD1","RFC2",0.382180641712237,0.690453201431794,0.536316921572015
"104",580,3014,"BARD1","H2AFX",0.382180641712237,0.405496497735887,0.393838569724062
"105",580,4436,"BARD1","MSH2",0.382180641712237,0.434844670735136,0.408512656223686
"106",580,4437,"BARD1","MSH3",0.382180641712237,NA,NA
"107",580,5932,"BARD1","RBBP8",0.382180641712237,0.25235782190869,0.317269231810463
"108",580,10111,"BARD1","RAD50",0.382180641712237,0.484740881392656,0.433460761552446
"109",580,4292,"BARD1","MLH1",0.382180641712237,0.480445756656057,0.431313199184147
"110",580,580,"BARD1","BARD1",0.382180641712237,0.382180641712237,0.382180641712237
"111",7156,9400,"TOP3A","RECQL5",0.223759641318025,NA,NA
"112",57697,5230,"FANCM","PGK1",0.188697403721735,NA,NA
"113",57697,2956,"FANCM","MSH6",0.188697403721735,0.398780508799928,0.293738956260831
"114",5378,4292,"PMS1","MLH1",NA,0.480445756656057,NA
"115",5378,4292,"PMS1","MLH1",NA,0.480445756656057,NA
"116",2178,199990,"FANCE","FAAP20",0.268996094162161,NA,NA
"117",580,7157,"BARD1","TP53",0.382180641712237,0.660945725678381,0.521563183695309
"118",2178,2176,"FANCE","FANCC",0.268996094162161,0.261649450965128,0.265322772563645
"119",2178,57697,"FANCE","FANCM",0.268996094162161,0.188697403721735,0.228846748941948
"120",7156,21975,"TOP3A",NA,0.223759641318025,NA,NA
"121",5378,4292,"PMS1","MLH1",NA,0.480445756656057,NA
"122",2189,2175,"FANCG","FANCA",0.272354685611575,0.339553555213834,0.305954120412705
"123",2189,2175,"FANCG","FANCA",0.272354685611575,0.339553555213834,0.305954120412705
"124",4683,7520,"NBN","XRCC5",0.46294835542645,0.509742744282444,0.486345549854447
"125",2956,63967,"MSH6","CLSPN",0.398780508799928,NA,NA
"126",7156,2175,"TOP3A","FANCA",0.223759641318025,0.339553555213834,0.281656598265929
"127",1466431,80233,NA,"FAAP100",NA,0.0486839306645595,NA
"128",1466431,2188,NA,"FANCF",NA,0.209783296473579,NA
"129",2189,55120,"FANCG","FANCL",0.272354685611575,0.246405779531808,0.259380232571692
"130",4683,7316,"NBN","UBC",0.46294835542645,NA,NA
"131",84142,672,"ABRAXAS1","BRCA1",0.0785663044496275,0.786120424940685,0.432343364695156
"132",4683,9025,"NBN","RNF8",0.46294835542645,NA,NA
"133",4683,2177,"NBN","FANCD2",0.46294835542645,0.257487864735677,0.360218110081064
"134",4683,641,"NBN","BLM",0.46294835542645,0.604101469633422,0.533524912529936
"135",7156,79968,"TOP3A","WDR76",0.223759641318025,NA,NA
"136",4683,5591,"NBN","PRKDC",0.46294835542645,0.542816397570127,0.502882376498289
"137",7156,545,"TOP3A","ATR",0.223759641318025,0.494591636610969,0.359175638964497
"138",7156,2956,"TOP3A","MSH6",0.223759641318025,0.398780508799928,0.311270075058976
"139",4361,2237,"MRE11","FEN1",0.513379104831506,0.166165644227859,0.339772374529682
"140",7157,6117,"TP53","RPA1",0.660945725678381,1,0.830472862839191
"141",55120,80233,"FANCL","FAAP100",0.246405779531808,0.0486839306645595,0.147544855098184
"142",55120,3280,"FANCL","HES1",0.246405779531808,NA,NA
"143",672,7157,"BRCA1","TP53",0.786120424940685,0.660945725678381,0.723533075309533
"144",672,1111,"BRCA1","CHEK1",0.786120424940685,0.328147437550119,0.557133931245402
"145",7157,545,"TP53","ATR",0.660945725678381,0.494591636610969,0.577768681144675
"146",7157,5557,"TP53","PRIM1",0.660945725678381,0.446016826571993,0.553481276125187
"147",7157,7157,"TP53","TP53",0.660945725678381,0.660945725678381,0.660945725678381
"148",5395,4292,"PMS2","MLH1",NA,0.480445756656057,NA
"149",22909,7316,"FAN1","UBC",NA,NA,NA
"150",5395,9156,"PMS2","EXO1",NA,NA,NA
"151",7157,8554,"TP53","PIAS1",0.660945725678381,0.136009357434383,0.398477541556382
"152",7157,1111,"TP53","CHEK1",0.660945725678381,0.328147437550119,0.49454658161425
"153",22909,4292,"FAN1","MLH1",NA,0.480445756656057,NA
"154",83990,4292,"BRIP1","MLH1",NA,0.480445756656057,NA
"155",83990,672,"BRIP1","BRCA1",NA,0.786120424940685,NA
"156",83990,7316,"BRIP1","UBC",NA,NA,NA
"157",55120,2175,"FANCL","FANCA",0.246405779531808,0.339553555213834,0.292979667372821
"158",55120,199990,"FANCL","FAAP20",0.246405779531808,NA,NA
"159",672,672,"BRCA1","BRCA1",0.786120424940685,0.786120424940685,0.786120424940685
"160",472,7157,"ATM","TP53",0.603319926175706,0.660945725678381,0.632132825927044
"161",5981,5981,"RFC1","RFC1",0.935316511555542,0.935316511555542,0.935316511555542
"162",472,472,"ATM","ATM",0.603319926175706,0.603319926175706,0.603319926175706
"163",472,64421,"ATM","DCLRE1C",0.603319926175706,0.156413086555194,0.37986650636545
"164",472,5981,"ATM","RFC1",0.603319926175706,0.935316511555542,0.769318218865624
"165",672,672,"BRCA1","BRCA1",0.786120424940685,0.786120424940685,0.786120424940685
"166",4436,672,"MSH2","BRCA1",0.434844670735136,0.786120424940685,0.610482547837911
"167",6117,6117,"RPA1","RPA1",1,1,1
"168",6117,2175,"RPA1","FANCA",1,0.339553555213834,0.669776777606917
"169",6117,7316,"RPA1","UBC",1,NA,NA
"170",6117,22976,"RPA1","PAXIP1",1,NA,NA
"171",6117,2703458,"RPA1",NA,1,NA,NA
"172",6117,5888,"RPA1","RAD51",1,0.308472332654874,0.654236166327437
"173",6117,7157,"RPA1","TP53",1,0.660945725678381,0.830472862839191
"174",6117,7156,"RPA1","TOP3A",1,0.223759641318025,0.611879820659012
"175",4436,2177,"MSH2","FANCD2",0.434844670735136,0.257487864735677,0.346166267735406
"176",6117,5591,"RPA1","PRKDC",1,0.542816397570127,0.771408198785064
"177",6117,7157,"RPA1","TP53",1,0.660945725678381,0.830472862839191
"178",6117,5422,"RPA1","POLA1",1,0.732572163283829,0.866286081641915
"179",7157,11200,"TP53","CHEK2",0.660945725678381,0.247594715911801,0.454270220795091
"180",6117,79968,"RPA1","WDR76",1,NA,NA
"181",4436,4361,"MSH2","MRE11",0.434844670735136,0.513379104831506,0.474111887783321
"182",4436,672,"MSH2","BRCA1",0.434844670735136,0.786120424940685,0.610482547837911
"183",4436,472,"MSH2","ATM",0.434844670735136,0.603319926175706,0.519082298455421
"184",5981,5884,"RFC1","RAD17",0.935316511555542,0.292209493757523,0.613763002656533
"185",4436,84126,"MSH2","ATRIP",0.434844670735136,NA,NA
"186",4436,4436,"MSH2","MSH2",0.434844670735136,0.434844670735136,0.434844670735136
"187",7157,7157,"TP53","TP53",0.660945725678381,0.660945725678381,0.660945725678381
"188",4436,7507,"MSH2","XPA",0.434844670735136,NA,NA
"189",4436,2175,"MSH2","FANCA",0.434844670735136,0.339553555213834,0.387199112974485
"190",4436,5888,"MSH2","RAD51",0.434844670735136,0.308472332654874,0.371658501695005
"191",472,472,"ATM","ATM",0.603319926175706,0.603319926175706,0.603319926175706
"192",7157,672,"TP53","BRCA1",0.660945725678381,0.786120424940685,0.723533075309533
"193",672,51720,"BRCA1","UIMC1",0.786120424940685,0.18477747182909,0.485448948384887
"194",5395,7316,"PMS2","UBC",NA,NA,NA
"195",672,9025,"BRCA1","RNF8",0.786120424940685,NA,NA
"196",672,7157,"BRCA1","TP53",0.786120424940685,0.660945725678381,0.723533075309533
"197",672,672,"BRCA1","BRCA1",0.786120424940685,0.786120424940685,0.786120424940685
"198",55120,80233,"FANCL","FAAP100",0.246405779531808,0.0486839306645595,0.147544855098184
"199",672,4361,"BRCA1","MRE11",0.786120424940685,0.513379104831506,0.649749764886095
"200",580,7157,"BARD1","TP53",0.382180641712237,0.660945725678381,0.521563183695309
"201",5395,9156,"PMS2","EXO1",NA,NA,NA
"202",83990,4292,"BRIP1","MLH1",NA,0.480445756656057,NA
"203",7157,472,"TP53","ATM",0.660945725678381,0.603319926175706,0.632132825927044
"204",4436,7156,"MSH2","TOP3A",0.434844670735136,0.223759641318025,0.329302156026581
"205",4436,6117,"MSH2","RPA1",0.434844670735136,1,0.717422335367568
"206",4436,79968,"MSH2","WDR76",0.434844670735136,NA,NA
"207",672,63967,"BRCA1","CLSPN",0.786120424940685,NA,NA
"208",5422,7316,"POLA1","UBC",0.732572163283829,NA,NA
"209",5422,7157,"POLA1","TP53",0.732572163283829,0.660945725678381,0.696758944481105
"210",5422,1111,"POLA1","CHEK1",0.732572163283829,0.328147437550119,0.530359800416974
"211",5422,6613,"POLA1","SUMO2",0.732572163283829,0.278219650179634,0.505395906731732
"212",7157,5422,"TP53","POLA1",0.660945725678381,0.732572163283829,0.696758944481105
"213",7157,472,"TP53","ATM",0.660945725678381,0.603319926175706,0.632132825927044
