"","gene_id1","gene_id2","gene_symbol1","gene_symbol2"
"1",5526,155871,"PPP2R5B",NA
"2",3303,3320,"HSPA1A","HSP90AA1"
"3",5525,11200,"PPP2R5A","CHEK2"
"4",5525,151246,"PPP2R5A","SGO2"
"5",3303,155871,"HSPA1A",NA
"6",10576,10574,"CCT2","CCT7"
"7",5519,5528,"PPP2R1B","PPP2R5D"
"8",3303,6789,"HSPA1A","STK4"
"9",3303,1452,"HSPA1A","CSNK1A1"
"10",3303,1019,"HSPA1A","CDK4"
"11",3303,5566,"HSPA1A","PRKACA"
"12",10576,10693,"CCT2","CCT6B"
"13",5525,5515,"PPP2R5A","PPP2CA"
"14",3312,9532,"HSPA8","BAG2"
"15",3312,3308,"HSPA8","HSPA4"
"16",10576,3320,"CCT2","HSP90AA1"
"17",10576,1019,"CCT2","CDK4"
"18",3309,10494,"HSPA5","STK25"
"19",3309,3320,"HSPA5","HSP90AA1"
"20",3309,25895,"HSPA5","EEF1AKMT3"
"21",3309,1020,"HSPA5","CDK5"
"22",5894,6788,"RAF1","STK3"
"23",5894,7415,"RAF1","VCP"
"24",5894,3320,"RAF1","HSP90AA1"
"25",5894,5516,"RAF1","PPP2CB"
"26",5894,207,"RAF1","AKT1"
"27",5894,5894,"RAF1","RAF1"
"28",5894,5527,"RAF1","PPP2R5C"
"29",3309,10014,"HSPA5","HDAC5"
"30",5531,3476,"PPP4C","IGBP1"
"31",5531,10576,"PPP4C","CCT2"
"32",5531,10574,"PPP4C","CCT7"
"33",10576,25843,"CCT2","MOB4"
"34",8471,5566,"IRS4","PRKACA"
"35",8471,5562,"IRS4","PRKAA1"
"36",9479,207,"MAPK8IP1","AKT1"
"37",3312,5567,"HSPA8","PRKACB"
"38",3312,1452,"HSPA8","CSNK1A1"
"39",3312,112858,"HSPA8","TP53RK"
"40",3312,55781,"HSPA8","RIOK2"
"41",8471,8471,"IRS4","IRS4"
"42",5526,11200,"PPP2R5B","CHEK2"
"43",6801,29966,"STRN","STRN3"
"44",3312,3312,"HSPA8","HSPA8"
"45",4843,790,"NOS2","CAD"
"46",6801,8428,"STRN","STK24"
"47",6801,83992,"STRN","CTTNBP2"
"48",6801,908,"STRN","CCT6A"
"49",6801,10574,"STRN","CCT7"
"50",6801,10693,"STRN","CCT6B"
"51",5562,10014,"PRKAA1","HDAC5"
"52",55917,8428,"CTTNBP2NL","STK24"
"53",1978,5524,"EIF4EBP1","PTPA"
"54",55917,83992,"CTTNBP2NL","CTTNBP2"
"55",55917,5515,"CTTNBP2NL","PPP2CA"
"56",55917,11235,"CTTNBP2NL","PDCD10"
"57",55917,5516,"CTTNBP2NL","PPP2CB"
"58",1978,5515,"EIF4EBP1","PPP2CA"
"59",55917,8428,"CTTNBP2NL","STK24"
"60",5562,3313,"PRKAA1","HSPA9"
"61",5562,7203,"PRKAA1","CCT3"
"62",472,11200,"ATM","CHEK2"
"63",1452,3320,"CSNK1A1","HSP90AA1"
"64",1452,3313,"CSNK1A1","HSPA9"
"65",1452,1452,"CSNK1A1","CSNK1A1"
"66",1452,6222,"CSNK1A1","RPS18"
"67",5526,5515,"PPP2R5B","PPP2CA"
