"","gene_id1","gene_id2","gene_symbol1","gene_symbol2"
"1",5931,8819,"RBBP7","SAP30"
"2",5558,5422,"PRIM2","POLA1"
"3",5558,23028,"PRIM2","KDM1A"
"4",672,1869,"BRCA1","E2F1"
"5",1460,1786,"CSNK2B","DNMT1"
"6",7157,6878,"TP53","TAF6"
"7",57697,7156,"FANCM","TOP3A"
"8",672,83990,"BRCA1","BRIP1"
"9",1107,7341,"CHD3","SUMO1"
"10",6613,9063,"SUMO2","PIAS2"
"11",6613,5371,"SUMO2","PML"
"12",8350,23468,"HIST1H3A","CBX5"
"13",8350,23028,"HIST1H3A","KDM1A"
"14",8350,1107,"HIST1H3A","CHD3"
"15",8350,1387,"HIST1H3A","CREBBP"
"16",8350,6597,"HIST1H3A","SMARCA4"
"17",7329,9063,"UBE2I","PIAS2"
"18",7329,7329,"UBE2I","UBE2I"
"19",64421,4361,"DCLRE1C","MRE11"
"20",7329,1029,"UBE2I","CDKN2A"
"21",6670,1869,"SP3","E2F1"
"22",6670,5970,"SP3","RELA"
"23",672,11200,"BRCA1","CHEK2"
"24",7329,51720,"UBE2I","UIMC1"
"25",8243,1050,"SMC1A","CEBPA"
"26",3621,1029,"ING1","CDKN2A"
"27",1107,23028,"CHD3","KDM1A"
"28",64421,5591,"DCLRE1C","PRKDC"
"29",7329,5888,"UBE2I","RAD51"
"30",7329,1487,"UBE2I","CTBP1"
"31",7329,10014,"UBE2I","HDAC5"
"32",10524,7161,"KAT5","TP73"
"33",10524,4851,"KAT5","NOTCH1"
"34",10524,472,"KAT5","ATM"
"35",10524,5970,"KAT5","RELA"
"36",10524,4609,"KAT5","MYC"
"37",10524,1385,"KAT5","CREB1"
"38",10524,1869,"KAT5","E2F1"
"39",10524,1786,"KAT5","DNMT1"
"40",7329,201254,"UBE2I","CENPX"
"41",6613,23028,"SUMO2","KDM1A"
"42",6613,5931,"SUMO2","RBBP7"
"43",5558,5983,"PRIM2","RFC3"
"44",1457,4609,"CSNK2A1","MYC"
"45",1457,7157,"CSNK2A1","TP53"
"46",1457,3725,"CSNK2A1","JUN"
"47",1457,8554,"CSNK2A1","PIAS1"
"48",1457,1387,"CSNK2A1","CREBBP"
"49",1457,10014,"CSNK2A1","HDAC5"
"50",1457,1457,"CSNK2A1","CSNK2A1"
"51",1457,1499,"CSNK2A1","CTNNB1"
"52",672,6597,"BRCA1","SMARCA4"
"53",1457,5371,"CSNK2A1","PML"
"54",1457,84950,"CSNK2A1","PRPF38A"
"55",1457,3065,"CSNK2A1","HDAC1"
"56",1457,7153,"CSNK2A1","TOP2A"
"57",1457,1387,"CSNK2A1","CREBBP"
"58",4000,9656,"LMNA","MDC1"
"59",4000,4361,"LMNA","MRE11"
"60",4000,5925,"LMNA","RB1"
"61",4000,3621,"LMNA","ING1"
"62",4000,5928,"LMNA","RBBP4"
"63",4000,5591,"LMNA","PRKDC"
"64",6774,6667,"STAT3","SP1"
"65",6774,23411,"STAT3","SIRT1"
"66",6774,860,"STAT3","RUNX2"
"67",6774,5371,"STAT3","PML"
"68",6774,5925,"STAT3","RB1"
"69",8243,5981,"SMC1A","RFC1"
"70",10856,7341,"RUVBL2","SUMO1"
"71",10856,7156,"RUVBL2","TOP3A"
"72",1050,1017,"CEBPA","CDK2"
"73",1050,3725,"CEBPA","JUN"
"74",10856,4609,"RUVBL2","MYC"
"75",10856,5985,"RUVBL2","RFC5"
"76",10856,155871,"RUVBL2",NA
"77",641,4292,"BLM","MLH1"
"78",23411,3280,"SIRT1","HES1"
"79",7157,641,"TP53","BLM"
"80",641,7316,"BLM","UBC"
"81",641,4361,"BLM","MRE11"
"82",641,6613,"BLM","SUMO2"
"83",641,3014,"BLM","H2AFX"
"84",8243,8467,"SMC1A","SMARCA5"
"85",8243,472,"SMC1A","ATM"
"86",641,83990,"BLM","BRIP1"
"87",23411,5970,"SIRT1","RELA"
"88",672,4361,"BRCA1","MRE11"
"89",672,1487,"BRCA1","CTBP1"
"90",641,2189,"BLM","FANCG"
"91",641,100526739,"BLM","CENPS-CORT"
"92",641,6119,"BLM","RPA3"
"93",641,21975,"BLM",NA
"94",10856,2956,"RUVBL2","MSH6"
"95",641,1111,"BLM","CHEK1"
"96",5883,63967,"RAD9A","CLSPN"
"97",4255,5424,"MGMT","POLD1"
"98",6597,2175,"SMARCA4","FANCA"
"99",6597,9611,"SMARCA4","NCOR1"
"100",6597,1029,"SMARCA4","CDKN2A"
"101",4255,1017,"MGMT","CDK2"
"102",4255,8290,"MGMT","HIST3H3"
"103",4255,121504,"MGMT","HIST4H4"
"104",4255,1457,"MGMT","CSNK2A1"
"105",672,1387,"BRCA1","CREBBP"
"106",86,3621,"ACTL6A","ING1"
"107",86,1017,"ACTL6A","CDK2"
"108",6613,1050,"SUMO2","CEBPA"
"109",2187,199990,"FANCB","FAAP20"
"110",1108,1108,"CHD4","CHD4"
"111",1108,23028,"CHD4","KDM1A"
"112",1108,1786,"CHD4","DNMT1"
"113",1108,9112,"CHD4","MTA1"
"114",1108,53615,"CHD4","MBD3"
"115",1108,3066,"CHD4","HDAC2"
"116",1108,7316,"CHD4","UBC"
"117",2187,7316,"FANCB","UBC"
"118",1108,545,"CHD4","ATR"
"119",1108,6304,"CHD4","SATB1"
"120",2187,100526739,"FANCB","CENPS-CORT"
"121",1108,472,"CHD4","ATM"
"122",5371,1616,"PML","DAXX"
"123",5371,3725,"PML","JUN"
"124",5371,5371,"PML","PML"
"125",5371,861,"PML","RUNX1"
"126",2187,80233,"FANCB","FAAP100"
"127",5371,9612,"PML","NCOR2"
"128",1108,56916,"CHD4","SMARCAD1"
"129",6613,23468,"SUMO2","CBX5"
"130",8243,22976,"SMC1A","PAXIP1"
"131",867,4088,"CBL","SMAD3"
"132",84126,5591,"ATRIP","PRKDC"
"133",8924,9025,"HERC2","RNF8"
"134",8243,10014,"SMC1A","HDAC5"
"135",57697,641,"FANCM","BLM"
"136",23411,8290,"SIRT1","HIST3H3"
"137",86,7528,"ACTL6A","YY1"
"138",4255,1387,"MGMT","CREBBP"
"139",57697,2175,"FANCM","FANCA"
"140",57697,199990,"FANCM","FAAP20"
"141",4193,155871,"MDM2",NA
"142",4193,5925,"MDM2","RB1"
"143",4193,11200,"MDM2","CHEK2"
"144",4193,1616,"MDM2","DAXX"
"145",4193,4851,"MDM2","NOTCH1"
"146",4193,201254,"MDM2","CENPX"
"147",4193,9025,"MDM2","RNF8"
"148",4193,1487,"MDM2","CTBP1"
"149",4193,4193,"MDM2","MDM2"
"150",4193,11200,"MDM2","CHEK2"
"151",4193,4691,"MDM2","NCL"
"152",4193,5970,"MDM2","RELA"
"153",4193,8850,"MDM2","KAT2B"
"154",23028,79648,"KDM1A","MCPH1"
"155",6597,672,"SMARCA4","BRCA1"
"156",6597,6598,"SMARCA4","SMARCB1"
"157",23028,7161,"KDM1A","TP73"
"158",23028,7157,"KDM1A","TP53"
"159",5371,5371,"PML","PML"
"160",6597,2175,"SMARCA4","FANCA"
"161",5371,4193,"PML","MDM2"
"162",5371,6839,"PML","SUV39H1"
"163",5371,11073,"PML","TOPBP1"
"164",5371,6774,"PML","STAT3"
"165",5371,25942,"PML","SIN3A"
"166",860,3725,"RUNX2","JUN"
