"","gene_id1","gene_id2","gene_symbol1","gene_symbol2"
"1",4067,1436,"LYN","CSF1R"
"2",4067,5921,"LYN","RASA1"
"3",23607,23607,"CD2AP","CD2AP"
"4",1956,30011,"EGFR","SH3KBP1"
"5",7852,7316,"CXCR4","UBC"
"6",3643,5295,"INSR","PIK3R1"
"7",5599,1398,"MAPK8","CRK"
"8",7454,2268,"WAS","FGR"
"9",3643,10451,"INSR","VAV3"
"10",5580,3572,"PRKCD","IL6ST"
"11",867,7409,"CBL","VAV1"
"12",3643,5781,"INSR","PTPN11"
"13",4067,6464,"LYN","SHC1"
"14",6464,3717,"SHC1","JAK2"
"15",23607,2885,"CD2AP","GRB2"
"16",5296,5159,"PIK3R2","PDGFRB"
"17",139716,4067,"GAB3","LYN"
"18",139716,2534,"GAB3","FYN"
"19",5296,1956,"PIK3R2","EGFR"
"20",4486,3320,"MST1R","HSP90AA1"
"21",5829,5829,"PXN","PXN"
"22",4067,3717,"LYN","JAK2"
"23",3643,5770,"INSR","PTPN1"
"24",3454,6774,"IFNAR1","STAT3"
"25",5588,2533,"PRKCQ","FYB1"
"26",867,2534,"CBL","FYN"
"27",3636,10580,"INPPL1","SORBS1"
"28",3636,2885,"INPPL1","GRB2"
"29",867,7410,"CBL","VAV2"
"30",128853,25,"DUSP15","ABL1"
"31",3636,5296,"INPPL1","PIK3R2"
"32",10006,2268,"ABI1","FGR"
"33",3636,79705,"INPPL1","LRRK1"
"34",4067,867,"LYN","CBL"
"35",3636,84959,"INPPL1","UBASH3B"
"36",10006,8503,"ABI1","PIK3R3"
"37",9743,9846,"ARHGAP32","GAB2"
"38",9743,2549,"ARHGAP32","GAB1"
"39",9743,1499,"ARHGAP32","CTNNB1"
"40",9743,5295,"ARHGAP32","PIK3R1"
"41",9743,5335,"ARHGAP32","PLCG1"
"42",6464,5979,"SHC1","RET"
"43",6464,3635,"SHC1","INPP5D"
"44",5787,5787,"PTPRB","PTPRB"
"45",867,84959,"CBL","UBASH3B"
"46",867,1436,"CBL","CSF1R"
