"","gene_id1","gene_id2","gene_symbol1","gene_symbol2","hub_score1","hub_score2","combined_score"
"1",3090,6925,"HIC1","TCF4",NA,NA,NA
"2",5931,8819,"RBBP7","SAP30",NA,NA,NA
"3",3090,1487,"HIC1","CTBP1",NA,NA,NA
"4",3090,9063,"HIC1","PIAS2",NA,NA,NA
"5",3090,53615,"HIC1","MBD3",NA,NA,NA
"6",3090,1107,"HIC1","CHD3",NA,NA,NA
"7",7428,8841,"VHL","HDAC3",NA,NA,NA
"8",6613,27043,"SUMO2","PELP1",0.278219650179634,NA,NA
"9",7428,2034,"VHL","EPAS1",NA,NA,NA
"10",5599,5591,"MAPK8","PRKDC",NA,0.542816397570127,NA
"11",9063,2100,"PIAS2","ESR2",NA,NA,NA
"12",9063,5241,"PIAS2","PGR",NA,NA,NA
"13",51564,9612,"HDAC7","NCOR2",NA,NA,NA
"14",51564,25942,"HDAC7","SIN3A",NA,NA,NA
"15",1030,688,"CDKN2B","KLF5",NA,NA,NA
"16",672,1869,"BRCA1","E2F1",0.786120424940685,NA,NA
"17",7157,2068,"TP53","ERCC2",0.660945725678381,NA,NA
"18",1460,1432,"CSNK2B","MAPK14",NA,NA,NA
"19",1460,8945,"CSNK2B","BTRC",NA,NA,NA
"20",672,1874,"BRCA1","E2F4",0.786120424940685,NA,NA
"21",7428,7316,"VHL","UBC",NA,NA,NA
"22",1460,1786,"CSNK2B","DNMT1",NA,NA,NA
"23",7157,6878,"TP53","TAF6",0.660945725678381,NA,NA
"24",7428,10273,"VHL","STUB1",NA,NA,NA
"25",7428,5931,"VHL","RBBP7",NA,NA,NA
"26",7157,5501,"TP53","PPP1CC",0.660945725678381,NA,NA
"27",7428,3312,"VHL","HSPA8",NA,NA,NA
"28",2113,5595,"ETS1","MAPK3",NA,NA,NA
"29",6720,6720,"SREBF1","SREBF1",NA,NA,NA
"30",6720,7341,"SREBF1","SUMO1",NA,NA,NA
"31",6720,5594,"SREBF1","MAPK1",NA,NA,NA
"32",6720,6604,"SREBF1","SMARCD3",NA,NA,NA
"33",2113,2908,"ETS1","NR3C1",NA,NA,NA
"34",4086,4086,"SMAD1","SMAD1",NA,NA,NA
"35",6720,7157,"SREBF1","TP53",NA,0.660945725678381,NA
"36",6720,4000,"SREBF1","LMNA",NA,NA,NA
"37",4086,4089,"SMAD1","SMAD4",NA,NA,NA
"38",3002,3725,"GZMB","JUN",NA,NA,NA
"39",2113,7329,"ETS1","UBE2I",NA,NA,NA
"40",2113,4088,"ETS1","SMAD3",NA,NA,NA
"41",5966,5599,"REL","MAPK8",NA,NA,NA
"42",1107,7341,"CHD3","SUMO1",NA,NA,NA
"43",9555,9555,"H2AFY","H2AFY",NA,NA,NA
"44",9555,8350,"H2AFY","HIST1H3A",NA,NA,NA
"45",6613,9063,"SUMO2","PIAS2",0.278219650179634,NA,NA
"46",6613,5371,"SUMO2","PML",0.278219650179634,NA,NA
"47",4316,155871,"MMP7",NA,NA,NA,NA
"48",7329,1788,"UBE2I","DNMT3A",NA,NA,NA
"49",4086,367,"SMAD1","AR",NA,NA,NA
"50",7428,4691,"VHL","NCL",NA,NA,NA
"51",7329,4089,"UBE2I","SMAD4",NA,NA,NA
"52",4086,861,"SMAD1","RUNX1",NA,NA,NA
"53",4086,6498,"SMAD1","SKIL",NA,NA,NA
"54",4086,2122,"SMAD1","MECOM",NA,NA,NA
"55",4086,1024,"SMAD1","CDK8",NA,NA,NA
"56",8350,23468,"HIST1H3A","CBX5",NA,NA,NA
"57",8350,23028,"HIST1H3A","KDM1A",NA,NA,NA
"58",8350,1107,"HIST1H3A","CHD3",NA,NA,NA
"59",8350,1387,"HIST1H3A","CREBBP",NA,NA,NA
"60",8350,55193,"HIST1H3A","PBRM1",NA,NA,NA
"61",8350,6597,"HIST1H3A","SMARCA4",NA,NA,NA
"62",7329,9063,"UBE2I","PIAS2",NA,NA,NA
"63",7329,7329,"UBE2I","UBE2I",NA,NA,NA
"64",7329,1029,"UBE2I","CDKN2A",NA,NA,NA
"65",6670,5501,"SP3","PPP1CC",NA,NA,NA
"66",6670,1869,"SP3","E2F1",NA,NA,NA
"67",6670,5970,"SP3","RELA",NA,NA,NA
"68",5594,5925,"MAPK1","RB1",NA,NA,NA
"69",64332,4791,"NFKBIZ","NFKB2",NA,NA,NA
"70",5241,5241,"PGR","PGR",NA,NA,NA
"71",7428,1017,"VHL","CDK2",NA,0.701727450398429,NA
"72",1107,2932,"CHD3","GSK3B",NA,NA,NA
"73",3621,1029,"ING1","CDKN2A",NA,NA,NA
"74",1107,23028,"CHD3","KDM1A",NA,NA,NA
"75",7329,6872,"UBE2I","TAF1",NA,NA,NA
"76",7329,6720,"UBE2I","SREBF1",NA,NA,NA
"77",10320,23309,"IKZF1","SIN3B",NA,NA,NA
