"","gene_id1","gene_id2","gene_symbol1","gene_symbol2"
"1",260425,5728,"MAGI3","PTEN"
"2",91,3624,"ACVR1B","INHBA"
"3",92,3624,"ACVR2A","INHBA"
"4",641700,5728,"ECSCR","PTEN"
"5",6382,6383,"SDC1","SDC2"
"6",6382,9672,"SDC1","SDC3"
"7",6382,7074,"SDC1","TIAM1"
"8",6383,9672,"SDC2","SDC3"
"9",6383,6385,"SDC2","SDC4"
"10",6383,7074,"SDC2","TIAM1"
"11",9672,6385,"SDC3","SDC4"
"12",9672,7074,"SDC3","TIAM1"
"13",6385,7074,"SDC4","TIAM1"
"14",91,3624,"ACVR1B","INHBA"
"15",91,3625,"ACVR1B","INHBB"
"16",90,3624,"ACVR1","INHBA"
"17",92,3623,"ACVR2A","INHA"
"18",92,3624,"ACVR2A","INHBA"
"19",92,3625,"ACVR2A","INHBB"
"20",93,3624,"ACVR2B","INHBA"
"21",93,3625,"ACVR2B","INHBB"
"22",94,3624,"ACVRL1","INHBA"
"23",79053,9252,"ALG8","RPS6KA5"
"24",269,5728,"AMHR2","PTEN"
"25",283,5728,"ANG","PTEN"
"26",23092,5728,"ARHGAP26","PTEN"
"27",8314,5728,"BAP1","PTEN"
"28",84433,1803,"CARD11","DPP4"
"29",8573,6382,"CASK","SDC1"
"30",8573,6383,"CASK","SDC2"
"31",841,5728,"CASP8","PTEN"
"32",867,5728,"CBL","PTEN"
"33",6364,1462,"CCL20","VCAN"
"34",6366,1462,"CCL21","VCAN"
"35",6367,1803,"CCL22","DPP4"
"36",6347,1462,"CCL2","VCAN"
"37",6352,6382,"CCL5","SDC1"
"38",6352,6385,"CCL5","SDC4"
"39",6352,6518,"CCL5","SLC2A5"
"40",6352,1462,"CCL5","VCAN"
"41",6355,1462,"CCL8","VCAN"
"42",25884,3624,"CHRDL2","INHBA"
"43",1438,6383,"CSF2RA","SDC2"
"44",1437,6383,"CSF2","SDC2"
"45",6387,1462,"CXCL12","VCAN"
"46",2833,1462,"CXCR3","VCAN"
"47",1562,6383,"CYP2C18","SDC2"
"48",80174,5728,"DBF4B","PTEN"
"49",22943,1803,"DKK1","DPP4"
"50",2247,6382,"FGF2","SDC1"
"51",2247,6383,"FGF2","SDC2"
"52",2247,9672,"FGF2","SDC3"
"53",2247,6385,"FGF2","SDC4"
