"","gene_id1","gene_id2","gene_symbol1","gene_symbol2","hub_score1","hub_score2","combined_score"
"1",207,1457,"AKT1","CSNK2A1",0.116025083977174,0.448724300864515,0.282374692420845
"2",207,23239,"AKT1","PHLPP1",0.116025083977174,0.232680722853152,0.174352903415163
"3",472,7157,"ATM","TP53",0.201391421247786,1,0.600695710623893
"4",11200,7157,"CHEK2","TP53",0.12261754415502,1,0.56130877207751
"5",5728,7157,"PTEN","TP53",0.172395814147831,1,0.586197907073916
"6",7083,7157,"TK1","TP53",0.555086981837325,1,0.777543490918663
"7",7157,7486,"TP53","WRN",1,0.331229720125937,0.665614860062968
"8",207,23035,"AKT1","PHLPP2",0.116025083977174,0.229124045138737,0.172574564557956
"9",472,7157,"ATM","TP53",0.201391421247786,1,0.600695710623893
"10",8661,8667,"EIF3A","EIF3H",0.72813261120601,0.75683815803009,0.74248538461805
"11",9113,6794,"LATS1","STK11",0.0273925746987228,0.629492031171239,0.328442302934981
"12",5436,5438,"POLR2G","POLR2I",0.890013284890775,0.646398242277751,0.768205763584263
"13",10768,10944,"AHCYL1","C11orf58",0.610763678978242,0.345973293651374,0.478368486314808
"14",10768,5496,"AHCYL1","PPM1G",0.610763678978242,0.225870942906508,0.418317310942375
"15",10768,57599,"AHCYL1","WDR48",0.610763678978242,0.448433613961335,0.529598646469788
"16",23382,57599,"AHCYL2","WDR48",0.851562099853447,0.448433613961335,0.649997856907391
"17",11215,5567,"AKAP11","PRKACB",0.161973604394627,0.0685418835213226,0.115257743957975
"18",207,1111,"AKT1","CHEK1",0.116025083977174,0.297735815666931,0.206880449822053
"19",207,9479,"AKT1","MAPK8IP1",0.116025083977174,0.00711335542883049,0.0615692197030023
"20",207,23239,"AKT1","PHLPP1",0.116025083977174,0.232680722853152,0.174352903415163
"21",207,65018,"AKT1","PINK1",0.116025083977174,0.00884136555276831,0.0624332247649712
"22",207,5728,"AKT1","PTEN",0.116025083977174,0.172395814147831,0.144210449062503
"23",207,6198,"AKT1","RPS6KB1",0.116025083977174,0.0752750208005731,0.0956500523888736
"24",207,9882,"AKT1","TBC1D4",0.116025083977174,0.213226634524307,0.16462585925074
"25",26985,57599,"AP3M1","WDR48",0.576997606616719,0.448433613961335,0.512715610289027
"26",472,1978,"ATM","EIF4EBP1",0.201391421247786,0.0917061305671737,0.14654877590748
"27",472,7157,"ATM","TP53",0.201391421247786,1,0.600695710623893
"28",613,7157,"BCR","TP53",0.284175018614523,1,0.642087509307261
"29",1111,7157,"CHEK1","TP53",0.297735815666931,1,0.648867907833466
"30",11200,7157,"CHEK2","TP53",0.12261754415502,1,0.56130877207751
"31",1457,8667,"CSNK2A1","EIF3H",0.448724300864515,0.75683815803009,0.602781229447303
"32",1457,5567,"CSNK2A1","PRKACB",0.448724300864515,0.0685418835213226,0.258633092192919
"33",1457,5728,"CSNK2A1","PTEN",0.448724300864515,0.172395814147831,0.310560057506173
"34",1457,7157,"CSNK2A1","TP53",0.448724300864515,1,0.724362150432258
"35",1459,8667,"CSNK2A2","EIF3H",0.25944722640736,0.75683815803009,0.508142692218725
"36",1459,5728,"CSNK2A2","PTEN",0.25944722640736,0.172395814147831,0.215921520277596
"37",1460,8667,"CSNK2B","EIF3H",0.411759889200149,0.75683815803009,0.58429902361512
"38",1460,7157,"CSNK2B","TP53",0.411759889200149,1,0.705879944600075
"39",8450,7157,"CUL4B","TP53",0.255621741933054,1,0.627810870966527
"40",8661,8667,"EIF3A","EIF3H",0.72813261120601,0.75683815803009,0.74248538461805
"41",8661,57599,"EIF3A","WDR48",0.72813261120601,0.448433613961335,0.588283112583673
"42",8667,6198,"EIF3H","RPS6KB1",0.75683815803009,0.0752750208005731,0.416056589415332
"43",8667,57599,"EIF3H","WDR48",0.75683815803009,0.448433613961335,0.602635885995713
"44",1978,9113,"EIF4EBP1","LATS1",0.0917061305671737,0.0273925746987228,0.0595493526329482
"45",8443,5830,"GNPAT","PEX5",0.437524019919051,0.171183415887881,0.304353717903466
"46",9113,5728,"LATS1","PTEN",0.0273925746987228,0.172395814147831,0.0998941944232771
"47",64975,7157,"MRPL41","TP53",0.210746229870125,1,0.605373114935063
"48",23511,84464,"NUP188","SLX4",0.501761655050593,0.209562674123936,0.355662164587264
"49",10605,51366,"PAIP1","UBR5",0.0881153151752673,0.363307335870898,0.225711325523083
"50",10605,219333,"PAIP1","USP12",0.0881153151752673,0.228268488311631,0.158191901743449
"51",11315,5728,"PARK7","PTEN",0.193710459557163,0.172395814147831,0.183053136852497
"52",11315,7157,"PARK7","TP53",0.193710459557163,1,0.596855229778581
"53",65018,5728,"PINK1","PTEN",0.00884136555276831,0.172395814147831,0.0906185898502999
"54",5436,57599,"POLR2G","WDR48",0.890013284890775,0.448433613961335,0.669223449426055
"55",5438,57599,"POLR2I","WDR48",0.646398242277751,0.448433613961335,0.547415928119543
"56",5728,7157,"PTEN","TP53",0.172395814147831,1,0.586197907073916
"57",6794,7157,"STK11","TP53",0.629492031171239,1,0.81474601558562
"58",6794,57599,"STK11","WDR48",0.629492031171239,0.448433613961335,0.538962822566287
"59",6830,7157,"SUPT6H","TP53",0.253520632575768,1,0.626760316287884
"60",9882,7157,"TBC1D4","TP53",0.213226634524307,1,0.606613317262153
"61",7083,7157,"TK1","TP53",0.555086981837325,1,0.777543490918663
"62",7157,60487,"TP53","TRMT11",1,0.580091316912696,0.790045658456348
"63",7157,51366,"TP53","UBR5",1,0.363307335870898,0.681653667935449
"64",7157,57599,"TP53","WDR48",1,0.448433613961335,0.724216806980667
"65",7157,7486,"TP53","WRN",1,0.331229720125937,0.665614860062968
"66",7157,57621,"TP53","ZBTB2",1,0.253520632575768,0.626760316287884
"67",60487,57599,"TRMT11","WDR48",0.580091316912696,0.448433613961335,0.514262465437015
"68",207,1111,"AKT1","CHEK1",0.116025083977174,0.297735815666931,0.206880449822053
"69",207,1978,"AKT1","EIF4EBP1",0.116025083977174,0.0917061305671737,0.103865607272174
"70",207,9479,"AKT1","MAPK8IP1",0.116025083977174,0.00711335542883049,0.0615692197030023
"71",207,5728,"AKT1","PTEN",0.116025083977174,0.172395814147831,0.144210449062503
"72",207,121268,"AKT1","RHEBL1",0.116025083977174,0.00636787284294185,0.0611964784100579
"73",207,6198,"AKT1","RPS6KB1",0.116025083977174,0.0752750208005731,0.0956500523888736
"74",472,1978,"ATM","EIF4EBP1",0.201391421247786,0.0917061305671737,0.14654877590748
"75",472,6794,"ATM","STK11",0.201391421247786,0.629492031171239,0.415441726209512
"76",472,7157,"ATM","TP53",0.201391421247786,1,0.600695710623893
"77",613,7157,"BCR","TP53",0.284175018614523,1,0.642087509307261
"78",1111,7157,"CHEK1","TP53",0.297735815666931,1,0.648867907833466
"79",11200,7157,"CHEK2","TP53",0.12261754415502,1,0.56130877207751
"80",1457,1978,"CSNK2A1","EIF4EBP1",0.448724300864515,0.0917061305671737,0.270215215715844
"81",1457,2997,"CSNK2A1","GYS1",0.448724300864515,0.516237526667114,0.482480913765814
"82",1457,5728,"CSNK2A1","PTEN",0.448724300864515,0.172395814147831,0.310560057506173
"83",1457,7157,"CSNK2A1","TP53",0.448724300864515,1,0.724362150432258
"84",1459,1978,"CSNK2A2","EIF4EBP1",0.25944722640736,0.0917061305671737,0.175576678487267
"85",1459,5728,"CSNK2A2","PTEN",0.25944722640736,0.172395814147831,0.215921520277596
"86",1460,7157,"CSNK2B","TP53",0.411759889200149,1,0.705879944600075
"87",8661,8667,"EIF3A","EIF3H",0.72813261120601,0.75683815803009,0.74248538461805
"88",1978,121268,"EIF4EBP1","RHEBL1",0.0917061305671737,0.00636787284294185,0.0490370017050578
"89",1978,6198,"EIF4EBP1","RPS6KB1",0.0917061305671737,0.0752750208005731,0.0834905756838734
"90",25843,6794,"MOB4","STK11",0.0546045338838102,0.629492031171239,0.342048282527525
"91",10605,51366,"PAIP1","UBR5",0.0881153151752673,0.363307335870898,0.225711325523083
"92",5436,5438,"POLR2G","POLR2I",0.890013284890775,0.646398242277751,0.768205763584263
"93",5728,6794,"PTEN","STK11",0.172395814147831,0.629492031171239,0.400943922659535
"94",5728,7157,"PTEN","TP53",0.172395814147831,1,0.586197907073916
"95",6198,6794,"RPS6KB1","STK11",0.0752750208005731,0.629492031171239,0.352383525985906
"96",6794,7157,"STK11","TP53",0.629492031171239,1,0.81474601558562
"97",7083,7157,"TK1","TP53",0.555086981837325,1,0.777543490918663
"98",7157,7486,"TP53","WRN",1,0.331229720125937,0.665614860062968
"99",60496,23382,"AASDHPPT","AHCYL2",0.428981679879813,0.851562099853447,0.64027188986663
"100",60496,11215,"AASDHPPT","AKAP11",0.428981679879813,0.161973604394627,0.29547764213722
"101",60496,121642,"AASDHPPT","ALKBH2",0.428981679879813,0.157771385680055,0.293376532779934
"102",60496,10944,"AASDHPPT","C11orf58",0.428981679879813,0.345973293651374,0.387477486765594
"103",60496,1111,"AASDHPPT","CHEK1",0.428981679879813,0.297735815666931,0.363358747773372
"104",60496,1457,"AASDHPPT","CSNK2A1",0.428981679879813,0.448724300864515,0.438852990372164
"105",60496,1460,"AASDHPPT","CSNK2B",0.428981679879813,0.411759889200149,0.420370784539981
"106",60496,91614,"AASDHPPT","DEPDC7",0.428981679879813,0.180971794745169,0.304976737312491
"107",60496,1762,"AASDHPPT","DMWD",0.428981679879813,0.329951828944834,0.379466754412324
"108",60496,80011,"AASDHPPT","FAM192A",0.428981679879813,0.157771385680055,0.293376532779934
"109",60496,85476,"AASDHPPT","GFM1",0.428981679879813,0.157771385680055,0.293376532779934
"110",60496,84340,"AASDHPPT","GFM2",0.428981679879813,0.157771385680055,0.293376532779934
"111",60496,8443,"AASDHPPT","GNPAT",0.428981679879813,0.437524019919051,0.433252849899432
"112",60496,54865,"AASDHPPT","GPATCH4",0.428981679879813,0.18009184383137,0.304536761855592
"113",60496,10243,"AASDHPPT","GPHN",0.428981679879813,0.430605763067946,0.42979372147388
"114",60496,51184,"AASDHPPT","GPN3",0.428981679879813,0.327250708057525,0.378116193968669
"115",60496,2997,"AASDHPPT","GYS1",0.428981679879813,0.516237526667114,0.472609603273463
"116",60496,3219,"AASDHPPT","HOXB9",0.428981679879813,0.18842577171881,0.308703725799311
"117",60496,3225,"AASDHPPT","HOXC9",0.428981679879813,0.18842577171881,0.308703725799311
"118",60496,51574,"AASDHPPT","LARP7",0.428981679879813,0.176493971273904,0.302737825576859
"119",60496,55227,"AASDHPPT","LRRC1",0.428981679879813,0.18842577171881,0.308703725799311
