"","gene_id1","gene_id2","gene_symbol1","gene_symbol2"
"1",367,8648,"AR","NCOA1"
"2",367,10499,"AR","NCOA2"
"3",467,7157,"ATF3","TP53"
"4",602,8841,"BCL3","HDAC3"
"5",604,9612,"BCL6","NCOR2"
"6",672,1387,"BRCA1","CREBBP"
"7",672,2033,"BRCA1","EP300"
"8",672,5469,"BRCA1","MED1"
"9",672,7157,"BRCA1","TP53"
"10",1024,9794,"CDK8","MAML1"
"11",1385,1387,"CREB1","CREBBP"
"12",1387,1958,"CREBBP","EGR1"
"13",1387,8202,"CREBBP","NCOA3"
"14",1387,5970,"CREBBP","RELA"
"15",1387,6506,"CREBBP","SLC1A2"
"16",1387,4088,"CREBBP","SMAD3"
"17",1387,7157,"CREBBP","TP53"
"18",1958,2033,"EGR1","EP300"
"19",2033,2099,"EP300","ESR1"
"20",2033,9794,"EP300","MAML1"
"21",2033,4654,"EP300","MYOD1"
"22",2033,8648,"EP300","NCOA1"
"23",2033,10499,"EP300","NCOA2"
"24",2033,5629,"EP300","PROX1"
"25",2033,5970,"EP300","RELA"
"26",2033,6506,"EP300","SLC1A2"
"27",2033,4088,"EP300","SMAD3"
"28",2033,6908,"EP300","TBP"
"29",2033,7157,"EP300","TP53"
"30",2056,3091,"EPO","HIF1A"
"31",2071,7157,"ERCC3","TP53"
"32",2099,5469,"ESR1","MED1"
"33",2099,8648,"ESR1","NCOA1"
"34",2099,10499,"ESR1","NCOA2"
"35",2099,8202,"ESR1","NCOA3"
"36",2099,9611,"ESR1","NCOR1"
"37",2099,9612,"ESR1","NCOR2"
"38",2099,7157,"ESR1","TP53"
"39",2100,8648,"ESR2","NCOA1"
"40",2100,23054,"ESR2","NCOA6"
"41",2100,10891,"ESR2","PPARGC1A"
"42",2101,8648,"ESRRA","NCOA1"
"43",2101,8202,"ESRRA","NCOA3"
"44",2101,190,"ESRRA","NR0B1"
"45",2101,8431,"ESRRA","NR0B2"
"46",2101,8204,"ESRRA","NRIP1"
"47",2101,5629,"ESRRA","PROX1"
"48",2113,8202,"ETS1","NCOA3"
"49",2113,9611,"ETS1","NCOR1"
"50",2114,8202,"ETS2","NCOA3"
"51",2114,9611,"ETS2","NCOR1"
"52",8841,9734,"HDAC3","HDAC9"
"53",8841,9611,"HDAC3","NCOR1"
"54",8841,6506,"HDAC3","SLC1A2"
"55",3091,6667,"HIF1A","SP1"
"56",3091,7157,"HIF1A","TP53"
"57",8850,8202,"KAT2B","NCOA3"
"58",5469,7376,"MED1","NR1H2"
"59",5469,9970,"MED1","NR1I3"
"60",5469,5468,"MED1","PPARG"
"61",5469,6506,"MED1","SLC1A2"
"62",9412,7067,"MED21","THRA"
"63",9412,7068,"MED21","THRB"
"64",10001,5914,"MED6","RARA"
"65",8648,7376,"NCOA1","NR1H2"
"66",8648,10062,"NCOA1","NR1H3"
"67",8648,8856,"NCOA1","NR1I2"
"68",8648,9970,"NCOA1","NR1I3"
"69",8648,2494,"NCOA1","NR5A2"
"70",8648,5467,"NCOA1","PPARD"
"71",8648,5468,"NCOA1","PPARG"
"72",8648,3275,"NCOA1","PRMT2"
"73",8648,5914,"NCOA1","RARA"
"74",8648,6095,"NCOA1","RORA"
"75",8648,6256,"NCOA1","RXRA"
"76",8648,7067,"NCOA1","THRA"
"77",8648,7068,"NCOA1","THRB"
"78",8648,7421,"NCOA1","VDR"
"79",10499,2908,"NCOA2","NR3C1"
"80",10499,5914,"NCOA2","RARA"
"81",10499,6256,"NCOA2","RXRA"
"82",10499,7068,"NCOA2","THRB"
"83",10499,7421,"NCOA2","VDR"
