"","gene_id1","gene_id2","gene_symbol1","gene_symbol2","hub_score1","hub_score2","combined_score"
"1",8647,3172,"ABCB11","HNF4A",0.11967191878235,0.789979824121626,0.454825871451988
"2",8647,3175,"ABCB11","ONECUT1",0.11967191878235,0.151185091884974,0.135428505333662
"3",9619,3172,"ABCG1","HNF4A",0.179471227870024,0.789979824121626,0.484725525995825
"4",9619,4149,"ABCG1","MAX",0.179471227870024,0.570859477220981,0.375165352545502
"5",9619,6872,"ABCG1","TAF1",0.179471227870024,0.550313578285987,0.364892403078005
"6",10449,3172,"ACAA2","HNF4A",0.135473555249931,0.789979824121626,0.462726689685779
"7",27034,3172,"ACAD8","HNF4A",0.152411326332285,0.789979824121626,0.471195575226956
"8",27034,4149,"ACAD8","MAX",0.152411326332285,0.570859477220981,0.361635401776633
"9",27034,4609,"ACAD8","MYC",0.152411326332285,0.561068862017794,0.35674009417504
"10",27034,6872,"ACAD8","TAF1",0.152411326332285,0.550313578285987,0.351362452309136
"11",79611,3172,"ACSS3","HNF4A",0.0580223815402791,0.789979824121626,0.424001102830953
"12",79611,3175,"ACSS3","ONECUT1",0.0580223815402791,0.151185091884974,0.104603736712627
"13",95,3172,"ACY1","HNF4A",0.126458073123339,0.789979824121626,0.458218948622483
"14",97,1869,"ACYP1","E2F1",0.12539967438899,0.222498254287009,0.173948964337999
"15",97,6872,"ACYP1","TAF1",0.12539967438899,0.550313578285987,0.337856626337488
"16",55811,6927,"ADCY10","HNF1A",0.0597974291496074,0.17997764554776,0.119887537348684
"17",55811,3172,"ADCY10","HNF4A",0.0597974291496074,0.789979824121626,0.424888626635617
"18",124,6927,"ADH1A","HNF1A",0.0204160295145454,0.17997764554776,0.100196837531153
"19",124,3175,"ADH1A","ONECUT1",0.0204160295145454,0.151185091884974,0.0858005606997599
"20",125,6927,"ADH1B","HNF1A",0.0691179201022159,0.17997764554776,0.124547782824988
"21",125,3172,"ADH1B","HNF4A",0.0691179201022159,0.789979824121626,0.429548872111921
"22",125,3175,"ADH1B","ONECUT1",0.0691179201022159,0.151185091884974,0.110151505993595
"23",127,6927,"ADH4","HNF1A",0.0888517210976052,0.17997764554776,0.134414683322683
"24",130,6927,"ADH6","HNF1A",0.0597974291496074,0.17997764554776,0.119887537348684
"25",130,3172,"ADH6","HNF4A",0.0597974291496074,0.789979824121626,0.424888626635617
"26",84890,3172,"ADO","HNF4A",0.110351427829741,0.789979824121626,0.450165625975684
"27",183,6927,"AGT","HNF1A",0.0691179201022159,0.17997764554776,0.124547782824988
"28",183,3172,"AGT","HNF4A",0.0691179201022159,0.789979824121626,0.429548872111921
"29",183,3175,"AGT","ONECUT1",0.0691179201022159,0.151185091884974,0.110151505993595
"30",1646,6927,"AKR1C2","HNF1A",0.121446966391678,0.17997764554776,0.150712305969719
"31",1646,3172,"AKR1C2","HNF4A",0.121446966391678,0.789979824121626,0.455713395256652
