"","gene_id1","gene_id2","gene_symbol1","gene_symbol2"
"1",1937,2058,"EEF1G","EPRS"
"2",8661,8662,"EIF3A","EIF3B"
"3",8661,3855,"EIF3A","KRT7"
"4",2932,5580,"GSK3B","PRKCD"
"5",5170,5580,"PDPK1","PRKCD"
"6",5704,5705,"PSMC4","PSMC5"
"7",6727,6726,"SRP14","SRP9"
"8",908,10574,"CCT6A","CCT7"
"9",1937,3872,"EEF1G","KRT17"
"10",8661,8662,"EIF3A","EIF3B"
"11",8661,8663,"EIF3A","EIF3C"
"12",8661,8664,"EIF3A","EIF3D"
"13",8661,3646,"EIF3A","EIF3E"
"14",8661,8666,"EIF3A","EIF3G"
"15",8661,8667,"EIF3A","EIF3H"
"16",8661,8668,"EIF3A","EIF3I"
"17",8662,8663,"EIF3B","EIF3C"
"18",8662,8664,"EIF3B","EIF3D"
"19",8662,3646,"EIF3B","EIF3E"
"20",8662,8666,"EIF3B","EIF3G"
"21",8662,8667,"EIF3B","EIF3H"
"22",8662,8668,"EIF3B","EIF3I"
"23",8663,8664,"EIF3C","EIF3D"
"24",8663,3646,"EIF3C","EIF3E"
"25",8663,8666,"EIF3C","EIF3G"
"26",8663,8667,"EIF3C","EIF3H"
"27",8663,8668,"EIF3C","EIF3I"
"28",8664,3646,"EIF3D","EIF3E"
"29",8664,8666,"EIF3D","EIF3G"
"30",8664,8667,"EIF3D","EIF3H"
"31",8664,8668,"EIF3D","EIF3I"
"32",3646,8666,"EIF3E","EIF3G"
"33",3646,8667,"EIF3E","EIF3H"
"34",3646,8668,"EIF3E","EIF3I"
"35",8666,8667,"EIF3G","EIF3H"
"36",8666,8668,"EIF3G","EIF3I"
"37",8667,8668,"EIF3H","EIF3I"
"38",5685,5687,"PSMA4","PSMA6"
"39",5685,5701,"PSMA4","PSMC2"
"40",5687,5701,"PSMA6","PSMC2"
"41",6633,6634,"SNRPD2","SNRPD3"
"42",6727,6726,"SRP14","SRP9"
"43",31,5562,"ACACA","PRKAA1"
"44",31,5563,"ACACA","PRKAA2"
"45",31,6195,"ACACA","RPS6KA1"
"46",31,6788,"ACACA","STK3"
"47",51,54732,"ACOX1","TMED9"
"48",213,472,"ALB","ATM"
"49",213,3854,"ALB","KRT6B"
"50",213,5710,"ALB","PSMD4"
"51",213,5903,"ALB","RANBP2"
"52",8125,6727,"ANP32A","SRP14"
"53",8125,7514,"ANP32A","XPO1"
"54",338,811,"APOB","CALR"
"55",338,9601,"APOB","PDIA4"
"56",427,57118,"ASAH1","CAMK1D"
"57",427,6732,"ASAH1","SRPK1"
"58",472,3646,"ATM","EIF3E"
"59",472,1432,"ATM","MAPK14"
"60",6790,2058,"AURKA","EPRS"
"61",6790,5687,"AURKA","PSMA6"
"62",6790,6135,"AURKA","RPL11"
"63",6790,6136,"AURKA","RPL12"
"64",6790,6155,"AURKA","RPL27"
"65",6790,6156,"AURKA","RPL30"
"66",6790,6204,"AURKA","RPS10"
"67",6790,6217,"AURKA","RPS16"
"68",6790,6223,"AURKA","RPS19"
"69",6790,6232,"AURKA","RPS27"
"70",6790,6189,"AURKA","RPS3A"
"71",6790,6193,"AURKA","RPS5"
"72",6790,6726,"AURKA","SRP9"
"73",790,10013,"CAD","HDAC6"
"74",790,5701,"CAD","PSMC2"
