"","gene_id1","gene_id2","gene_symbol1","gene_symbol2","hub_score1","hub_score2","combined_score"
"1",367,8648,"AR","NCOA1",0.0744170463880519,0.0910509251419926,0.0827339857650222
"2",367,10499,"AR","NCOA2",0.0744170463880519,0.0684381563149262,0.071427601351489
"3",467,7157,"ATF3","TP53",0.0136550154231022,0.249328908270025,0.131491961846564
"4",602,8841,"BCL3","HDAC3",0.011209952235304,0.0415878445483001,0.0263988983918021
"5",604,9612,"BCL6","NCOR2",0.0548723095106392,0.100674649233066,0.0777734793718526
"6",672,1387,"BRCA1","CREBBP",0.20365164212721,0.213255433621595,0.208453537874402
"7",672,2033,"BRCA1","EP300",0.20365164212721,0.17067339667011,0.18716251939866
"8",672,5469,"BRCA1","MED1",0.20365164212721,1,0.601825821063605
"9",672,7157,"BRCA1","TP53",0.20365164212721,0.249328908270025,0.226490275198617
"10",904,10499,"CCNT1","NCOA2",0.345151600400117,0.0684381563149262,0.206794878357521
"11",1024,9794,"CDK8","MAML1",0.924001231600342,0.0243102027471986,0.47415571717377
"12",1025,5430,"CDK9","POLR2A",0.383547155190335,0.789926682436468,0.586736918813402
"13",1385,1387,"CREB1","CREBBP",0.0267767496628595,0.213255433621595,0.120016091642227
"14",1387,1958,"CREBBP","EGR1",0.213255433621595,0.0185726071807275,0.115914020401161
"15",1387,8202,"CREBBP","NCOA3",0.213255433621595,0.156446739714991,0.184851086668293
"16",1387,5970,"CREBBP","RELA",0.213255433621595,0.0638039396907503,0.138529686656173
"17",1387,6506,"CREBBP","SLC1A2",0.213255433621595,0.0218307662221484,0.117543099921872
"18",1387,4088,"CREBBP","SMAD3",0.213255433621595,0.0657977953725922,0.139526614497094
"19",1387,7157,"CREBBP","TP53",0.213255433621595,0.249328908270025,0.23129217094581
"20",9150,5431,"CTDP1","POLR2B",0.190225638693796,0.649723807307283,0.41997472300054
"21",1958,2033,"EGR1","EP300",0.0185726071807275,0.17067339667011,0.0946230019254188
"22",2033,2099,"EP300","ESR1",0.17067339667011,0.258954613982155,0.214814005326132
"23",2033,9794,"EP300","MAML1",0.17067339667011,0.0243102027471986,0.0974917997086543
"24",2033,4654,"EP300","MYOD1",0.17067339667011,0.0241852020702524,0.0974292993701812
"25",2033,8648,"EP300","NCOA1",0.17067339667011,0.0910509251419926,0.130862160906051
"26",2033,10499,"EP300","NCOA2",0.17067339667011,0.0684381563149262,0.119555776492518
"27",2033,5629,"EP300","PROX1",0.17067339667011,0.00760450727788871,0.0891389519739994
"28",2033,5970,"EP300","RELA",0.17067339667011,0.0638039396907503,0.11723866818043
"29",2033,6506,"EP300","SLC1A2",0.17067339667011,0.0218307662221484,0.0962520814461292
"30",2033,4088,"EP300","SMAD3",0.17067339667011,0.0657977953725922,0.118235596021351
"31",2033,6908,"EP300","TBP",0.17067339667011,0.165492728643528,0.168083062656819
"32",2033,7157,"EP300","TP53",0.17067339667011,0.249328908270025,0.210001152470068
"33",2056,3091,"EPO","HIF1A",0.00355523694210746,0.0846270630801323,0.0440911500111199
"34",2071,7157,"ERCC3","TP53",0.0910469356249073,0.249328908270025,0.170187921947466
"35",2099,5469,"ESR1","MED1",0.258954613982155,1,0.629477306991077
"36",2099,8648,"ESR1","NCOA1",0.258954613982155,0.0910509251419926,0.175002769562074
"37",2099,10499,"ESR1","NCOA2",0.258954613982155,0.0684381563149262,0.163696385148541
"38",2099,8202,"ESR1","NCOA3",0.258954613982155,0.156446739714991,0.207700676848573
"39",2099,9611,"ESR1","NCOR1",0.258954613982155,0.143107803225091,0.201031208603623
"40",2099,9612,"ESR1","NCOR2",0.258954613982155,0.100674649233066,0.17981463160761
"41",2099,7157,"ESR1","TP53",0.258954613982155,0.249328908270025,0.25414176112609
"42",2100,8648,"ESR2","NCOA1",0.207955749708458,0.0910509251419926,0.149503337425225
"43",2100,23054,"ESR2","NCOA6",0.207955749708458,0.104933693670011,0.156444721689235
"44",2100,10891,"ESR2","PPARGC1A",0.207955749708458,0.1278872777862,0.167921513747329
"45",2101,8648,"ESRRA","NCOA1",0.0195739361809523,0.0910509251419926,0.0553124306614724
"46",2101,8202,"ESRRA","NCOA3",0.0195739361809523,0.156446739714991,0.0880103379479718
"47",2101,190,"ESRRA","NR0B1",0.0195739361809523,0.00635522428893224,0.0129645802349422
"48",2101,8431,"ESRRA","NR0B2",0.0195739361809523,0.0186717911230934,0.0191228636520228
"49",2101,8204,"ESRRA","NRIP1",0.0195739361809523,0.0897096686090073,0.0546418023949798
"50",2101,5629,"ESRRA","PROX1",0.0195739361809523,0.00760450727788871,0.0135892217294205
"51",2113,8202,"ETS1","NCOA3",0.0214451596945637,0.156446739714991,0.0889459497047775
"52",2113,9611,"ETS1","NCOR1",0.0214451596945637,0.143107803225091,0.0822764814598275
"53",2114,8202,"ETS2","NCOA3",0.0146842255117972,0.156446739714991,0.0855654826133942
"54",2114,9611,"ETS2","NCOR1",0.0146842255117972,0.143107803225091,0.0788960143684442
"55",8841,9734,"HDAC3","HDAC9",0.0415878445483001,0.0171985795140114,0.0293932120311557
"56",8841,9611,"HDAC3","NCOR1",0.0415878445483001,0.143107803225091,0.0923478238866957
"57",8841,6506,"HDAC3","SLC1A2",0.0415878445483001,0.0218307662221484,0.0317093053852242
"58",3091,6667,"HIF1A","SP1",0.0846270630801323,0.0314620825078559,0.0580445727939941
"59",3091,7157,"HIF1A","TP53",0.0846270630801323,0.249328908270025,0.166977985675079
"60",8850,8202,"KAT2B","NCOA3",0.0457444782545239,0.156446739714991,0.101095608984758
"61",400569,6837,"MED11","MED22",0.736931274291336,0.71404104532497,0.725486159808153
"62",9440,219541,"MED17","MED19",0.923332397403596,0.867580886916307,0.895456642159951
"63",9440,6837,"MED17","MED22",0.923332397403596,0.71404104532497,0.818686721364283
"64",9440,90390,"MED17","MED30",0.923332397403596,0.758826366452713,0.841079381928155
"65",54797,9477,"MED18","MED20",0.785088479904977,0.738840441728105,0.761964460816541
"66",219541,9442,"MED19","MED27",0.867580886916307,0.619156984076413,0.74336893549636
"67",5469,7376,"MED1","NR1H2",1,0.0439935391522515,0.521996769576126
"68",5469,9970,"MED1","NR1I3",1,0.0255029632367074,0.512751481618354
"69",5469,5468,"MED1","PPARG",1,0.101569070926408,0.550784535463204
"70",5469,6506,"MED1","SLC1A2",1,0.0218307662221484,0.510915383111074
"71",9477,55588,"MED20","MED29",0.738840441728105,0.855379808010383,0.797110124869244
"72",9412,7067,"MED21","THRA",0.772043113451938,0.147199185162368,0.459621149307153
"73",9412,7068,"MED21","THRB",0.772043113451938,0.0653997984591043,0.418721455955521
"74",6837,9442,"MED22","MED27",0.71404104532497,0.619156984076413,0.666599014700691
"75",6837,90390,"MED22","MED30",0.71404104532497,0.758826366452713,0.736433705888841
"76",9442,90390,"MED27","MED30",0.619156984076413,0.758826366452713,0.688991675264563
"77",90390,29079,"MED30","MED4",0.758826366452713,0.769830347694344,0.764328357073528
"78",10001,5914,"MED6","RARA",0.772600096328845,0.109911731860526,0.441255914094686
"79",8648,7376,"NCOA1","NR1H2",0.0910509251419926,0.0439935391522515,0.067522232147122
