Accession,geneSymbol,entrezID,moduleColor,GS.ChemoRes,p.GS.ChemoRes,MM.turquoise,p.MM.turquoise,MM.grey,p.MM.grey,MM.yellow,p.MM.yellow,MM.brown,p.MM.brown,MM.green,p.MM.green,MM.blue,p.MM.blue
NM_178502.2,NUPR1,26471,turquoise,0.349864565643073,0.000192122482517484,-0.717172807767879,1.76138936293421e-18,-0.460958008844765,4.5582536099598e-07,-0.353810407970834,0.000160561165469258,0.146837657148088,0.127601800095855,-0.304829234397378,0.00126906679895684,0.100204970473475,0.299865675988895
NM_012116.3,PIAS1,8554,grey,0.343382815497774,0.00025668785679615,-0.0109181721895199,0.91028564618042,-0.234219825382818,0.0142327387666196,-0.259441362350504,0.00644512632485259,-0.00858349361769602,0.929413496183105,0.101947041480382,0.291499100434229,-0.0617974103760327,0.523241823783323
NM_004465.1,LIFR,3977,turquoise,0.339598913317661,0.000303117461673371,-0.519107226969826,7.33377874515909e-09,-0.279425419338113,0.00325571854996837,-0.140329813751093,0.145556424291401,0.222447077983362,0.0200799915070293,-0.186742375361583,0.0518580615433227,0.117288941996791,0.224513979837855
NM_001025203.1,WNT7A,7476,turquoise,-0.339487321694815,0.000304597627869433,0.658216023500813,7.40138442444879e-15,0.398571862681266,1.76669605484764e-05,0.0877677951703316,0.364136409685361,-0.0971725752742741,0.314802227180734,0.443082929818458,1.40151753567891e-06,-0.0890971145088238,0.35688806788127
NM_002011.3,FANCC,2176,grey,-0.338772795000118,0.000314234455085011,0.148202621105069,0.124061203622292,0.507749237910683,1.74725279946467e-08,0.100482478670157,0.298522432411451,-0.0282941126328988,0.770246811078994,0.243981882467912,0.0105688951486297,0.017964289159007,0.852911098229063
NM_003537.3,PRKACB,5567,turquoise,-0.327208485058608,0.000514895287707677,0.70947882598326,5.88393038689008e-18,0.227455179415879,0.0173789713246664,0.106523449010963,0.270263480621971,-0.0766860786715167,0.428031941416865,0.0329264612448978,0.733938352181243,-0.16917082632027,0.0786571670635503
NM_000417.1,CHAD,1101,yellow,-0.327002164075565,0.000519361270683032,0.479557406459422,1.32108754217836e-07,0.347142624900629,0.0002171446521911,0.770952144256921,1.07558774367828e-22,0.146943987547231,0.127323235425688,0.391002435694079,2.62540182511209e-05,-0.00169786469761791,0.986020281449951
NM_002166.4,FZD3,7976,yellow,-0.323153824377544,0.000609462584575757,0.190153482940105,0.0476493857233777,0.386063700217534,3.38216601390656e-05,0.270292670894161,0.00447591715599943,-0.308140346634841,0.00111534625579991,0.102683705308965,0.288008152043158,0.226701125068445,0.0177643920110756
NM_004380.2,MAP3K1,4214,turquoise,0.322219297421954,0.000633405536172898,-0.438515616632694,1.84865224016197e-06,-0.240077929874911,0.0119208265066378,-0.0716815263371843,0.458873694378812,0.204946557884046,0.0325342934695769,0.0782619388257811,0.418572459529402,-0.0497524566590903,0.607419234732444
NM_020997.2,LEFTY1,10637,brown,0.315605422353339,0.000829088563402122,-0.0630902859577487,0.514570328876968,-0.0383634188162078,0.692065116284355,-0.120384193879475,0.212434847597019,0.589192816639322,1.58985781593505e-11,-0.269722455683492,0.00456416535457911,-0.226124922631726,0.018063863381629
NM_053055.4,NA,NA,brown,0.310284119745454,0.00102508259980632,0.0435906714194626,0.652661969573708,-0.198835328829941,0.038199018874273,-0.00403106719758616,0.96681714028856,0.294402984487994,0.00188745300653439,-0.335295010427479,0.000365285833551593,-0.210454007532729,0.0280536301993878
NM_016834.3,IGFBP3,3486,turquoise,0.309029466078638,0.00107706521443742,-0.634551036136992,1.27670475105337e-13,-0.38988142096047,2.78175074912575e-05,-0.399596091170869,1.67324584581868e-05,-0.0567857863188694,0.557539852505239,-0.435140403257404,2.26260179327043e-06,-0.0605808277843611,0.53146859691706
NM_003933.4,STAT1,6772,turquoise,0.308903110959418,0.00108243138519516,-0.549854846702767,5.91777349646662e-10,-0.34016882158414,0.000295661135444054,-0.134244501689435,0.164012151679562,0.0307294511749825,0.751091036013455,-0.346841605093609,0.000220089735158151,-0.00524968594265267,0.956794288058986
NM_006218.2,BMP2,650,blue,-0.306791311394647,0.00117580155997854,0.281680680193153,0.00300470089718903,0.372187586406347,6.7450277702001e-05,0.199882228542277,0.0371737204291303,-0.109970241350946,0.254977326626583,0.23304578455542,0.0147403275219945,0.297328593196822,0.00169097952293718
NM_181573.2,IL12B,3593,turquoise,-0.304861556532911,0.00126747736848154,0.71873043899242,1.373080486119e-18,0.221189072910058,0.0208126756432562,0.0711127129388367,0.462455178928489,-0.0526286950561892,0.586784248446192,0.129331539505198,0.180137884804081,-0.191210031129804,0.0464047221528862
