Accession,geneSymbol,entrezID,moduleColor,GS.ChemoRes,p.GS.ChemoRes,MM.grey,p.MM.grey
NM_012116.3,PIAS1,8554,grey,0.343382815497774,0.00025668785679615,-0.234219825382818,0.0142327387666196
NM_002011.3,FANCC,2176,grey,-0.338772795000118,0.000314234455085011,0.507749237910683,1.74725279946467e-08
NM_002750.2,CBLC,23624,grey,0.266854010024418,0.00503209087335899,0.207799812752249,0.0301428443997337
NM_000227.3,PTCH1,5727,grey,0.266727922287369,0.00505360682152462,-0.543009502624839,1.05953716808367e-09
NM_002086.4,RAF1,5894,grey,-0.201748367247092,0.0354033617460823,-0.124651997951053,0.196549506773771
NM_002524.3,HHEX,3087,grey,-0.199057461008638,0.037979511211117,0.223248230239284,0.0196250452601978
NM_002168.2,RAD21,5885,grey,-0.198650936535728,0.0383820394149938,0.511623841510819,1.30402262831056e-08
NM_014862.3,RPS6KA6,27330,grey,0.196506189876935,0.0405653491511493,-0.580928173916936,3.53866690155459e-11
NM_030662.2,FANCF,2188,grey,-0.168831763714716,0.0792669888285241,0.296818154076994,0.00172386312294458
NM_004756.3,PCNA,5111,grey,0.168307277497763,0.0802177653562224,0.0419480463116785,0.664947851653526
NM_000479.3,MAD2L2,10459,grey,0.165225740470827,0.0859898283689747,0.0511448641515242,0.597389759469988
NM_005345.5,RAD51,5888,grey,0.164264954055489,0.0878556348599421,-0.146924307916652,0.127374756967491
NM_134424.2,MED12,9968,grey,0.162336073143534,0.0916985480440124,-0.0501502398626635,0.604546456467227
NM_000400.2,CACNG1,786,grey,0.154296509796926,0.109168901687076,-0.00288916097030132,0.976213772908155
NM_002690.1,CASP9,842,grey,0.150149823699074,0.119141755101172,-0.148454412648592,0.123416415558575
NM_021873.2,GADD45B,4616,grey,-0.14981559009183,0.119975280606057,0.217871259210517,0.0228561396957513
NM_004629.1,IRS1,3667,grey,0.149087919596749,0.121805540209103,-0.371696354623613,6.90796731421013e-05
NM_004435.2,RAC1,5879,grey,0.147372689271701,0.126204851094243,0.0951432508509944,0.325062686866899
NM_000551.2,MAPK9,5601,grey,0.1440844218762,0.134978610360979,-0.0803614221917063,0.406160193770556
NM_001963.3,GPATCH3,63906,grey,0.142617273618922,0.139040028973679,0.164910509325301,0.0865984827414631
NM_006252.2,FGFR3,2261,grey,0.142212035544353,0.140178013830174,-0.0451028697776426,0.641433044262226
NM_001220.3,FEN1,2237,grey,0.131617363373382,0.172496349451202,-0.21000771739674,0.0283960635890696
NM_004187.2,ID4,3400,grey,-0.131359060132224,0.173347681835741,0.132603145857662,0.169275672410451
NM_006044.2,PDGFB,5155,grey,-0.131229832380179,0.173774759012094,0.310286831084266,0.00102497278668635
NM_001123383.1,SMARCA4,6597,grey,0.12903646365814,0.181142118095041,0.0975427397694233,0.312953525634829
NM_005343.2,HHIP,64399,grey,0.128585943087677,0.182683271256777,-0.245265566848847,0.010154734971402
NM_014432.2,NPM2,10361,grey,0.128578566051692,0.182708586321811,0.08560000844664,0.376149645400562
NM_002736.2,KRAS,3845,grey,0.127974489869527,0.184790246733202,-0.179102715832899,0.0624022011710518
