"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0018108","peptidyl-tyrosine phosphorylation","86/202","387/18493",9.80091648444421e-92,3.74787046365147e-88,1.99010188405188e-88,86,"bp","ChemoRes","23624/7016/868/867/7535/25/1956/2066/2065/6464/2064/6850/6714/613/27/4233/10006/3055/3815/5777/3932/2185/3717/5159/5747/2534/4067/8651/3702/2321/3643/3480/5788/3716/7006/5795/3791/1445/2690/5770/4914/857/6776/6777/6774/3718/5156/695/7297/3320/2260/2268/660/1439/2242/1436/7525/10188/9021/3572/558/8440/5979/238/7010/4739/5175/79705/5595/916/1969/6503/2322/5771/5753/5580/7132/1795/2241/4145/4915/5618/5062/2263/4486/3690","CBLC/TESK1/CBLB/CBL/ZAP70/ABL1/EGFR/ERBB4/ERBB3/SHC1/ERBB2/SYK/SRC/BCR/ABL2/MET/ABI1/HCK/KIT/PTPN6/LCK/PTK2B/JAK2/PDGFRB/PTK2/FYN/LYN/SOCS1/ITK/FLT1/INSR/IGF1R/PTPRC/JAK1/TEC/PTPRJ/KDR/CSK/GHR/PTPN1/NTRK1/CAV1/STAT5A/STAT5B/STAT3/JAK3/PDGFRA/BTK/TYK2/HSP90AA1/FGFR1/FGR/BMX/CSF2RB/FES/CSF1R/YES1/TNK2/SOCS3/IL6ST/AXL/NCK2/RET/ALK/TEK/NEDD9/PECAM1/LRRK1/MAPK3/CD3E/EPHA2/SLA/FLT3/PTPN2/PTK6/PRKCD/TNFRSF1A/DOCK3/FER/MATK/NTRK2/PRLR/PAK2/FGFR2/MST1R/ITGB3"
"2","GO:0018212","peptidyl-tyrosine modification","86/202","390/18493",2.03476981109833e-91,3.89047987882001e-88,2.06582682400457e-88,86,"bp","ChemoRes","23624/7016/868/867/7535/25/1956/2066/2065/6464/2064/6850/6714/613/27/4233/10006/3055/3815/5777/3932/2185/3717/5159/5747/2534/4067/8651/3702/2321/3643/3480/5788/3716/7006/5795/3791/1445/2690/5770/4914/857/6776/6777/6774/3718/5156/695/7297/3320/2260/2268/660/1439/2242/1436/7525/10188/9021/3572/558/8440/5979/238/7010/4739/5175/79705/5595/916/1969/6503/2322/5771/5753/5580/7132/1795/2241/4145/4915/5618/5062/2263/4486/3690","CBLC/TESK1/CBLB/CBL/ZAP70/ABL1/EGFR/ERBB4/ERBB3/SHC1/ERBB2/SYK/SRC/BCR/ABL2/MET/ABI1/HCK/KIT/PTPN6/LCK/PTK2B/JAK2/PDGFRB/PTK2/FYN/LYN/SOCS1/ITK/FLT1/INSR/IGF1R/PTPRC/JAK1/TEC/PTPRJ/KDR/CSK/GHR/PTPN1/NTRK1/CAV1/STAT5A/STAT5B/STAT3/JAK3/PDGFRA/BTK/TYK2/HSP90AA1/FGFR1/FGR/BMX/CSF2RB/FES/CSF1R/YES1/TNK2/SOCS3/IL6ST/AXL/NCK2/RET/ALK/TEK/NEDD9/PECAM1/LRRK1/MAPK3/CD3E/EPHA2/SLA/FLT3/PTPN2/PTK6/PRKCD/TNFRSF1A/DOCK3/FER/MATK/NTRK2/PRLR/PAK2/FGFR2/MST1R/ITGB3"
"3","GO:0002768","immune response-regulating cell surface receptor signaling pathway","65/202","445/18493",2.31832699926379e-55,2.95509414839492e-52,1.56914132687013e-52,65,"bp","ChemoRes","5894/7535/25/2885/7409/6464/1398/5296/6654/5295/6850/5335/9846/6714/10006/3055/3815/3635/5777/3932/5336/5747/2534/4690/3937/4067/55824/27040/3702/5788/7006/5795/1445/9402/9564/2889/7454/10603/695/3320/2268/660/3326/7525/2213/5594/930/10451/5595/7410/5290/919/26191/940/916/5771/5580/5291/4582/2241/5062/5058/5170/51517/5599","RAF1/ZAP70/ABL1/GRB2/VAV1/SHC1/CRK/PIK3R2/SOS1/PIK3R1/SYK/PLCG1/GAB2/SRC/ABI1/HCK/KIT/INPP5D/PTPN6/LCK/PLCG2/PTK2/FYN/NCK1/LCP2/LYN/PAG1/LAT/ITK/PTPRC/TEC/PTPRJ/CSK/GRAP2/BCAR1/RAPGEF1/WAS/SH2B2/BTK/HSP90AA1/FGR/BMX/HSP90AB1/YES1/FCGR2B/MAPK1/CD19/VAV3/MAPK3/VAV2/PIK3CA/CD247/PTPN22/CD28/CD3E/PTPN2/PRKCD/PIK3CB/MUC1/FER/PAK2/PAK1/PDPK1/NCKIPSD/MAPK8"
"4","GO:0002429","immune response-activating cell surface receptor signaling pathway","59/202","414/18493",2.45412064410328e-49,1.56409289050849e-46,8.30526091662321e-47,59,"bp","ChemoRes","5894/7535/25/2885/7409/1398/5296/5295/6850/5335/6714/10006/3055/3635/5777/3932/5336/5747/2534/4690/3937/4067/55824/27040/3702/5788/7006/5795/1445/9402/9564/2889/7454/10603/695/3320/2268/660/3326/7525/2213/5594/930/10451/5595/7410/5290/919/26191/940/916/5771/5580/5291/4582/5062/5058/5170/51517","RAF1/ZAP70/ABL1/GRB2/VAV1/CRK/PIK3R2/PIK3R1/SYK/PLCG1/SRC/ABI1/HCK/INPP5D/PTPN6/LCK/PLCG2/PTK2/FYN/NCK1/LCP2/LYN/PAG1/LAT/ITK/PTPRC/TEC/PTPRJ/CSK/GRAP2/BCAR1/RAPGEF1/WAS/SH2B2/BTK/HSP90AA1/FGR/BMX/HSP90AB1/YES1/FCGR2B/MAPK1/CD19/VAV3/MAPK3/VAV2/PIK3CA/CD247/PTPN22/CD28/CD3E/PTPN2/PRKCD/PIK3CB/MUC1/PAK2/PAK1/PDPK1/NCKIPSD"
"5","GO:0004713","protein tyrosine kinase activity","59/202","177/17632",5.60523658047766e-72,1.96183280316718e-69,1.20365080254468e-69,59,"mf","ChemoRes","7016/7535/25/1956/2066/2065/2064/6850/6714/613/27/4233/3055/3815/3932/2185/3717/5159/5747/2534/4067/3702/2321/3643/3480/3716/7006/3791/1445/4914/6776/6777/3718/5156/695/7297/3320/2260/2268/660/1439/2242/1436/7525/10188/558/5979/238/7010/1969/6503/2322/5753/5580/2241/4145/4915/2263/4486","TESK1/ZAP70/ABL1/EGFR/ERBB4/ERBB3/ERBB2/SYK/SRC/BCR/ABL2/MET/HCK/KIT/LCK/PTK2B/JAK2/PDGFRB/PTK2/FYN/LYN/ITK/FLT1/INSR/IGF1R/JAK1/TEC/KDR/CSK/NTRK1/STAT5A/STAT5B/JAK3/PDGFRA/BTK/TYK2/HSP90AA1/FGFR1/FGR/BMX/CSF2RB/FES/CSF1R/YES1/TNK2/AXL/RET/ALK/TEK/EPHA2/SLA/FLT3/PTK6/PRKCD/FER/MATK/NTRK2/FGFR2/MST1R"
"6","hsa04151","PI3K-Akt signaling pathway","55/165","354/7843",5.4921679776512e-34,2.59344232007173e-32,9.48909376890866e-33,55,"kg","ChemoRes","5894/4193/1956/2066/2885/2065/5296/2064/6654/5295/6850/4233/3815/2057/3717/5159/5747/2321/3643/3480/3667/3716/3791/6655/2690/4914/3560/3718/5156/3320/2260/3326/1436/8503/5594/930/7010/5595/356/5290/1969/2322/1441/3454/3561/5291/4915/3566/5618/2263/5170/207/3575/3690/6198","RAF1/MDM2/EGFR/ERBB4/GRB2/ERBB3/PIK3R2/ERBB2/SOS1/PIK3R1/SYK/MET/KIT/EPOR/JAK2/PDGFRB/PTK2/FLT1/INSR/IGF1R/IRS1/JAK1/KDR/SOS2/GHR/NTRK1/IL2RB/JAK3/PDGFRA/HSP90AA1/FGFR1/HSP90AB1/CSF1R/PIK3R3/MAPK1/CD19/TEK/MAPK3/FASLG/PIK3CA/EPHA2/FLT3/CSF3R/IFNAR1/IL2RG/PIK3CB/NTRK2/IL4R/PRLR/FGFR2/PDPK1/AKT1/IL7R/ITGB3/RPS6KB1"
"7","GO:1901652","response to peptide","53/202","481/18493",3.4680582615287e-38,7.36769710671431e-36,3.91221309151396e-36,53,"bp","ChemoRes","4193/2885/6464/1398/5296/6654/5295/5781/6714/2549/3717/5747/2534/4690/4067/8651/2887/3643/3480/3667/1445/2690/9564/5829/5770/857/6776/6777/6774/3718/10603/8660/6772/9021/8503/3636/10580/2213/7010/5290/26191/5771/8471/8471/5580/2241/30837/8835/5618/5058/5170/207/6198/1759","MDM2/GRB2/SHC1/CRK/PIK3R2/SOS1/PIK3R1/PTPN11/SRC/GAB1/JAK2/PTK2/FYN/NCK1/LYN/SOCS1/GRB10/INSR/IGF1R/IRS1/CSK/GHR/BCAR1/PXN/PTPN1/CAV1/STAT5A/STAT5B/STAT3/JAK3/SH2B2/IRS2/STAT1/SOCS3/PIK3R3/INPPL1/SORBS1/FCGR2B/TEK/PIK3CA/PTPN22/PTPN2//IRS4/PRKCD/FER/SOCS7/SOCS2/PRLR/PAK1/PDPK1/AKT1/RPS6KB1/DNM1"
"8","GO:0046777","protein autophosphorylation","52/202","227/18493",1.36887837416073e-54,1.18143049296998e-51,6.2733412820389e-52,52,"bp","ChemoRes","7016/7535/25/1956/2066/2064/6850/6714/613/27/3055/3815/3932/2185/3717/5159/5747/2534/4067/11184/3702/2321/3643/3480/5788/7006/3791/1445/4914/857/5156/695/2260/2268/660/2242/1436/7525/10188/238/7010/5595/6503/2322/5753/2241/4915/5062/2263/5058/5170/207","TESK1/ZAP70/ABL1/EGFR/ERBB4/ERBB2/SYK/SRC/BCR/ABL2/HCK/KIT/LCK/PTK2B/JAK2/PDGFRB/PTK2/FYN/LYN/MAP4K1/ITK/FLT1/INSR/IGF1R/PTPRC/TEC/KDR/CSK/NTRK1/CAV1/PDGFRA/BTK/FGFR1/FGR/BMX/FES/CSF1R/YES1/TNK2/ALK/TEK/MAPK3/SLA/FLT3/PTK6/FER/NTRK2/PAK2/FGFR2/PAK1/PDPK1/AKT1"
"9","GO:0071900","regulation of protein serine/threonine kinase activity","52/202","496/18493",2.44196004974658e-36,3.89085634592956e-34,2.06602672629875e-34,52,"bp","ChemoRes","23624/5894/10253/81848/7016/10252/2629/1399/25/1956/6464/1398/2064/5781/6850/6714/3815/5777/2185/3717/5159/4067/11184/2321/3643/3480/5788/5795/1445/2690/5770/4914/2889/857/2260/3326/1436/5979/10818/5594/238/5595/7316/26191/2322/7852/5580/5291/11183/5058/207/4486","CBLC/RAF1/SPRY2/SPRY4/TESK1/SPRY1/GBA/CRKL/ABL1/EGFR/SHC1/CRK/ERBB2/PTPN11/SYK/SRC/KIT/PTPN6/PTK2B/JAK2/PDGFRB/LYN/MAP4K1/FLT1/INSR/IGF1R/PTPRC/PTPRJ/CSK/GHR/PTPN1/NTRK1/RAPGEF1/CAV1/FGFR1/HSP90AB1/CSF1R/RET/FRS2/MAPK1/ALK/MAPK3/UBC/PTPN22/FLT3/CXCR4/PRKCD/PIK3CB/MAP4K5/PAK1/AKT1/MST1R"
"10","GO:0043434","response to peptide hormone","50/202","417/18493",9.0217929458152e-38,1.81575453814723e-35,9.64157262741137e-36,50,"bp","ChemoRes","4193/2885/6464/1398/5296/6654/5295/5781/6714/2549/3717/5747/2534/4690/4067/8651/2887/3643/3480/3667/1445/2690/9564/5829/5770/857/6776/6777/6774/3718/10603/8660/6772/9021/8503/3636/10580/7010/5290/5771/8471/8471/5580/2241/30837/8835/5618/5058/5170/207/6198","MDM2/GRB2/SHC1/CRK/PIK3R2/SOS1/PIK3R1/PTPN11/SRC/GAB1/JAK2/PTK2/FYN/NCK1/LYN/SOCS1/GRB10/INSR/IGF1R/IRS1/CSK/GHR/BCAR1/PXN/PTPN1/CAV1/STAT5A/STAT5B/STAT3/JAK3/SH2B2/IRS2/STAT1/SOCS3/PIK3R3/INPPL1/SORBS1/TEK/PIK3CA/PTPN2//IRS4/PRKCD/FER/SOCS7/SOCS2/PRLR/PAK1/PDPK1/AKT1/RPS6KB1"
