"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0000790","nuclear chromatin","90/252","369/19659",3.95598570815041e-92,1.26591542660813e-89,8.78645246757617e-90,90,"cc","ChemoRes","6772/171023/9314/3066/2625/4087/3659/1387/7157/1457/5970/6667/3725/3065/5925/6774/367/860/1051/6597/4088/4609/8202/9612/23411/2099/1869/10524/1499/6908/6595/8648/9611/6256/5914/6688/1385/6722/4654/7528/8805/4089/3727/6599/25942/6598/6605/10155/6601/7068/8204/51341/2648/121504/9971/8350/5928/1107/10320/1108/10891/6304/6886/9219/23028/9112/5931/53615/3726/8467/3020/6602/8289/6929/8290/7391/8295/3014/23468/86/3622/10856/57504/54815/8932/57459/23309/10919/1874/4221","STAT1/ASXL1/KLF4/HDAC2/GATA3/SMAD2/IRF1/CREBBP/TP53/CSNK2A1/RELA/SP1/JUN/HDAC1/RB1/STAT3/AR/RUNX2/CEBPB/SMARCA4/SMAD3/MYC/NCOA3/NCOR2/SIRT1/ESR1/E2F1/KAT5/CTNNB1/TBP/SMARCA2/NCOA1/NCOR1/RXRA/RARA/SPI1/CREB1/SRF/MYOD1/YY1/TRIM24/SMAD4/JUND/SMARCC1/SIN3A/SMARCB1/SMARCE1/TRIM28/SMARCC2/THRB/NRIP1/ZBTB7A/KAT2A/HIST4H4/NR1H4/HIST1H3A/RBBP4/CHD3/IKZF1/CHD4/PPARGC1A/SATB1/TAL1/MTA2/KDM1A/MTA1/RBBP7/MBD3/JUNB/SMARCA5/H3F3A/SMARCD1/ARID1A/TCF3/HIST3H3/USF1/TRRAP/H2AFX/CBX5/ACTL6A/ING2/RUVBL2/MTA3/GATAD2A/MBD2/GATAD2B/SIN3B/EHMT2/E2F4/MEN1"
"2","GO:0016569","covalent chromatin modification","73/252","470/18493",1.00943192915661e-56,4.31330263328621e-53,2.00611313920809e-53,73,"bp","ChemoRes","171023/3066/2625/472/2033/1387/8850/672/3065/8841/8202/23411/10524/1499/8648/9759/1487/6688/4654/10498/4089/1386/2624/5595/5599/25942/6598/10155/4602/6497/22938/6720/2648/9971/5928/1107/10014/604/51564/1108/79718/10891/6304/1786/9219/23028/9112/6839/5931/53615/10765/2122/3276/9734/9031/56916/23186/80854/8295/86/3622/4204/8819/6880/10856/57504/8932/23309/5926/10919/4297/3054/4221","ASXL1/HDAC2/GATA3/ATM/EP300/CREBBP/KAT2B/BRCA1/HDAC1/HDAC3/NCOA3/SIRT1/KAT5/CTNNB1/NCOA1/HDAC4/CTBP1/SPI1/MYOD1/CARM1/SMAD4/ATF2/GATA2/MAPK3/MAPK8/SIN3A/SMARCB1/TRIM28/MYB/SKI/SNW1/SREBF1/KAT2A/NR1H4/RBBP4/CHD3/HDAC5/BCL6/HDAC7/CHD4/TBL1XR1/PPARGC1A/SATB1/DNMT1/MTA2/KDM1A/MTA1/SUV39H1/RBBP7/MBD3/KDM5B/MECOM/PRMT1/HDAC9/BAZ1B/SMARCAD1/RCOR1/SETD7/TRRAP/ACTL6A/ING2/MECP2/SAP30/TAF9/RUVBL2/MTA3/MBD2/SIN3B/ARID4A/EHMT2/KMT2A/HCFC1/MEN1"
"3","GO:0016570","histone modification","71/252","456/18493",3.66753104315787e-55,7.8356800737068e-52,3.64436768920109e-52,71,"bp","ChemoRes","171023/3066/2625/472/2033/1387/8850/672/3065/8841/8202/23411/10524/1499/8648/9759/1487/6688/4654/10498/4089/1386/2624/5595/5599/25942/6598/4602/6497/22938/6720/2648/9971/5928/1107/10014/604/51564/1108/79718/10891/6304/1786/9219/23028/9112/6839/5931/53615/10765/2122/3276/9734/9031/56916/23186/80854/8295/86/3622/4204/8819/6880/10856/57504/23309/5926/10919/4297/3054/4221","ASXL1/HDAC2/GATA3/ATM/EP300/CREBBP/KAT2B/BRCA1/HDAC1/HDAC3/NCOA3/SIRT1/KAT5/CTNNB1/NCOA1/HDAC4/CTBP1/SPI1/MYOD1/CARM1/SMAD4/ATF2/GATA2/MAPK3/MAPK8/SIN3A/SMARCB1/MYB/SKI/SNW1/SREBF1/KAT2A/NR1H4/RBBP4/CHD3/HDAC5/BCL6/HDAC7/CHD4/TBL1XR1/PPARGC1A/SATB1/DNMT1/MTA2/KDM1A/MTA1/SUV39H1/RBBP7/MBD3/KDM5B/MECOM/PRMT1/HDAC9/BAZ1B/SMARCAD1/RCOR1/SETD7/TRRAP/ACTL6A/ING2/MECP2/SAP30/TAF9/RUVBL2/MTA3/SIN3B/ARID4A/EHMT2/KMT2A/HCFC1/MEN1"
"4","GO:0005667","transcription factor complex","69/252","356/19659",4.10911415744359e-62,6.57458265190974e-60,4.56327940642419e-60,69,"cc","ChemoRes","3159/9314/2353/5308/4087/2033/6659/7157/28996/5970/3725/3065/5925/6774/3091/860/1051/861/4088/7421/1869/10524/1050/1499/6908/23054/5468/6256/5914/142/5451/1487/7067/5591/2113/1385/4654/7528/10498/4089/3727/3164/25942/10155/6497/2623/7068/7376/2648/2547/9971/6886/9219/23028/5933/3726/9734/6929/23186/6878/7391/8295/3622/6880/6657/196/9439/4841/1874","HMGA1/KLF4/FOS/PITX2/SMAD2/EP300/SOX4/TP53/HIPK2/RELA/JUN/HDAC1/RB1/STAT3/HIF1A/RUNX2/CEBPB/RUNX1/SMAD3/VDR/E2F1/KAT5/CEBPA/CTNNB1/TBP/NCOA6/PPARG/RXRA/RARA/PARP1/POU2F1/CTBP1/THRA/PRKDC/ETS1/CREB1/MYOD1/YY1/CARM1/SMAD4/JUND/NR4A1/SIN3A/TRIM28/SKI/GATA1/THRB//KAT2A/XRCC6/NR1H4/TAL1/MTA2/KDM1A/RBL1/JUNB/HDAC9/TCF3/RCOR1/TAF6/USF1/TRRAP/ING2/TAF9/SOX2/AHR/MED23/NONO/E2F4"
"5","GO:0003713","transcription coactivator activity","68/252","321/17632",7.01490132995581e-61,2.9532734599114e-58,1.77218559914673e-58,68,"mf","ChemoRes","171023/3159/5308/2625/4869/2033/1387/6659/8850/28996/5371/672/3725/5925/6597/8202/7421/10524/1050/1499/6595/23054/8648/5468/6256/5914/10499/7067/4654/7528/8554/10498/23426/2100/8805/1386/3727/9063/4261/6599/6598/6605/10155/22938/6601/5469/7068/8204/7376/2648/1616/9971/10891/9219/23028/9112/3726/6602/8289/10521/6929/86/6880/57504/9439/9325/9862/3054","ASXL1/HMGA1/PITX2/GATA3/NPM1/EP300/CREBBP/SOX4/KAT2B/HIPK2/PML/BRCA1/JUN/RB1/SMARCA4/NCOA3/VDR/KAT5/CEBPA/CTNNB1/SMARCA2/NCOA6/NCOA1/PPARG/RXRA/RARA/NCOA2/THRA/MYOD1/YY1/PIAS1/CARM1/GRIP1/ESR2/TRIM24/ATF2/JUND/PIAS2/CIITA/SMARCC1/SMARCB1/SMARCE1/TRIM28/SNW1/SMARCC2/MED1/THRB/NRIP1//KAT2A/DAXX/NR1H4/PPARGC1A/MTA2/KDM1A/MTA1/JUNB/SMARCD1/ARID1A/DDX17/TCF3/ACTL6A/TAF9/MTA3/MED23/TRIP4/MED24/HCFC1"
"6","GO:0048545","response to steroid hormone","59/252","390/18493",9.63419033862944e-45,8.23337906339272e-42,3.8293371282805e-42,59,"bp","ChemoRes","2353/1978/4193/2033/5970/672/3065/595/5925/367/861/6597/2908/8202/9612/7421/23411/2309/2099/10524/1499/23054/3172/8648/5468/9611/6256/5914/10499/142/7329/7067/4654/8554/5241/6714/10498/23426/2100/8431/9063/3164/5469/7068/8204/7376/51341/6720/4851/1616/9971/10891/7181/5931/8289/1655/10521/9325/9862","FOS/EIF4EBP1/MDM2/EP300/RELA/BRCA1/HDAC1/CCND1/RB1/AR/RUNX1/SMARCA4/NR3C1/NCOA3/NCOR2/VDR/SIRT1/FOXO3/ESR1/KAT5/CTNNB1/NCOA6/HNF4A/NCOA1/PPARG/NCOR1/RXRA/RARA/NCOA2/PARP1/UBE2I/THRA/MYOD1/PIAS1/PGR/SRC/CARM1/GRIP1/ESR2/NR0B2/PIAS2/NR4A1/MED1/THRB/NRIP1//ZBTB7A/SREBF1/NOTCH1/DAXX/NR1H4/PPARGC1A/NR2C1/RBBP7/ARID1A/DDX5/DDX17/TRIP4/MED24"
"7","GO:0000982","transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding","57/252","447/17632",7.24835409297874e-38,4.35936724734864e-36,2.61594734182692e-36,57,"mf","ChemoRes","6772/9314/2353/5308/2625/4087/3659/1387/6659/7157/7161/5970/6667/3725/5925/6774/3091/367/860/1051/4609/2908/23411/2099/1869/1050/3172/5468/467/2113/6688/1385/6722/7528/6670/5241/4089/1386/3727/3164/4602/7376/51341/6720/9971/3297/7181/5933/64919/3726/6929/23186/6721/4204/6657/4094/1874","STAT1/KLF4/FOS/PITX2/GATA3/SMAD2/IRF1/CREBBP/SOX4/TP53/TP73/RELA/SP1/JUN/RB1/STAT3/HIF1A/AR/RUNX2/CEBPB/MYC/NR3C1/SIRT1/ESR1/E2F1/CEBPA/HNF4A/PPARG/ATF3/ETS1/SPI1/CREB1/SRF/YY1/SP3/PGR/SMAD4/ATF2/JUND/NR4A1/MYB//ZBTB7A/SREBF1/NR1H4/HSF1/NR2C1/RBL1/BCL11B/JUNB/TCF3/RCOR1/SREBF2/MECP2/SOX2/MAF/E2F4"
"8","GO:0030522","intracellular receptor signaling pathway","57/252","288/18493",4.53673170874292e-50,6.46181819715283e-47,3.00538577758127e-47,57,"bp","ChemoRes","5608/171023/2033/5371/5970/672/3065/5925/6774/367/861/6597/2908/8202/9612/7421/23411/2099/10524/1499/23054/3172/8648/5468/9611/6256/5914/142/7329/7067/8554/5241/6714/10498/23426/2100/8805/9063/3164/22938/5469/7068/8204/7376/51341/6720/1616/9971/7316/10891/7181/8289/1655/10521/196/9325/9862","MAP2K6/ASXL1/EP300/PML/RELA/BRCA1/HDAC1/RB1/STAT3/AR/RUNX1/SMARCA4/NR3C1/NCOA3/NCOR2/VDR/SIRT1/ESR1/KAT5/CTNNB1/NCOA6/HNF4A/NCOA1/PPARG/NCOR1/RXRA/RARA/PARP1/UBE2I/THRA/PIAS1/PGR/SRC/CARM1/GRIP1/ESR2/TRIM24/PIAS2/NR4A1/SNW1/MED1/THRB/NRIP1//ZBTB7A/SREBF1/DAXX/NR1H4/UBC/PPARGC1A/NR2C1/ARID1A/DDX5/DDX17/AHR/TRIP4/MED24"
"9","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","55/252","449/17632",1.43937677269138e-35,6.73308468114523e-34,4.04035585316878e-34,55,"mf","ChemoRes","84699/3159/9314/148327/2353/5308/4087/2033/3659/6659/7157/7161/5970/6667/3725/6774/3091/367/860/1051/861/4088/4609/2908/23411/2309/2099/1869/1050/3172/4790/467/142/2113/6688/1385/6722/4654/5241/4089/1386/3727/3164/4602/2623/7376/6720/4851/9971/64919/3726/6657/4094/1874/3054","CREB3L3/HMGA1/KLF4/CREB3L4/FOS/PITX2/SMAD2/EP300/IRF1/SOX4/TP53/TP73/RELA/SP1/JUN/STAT3/HIF1A/AR/RUNX2/CEBPB/RUNX1/SMAD3/MYC/NR3C1/SIRT1/FOXO3/ESR1/E2F1/CEBPA/HNF4A/NFKB1/ATF3/PARP1/ETS1/SPI1/CREB1/SRF/MYOD1/PGR/SMAD4/ATF2/JUND/NR4A1/MYB/GATA1//SREBF1/NOTCH1/NR1H4/BCL11B/JUNB/SOX2/MAF/E2F4/HCFC1"
"10","GO:0018205","peptidyl-lysine modification","55/252","361/18493",8.36476128819549e-42,4.46782812305741e-39,2.07798280422541e-39,55,"bp","ChemoRes","3066/2625/4193/2033/1387/6659/8850/5371/5970/672/8202/23411/10524/1499/8648/9759/7341/7329/1487/6688/4654/8554/4089/1386/2624/5595/9063/25942/6598/10155/4602/22938/2648/6613/51564/10891/6612/10401/51588/1786/6839/53615/2122/9734/80854/8295/86/4204/6880/10856/5926/10919/4297/3054/4221","HDAC2/GATA3/MDM2/EP300/CREBBP/SOX4/KAT2B/PML/RELA/BRCA1/NCOA3/SIRT1/KAT5/CTNNB1/NCOA1/HDAC4/SUMO1/UBE2I/CTBP1/SPI1/MYOD1/PIAS1/SMAD4/ATF2/GATA2/MAPK3/PIAS2/SIN3A/SMARCB1/TRIM28/MYB/SNW1/KAT2A/SUMO2/HDAC7/PPARGC1A/SUMO3/PIAS3/PIAS4/DNMT1/SUV39H1/MBD3/MECOM/HDAC9/SETD7/TRRAP/ACTL6A/MECP2/TAF9/RUVBL2/ARID4A/EHMT2/KMT2A/HCFC1/MEN1"
