"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0000982","transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding","75/221","447/17632",2.52631254827767e-64,6.62667861551967e-62,3.92133471416242e-62,75,"mf","ChemoRes","1869/90993/8061/1050/1649/1054/55509/1053/467/468/10538/3725/3726/1386/2354/3727/2353/1628/1051/7975/3131/1387/4097/1052/122953/4094/9935/23764/571/9603/4783/10488/6688/5925/6774/860/367/2113/2908/6667/5970/3091/1385/7528/7157/4609/2099/23411/5468/51341/6670/5241/3172/4087/2034/4089/4602/6772/2308/3164/7376/6722/5933/3659/6720/1874/3297/7161/6721/7181/64919/9971/9314/6929/6925","E2F1/CREB3L1/FOSL1/CEBPA/DDIT3/CEBPG/BATF3/CEBPE/ATF3/ATF4/BATF/JUN/JUNB/ATF2/FOSB/JUND/FOS/DBP/CEBPB/MAFK/HLF/CREBBP/MAFG/CEBPD/JDP2/MAF/MAFB/MAFF/BACH1/NFE2L3/NFIL3/CREB3/SPI1/RB1/STAT3/RUNX2/AR/ETS1/NR3C1/SP1/RELA/HIF1A/CREB1/YY1/TP53/MYC/ESR1/SIRT1/PPARG/ZBTB7A/SP3/PGR/HNF4A/SMAD2/EPAS1/SMAD4/MYB/STAT1/FOXO1/NR4A1//SRF/RBL1/IRF1/SREBF1/E2F4/HSF1/TP73/SREBF2/NR2C1/BCL11B/NR1H4/KLF4/TCF3/TCF4"
"2","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","75/221","449/17632",3.58198844082145e-64,6.62667861551967e-62,3.92133471416242e-62,75,"mf","ChemoRes","1869/90993/8061/1050/1649/1054/1053/467/468/10538/3725/3726/1386/2354/3727/2353/2355/1628/1051/7975/3131/4097/1052/2033/22809/4094/9935/4779/23764/571/4780/10488/6688/466/6774/6689/2623/860/367/861/2113/2908/6667/4088/5970/3091/1385/7157/4609/4790/2099/23411/5241/142/3172/4087/2034/4089/4654/4602/3164/7376/2309/6722/3659/6720/1874/7161/4851/64919/9971/9314/5325/6925/3054","E2F1/CREB3L1/FOSL1/CEBPA/DDIT3/CEBPG/CEBPE/ATF3/ATF4/BATF/JUN/JUNB/ATF2/FOSB/JUND/FOS/FOSL2/DBP/CEBPB/MAFK/HLF/MAFG/CEBPD/EP300/ATF5/MAF/MAFB/NFE2L1/MAFF/BACH1/NFE2L2/CREB3/SPI1/ATF1/STAT3/SPIB/GATA1/RUNX2/AR/RUNX1/ETS1/NR3C1/SP1/SMAD3/RELA/HIF1A/CREB1/TP53/MYC/NFKB1/ESR1/SIRT1/PGR/PARP1/HNF4A/SMAD2/EPAS1/SMAD4/MYOD1/MYB/NR4A1//FOXO3/SRF/IRF1/SREBF1/E2F4/TP73/NOTCH1/BCL11B/NR1H4/KLF4/PLAGL1/TCF4/HCFC1"
"3","GO:0000790","nuclear chromatin","74/222","369/19659",1.09305353175525e-72,3.20264684804288e-70,2.35869446326132e-70,74,"cc","ChemoRes","1869/90993/3725/3726/3727/1051/1387/3065/6688/5925/6774/860/367/9612/6597/6667/4088/5970/3066/1385/7528/7157/4609/8202/6908/6595/2099/9611/23411/8648/5914/6256/8805/25942/51341/7068/8204/6598/6599/6605/6601/4087/1499/4089/4654/10524/6772/1457/6722/10155/1107/6304/3659/2648/1874/5928/10320/1108/6886/23028/9112/9219/53615/5931/8350/121504/8467/9971/9314/7391/8295/6929/6925/10891","E2F1/CREB3L1/JUN/JUNB/JUND/CEBPB/CREBBP/HDAC1/SPI1/RB1/STAT3/RUNX2/AR/NCOR2/SMARCA4/SP1/SMAD3/RELA/HDAC2/CREB1/YY1/TP53/MYC/NCOA3/TBP/SMARCA2/ESR1/NCOR1/SIRT1/NCOA1/RARA/RXRA/TRIM24/SIN3A/ZBTB7A/THRB/NRIP1/SMARCB1/SMARCC1/SMARCE1/SMARCC2/SMAD2/CTNNB1/SMAD4/MYOD1/KAT5/STAT1/CSNK2A1/SRF/TRIM28/CHD3/SATB1/IRF1/KAT2A/E2F4/RBBP4/IKZF1/CHD4/TAL1/KDM1A/MTA1/MTA2/MBD3/RBBP7/HIST1H3A/HIST4H4/SMARCA5/NR1H4/KLF4/USF1/TRRAP/TCF3/TCF4/PPARGC1A"
"4","GO:0005667","transcription factor complex","71/222","356/19659",2.20617493780408e-69,3.23204628388298e-67,2.3803466434202e-67,71,"cc","ChemoRes","2068/1869/3207/2071/1050/1649/468/3725/3726/3727/2353/1051/2033/22809/9935/3238/3065/5925/466/6774/2623/860/861/2113/4088/5970/3091/1385/7528/7157/6908/7421/23054/5914/5468/6256/25942/7067/5451/142/7068/196/5591/9734/10498/4087/1499/2034/4089/4654/6497/1487/10524/3164/7376/10155/5933/2648/1874/2547/6886/23028/9219/9971/9314/7391/6878/8295/6929/6925/9439","ERCC2/E2F1/HOXA11/ERCC3/CEBPA/DDIT3/ATF4/JUN/JUNB/JUND/FOS/CEBPB/EP300/ATF5/MAFB/HOXD12/HDAC1/RB1/ATF1/STAT3/GATA1/RUNX2/RUNX1/ETS1/SMAD3/RELA/HIF1A/CREB1/YY1/TP53/TBP/VDR/NCOA6/RARA/PPARG/RXRA/SIN3A/THRA/POU2F1/PARP1/THRB/AHR/PRKDC/HDAC9/CARM1/SMAD2/CTNNB1/EPAS1/SMAD4/MYOD1/SKI/CTBP1/KAT5/NR4A1//TRIM28/RBL1/KAT2A/E2F4/XRCC6/TAL1/KDM1A/MTA2/NR1H4/KLF4/USF1/TAF6/TRRAP/TCF3/TCF4/MED23"
"5","GO:0048545","response to steroid hormone","58/222","390/18493",6.02248453806815e-47,2.3596094420151e-43,1.16265648871758e-43,58,"bp","ChemoRes","8061/1026/2354/2353/2033/3065/5925/595/367/861/9612/2908/6597/5970/672/8202/2099/9611/23411/8648/7421/23054/5914/5468/6256/51341/10499/7067/5241/142/3172/7068/8204/8431/10498/2100/6714/1499/9063/8554/4654/7329/10524/4193/2308/3164/5469/7376/2309/23426/6720/2274/4851/7181/5931/1616/9971/10891","FOSL1/CDKN1A/FOSB/FOS/EP300/HDAC1/RB1/CCND1/AR/RUNX1/NCOR2/NR3C1/SMARCA4/RELA/BRCA1/NCOA3/ESR1/NCOR1/SIRT1/NCOA1/VDR/NCOA6/RARA/PPARG/RXRA/ZBTB7A/NCOA2/THRA/PGR/PARP1/HNF4A/THRB/NRIP1/NR0B2/CARM1/ESR2/SRC/CTNNB1/PIAS2/PIAS1/MYOD1/UBE2I/KAT5/MDM2/FOXO1/NR4A1/MED1//FOXO3/GRIP1/SREBF1/FHL2/NOTCH1/NR2C1/RBBP7/DAXX/NR1H4/PPARGC1A"
"6","GO:0003713","transcription coactivator activity","56/221","321/17632",2.73581846467784e-48,2.08855904356635e-46,1.23590407129958e-46,56,"mf","ChemoRes","1050/3725/3726/1386/3727/10011/1387/2033/4778/9603/5925/5371/6597/8850/7528/672/8202/6595/8648/7421/23054/5914/5468/6256/8805/10499/7067/7068/8204/6598/6599/6605/6601/10498/2100/1499/9063/8554/4654/22938/10524/5469/7376/23426/10155/2648/2274/23028/9112/9219/1616/9971/6929/9439/3054/10891","CEBPA/JUN/JUNB/ATF2/JUND/SRA1/CREBBP/EP300/NFE2/NFE2L3/RB1/PML/SMARCA4/KAT2B/YY1/BRCA1/NCOA3/SMARCA2/NCOA1/VDR/NCOA6/RARA/PPARG/RXRA/TRIM24/NCOA2/THRA/THRB/NRIP1/SMARCB1/SMARCC1/SMARCE1/SMARCC2/CARM1/ESR2/CTNNB1/PIAS2/PIAS1/MYOD1/SNW1/KAT5/MED1//GRIP1/TRIM28/KAT2A/FHL2/KDM1A/MTA1/MTA2/DAXX/NR1H4/TCF3/MED23/HCFC1/PPARGC1A"
"7","GO:0016569","covalent chromatin modification","56/222","470/18493",7.36838579007611e-40,4.12419078935974e-37,2.03212323894731e-37,56,"bp","ChemoRes","5599/1386/1387/2033/122953/3065/6688/8841/2624/3066/8850/672/8202/9759/23411/8648/604/25942/5595/9734/6598/10498/1499/4089/2122/4654/22938/6497/1487/10524/4602/10155/1107/6304/2648/6720/5928/1108/1786/6839/23028/9112/9219/53615/5931/10765/10014/51564/79718/9031/9971/3276/8295/80854/3054/10891","MAPK8/ATF2/CREBBP/EP300/JDP2/HDAC1/SPI1/HDAC3/GATA2/HDAC2/KAT2B/BRCA1/NCOA3/HDAC4/SIRT1/NCOA1/BCL6/SIN3A/MAPK3/HDAC9/SMARCB1/CARM1/CTNNB1/SMAD4/MECOM/MYOD1/SNW1/SKI/CTBP1/KAT5/MYB/TRIM28/CHD3/SATB1/KAT2A/SREBF1/RBBP4/CHD4/DNMT1/SUV39H1/KDM1A/MTA1/MTA2/MBD3/RBBP7/KDM5B/HDAC5/HDAC7/TBL1XR1/BAZ1B/NR1H4/PRMT1/TRRAP/SETD7/HCFC1/PPARGC1A"
"8","GO:0001077","proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific","55/221","298/17632",8.26760435985925e-49,1.01967120438264e-46,6.03390072579201e-47,55,"mf","ChemoRes","1869/90993/8061/1050/1649/1054/1053/468/10538/3725/3726/1386/2354/3727/2353/1628/1051/7975/3131/4097/1052/4094/9935/23764/10488/6688/6774/860/367/2113/2908/6667/5970/3091/1385/4609/2099/23411/5241/3172/4087/2034/4089/4602/3164/7376/6722/3659/6720/1874/7161/64919/9971/9314/6925","E2F1/CREB3L1/FOSL1/CEBPA/DDIT3/CEBPG/CEBPE/ATF4/BATF/JUN/JUNB/ATF2/FOSB/JUND/FOS/DBP/CEBPB/MAFK/HLF/MAFG/CEBPD/MAF/MAFB/MAFF/CREB3/SPI1/STAT3/RUNX2/AR/ETS1/NR3C1/SP1/RELA/HIF1A/CREB1/MYC/ESR1/SIRT1/PGR/HNF4A/SMAD2/EPAS1/SMAD4/MYB/NR4A1//SRF/IRF1/SREBF1/E2F4/TP73/BCL11B/NR1H4/KLF4/TCF4"
"9","GO:0016570","histone modification","55/222","456/18493",2.06456585851399e-39,8.98774337073089e-37,4.42855413393527e-37,55,"bp","ChemoRes","5599/1386/1387/2033/122953/3065/6688/8841/2624/3066/8850/672/8202/9759/23411/8648/604/25942/5595/9734/6598/10498/1499/4089/2122/4654/22938/6497/1487/10524/4602/1107/6304/2648/6720/5928/1108/1786/6839/23028/9112/9219/53615/5931/10765/10014/51564/79718/9031/9971/3276/8295/80854/3054/10891","MAPK8/ATF2/CREBBP/EP300/JDP2/HDAC1/SPI1/HDAC3/GATA2/HDAC2/KAT2B/BRCA1/NCOA3/HDAC4/SIRT1/NCOA1/BCL6/SIN3A/MAPK3/HDAC9/SMARCB1/CARM1/CTNNB1/SMAD4/MECOM/MYOD1/SNW1/SKI/CTBP1/KAT5/MYB/CHD3/SATB1/KAT2A/SREBF1/RBBP4/CHD4/DNMT1/SUV39H1/KDM1A/MTA1/MTA2/MBD3/RBBP7/KDM5B/HDAC5/HDAC7/TBL1XR1/BAZ1B/NR1H4/PRMT1/TRRAP/SETD7/HCFC1/PPARGC1A"
"10","GO:0030099","myeloid cell differentiation","55/222","405/18493",3.08124923820417e-42,3.01808362882098e-39,1.48710818496485e-39,55,"bp","ChemoRes","2068/1030/3815/1050/1054/55509/1053/10538/3725/3726/2353/116071/1051/1387/2033/9935/4779/4778/3065/6688/5925/6774/2623/2624/861/2113/5371/3091/8850/1385/4609/23411/23054/5914/5468/7704/604/25942/51341/6670/7067/142/6714/1499/2034/6772/5469/2309/6722/10401/10320/6886/8350/121504/3276","ERCC2/CDKN2B/KIT/CEBPA/CEBPG/BATF3/CEBPE/BATF/JUN/JUNB/FOS/BATF2/CEBPB/CREBBP/EP300/MAFB/NFE2L1/NFE2/HDAC1/SPI1/RB1/STAT3/GATA1/GATA2/RUNX1/ETS1/PML/HIF1A/KAT2B/CREB1/MYC/SIRT1/NCOA6/RARA/PPARG/ZBTB16/BCL6/SIN3A/ZBTB7A/SP3/THRA/PARP1/SRC/CTNNB1/EPAS1/STAT1/MED1/FOXO3/SRF/PIAS3/IKZF1/TAL1/HIST1H3A/HIST4H4/PRMT1"
