"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0036297","interstrand cross-link repair","3/14","50/17653",7.61343578421406e-06,0.00570246340237633,0.00322969960109291,3,"bp","ChemoRes","2176/2188/2178","FANCC/FANCF/FANCE"
"2","GO:0043240","Fanconi anaemia nuclear complex","3/14","14/18698",1.21040151776345e-07,6.05200758881727e-06,4.58678469889309e-06,3,"cc","ChemoRes","2176/2188/2178","FANCC/FANCF/FANCE"
"3","hsa03460","Fanconi anemia pathway","3/14","54/7844",0.000106412551434632,0.00565333940717245,0.00452977705837856,3,"kg","ChemoRes","2176/2188/2178","FANCC/FANCF/FANCE"
"4","hsa05217","Basal cell carcinoma","3/14","63/7844",0.000168756400214103,0.00565333940717245,0.00452977705837856,3,"kg","ChemoRes","5727/4616/64399","PTCH1/GADD45B/HHIP"
"5","GO:0001784","phosphotyrosine residue binding","2/14","35/17548",0.000346436309503358,0.0177119523159638,0.00857202773912345,2,"mf","ChemoRes","23624/3667","CBLC/IRS1"
"6","GO:0030971","receptor tyrosine kinase binding","2/14","58/17548",0.000952416363897486,0.0177119523159638,0.00857202773912345,2,"mf","ChemoRes","23624/3667","CBLC/IRS1"
"7","GO:0035004","phosphatidylinositol 3-kinase activity","2/14","76/17548",0.00162868527043345,0.0177119523159638,0.00857202773912345,2,"mf","ChemoRes","3667/5155","IRS1/PDGFB"
"8","GO:0045309","protein phosphorylated amino acid binding","2/14","44/17548",0.000548549720813833,0.0177119523159638,0.00857202773912345,2,"mf","ChemoRes","23624/3667","CBLC/IRS1"
"9","GO:0045876","positive regulation of sister chromatid cohesion","2/14","10/17653",2.61876479309948e-05,0.00980727415015756,0.00555453795588996,2,"bp","ChemoRes","5885/2237","RAD21/FEN1"
"10","GO:0046934","phosphatidylinositol-4,5-bisphosphate 3-kinase activity","2/14","68/17548",0.00130655856214389,0.0177119523159638,0.00857202773912345,2,"mf","ChemoRes","3667/5155","IRS1/PDGFB"
"11","GO:0051219","phosphoprotein binding","2/14","76/17548",0.00162868527043345,0.0177119523159638,0.00857202773912345,2,"mf","ChemoRes","23624/3667","CBLC/IRS1"
"12","GO:0052813","phosphatidylinositol bisphosphate kinase activity","2/14","71/17548",0.00142333772931625,0.0177119523159638,0.00857202773912345,2,"mf","ChemoRes","3667/5155","IRS1/PDGFB"
"13","GO:1990782","protein tyrosine kinase binding","2/14","70/17548",0.00138387404682433,0.0177119523159638,0.00857202773912345,2,"mf","ChemoRes","23624/3667","CBLC/IRS1"
