"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","hsa04218","Cellular senescence","5/12","160/7844",2.34065123162947e-06,0.000313647265038349,0.000256239713778384,5,"kg","ChemoRes","5728/11200/472/1978/3552","PTEN/CHEK2/ATM/EIF4EBP1/IL1A"
"2","GO:0000082","G1/S transition of mitotic cell cycle","4/12","276/17653",2.62182266481855e-05,0.0070691391077547,0.00299234813716638,4,"bp","ChemoRes","5728/11200/472/1978","PTEN/CHEK2/ATM/EIF4EBP1"
"3","GO:0035690","cellular response to drug","4/12","340/17653",5.92235568814179e-05,0.0070691391077547,0.00299234813716638,4,"bp","ChemoRes","5728/11200/1978/3082","PTEN/CHEK2/EIF4EBP1/HGF"
"4","GO:0044843","cell cycle G1/S phase transition","4/12","295/17653",3.40289377738898e-05,0.0070691391077547,0.00299234813716638,4,"bp","ChemoRes","5728/11200/472/1978","PTEN/CHEK2/ATM/EIF4EBP1"
"5","GO:0045787","positive regulation of cell cycle","4/12","377/17653",8.84722671244669e-05,0.00882116668489769,0.00373397683859861,4,"bp","ChemoRes","11200/472/1978/3552","CHEK2/ATM/EIF4EBP1/IL1A"
"6","GO:0048608","reproductive structure development","4/12","430/17653",0.000147135499040272,0.0104093278805242,0.0044062413283495,4,"bp","ChemoRes","26471/5308/5728/472","NUPR1/PITX2/PTEN/ATM"
"7","GO:0048732","gland development","4/12","430/17653",0.000147135499040272,0.0104093278805242,0.0044062413283495,4,"bp","ChemoRes","5308/5728/472/3082","PITX2/PTEN/ATM/HGF"
"8","GO:0061458","reproductive system development","4/12","433/17653",0.000151132697990594,0.0104093278805242,0.0044062413283495,4,"bp","ChemoRes","26471/5308/5728/472","NUPR1/PITX2/PTEN/ATM"
"9","GO:0097193","intrinsic apoptotic signaling pathway","4/12","290/17653",3.18268493134392e-05,0.0070691391077547,0.00299234813716638,4,"bp","ChemoRes","26471/9479/11200/472","NUPR1/MAPK8IP1/CHEK2/ATM"
"10","GO:2001233","regulation of apoptotic signaling pathway","4/12","383/17653",9.40566135480332e-05,0.00882116668489769,0.00373397683859861,4,"bp","ChemoRes","9479/5728/3552/3082","MAPK8IP1/PTEN/IL1A/HGF"
"11","hsa05166","Human T-cell leukemia virus 1 infection","4/12","219/7844",0.000245334333461035,0.00821870017094467,0.00671441333682832,4,"kg","ChemoRes","5567/5728/11200/472","PRKACB/PTEN/CHEK2/ATM"
"12","GO:0003002","regionalization","3/12","333/17653",0.00128960310666967,0.0219902451825621,0.00930841340152546,3,"bp","ChemoRes","5567/5308/472","PRKACB/PITX2/ATM"
"13","GO:0007050","cell cycle arrest","3/12","250/17653",0.000561696107151585,0.0189104356074367,0.00800473804523716,3,"bp","ChemoRes","3593/11200/472","IL12B/CHEK2/ATM"
"14","GO:0007548","sex differentiation","3/12","273/17653",0.000725723795517742,0.0191471116397508,0.00810492239210199,3,"bp","ChemoRes","26471/5308/472","NUPR1/PITX2/ATM"
"15","GO:0007568","aging","3/12","298/17653",0.000935748884133494,0.0198167465301174,0.00838837709376035,3,"bp","ChemoRes","5728/11200/472","PTEN/CHEK2/ATM"
"16","GO:0007569","cell aging","3/12","111/17653",5.10767249307354e-05,0.0070691391077547,0.00299234813716638,3,"bp","ChemoRes","5728/11200/472","PTEN/CHEK2/ATM"
"17","GO:0008406","gonad development","3/12","215/17653",0.000361395124154889,0.0143855003662493,0.00608934476560679,3,"bp","ChemoRes","26471/5308/472","NUPR1/PITX2/ATM"
"18","GO:0008585","female gonad development","3/12","96/17653",3.30902685070999e-05,0.0070691391077547,0.00299234813716638,3,"bp","ChemoRes","26471/5308/472","NUPR1/PITX2/ATM"
"19","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","3/12","103/17653",4.0848049571953e-05,0.0070691391077547,0.00299234813716638,3,"bp","ChemoRes","26471/11200/472","NUPR1/CHEK2/ATM"
"20","GO:0009410","response to xenobiotic stimulus","3/12","277/17653",0.00075704918549535,0.0191471116397508,0.00810492239210199,3,"bp","ChemoRes","5567/11200/1978","PRKACB/CHEK2/EIF4EBP1"
