"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0001666","response to hypoxia","7/25","346/17653",3.71023058650512e-07,0.000309932072879178,0.000181120257232393,7,"bp","ChemoRes","2068/2071/4088/2056/596/5105/2033","ERCC2/ERCC3/SMAD3/EPO/BCL2/PCK1/EP300"
"2","GO:0036293","response to decreased oxygen levels","7/25","354/17653",4.32866023574272e-07,0.000309932072879178,0.000181120257232393,7,"bp","ChemoRes","2068/2071/4088/2056/596/5105/2033","ERCC2/ERCC3/SMAD3/EPO/BCL2/PCK1/EP300"
"3","GO:0070482","response to oxygen levels","7/25","378/17653",6.72978552532352e-07,0.000321235095742109,0.000187725596232709,7,"bp","ChemoRes","2068/2071/4088/2056/596/5105/2033","ERCC2/ERCC3/SMAD3/EPO/BCL2/PCK1/EP300"
"4","hsa04151","PI3K-Akt signaling pathway","7/24","354/7844",6.38697325071947e-05,0.00342084348781683,0.00260489761670263,7,"kg","ChemoRes","1101/2057/3815/2056/4846/596/5105","CHAD/EPOR/KIT/EPO/NOS3/BCL2/PCK1"
"5","GO:0009314","response to radiation","6/25","442/17653",2.814815593759e-05,0.00268721062017526,0.00157037080493923,6,"bp","ChemoRes","2068/3815/2071/2189/596/2033","ERCC2/KIT/ERCC3/FANCG/BCL2/EP300"
"6","GO:0009991","response to extracellular stimulus","6/25","495/17653",5.30391973677667e-05,0.00382159764732317,0.00223329177420018,6,"bp","ChemoRes","1030/4316/8061/2056/596/5105","CDKN2B/MMP7/FOSL1/EPO/BCL2/PCK1"
"7","GO:0048608","reproductive structure development","6/25","430/17653",2.41093245742828e-05,0.00259281737634388,0.00151520862554645,6,"bp","ChemoRes","2057/3815/8061/4846/2189/596","EPOR/KIT/FOSL1/NOS3/FANCG/BCL2"
"8","GO:0061458","reproductive system development","6/25","433/17653",2.50720308506091e-05,0.00259281737634388,0.00151520862554645,6,"bp","ChemoRes","2057/3815/8061/4846/2189/596","EPOR/KIT/FOSL1/NOS3/FANCG/BCL2"
"9","GO:1901987","regulation of cell cycle phase transition","6/25","454/17653",3.27167234248667e-05,0.00292814674652557,0.00171117073176112,6,"bp","ChemoRes","2068/1030/2071/995/596/2033","ERCC2/CDKN2B/ERCC3/CDC25C/BCL2/EP300"
"10","GO:1901990","regulation of mitotic cell cycle phase transition","6/25","419/17653",2.08315943540822e-05,0.00259281737634388,0.00151520862554645,6,"bp","ChemoRes","2068/1030/2071/995/596/2033","ERCC2/CDKN2B/ERCC3/CDC25C/BCL2/EP300"
