"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0006520","cellular amino acid metabolic process","35/205","324/18493",1.35909187504145e-24,3.38277967697817e-21,2.79114552442723e-21,35,"bp","ChemoRes","51582/122622/4947/443/7915/4946/4953/51686/58478/594/2729/2356/51540/9054/63826/2752/3172/27034/29968/84890/5009/2937/2954/3034/3176/384/51074/6898/81034/10352/2730/587/55256/95/8659","AZIN1/ADSSL1/OAZ2/ASPA/ALDH5A1/OAZ1/ODC1/OAZ3/ENOPH1/BCKDHB/GCLC/FPGS/SCLY/NFS1/SRR/GLUL/HNF4A/ACAD8/PSAT1/ADO/OTC/GSS/GSTZ1/HAL/HNMT/ARG2/APIP/TAT/SLC25A32/WARS2/GCLM/BCAT2/ADI1/ACY1/ALDH4A1"
"2","GO:0044282","small molecule catabolic process","33/205","431/18493",1.49657800892783e-18,1.86249133211068e-15,1.536749313378e-15,33,"bp","ChemoRes","55576/6718/443/7915/594/2752/27034/55577/84890/5009/26061/669/2954/3034/3176/8644/51251/221/54363/384/3795/955/2592/6898/23600/6652/127/3029/587/84693/10449/3633/8659","STAB2/AKR1D1/ASPA/ALDH5A1/BCKDHB/GLUL/ACAD8/NAGK/ADO/OTC/HACL1/BPGM/GSTZ1/HAL/HNMT/AKR1C3/NT5C3A/ALDH3B1/HAO1/ARG2/KHK/ENTPD6/GALT/TAT/AMACR/SORD/ADH4/HAGH/BCAT2/MCEE/ACAA2/INPP5B/ALDH4A1"
"3","GO:0016053","organic acid biosynthetic process","27/205","413/18493",1.19534686042629e-13,2.60985388084117e-11,2.15340124823798e-11,27,"bp","ChemoRes","246/6718/9023/1719/443/58478/8560/64834/2356/63826/2752/1109/5166/29968/9572/5210/8647/5009/669/2646/8644/2948/51074/23600/10090/587/55256","ALOX15/AKR1D1/CH25H/DHFR/ASPA/ENOPH1/DEGS1/ELOVL1/FPGS/SRR/GLUL/AKR1C4/PDK4/PSAT1/NR1D1/PFKFB4/ABCB11/OTC/BPGM/GCKR/AKR1C3/GSTM4/APIP/AMACR/UST/BCAT2/ADI1"
"4","GO:0046394","carboxylic acid biosynthetic process","27/205","412/18493",1.12784129339489e-13,2.60985388084117e-11,2.15340124823798e-11,27,"bp","ChemoRes","246/6718/9023/1719/443/58478/8560/64834/2356/63826/2752/1109/5166/29968/9572/5210/8647/5009/669/2646/8644/2948/51074/23600/10090/587/55256","ALOX15/AKR1D1/CH25H/DHFR/ASPA/ENOPH1/DEGS1/ELOVL1/FPGS/SRR/GLUL/AKR1C4/PDK4/PSAT1/NR1D1/PFKFB4/ABCB11/OTC/BPGM/GCKR/AKR1C3/GSTM4/APIP/AMACR/UST/BCAT2/ADI1"
"5","GO:0006790","sulfur compound metabolic process","26/205","362/18493",3.94627453707466e-14,1.22778466534735e-11,1.01305021339903e-11,26,"bp","ChemoRes","7915/58478/262/64834/2729/9054/2941/5166/56548/84890/2937/2954/27430/2948/5164/5163/8050/51074/6821/10090/2730/3029/55256/2940/84693/9060","ALDH5A1/ENOPH1/AMD1/ELOVL1/GCLC/NFS1/GSTA4/PDK4/CHST7/ADO/GSS/GSTZ1/MAT2B/GSTM4/PDK2/PDK1/PDHX/APIP/SUOX/UST/GCLM/HAGH/ADI1/GSTA3/MCEE/PAPSS2"
"6","GO:0006066","alcohol metabolic process","25/205","348/18493",1.25826623423439e-13,2.60985388084117e-11,2.15340124823798e-11,25,"bp","ChemoRes","6718/9023/1719/1798/6721/9619/1109/8818/10682/6307/1646/125/8644/221/54363/124/2224/6652/351/127/10449/3633/6713/51478/54884","AKR1D1/CH25H/DHFR/DPAGT1/SREBF2/ABCG1/AKR1C4/DPM2/EBP/MSMO1/AKR1C2/ADH1B/AKR1C3/ALDH3B1/HAO1/ADH1A/FDPS/SORD/APP/ADH4/ACAA2/INPP5B/SQLE/HSD17B7/RETSAT"
"7","GO:1901605","alpha-amino acid metabolic process","25/205","223/18493",3.6357290773919e-18,3.01644322454281e-15,2.48887979999705e-15,25,"bp","ChemoRes","51582/122622/443/7915/4953/58478/2729/2356/63826/2752/3172/27034/29968/5009/2954/3034/3176/384/51074/6898/81034/2730/587/55256/8659","AZIN1/ADSSL1/ASPA/ALDH5A1/ODC1/ENOPH1/GCLC/FPGS/SRR/GLUL/HNF4A/ACAD8/PSAT1/OTC/GSTZ1/HAL/HNMT/ARG2/APIP/TAT/SLC25A32/GCLM/BCAT2/ADI1/ALDH4A1"
"8","GO:0005759","mitochondrial matrix","24/203","462/19659",8.63480625428604e-11,1.89965737594293e-08,1.63606855344367e-08,24,"cc","ChemoRes","7915/594/2356/9054/318/27034/5166/5009/2954/79611/384/5164/5163/8050/6821/10352/1716/3029/587/84693/131118/10449/51025/8659","ALDH5A1/BCKDHB/FPGS/NFS1/NUDT2/ACAD8/PDK4/OTC/GSTZ1/ACSS3/ARG2/PDK2/PDK1/PDHX/SUOX/WARS2/DGUOK/HAGH/BCAT2/MCEE/DNAJC19/ACAA2/PAM16/ALDH4A1"
"9","GO:0006644","phospholipid metabolic process","23/205","473/18493",3.0435228158985e-09,2.04738602399226e-07,1.68930668956415e-07,23,"bp","ChemoRes","246/7915/8398/9791/5281/1798/5130/51227/8818/5277/9091/5283/5279/6610/55650/84720/10162/2224/54872/3633/56894/22845/64419","ALOX15/ALDH5A1/PLA2G6/PTDSS1/PIGF/DPAGT1/PCYT1A/PIGP/DPM2/PIGA/PIGQ/PIGH/PIGC/SMPD2/PIGV/PIGO/LPCAT3/FDPS/PIGG/INPP5B/AGPAT3/DOLK/MTMR14"
"10","GO:0016054","organic acid catabolic process","23/205","265/18493",2.35665999694023e-14,8.37960961769177e-12,6.9140506075645e-12,23,"bp","ChemoRes","55576/6718/443/7915/594/2752/27034/55577/84890/5009/26061/2954/3034/3176/54363/384/6898/23600/6652/587/84693/10449/8659","STAB2/AKR1D1/ASPA/ALDH5A1/BCKDHB/GLUL/ACAD8/NAGK/ADO/OTC/HACL1/GSTZ1/HAL/HNMT/HAO1/ARG2/TAT/AMACR/SORD/BCAT2/MCEE/ACAA2/ALDH4A1"
"11","GO:0046395","carboxylic acid catabolic process","23/205","265/18493",2.35665999694023e-14,8.37960961769177e-12,6.9140506075645e-12,23,"bp","ChemoRes","55576/6718/443/7915/594/2752/27034/55577/84890/5009/26061/2954/3034/3176/54363/384/6898/23600/6652/587/84693/10449/8659","STAB2/AKR1D1/ASPA/ALDH5A1/BCKDHB/GLUL/ACAD8/NAGK/ADO/OTC/HACL1/GSTZ1/HAL/HNMT/HAO1/ARG2/TAT/AMACR/SORD/BCAT2/MCEE/ACAA2/ALDH4A1"
"12","GO:0051188","cofactor biosynthetic process","23/205","279/18493",7.08587037479004e-14,1.95963681809471e-11,1.6169044562825e-11,23,"bp","ChemoRes","1719/64834/2729/2356/27304/9054/5166/29968/5210/669/2937/2954/27430/79717/2646/7389/5164/5163/8050/2730/55163/3145/3029","DHFR/ELOVL1/GCLC/FPGS/MOCS3/NFS1/PDK4/PSAT1/PFKFB4/BPGM/GSS/GSTZ1/MAT2B/PPCS/GCKR/UROD/PDK2/PDK1/PDHX/GCLM/PNPO/HMBS/HAGH"
"13","GO:0006732","coenzyme metabolic process","22/205","351/18493",5.87295706400722e-11,5.84711605292559e-09,4.82447967658025e-09,22,"bp","ChemoRes","1719/58478/262/64834/2729/2356/27304/9054/5166/5210/669/2954/27430/79717/2646/5164/5163/8050/51074/81034/55163/84693","DHFR/ENOPH1/AMD1/ELOVL1/GCLC/FPGS/MOCS3/NFS1/PDK4/PFKFB4/BPGM/GSTZ1/MAT2B/PPCS/GCKR/PDK2/PDK1/PDHX/APIP/SLC25A32/PNPO/MCEE"
"14","GO:0008202","steroid metabolic process","22/205","318/18493",8.5565834475158e-12,1.24062135825818e-09,1.02364182189495e-09,22,"bp","ChemoRes","6718/9023/7367/6715/6721/9619/1109/9572/8647/10682/6307/10720/7366/1646/8644/3290/23600/2224/351/10449/6713/51478","AKR1D1/CH25H/UGT2B17/SRD5A1/SREBF2/ABCG1/AKR1C4/NR1D1/ABCB11/EBP/MSMO1/UGT2B11/UGT2B15/AKR1C2/AKR1C3/HSD11B1/AMACR/FDPS/APP/ACAA2/SQLE/HSD17B7"
"15","GO:0044272","sulfur compound biosynthetic process","21/205","187/18493",1.93790204149041e-15,1.20585954531741e-12,9.94959706038893e-13,21,"bp","ChemoRes","58478/262/64834/2729/2941/5166/56548/2937/2954/27430/2948/5164/5163/8050/51074/10090/2730/3029/55256/2940/9060","ENOPH1/AMD1/ELOVL1/GCLC/GSTA4/PDK4/CHST7/GSS/GSTZ1/MAT2B/GSTM4/PDK2/PDK1/PDHX/APIP/UST/GCLM/HAGH/ADI1/GSTA3/PAPSS2"
"16","GO:0048037","cofactor binding","21/202","495/17632",2.66008009278822e-07,1.07854156489413e-05,8.37479761270166e-06,21,"mf","ChemoRes","1719/6715/2729/9054/63826/9380/27034/9572/26061/2937/7498/54363/2948/6821/6898/6652/55163/127/7172/6713/79001","DHFR/SRD5A1/GCLC/NFS1/SRR/GRHPR/ACAD8/NR1D1/HACL1/GSS/XDH/HAO1/GSTM4/SUOX/TAT/SORD/PNPO/ADH4/TPMT/SQLE/VKORC1"
"17","GO:0006605","protein targeting","20/205","424/18493",5.70678541686976e-08,2.76415248665464e-06,2.28071366706697e-06,20,"bp","ChemoRes","9804/54543/401505/10452/65018/53371/5373/7316/29928/10440/6721/26515/26061/9531/54363/23600/26521/23471/131118/51025","TOMM20/TOMM7/TOMM5//PINK1/NUP54/PMM2/UBC/TIMM22/TIMM17A/SREBF2/TIMM10B/HACL1/BAG3/HAO1/AMACR/TIMM8B/TRAM1/DNAJC19/PAM16"
"18","GO:0008654","phospholipid biosynthetic process","20/205","284/18493",5.80004932591575e-11,5.84711605292559e-09,4.82447967658025e-09,20,"bp","ChemoRes","246/8398/9791/5281/1798/5130/51227/8818/5277/9091/5283/5279/55650/84720/10162/2224/54872/56894/22845/64419","ALOX15/PLA2G6/PTDSS1/PIGF/DPAGT1/PCYT1A/PIGP/DPM2/PIGA/PIGQ/PIGH/PIGC/PIGV/PIGO/LPCAT3/FDPS/PIGG/AGPAT3/DOLK/MTMR14"
"19","GO:0009150","purine ribonucleotide metabolic process","20/205","488/18493",5.42638232510956e-07,1.8758702232219e-05,1.54778829185508e-05,20,"bp","ChemoRes","112/122622/65018/4713/64834/5143/27304/9054/5166/5210/669/2954/79717/2646/5164/5163/8050/55811/84693/9060","ADCY6/ADSSL1/PINK1/NDUFB7/ELOVL1/PDE4C/MOCS3/NFS1/PDK4/PFKFB4/BPGM/GSTZ1/PPCS/GCKR/PDK2/PDK1/PDHX/ADCY10/MCEE/PAPSS2"
"20","GO:0005996","monosaccharide metabolic process","19/205","287/18493",5.10840481271351e-10,3.85297562995271e-08,3.17910615298375e-08,19,"bp","ChemoRes","3175/7367/7915/5373/2729/5166/9572/5210/669/10720/79799/7366/2646/5164/5163/3795/2592/6652/4351","ONECUT1/UGT2B17/ALDH5A1/PMM2/GCLC/PDK4/NR1D1/PFKFB4/BPGM/UGT2B11/UGT2A3/UGT2B15/GCKR/PDK2/PDK1/KHK/GALT/SORD/MPI"
"21","GO:0006091","generation of precursor metabolites and energy","19/205","471/18493",1.33797408969495e-06,3.74181742612442e-05,3.08738905853915e-05,19,"bp","ChemoRes","7915/65018/4713/4609/6715/8560/1109/9572/5210/669/2877/2646/125/7498/79611/3795/124/127/8659","ALDH5A1/PINK1/NDUFB7/MYC/SRD5A1/DEGS1/AKR1C4/NR1D1/PFKFB4/BPGM/GPX2/GCKR/ADH1B/XDH/ACSS3/KHK/ADH1A/ADH4/ALDH4A1"
"22","GO:0006643","membrane lipid metabolic process","19/205","203/18493",1.23178289720163e-12,2.04393842075658e-10,1.6864620578529e-10,19,"bp","ChemoRes","7915/8398/8560/5281/64834/51227/8818/5277/9091/5283/5279/6610/27090/55650/221/84720/54872/64781/7357","ALDH5A1/PLA2G6/DEGS1/PIGF/ELOVL1/PIGP/DPM2/PIGA/PIGQ/PIGH/PIGC/SMPD2/ST6GALNAC4/PIGV/ALDH3B1/PIGO/PIGG/CERK/UGCG"
"23","GO:0006650","glycerophospholipid metabolic process","19/205","367/18493",2.88090713965701e-08,1.55882127621876e-06,1.28618989232742e-06,19,"bp","ChemoRes","246/7915/8398/9791/5281/5130/51227/8818/5277/9091/5283/5279/55650/84720/10162/54872/3633/56894/64419","ALOX15/ALDH5A1/PLA2G6/PTDSS1/PIGF/PCYT1A/PIGP/DPM2/PIGA/PIGQ/PIGH/PIGC/PIGV/PIGO/LPCAT3/PIGG/INPP5B/AGPAT3/MTMR14"
"24","GO:0046486","glycerolipid metabolic process","19/205","459/18493",9.11623665090136e-07,2.63840849117366e-05,2.176961775509e-05,19,"bp","ChemoRes","246/7915/8398/9791/5281/5130/51227/8818/5277/9091/5283/5279/55650/84720/10162/54872/3633/56894/64419","ALOX15/ALDH5A1/PLA2G6/PTDSS1/PIGF/PCYT1A/PIGP/DPM2/PIGA/PIGQ/PIGH/PIGC/PIGV/PIGO/LPCAT3/PIGG/INPP5B/AGPAT3/MTMR14"
"25","GO:0062012","regulation of small molecule metabolic process","19/205","355/18493",1.69281111805321e-08,9.57592471098735e-07,7.90113514670289e-07,19,"bp","ChemoRes","51582/4947/65018/4946/4953/51686/6721/9619/5166/9572/5210/2954/2646/8644/5164/5163/3795/2224/6713","AZIN1/OAZ2/PINK1/OAZ1/ODC1/OAZ3/SREBF2/ABCG1/PDK4/NR1D1/PFKFB4/GSTZ1/GCKR/AKR1C3/PDK2/PDK1/KHK/FDPS/SQLE"
"26","GO:1901617","organic hydroxy compound biosynthetic process","19/205","251/18493",5.18306260403308e-11,5.63523829796078e-09,4.64965846326848e-09,19,"bp","ChemoRes","246/6718/9023/1719/6721/9619/1109/29968/9572/8647/10682/6307/8644/23600/2224/55163/10449/6713/51478","ALOX15/AKR1D1/CH25H/DHFR/SREBF2/ABCG1/AKR1C4/PSAT1/NR1D1/ABCB11/EBP/MSMO1/AKR1C3/AMACR/FDPS/PNPO/ACAA2/SQLE/HSD17B7"
"27","GO:0006631","fatty acid metabolic process","18/205","369/18493",1.65271805794453e-07,6.52954800987924e-06,5.38755711119427e-06,18,"bp","ChemoRes","246/7915/8560/64834/1109/5166/26061/6307/2954/1646/8644/54363/2948/5164/5163/23600/84693/10449","ALOX15/ALDH5A1/DEGS1/ELOVL1/AKR1C4/PDK4/HACL1/MSMO1/GSTZ1/AKR1C2/AKR1C3/HAO1/GSTM4/PDK2/PDK1/AMACR/MCEE/ACAA2"
