"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0006401","RNA catabolic process","25/235","340/18493",1.67972722072856e-12,1.97479930250322e-09,1.55890473643055e-09,25,"bp","ChemoRes","4292/4850/472/4869/9337/6156/6159/6234/6146/6147/57690/26019/85456/6165/57819/6232/6169/6135/6204/3842/6201/6205/6208/6191/7514","MLH1/CNOT4/ATM/NPM1/CNOT8/RPL30/RPL29/RPS28/RPL22/RPL23A/TNRC6C/UPF2/TNKS1BP1/RPL35A/LSM2/RPS27/RPL38/RPL11/RPS10/TNPO1/RPS7/RPS11/RPS14/RPS4X/XPO1"
"2","GO:0006402","mRNA catabolic process","25/235","307/18493",1.70793485242852e-13,3.01194311225769e-10,2.37762509719654e-10,25,"bp","ChemoRes","4292/4850/472/4869/9337/6156/6159/6234/6146/6147/57690/26019/85456/6165/57819/6232/6169/6135/6204/3842/6201/6205/6208/6191/7514","MLH1/CNOT4/ATM/NPM1/CNOT8/RPL30/RPL29/RPS28/RPL22/RPL23A/TNRC6C/UPF2/TNKS1BP1/RPL35A/LSM2/RPS27/RPL38/RPL11/RPS10/TNPO1/RPS7/RPS11/RPS14/RPS4X/XPO1"
"3","GO:1901987","regulation of cell cycle phase transition","24/235","412/18493",5.9460576615019e-10,1.61321118247055e-07,1.27346741009494e-07,24,"bp","ChemoRes","2810/9314/5566/5728/55294/11200/4850/472/4869/4193/9337/85417/25906/10537/6790/7157/3161/85456/51512/11073/81610/7846/23332/10121","SFN/KLF4/PRKACA/PTEN/FBXW7/CHEK2/CNOT4/ATM/NPM1/MDM2/CNOT8/CCNB3/ANAPC15/UBD/AURKA/TP53/HMMR/TNKS1BP1/GTSE1/TOPBP1/FAM83D/TUBA1A/CLASP1/ACTR1A"
"4","GO:0006605","protein targeting","23/235","424/18493",5.3861249650034e-09,8.63493761434863e-07,6.81641173800669e-07,23,"bp","ChemoRes","3265/55294/6728/1962/6156/6159/6234/6146/6147/1459/10469/51762/6165/10755/6232/6169/6135/6204/6201/6205/6208/6191/51024","HRAS/FBXW7/SRP19/EHHADH/RPL30/RPL29/RPS28/RPL22/RPL23A/CSNK2A2/TIMM44/RAB8B/RPL35A/GIPC1/RPS27/RPL38/RPL11/RPS10/RPS7/RPS11/RPS14/RPS4X/FIS1"
"5","GO:0000956","nuclear-transcribed mRNA catabolic process","22/235","207/18493",2.28486232990047e-14,8.05870943755896e-11,6.36153775009131e-11,22,"bp","ChemoRes","4292/4850/472/9337/6156/6159/6234/6146/6147/57690/26019/85456/6165/57819/6232/6169/6135/6204/6201/6205/6208/6191","MLH1/CNOT4/ATM/CNOT8/RPL30/RPL29/RPS28/RPL22/RPL23A/TNRC6C/UPF2/TNKS1BP1/RPL35A/LSM2/RPS27/RPL38/RPL11/RPS10/RPS7/RPS11/RPS14/RPS4X"
"6","GO:0022613","ribonucleoprotein complex biogenesis","22/235","485/18493",2.72556302501282e-07,1.81378505456985e-05,1.43180023856185e-05,22,"bp","ChemoRes","51077/5728/472/4869/6234/6147/26155/51491/9733/54552/6165/6232/6169/6135/6635/6204/6201/6208/7514/10659/26065/26121","FCF1/PTEN/ATM/NPM1/RPS28/RPL23A/NOC2L/NOP16/SART3/GNL3L/RPL35A/RPS27/RPL38/RPL11/SNRPE/RPS10/RPS7/RPS14/XPO1/CELF2/LSM14A/PRPF31"
"7","GO:1901990","regulation of mitotic cell cycle phase transition","21/235","375/18493",1.48419446789152e-08,1.93879773639014e-06,1.53048513355675e-06,21,"bp","ChemoRes","2810/9314/5566/5728/11200/4850/472/4193/9337/85417/25906/10537/6790/7157/3161/85456/51512/11073/7846/23332/10121","SFN/KLF4/PRKACA/PTEN/CHEK2/CNOT4/ATM/MDM2/CNOT8/CCNB3/ANAPC15/UBD/AURKA/TP53/HMMR/TNKS1BP1/GTSE1/TOPBP1/TUBA1A/CLASP1/ACTR1A"
"8","GO:0045787","positive regulation of cell cycle","20/235","390/18493",1.39906852439782e-07,1.07272058381546e-05,8.46804633188155e-06,20,"bp","ChemoRes","2810/5566/5781/11200/4850/472/4869/1978/4193/9337/85417/900/6790/7157/85456/4487/51512/10755/81610/25","SFN/PRKACA/PTPN11/CHEK2/CNOT4/ATM/NPM1/EIF4EBP1/MDM2/CNOT8/CCNB3/CCNG1/AURKA/TP53/TNKS1BP1/MSX1/GTSE1/GIPC1/FAM83D/ABL1"
"9","GO:0090150","establishment of protein localization to membrane","20/235","317/18493",4.47680256309052e-09,7.51889649524775e-07,5.9354099144734e-07,20,"bp","ChemoRes","2810/3265/6728/6156/6159/6234/6146/6147/7157/51762/6165/6232/6169/6135/6204/6201/6205/6208/6191/51024","SFN/HRAS/SRP19/RPL30/RPL29/RPS28/RPL22/RPL23A/TP53/RAB8B/RPL35A/RPS27/RPL38/RPL11/RPS10/RPS7/RPS11/RPS14/RPS4X/FIS1"
"10","GO:0007050","cell cycle arrest","19/235","241/18493",2.7163223949492e-10,8.70951735180531e-08,6.87528491353172e-08,19,"bp","ChemoRes","3593/5608/2810/3265/5566/3592/2619/11200/4850/472/4193/9337/28227/6790/7157/85456/51512/25/8453","IL12B/MAP2K6/SFN/HRAS/PRKACA/IL12A/GAS1/CHEK2/CNOT4/ATM/MDM2/CNOT8/PPP2R3B/AURKA/TP53/TNKS1BP1/GTSE1/ABL1/CUL2"
