"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","ont","comparison","geneID","symbol"
"1","GO:0006352","DNA-templated transcription, initiation","86/309","248/18493",9.12188752290488e-92,1.81388733392964e-88,1.25690008078763e-88,86,"bp","ChemoRes","2068/1387/23054/5468/6258/5465/10891/6256/9971/2908/10062/9862/7067/7421/2100/8856/5914/5469/7068/367/7376/3164/2099/5241/6722/5467/10002/2494/9970/3725/8850/6908/5916/9794/1024/6095/9439/10001/2101/8431/190/51586/81857/9443/84246/6878/5440/5441/5435/5439/6877/51003/6879/6874/9477/9440/6881/9441/6875/5436/9282/892/5433/9442/112950/90390/9968/10025/9969/6873/5438/29079/7343/1025/5437/5432/5430/5430/5431/5434/83860/6882/6884/8148/6872/7157/6880","ERCC2/CREBBP/NCOA6/PPARG/RXRG/PPARA/PPARGC1A/RXRA/NR1H4/NR3C1/NR1H3/MED24/THRA/VDR/ESR2/NR1I2/RARA/MED1/THRB/AR//NR4A1/ESR1/PGR/SRF/PPARD/NR2E3/NR5A2/NR1I3/JUN/KAT2B/TBP/RARG/MAML1/CDK8/RORA/MED23/MED6/ESRRA/NR0B2/NR0B1/MED15/MED25/MED7/MED10/TAF6/POLR2K/POLR2L/POLR2F/POLR2J/TAF5/MED31/TAF7/TAF4/MED20/MED17/TAF10/MED26/TAF4B/POLR2G/MED14/CCNC/POLR2D/MED27/MED8/MED30/MED12/MED16/MED13/TAF2/POLR2I/MED4/UBTF/CDK9/POLR2H/POLR2C/POLR2A//POLR2B/POLR2E/TAF3/TAF11/TAF13/TAF15/TAF1/TP53/TAF9"
"2","GO:0006367","transcription initiation from RNA polymerase II promoter","83/309","186/18493",1.1323071289548e-99,4.50318545185324e-96,3.12040006695123e-96,83,"bp","ChemoRes","2068/1387/5468/6258/5465/10891/6256/9971/2908/10062/9862/7067/7421/2100/8856/5914/5469/7068/367/7376/3164/2099/5241/6722/5467/10002/2494/9970/8850/6908/5916/9794/1024/6095/9439/10001/2101/8431/190/51586/81857/9443/84246/6878/5440/5441/5435/5439/6877/51003/6879/6874/9477/9440/6881/9441/6875/5436/9282/892/5433/9442/112950/90390/9968/10025/9969/6873/5438/29079/1025/5437/5432/5430/5430/5431/5434/83860/6882/6884/8148/6872/7157/6880","ERCC2/CREBBP/PPARG/RXRG/PPARA/PPARGC1A/RXRA/NR1H4/NR3C1/NR1H3/MED24/THRA/VDR/ESR2/NR1I2/RARA/MED1/THRB/AR//NR4A1/ESR1/PGR/SRF/PPARD/NR2E3/NR5A2/NR1I3/KAT2B/TBP/RARG/MAML1/CDK8/RORA/MED23/MED6/ESRRA/NR0B2/NR0B1/MED15/MED25/MED7/MED10/TAF6/POLR2K/POLR2L/POLR2F/POLR2J/TAF5/MED31/TAF7/TAF4/MED20/MED17/TAF10/MED26/TAF4B/POLR2G/MED14/CCNC/POLR2D/MED27/MED8/MED30/MED12/MED16/MED13/TAF2/POLR2I/MED4/CDK9/POLR2H/POLR2C/POLR2A//POLR2B/POLR2E/TAF3/TAF11/TAF13/TAF15/TAF1/TP53/TAF9"
"3","GO:0003713","transcription coactivator activity","64/313","321/17632",6.2941758172267e-49,3.48697340274359e-46,2.530921223348e-46,64,"mf","ChemoRes","1387/23054/5468/2033/23426/8648/5465/10891/6256/3275/9971/9325/10062/9862/7067/10499/7421/2100/8202/8856/5914/5469/7068/7376/5467/5449/4654/10847/9970/6604/3725/8850/5916/9794/8204/9412/672/9439/10001/2648/9443/51003/6879/6874/9477/9440/6881/9441/9282/9442/90390/9968/10025/9969/29079/3054/6871/6882/55749/6872/8607/4869/6880/92140","CREBBP/NCOA6/PPARG/EP300/GRIP1/NCOA1/PPARA/PPARGC1A/RXRA/PRMT2/NR1H4/TRIP4/NR1H3/MED24/THRA/NCOA2/VDR/ESR2/NCOA3/NR1I2/RARA/MED1/THRB//PPARD/POU1F1/MYOD1/SRCAP/NR1I3/SMARCD3/JUN/KAT2B/RARG/MAML1/NRIP1/MED21/BRCA1/MED23/MED6/KAT2A/MED7/MED31/TAF7/TAF4/MED20/MED17/TAF10/MED26/MED14/MED27/MED30/MED12/MED16/MED13/MED4/HCFC1/TADA2A/TAF11/CCAR1/TAF1/RUVBL1/NPM1/TAF9/MTDH"
"4","GO:0005667","transcription factor complex","61/315","356/19659",5.42522438911244e-45,7.39638925048996e-43,5.95822889049893e-43,61,"cc","ChemoRes","2353/2068/4087/23054/5468/2033/9314/5465/6256/9971/5970/10062/7067/7421/8856/5914/7068/7376/3164/5467/5449/4654/10002/3091/2494/9970/3725/6908/5916/1051/9439/10001/4088/2648/81857/9443/2034/6878/54797/6877/51003/6879/6874/9440/6881/9441/6875/9282/9442/112950/6873/29079/83860/129685/6882/6884/6872/4841/25942/7157/6880","FOS/ERCC2/SMAD2/NCOA6/PPARG/EP300/KLF4/PPARA/RXRA/NR1H4/RELA/NR1H3/THRA/VDR/NR1I2/RARA/THRB//NR4A1/PPARD/POU1F1/MYOD1/NR2E3/HIF1A/NR5A2/NR1I3/JUN/TBP/RARG/CEBPB/MED23/MED6/SMAD3/KAT2A/MED25/MED7/EPAS1/TAF6/MED18/TAF5/MED31/TAF7/TAF4/MED17/TAF10/MED26/TAF4B/MED14/MED27/MED8/TAF2/MED4/TAF3/TAF8/TAF11/TAF13/TAF1/NONO/SIN3A/TP53/TAF9"
"5","GO:0048545","response to steroid hormone","61/309","390/18493",1.45144631636396e-41,8.24628857168496e-39,5.71411497179075e-39,61,"bp","ChemoRes","2056/2353/23054/5468/6258/2033/23426/8648/5465/10891/6256/3275/9971/9325/2908/5970/10062/9862/7067/10499/7421/2100/8202/8856/5914/5469/7068/367/9612/7376/3164/2099/5241/5467/9611/4654/10002/2494/9970/6720/5916/6095/8204/672/2101/8431/190/6879/9440/9282/90390/9968/10025/9969/29079/10013/51366/6872/3329/9131/3301","EPO/FOS/NCOA6/PPARG/RXRG/EP300/GRIP1/NCOA1/PPARA/PPARGC1A/RXRA/PRMT2/NR1H4/TRIP4/NR3C1/RELA/NR1H3/MED24/THRA/NCOA2/VDR/ESR2/NCOA3/NR1I2/RARA/MED1/THRB/AR/NCOR2//NR4A1/ESR1/PGR/PPARD/NCOR1/MYOD1/NR2E3/NR5A2/NR1I3/SREBF1/RARG/RORA/NRIP1/BRCA1/ESRRA/NR0B2/NR0B1/TAF7/MED17/MED14/MED30/MED12/MED16/MED13/MED4/HDAC6/UBR5/TAF1/HSPD1/AIFM1/DNAJA1"
"6","GO:0030522","intracellular receptor signaling pathway","57/309","288/18493",9.62159394332285e-45,6.37751318543249e-42,4.41918121817881e-42,57,"bp","ChemoRes","4792/23054/5468/6258/2033/23426/8648/5465/10891/6256/3275/9971/9325/2908/5970/10062/9862/7067/7421/2100/8202/8856/5914/5469/7068/367/9612/7376/3164/2099/5241/5467/9611/10002/2494/9970/6720/5916/6095/8204/672/2101/190/6879/9440/9282/90390/9968/10025/9969/29079/10013/51366/7314/6872/3301/79671","NFKBIA/NCOA6/PPARG/RXRG/EP300/GRIP1/NCOA1/PPARA/PPARGC1A/RXRA/PRMT2/NR1H4/TRIP4/NR3C1/RELA/NR1H3/MED24/THRA/VDR/ESR2/NCOA3/NR1I2/RARA/MED1/THRB/AR/NCOR2//NR4A1/ESR1/PGR/PPARD/NCOR1/NR2E3/NR5A2/NR1I3/SREBF1/RARG/RORA/NRIP1/BRCA1/ESRRA/NR0B1/TAF7/MED17/MED14/MED30/MED12/MED16/MED13/MED4/HDAC6/UBR5/UBB/TAF1/DNAJA1/NLRX1"
"7","GO:0071383","cellular response to steroid hormone stimulus","55/309","259/18493",6.37274164377184e-45,5.06887870345612e-42,3.51238686808309e-42,55,"bp","ChemoRes","23054/5468/6258/2033/23426/8648/5465/10891/6256/3275/9971/9325/2908/10062/9862/7067/7421/2100/8202/8856/5914/5469/7068/367/9612/7376/3164/2099/5241/5467/9611/4654/10002/2494/9970/5916/6095/8204/672/2101/8431/190/6879/9440/9282/90390/9968/10025/9969/29079/10013/51366/6872/9131/3301","NCOA6/PPARG/RXRG/EP300/GRIP1/NCOA1/PPARA/PPARGC1A/RXRA/PRMT2/NR1H4/TRIP4/NR3C1/NR1H3/MED24/THRA/VDR/ESR2/NCOA3/NR1I2/RARA/MED1/THRB/AR/NCOR2//NR4A1/ESR1/PGR/PPARD/NCOR1/MYOD1/NR2E3/NR5A2/NR1I3/RARG/RORA/NRIP1/BRCA1/ESRRA/NR0B2/NR0B1/TAF7/MED17/MED14/MED30/MED12/MED16/MED13/MED4/HDAC6/UBR5/TAF1/AIFM1/DNAJA1"
"8","GO:0009755","hormone-mediated signaling pathway","54/309","240/18493",1.53630475139092e-45,1.52747099907042e-42,1.05843311556353e-42,54,"bp","ChemoRes","23054/5468/6258/2033/23426/8648/5465/10891/6256/3275/9971/9325/2908/10062/9862/7067/7421/2100/8202/8856/5914/5469/7068/367/9612/7376/3164/2099/5241/5467/9611/10002/2494/9970/5916/6095/8204/672/2101/8431/190/6879/9440/9282/90390/9968/10025/9969/29079/10013/51366/6872/3301/2180","NCOA6/PPARG/RXRG/EP300/GRIP1/NCOA1/PPARA/PPARGC1A/RXRA/PRMT2/NR1H4/TRIP4/NR3C1/NR1H3/MED24/THRA/VDR/ESR2/NCOA3/NR1I2/RARA/MED1/THRB/AR/NCOR2//NR4A1/ESR1/PGR/PPARD/NCOR1/NR2E3/NR5A2/NR1I3/RARG/RORA/NRIP1/BRCA1/ESRRA/NR0B2/NR0B1/TAF7/MED17/MED14/MED30/MED12/MED16/MED13/MED4/HDAC6/UBR5/TAF1/DNAJA1/ACSL1"
"9","GO:0043401","steroid hormone mediated signaling pathway","53/309","191/18493",5.79430847806613e-50,7.68132160575633e-47,5.32263143704461e-47,53,"bp","ChemoRes","23054/5468/6258/2033/23426/8648/5465/10891/6256/3275/9971/9325/2908/10062/9862/7067/7421/2100/8202/8856/5914/5469/7068/367/9612/7376/3164/2099/5241/5467/9611/10002/2494/9970/5916/6095/8204/672/2101/8431/190/6879/9440/9282/90390/9968/10025/9969/29079/10013/51366/6872/3301","NCOA6/PPARG/RXRG/EP300/GRIP1/NCOA1/PPARA/PPARGC1A/RXRA/PRMT2/NR1H4/TRIP4/NR3C1/NR1H3/MED24/THRA/VDR/ESR2/NCOA3/NR1I2/RARA/MED1/THRB/AR/NCOR2//NR4A1/ESR1/PGR/PPARD/NCOR1/NR2E3/NR5A2/NR1I3/RARG/RORA/NRIP1/BRCA1/ESRRA/NR0B2/NR0B1/TAF7/MED17/MED14/MED30/MED12/MED16/MED13/MED4/HDAC6/UBR5/TAF1/DNAJA1"
"10","GO:0044798","nuclear transcription factor complex","49/315","198/19659",2.57224796331381e-44,2.63012354248837e-42,2.11872003294006e-42,49,"cc","ChemoRes","2353/2068/4087/5468/9314/5465/6256/9971/10062/7067/7421/8856/5914/7068/7376/5467/3091/2494/9970/3725/6908/5916/1051/10001/4088/2648/81857/6878/54797/6877/51003/6879/6874/9440/6881/9441/6875/9282/112950/6873/29079/83860/129685/6882/6884/6872/4841/7157/6880","FOS/ERCC2/SMAD2/PPARG/KLF4/PPARA/RXRA/NR1H4/NR1H3/THRA/VDR/NR1I2/RARA/THRB//PPARD/HIF1A/NR5A2/NR1I3/JUN/TBP/RARG/CEBPB/MED6/SMAD3/KAT2A/MED25/TAF6/MED18/TAF5/MED31/TAF7/TAF4/MED17/TAF10/MED26/TAF4B/MED14/MED8/TAF2/MED4/TAF3/TAF8/TAF11/TAF13/TAF1/NONO/TP53/TAF9"
