Accession,geneSymbol,entrezID,moduleColor,GS.ChemoRes,p.GS.ChemoRes,MM.turquoise,p.MM.turquoise,MM.grey
NM_178502.2,NUPR1,26471,turquoise,0.349864565643073,0.000192122482517484,-0.717172807767879,1.76138936293421e-18,-0.460958008844765
NM_004465.1,LIFR,3977,turquoise,0.339598913317661,0.00030311746167337,-0.519107226969826,7.33377874515909e-09,-0.279425419338113
NM_001025203.1,WNT7A,7476,turquoise,-0.339487321694815,0.000304597627869433,0.658216023500813,7.40138442444869e-15,0.398571862681266
NM_003537.3,PRKACB,5567,turquoise,-0.327208485058608,0.000514895287707676,0.70947882598326,5.88393038689008e-18,0.227455179415879
NM_004380.2,MAP3K1,4214,turquoise,0.322219297421954,0.000633405536172898,-0.438515616632694,1.84865224016197e-06,-0.240077929874911
NM_016834.3,IGFBP3,3486,turquoise,0.309029466078638,0.00107706521443742,-0.634551036136991,1.27670475105337e-13,-0.38988142096047
NM_003933.4,STAT1,6772,turquoise,0.308903110959418,0.00108243138519516,-0.549854846702767,5.91777349646658e-10,-0.34016882158414
NM_181573.2,IL12B,3593,turquoise,-0.304861556532911,0.00126747736848154,0.71873043899242,1.373080486119e-18,0.221189072910058
NM_003109.1,MAP2K6,5608,turquoise,0.299577096698418,0.00155279270591727,-0.367597464363615,8.41789367605989e-05,-0.207036571388602
NM_001254.3,FZD7,8324,turquoise,-0.293931560321696,0.00192097840019694,0.291275520591263,0.00212014212290267,0.148276516136495
NM_032019.5,RAD52,5893,turquoise,0.289429680026405,0.00226935276854939,-0.402746066016229,1.4141102525096e-05,-0.288369929625404
NM_002228.3,COG7,91949,turquoise,-0.284335141432161,0.00273164362372759,0.358830746498009,0.000127349137502299,0.436837006023178
NM_005902.3,DLL3,10683,turquoise,0.283318257335174,0.0028334895500012,-0.54654125806013,7.85808843464828e-10,-0.417594979944951
NM_001556.1,CIC,23152,turquoise,0.278647001094566,0.00334663558013081,-0.475911423519956,1.69391230941182e-07,-0.356840701201648
NM_001203.1,FCF1,51077,turquoise,0.277140350515593,0.0035291085579255,-0.395610154325729,2.0652585521792e-05,-0.313323550547197
NM_001237.2,ASXL1,171023,turquoise,-0.272514108793369,0.0041464773640851,0.699130786649583,2.80508093718425e-17,0.153931450912771
NM_002585.2,SFN,2810,turquoise,0.27063598788566,0.00442352247833397,-0.568338668435336,1.14769576086678e-10,-0.3414272067417
NM_031966.2,CREB3L3,84699,turquoise,-0.270257189942833,0.00448136349543358,0.573436210957498,7.17019913445853e-11,0.0807326847861879
NM_004456.3,HRAS,3265,turquoise,-0.267222672842647,0.00496964887858871,0.694906450014602,5.20717473550567e-17,0.147161553010143
NM_014159.6,HMGA1,3159,turquoise,0.260108950587852,0.00630480994997079,-0.424878601068092,4.12750112766302e-06,-0.261484260678756
NM_000720.2,RASGRP1,10125,turquoise,0.25795433535239,0.00676767426091059,-0.638450693256224,8.12161323463932e-14,-0.305533006420771
NM_001379.2,KLF4,9314,turquoise,-0.255114548477324,0.00742360245808842,0.636228634644166,1.05177341281206e-13,0.136167956880317
NM_007111.4,MET,4233,turquoise,-0.253222878230046,0.00789115081209437,0.612339425737384,1.49250367008426e-12,0.228651724573702
NM_053056.2,CREB3L4,148327,turquoise,0.252282600188654,0.00813308276983446,-0.569624531112707,1.02005086723829e-10,-0.308764245956115
NM_170693.1,FOS,2353,turquoise,0.248982786962979,0.00903470413801556,-0.37380486692275,6.2335619915053e-05,-0.226404707230611
NM_003536.2,PRKACA,5566,turquoise,-0.246303664383188,0.00983029746285041,0.363027492255781,0.000104610053390989,-0.0963071345748328
NM_133487.2,HDAC2,3066,turquoise,-0.243245610566489,0.0108130646560057,0.605246284170584,3.14478571573944e-12,0.170263247362977
NM_004529.2,IRAK3,11213,turquoise,0.241089820202049,0.0115566399666154,-0.21775812949765,0.0229287443317845,-0.235976078429955
NM_006607.2,PITX2,5308,turquoise,-0.240861551838359,0.0116379340570613,0.707713539201769,7.71719512117053e-18,0.13155934921769
NM_006301.2,FGFR4,2264,turquoise,0.240341639555832,0.011824961813211,-0.678039640463842,5.55598298000105e-16,-0.419425760635357
NM_001142354.1,IL12A,3592,turquoise,0.239940986589336,0.0119708760852737,-0.435563707121272,2.20624723907185e-06,-0.221537603560813
NM_000121.2,GATA3,2625,turquoise,0.239931210039001,0.0119744562000818,-0.55996698966515,2.44273725812047e-10,-0.343803882507534
NM_003482.3,PPP3R2,5535,turquoise,0.239659784974008,0.0120742247912538,-0.487636372512051,7.53691742784974e-08,0.0209836542644304
NM_015559.2,NA,NA,turquoise,0.238961009773113,0.0123344249301824,-0.449461933502695,9.45563226340925e-07,-0.34673278726206
NM_000135.2,MAPK8IP1,9479,turquoise,-0.233063030441507,0.0147327590264774,0.755712313688606,2.16731679958924e-21,0.206403261645618
NM_001145646.1,PTPN11,5781,turquoise,0.232968819236084,0.0147741455658672,-0.477862073478484,1.48349862137351e-07,-0.228702657911875
NM_001114121.1,PTEN,5728,turquoise,-0.230830213964102,0.0157411799961093,0.842575713463704,1.59442778979635e-30,0.364017264380274
NM_057735.1,GAS1,2619,turquoise,-0.229155041685031,0.0165365451343138,0.416205001135556,6.75761245220921e-06,0.0677750619143546
NM_006739.3,PDGFC,56034,turquoise,-0.224542339372288,0.0189089123058106,0.536796814582034,1.77759401034944e-09,0.125858670797305
NM_005225.1,COL3A1,1281,turquoise,-0.221957550126583,0.0203624200219166,0.512736003157957,1.1981671236958e-08,0.121775862780227
NM_001267.2,SMAD2,4087,turquoise,0.221425714885973,0.0206731227056339,-0.458821405700613,5.23086659008225e-07,-0.582569437909502
NM_003561.1,MLH1,4292,turquoise,0.220380206879773,0.0212958110959011,-0.451598066316151,8.27332124869697e-07,-0.37757136164977
NM_003318.3,FUT8,2530,turquoise,-0.218484040196698,0.0224662804343472,0.802825356589133,8.86123238639957e-26,0.216222980740649
NM_024670.3,PTPRR,5801,turquoise,-0.216502923940079,0.0237476558085865,0.527780966846934,3.69782869213314e-09,0.342455633104715
NM_001040056.1,FBXW7,55294,turquoise,0.21567487148406,0.0243014749048566,-0.617648826645309,8.43915637620128e-13,-0.235289877953041
NM_000168.5,PLA1A,51365,turquoise,0.214321741346687,0.0252302281940248,-0.633130617862098,1.5029880606234e-13,-0.251032618420097
NM_001238.1,CHEK2,11200,turquoise,-0.212633055000808,0.026431636653738,0.716846046433176,1.8554671345041e-18,0.309909041093398
NM_000038.3,AMMECR1L,83607,turquoise,0.212518344506174,0.0265149852687331,-0.450072163588361,9.10246032618986e-07,-0.18274680814487
NM_024827.3,TNR,7143,turquoise,0.211434105860713,0.0273139097636032,-0.391456694556862,2.56442325356898e-05,-0.338668319536404
NM_014176.3,IL22RA2,116379,turquoise,-0.209915853245761,0.0284669887642752,0.52774233548841,3.70928230081745e-09,0.0622050345106874
NM_002692.2,NGF,4803,turquoise,-0.209129709341965,0.029080119323469,0.368064773527376,8.23139640962852e-05,0.259329401679813
NM_001789.2,CNOT4,4850,turquoise,-0.208590089871762,0.0295074350784983,0.672110103804396,1.23084370369534e-15,0.176895287203837
NM_001527.1,ATM,472,turquoise,-0.208301986909263,0.029737751295356,0.720905225944522,9.67074081403294e-19,0.471750828970925
NM_006939.2,NPM1,4869,turquoise,0.207430504557129,0.0304437322874699,-0.559229960583754,2.60808785990327e-10,0.0333920340254189
NM_001002295.1,EIF4EBP1,1978,turquoise,0.201355184253045,0.0357703469746155,-0.719042282461774,1.30603454184081e-18,-0.46629544211091
NM_002592.2,COL11A2,1302,turquoise,-0.201153673855003,0.0359596671498298,0.531926922509243,2.64740260292763e-09,0.118512809626091
NM_005732.2,MDM2,4193,turquoise,0.20105910434923,0.0360488057383787,-0.549567938839662,6.06562072339886e-10,-0.247107406424108
NM_139276.2,CSF3R,1441,turquoise,0.199893511022792,0.0371627978167695,-0.295428457174394,0.00181634905657021,-0.158594535269124
NM_000875.2,CAPN2,824,turquoise,0.192199080130669,0.0452641465473098,-0.543507486758647,1.0160269194792e-09,-0.476964759902657
NM_012324.2,CDH1,999,turquoise,0.191828687072555,0.0456885261766718,-0.318087662890089,0.000749947260842583,-0.331655864959239
NM_001540.3,PIM1,5292,turquoise,0.190325034566895,0.047445428468937,-0.406832129404789,1.13391863344645e-05,-0.227379881732981
NM_005921.1,FGFR2,2263,turquoise,0.188191270872531,0.0500343693291774,-0.594115806685497,9.76483661589556e-12,-0.267636222853431
NM_021173.2,IL22RA1,58985,turquoise,0.186781025753157,0.0518087110138017,-0.685774042083294,1.91376610735681e-16,-0.33819925470577
NM_003239.2,IL1A,3552,turquoise,0.18599030900718,0.0528260760904543,-0.707900289991023,7.49962454744291e-18,-0.124173057462388
NM_001011645.1,HGF,3082,turquoise,0.182996579873257,0.0568281242213345,-0.745882813556501,1.34143259069393e-20,-0.109940105821295
NM_004448.2,BDNF,627,turquoise,-0.181513270088895,0.0589013004656577,-0.304642148382524,0.00127830238353366,0.36309142133723
NM_004111.4,BCL2A1,597,turquoise,-0.180472246629636,0.0603929587114709,0.572596230243999,7.75240345062371e-11,0.18192107866824
NM_182746.1,PAX5,5079,turquoise,-0.177180138962044,0.0653144625295674,0.69442118118889,5.58686368143434e-17,0.252073478586068
NM_004420.2,SFRP2,6423,turquoise,-0.176606580963161,0.0662043601226055,0.181047829415372,0.0595644494636959,0.170688136289968
NM_003592.2,PLA2G4A,5321,turquoise,-0.175834177561014,0.0674183097536081,0.4955319566394,4.29377560845958e-08,0.358975539659657
NM_152641.2,TNFRSF10A,8797,turquoise,0.175502652082182,0.0679448616810813,-0.477949923528717,1.4746347307539e-07,-0.284733291435243
NM_001005505.1,PIK3R2,5296,turquoise,0.174873715204806,0.0689529447078299,-0.650861422057973,1.84239513153486e-14,-0.41831628017373
NM_033381.1,RUNX1,861,turquoise,0.174035628666477,0.0703150520941227,-0.484665326284122,9.28023989396549e-08,-0.201870362789372
NM_000179.1,CACNB2,783,turquoise,-0.173537716718707,0.0711345405102931,0.630841032122814,1.95172481853303e-13,0.333214493904902
NM_001847.2,SOCS2,8835,turquoise,0.173096121772879,0.0718677824049509,-0.38452144420084,3.65751720336658e-05,-0.174359832822744
NM_006006.4,CACNA2D2,9254,turquoise,0.172793389451765,0.0723739688578055,-0.417658211330589,6.22778254634976e-06,-0.158197942506653
NM_004655.3,GRB2,2885,turquoise,0.172089969369683,0.0735612448365098,-0.48019848743873,1.26420923775911e-07,-0.197176794419998
NM_145904.1,MRPS5,64969,turquoise,-0.169595975764531,0.0778978381176485,0.413878827054919,7.69506871774675e-06,0.189357198210532
NM_000657.2,MAML2,84441,turquoise,0.169263197056867,0.0784916874375472,-0.493735497482183,4.88629355660512e-08,-0.524516798004806
NM_004755.2,FGF7,2252,turquoise,0.166541278332183,0.0834864580685078,-0.369982542439634,7.50562756239136e-05,-0.043971909127787
NM_005375.2,COL4A4,1286,turquoise,0.165981157089218,0.0845451191890123,-0.558009046857493,2.90596406821503e-10,-0.320260152382572
NM_000163.2,IL1RAP,3556,turquoise,0.164905356218988,0.0866084608749752,-0.33931634240512,0.000306878468062376,-0.127708089470959
NM_000727.2,RBX1,9978,turquoise,0.163783625892023,0.088802381365669,-0.578829334702104,4.32057871770409e-11,-0.339253687550608
NM_001040168.1,ZC3H14,79882,turquoise,0.162675872814948,0.0910120671384461,-0.667924166603033,2.13460061546865e-15,-0.236493722816569
NM_002915.3,STAT4,6775,turquoise,-0.16073517039501,0.094988134980322,0.589331679322917,1.56832426003432e-11,0.225643258490714
NM_002105.2,HDAC11,79885,turquoise,-0.160724550175332,0.0950102648835423,0.253274299277139,0.00787810547785294,0.163442639718687
NM_018063.3,NR4A1,3164,turquoise,-0.159227059197204,0.098171647333939,0.555904787463533,3.4978026402265e-10,0.0675794928621604
NM_005544.2,MDC1,9656,turquoise,0.158685352251127,0.0993354477455633,-0.54629875946873,8.0219035996382e-10,-0.477140000401459
