"","Accession","geneSymbol","entrezID","GS.ChemoRes"
"1","NM_178502.2","NUPR1","26471",0.349864565643073
"2","NM_004465.1","LIFR","3977",0.339598913317661
"3","NM_001025203.1","WNT7A","7476",-0.339487321694815
"4","NM_003537.3","PRKACB","5567",-0.327208485058608
"5","NM_004380.2","MAP3K1","4214",0.322219297421954
"6","NM_016834.3","IGFBP3","3486",0.309029466078638
"7","NM_003933.4","STAT1","6772",0.308903110959418
"8","NM_181573.2","IL12B","3593",-0.304861556532911
"9","NM_003109.1","MAP2K6","5608",0.299577096698418
"10","NM_001254.3","FZD7","8324",-0.293931560321696
"11","NM_032019.5","RAD52","5893",0.289429680026405
"12","NM_002228.3","COG7","91949",-0.284335141432161
"13","NM_005902.3","DLL3","10683",0.283318257335174
"14","NM_001556.1","CIC","23152",0.278647001094566
"15","NM_001203.1","FCF1","51077",0.277140350515593
"16","NM_001237.2","ASXL1","171023",-0.272514108793369
"17","NM_002585.2","SFN","2810",0.27063598788566
"18","NM_031966.2","CREB3L3","84699",-0.270257189942833
"19","NM_004456.3","HRAS","3265",-0.267222672842647
"20","NM_014159.6","HMGA1","3159",0.260108950587852
"21","NM_000720.2","RASGRP1","10125",0.25795433535239
"22","NM_001379.2","KLF4","9314",-0.255114548477324
"23","NM_007111.4","MET","4233",-0.253222878230046
"24","NM_053056.2","CREB3L4","148327",0.252282600188654
"25","NM_170693.1","FOS","2353",0.248982786962979
"26","NM_003536.2","PRKACA","5566",-0.246303664383188
"27","NM_133487.2","HDAC2","3066",-0.243245610566489
"28","NM_004529.2","IRAK3","11213",0.241089820202049
"29","NM_006607.2","PITX2","5308",-0.240861551838359
"30","NM_006301.2","FGFR4","2264",0.240341639555832
"31","NM_001142354.1","IL12A","3592",0.239940986589336
"32","NM_000121.2","GATA3","2625",0.239931210039001
"33","NM_003482.3","PPP3R2","5535",0.239659784974008
"34","NM_000135.2","MAPK8IP1","9479",-0.233063030441507
"35","NM_001145646.1","PTPN11","5781",0.232968819236084
"36","NM_001114121.1","PTEN","5728",-0.230830213964102
"37","NM_057735.1","GAS1","2619",-0.229155041685031
"38","NM_006739.3","PDGFC","56034",-0.224542339372288
"39","NM_005225.1","COL3A1","1281",-0.221957550126583
"40","NM_001267.2","SMAD2","4087",0.221425714885973
"41","NM_003561.1","MLH1","4292",0.220380206879773
"42","NM_003318.3","FUT8","2530",-0.218484040196698
"43","NM_024670.3","PTPRR","5801",-0.216502923940079
"44","NM_001040056.1","FBXW7","55294",0.21567487148406
"45","NM_000168.5","PLA1A","51365",0.214321741346687
"46","NM_001238.1","CHEK2","11200",-0.212633055000808
"47","NM_000038.3","AMMECR1L","83607",0.212518344506174
"48","NM_024827.3","TNR","7143",0.211434105860713
"49","NM_014176.3","IL22RA2","116379",-0.209915853245761
"50","NM_002692.2","NGF","4803",-0.209129709341965
"51","NM_001789.2","CNOT4","4850",-0.208590089871762
"52","NM_001527.1","ATM","472",-0.208301986909263
"53","NM_006939.2","NPM1","4869",0.207430504557129
"54","NM_001002295.1","EIF4EBP1","1978",0.201355184253045
"55","NM_002592.2","COL11A2","1302",-0.201153673855003
"56","NM_005732.2","MDM2","4193",0.20105910434923
