Accession,geneSymbol,entrezID,moduleColor,GS.ChemoRes,p.GS.ChemoRes,MM.yellow,p.MM.yellow
NM_000417.1,CHAD,1101,yellow,-0.327002164075565,0.000519361270683032,0.770952144256921,1.07558774367828e-22
NM_002166.4,FZD3,7976,yellow,-0.323153824377544,0.000609462584575757,0.270292670894161,0.00447591715599943
NM_004994.2,COL2A1,1280,yellow,-0.291556095894195,0.00209825494010823,0.466556586288713,3.16395004244437e-07
NM_004131.3,ERCC2,2068,yellow,-0.278009917661631,0.00342273422012284,0.767844797404748,2.02132097230314e-22
NM_004049.2,CACNA1C,775,yellow,-0.277428903427254,0.00349348556862263,0.73089778768681,1.84953817211604e-19
NM_030753.3,E2F1,1869,yellow,0.276026862303503,0.00366964746805838,-0.287458671003499,0.00243909455237963
NM_003177.3,EPOR,2057,yellow,-0.274705887722402,0.00384286598883486,0.736505510022967,7.07473437997191e-20
NM_020529.1,CREB3L1,90993,yellow,-0.262098786006871,0.00590252355514805,0.397740059786709,1.8461736083086e-05
NM_156038.2,GRIN2A,2903,yellow,-0.25004796548668,0.00873448956863565,0.405558261557309,1.21510857518414e-05
NM_002649.2,NFKBIZ,64332,yellow,-0.248260040697636,0.00924354373478596,0.888051261996724,6.69882387997131e-38
NM_021979.3,HOXA11,3207,yellow,0.242378407327607,0.0111069833795527,-0.311533881256717,0.00097558817625509
NM_004418.3,IL2RA,3559,yellow,-0.233416886897828,0.014578209998084,0.620952097330464,5.8867820673367e-13
NM_003745.1,CDKN2B,1030,yellow,-0.233316808031808,0.0146217765041478,0.77529602892647,4.37846374927572e-23
NM_007315.2,CDC7,8317,yellow,-0.232582474090929,0.0149449234235203,0.571085741455327,8.91591291686246e-11
NM_003394.2,DHX16,8449,yellow,-0.228458827773149,0.0168772041601775,0.526995119009421,3.93763378782047e-09
NM_000565.2,KIT,3815,yellow,-0.221874637329562,0.0204105925345866,0.751519337650194,4.76570741093044e-21
NM_000889.1,MMP7,4316,yellow,-0.220630333338112,0.0211453924595371,0.800389541473464,1.59454691561092e-25
NM_212535.1,FOSL1,8061,yellow,-0.213915180222013,0.0255151313552528,0.897743893643959,6.85825320876438e-40
NM_005896.2,ITGA9,3680,yellow,-0.210057621757058,0.0283575970872255,0.308877181566252,0.00108353558966298
NM_147162.1,PGF,5228,yellow,0.209932261818806,0.0284543092402828,0.354048691008829,0.000158818559536257
NM_032271.2,CDKN1A,1026,yellow,0.207754313063847,0.030179777916729,-0.417107102383163,6.42392502270127e-06
NM_001838.2,ERCC3,2071,yellow,-0.20602020333274,0.0316162622598151,0.796757937621606,3.77192746854674e-25
NM_001250.4,CASP12,100506742,yellow,-0.204129703185205,0.0332477416665822,0.838953936423707,4.86638010408211e-30
NM_000880.2,MAPK8,5599,yellow,-0.203727263083665,0.0336040617411075,0.594766665582114,9.14973890917539e-12
NM_182907.1,FZD2,2535,yellow,-0.198320473469199,0.0387118827755805,0.738286761649651,5.18696894311563e-20
NM_002661.2,SMAD3,4088,yellow,-0.19746699467545,0.0395747624038093,0.787940933211682,2.84233194404755e-24
NM_004364.2,GADD45A,1647,yellow,-0.195416859310265,0.0417134269647848,0.37309572869621,6.45320154741036e-05
NM_025216.2,DUSP10,11221,yellow,-0.191044379987951,0.0465980642475037,0.634675024255311,1.25859880087319e-13
NM_006290.2,CDC25C,995,yellow,-0.190667119708836,0.0470408844652343,0.812543283074425,7.81613738795464e-27
NM_002185.2,EPO,2056,yellow,-0.189907711889676,0.0479428479679276,0.848672234203439,2.28355239117455e-31
NM_001559.2,NFATC1,4772,yellow,-0.189468674882291,0.0484708051307422,0.562256023700559,1.99106986245706e-10
NM_004048.2,CCNO,10309,yellow,-0.187880850641088,0.0504205601657816,0.727226806736682,3.42502712049402e-19
NM_001142633.1,SHC1,6464,yellow,-0.176001839305697,0.0671532808238507,0.810531829131473,1.30685259575466e-26
NM_016734.1,GNG4,2786,yellow,-0.172688335444674,0.072550296555727,0.663147244581924,3.95843357820278e-15
NM_002312.3,MCM2,4171,yellow,-0.170305407353501,0.0766438859627336,0.278094539910663,0.00341253758237916
NM_000594.2,CALML5,51806,yellow,-0.169612456701192,0.0778685216033536,0.627465310393286,2.85762209166827e-13
NM_000722.2,RB1,5925,yellow,0.166916313721725,0.0827835552210553,0.111225300041252,0.249561431963939
NM_002755.2,FGF19,9965,yellow,-0.164940429988178,0.0865405644354076,0.310071312970032,0.00103373514016052
NM_004292.2,NA,NA,yellow,0.163590357059608,0.0891848038115996,-0.341565784170483,0.000278094681035831
NM_153815.2,SP1,6667,yellow,-0.160177284037713,0.0961561534648096,0.336659878930176,0.000344402051843812
NM_003072.3,PLA2G4F,255189,yellow,-0.157653053826397,0.101583255118335,-0.275305562486151,0.00376334332904043
NM_000878.2,IL1R1,3554,yellow,-0.156044781870932,0.105164567751722,0.816159161716209,3.05396466202678e-27
NM_002675.3,RHOA,387,yellow,0.155972320471887,0.105328221658243,0.316456006270631,0.000801147806815055
NM_005026.3,NOS3,4846,yellow,-0.152154537780707,0.11423588505609,0.864332594688166,1.02012998422716e-33
NM_001718.2,CYLD,1540,yellow,-0.144011800374509,0.135177493861816,0.571568277315707,8.5270508867589e-11
NM_172174.1,CREB5,9586,yellow,-0.143152377681571,0.137548118402148,0.68351406167516,2.62186544920831e-16
NM_000215.2,FANCG,2189,yellow,-0.141854680963848,0.141187381705466,0.905382520279319,1.32447702798804e-41
NM_032991.2,PRKAR1B,5575,yellow,-0.140010323338491,0.146484622101708,0.322180056598061,0.000634429520633614
NM_004119.1,FGF3,2248,yellow,0.137238143556199,0.154726764100721,0.325139537601804,0.000561320446719068
NM_032415.2,CDKN1B,1027,yellow,-0.134320343545814,0.163771913684798,0.684485864707572,2.29071067837345e-16
