"","Accession","geneSymbol","entrezID","GS.ChemoRes"
"1","NM_000417.1","CHAD","1101",-0.327002164075566
"2","NM_002166.4","FZD3","7976",-0.323153824377544
"3","NM_004994.2","COL2A1","1280",-0.291556095894195
"4","NM_004131.3","ERCC2","2068",-0.278009917661631
"5","NM_004049.2","CACNA1C","775",-0.277428903427254
"6","NM_030753.3","E2F1","1869",0.276026862303503
"7","NM_003177.3","EPOR","2057",-0.274705887722402
"8","NM_020529.1","CREB3L1","90993",-0.262098786006871
"9","NM_156038.2","GRIN2A","2903",-0.25004796548668
"10","NM_002649.2","NFKBIZ","64332",-0.248260040697636
"11","NM_021979.3","HOXA11","3207",0.242378407327607
"12","NM_004418.3","IL2RA","3559",-0.233416886897828
"13","NM_003745.1","CDKN2B","1030",-0.233316808031808
"14","NM_007315.2","CDC7","8317",-0.232582474090929
"15","NM_003394.2","DHX16","8449",-0.228458827773149
"16","NM_000565.2","KIT","3815",-0.221874637329562
"17","NM_000889.1","MMP7","4316",-0.220630333338112
"18","NM_212535.1","FOSL1","8061",-0.213915180222013
"19","NM_005896.2","ITGA9","3680",-0.210057621757058
"20","NM_147162.1","PGF","5228",0.209932261818806
"21","NM_032271.2","CDKN1A","1026",0.207754313063847
"22","NM_001838.2","ERCC3","2071",-0.20602020333274
"23","NM_001250.4","CASP12","100506742",-0.204129703185205
"24","NM_000880.2","MAPK8","5599",-0.203727263083665
